Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
04:40AM_2020-11-11,117.361,117.361,117.361,117.361,100,,,,,,,,
04:45AM_2020-11-11,117.36,117.36,117.36,117.36,200,,,,,,,,
04:55AM_2020-11-11,117.399,117.471,117.399,117.471,470,,,,,,,,
05:00AM_2020-11-11,117.59,117.59,117.53,117.541,400,,,,,,,,
05:05AM_2020-11-11,117.56,117.56,117.56,117.56,100,,,,,,,,
05:10AM_2020-11-11,117.471,117.86,117.471,117.76,798,117.51,,,,,,,
05:15AM_2020-11-11,117.711,117.711,117.711,117.711,125,117.57,,,,,,,
05:20AM_2020-11-11,117.604,117.604,117.55,117.55,300,117.6,,,,,,,
05:30AM_2020-11-11,117.419,117.419,117.419,117.419,200,117.59,117.53,,,,,,
05:35AM_2020-11-11,117.39,117.439,117.39,117.439,500,117.57,117.53,117.52,,,,,
05:45AM_2020-11-11,117.461,117.461,117.461,117.461,102,117.56,117.55,117.53,,,,,
05:50AM_2020-11-11,117.204,117.204,117.204,117.204,100,117.46,117.52,117.51,,,,,
05:55AM_2020-11-11,117.381,117.381,117.381,117.381,100,117.41,117.5,117.5,,,,,
06:00AM_2020-11-11,117.35,117.35,117.35,117.35,109,117.38,117.48,117.48,,,,,
06:15AM_2020-11-11,117.41,117.41,117.41,117.41,158,117.37,117.44,117.47,,51.87,,,
06:20AM_2020-11-11,117.279,117.289,117.279,117.289,201,117.35,117.39,117.42,,47.18,,,
06:25AM_2020-11-11,117.24,117.24,117.2,117.2,1069,117.31,117.35,117.37,,44.02,,,
06:30AM_2020-11-11,117.2,117.27,116.44,117.005,99808,117.27,117.3,117.32,,38.02,,,
06:35AM_2020-11-11,117.0,117.54,116.9,117.3,110336,117.26,117.29,117.3,,49.28,,,
06:40AM_2020-11-11,117.33,117.82,117.18,117.82,151529,117.34,117.33,117.34,117.43,62.29,,,
06:45AM_2020-11-11,117.83,118.0,117.655,117.98,100440,117.43,117.42,117.39,117.46,65.25,,,
06:50AM_2020-11-11,117.99,118.075,117.84,117.905,90999,117.54,117.47,117.46,117.49,62.77,,,
06:55AM_2020-11-11,117.915,117.995,117.43,117.69,80673,117.62,117.51,117.49,117.5,56.17,,,
07:00AM_2020-11-11,117.705,118.22,117.64,117.81,61549,117.75,117.56,117.54,117.51,58.77,,,
07:05AM_2020-11-11,117.835,118.395,117.835,118.325,50548,117.92,117.67,117.63,117.55,67.66,,,
07:10AM_2020-11-11,118.34,118.37,117.865,118.1,65754,117.97,117.77,117.71,117.57,61.43,0.23,,
