Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
04:45AM_2020-11-11,6.86,6.89,6.86,6.89,600,,,,,,,,
04:50AM_2020-11-11,6.88,6.88,6.85,6.85,2340,,,,,,,,
04:55AM_2020-11-11,6.85,6.85,6.85,6.85,2736,,,,,,,,
05:00AM_2020-11-11,6.85,6.92,6.85,6.92,4616,,,,,,,,
05:05AM_2020-11-11,6.92,6.92,6.86,6.91,3420,,,,,,,,
05:10AM_2020-11-11,6.91,6.92,6.91,6.91,2676,6.89,,,,,,,
05:15AM_2020-11-11,6.9,6.9,6.81,6.83,12724,6.88,,,,,,,
05:20AM_2020-11-11,6.82,6.82,6.81,6.82,3600,6.87,,,,,,,
05:25AM_2020-11-11,6.82,6.82,6.79,6.79,4824,6.86,6.86,,,,,,
05:30AM_2020-11-11,6.78,6.8,6.78,6.8,12208,6.84,6.85,6.86,,,,,
05:35AM_2020-11-11,6.8,6.8,6.8,6.8,5568,6.82,6.85,6.85,,,,,
05:40AM_2020-11-11,6.79,6.79,6.76,6.76,5172,6.8,6.84,6.84,,,,,
05:45AM_2020-11-11,6.76,6.76,6.69,6.74,2850,6.78,6.82,6.83,,,,,
05:50AM_2020-11-11,6.75,6.75,6.7,6.7,800,6.76,6.79,6.81,,,,,
05:55AM_2020-11-11,6.71,6.71,6.64,6.65,1638,6.74,6.77,6.78,,20.0,,,
06:00AM_2020-11-11,6.64,6.65,6.62,6.63,16778,6.71,6.74,6.75,,18.98,,,
06:05AM_2020-11-11,6.63,6.73,6.63,6.73,13756,6.7,6.73,6.74,,36.46,,,
06:10AM_2020-11-11,6.75,6.96,6.72,6.96,16712,6.74,6.75,6.76,,58.59,,,
06:15AM_2020-11-11,6.95,7.09,6.81,6.85,38022,6.75,6.76,6.76,,49.68,,,
06:20AM_2020-11-11,6.86,6.87,6.78,6.82,13590,6.77,6.76,6.76,6.81,47.55,,,
06:25AM_2020-11-11,6.82,6.84,6.74,6.8,25924,6.8,6.76,6.76,6.81,46.14,,,
06:30AM_2020-11-11,6.79,6.84,6.46,6.6,495197,6.79,6.75,6.75,6.79,34.93,,,
06:35AM_2020-11-11,6.59,6.82,6.52,6.745,393452,6.8,6.75,6.75,6.79,45.3,,,
06:40AM_2020-11-11,6.75,6.79,6.56,6.61,208250,6.74,6.75,6.74,6.77,39.06,,,
06:45AM_2020-11-11,6.59,6.68,6.52,6.64,157406,6.7,6.75,6.74,6.76,41.01,,,
06:50AM_2020-11-11,6.625,6.68,6.5,6.53,222350,6.65,6.73,6.73,6.74,36.42,-0.08,,
06:55AM_2020-11-11,6.53,6.65,6.43,6.63,88816,6.63,6.69,6.72,6.73,42.7,-0.08,,
07:00AM_2020-11-11,6.62,6.67,6.6,6.62,49246,6.63,6.67,6.68,6.72,42.25,-0.08,,
07:05AM_2020-11-11,6.62,6.75,6.61,6.6610000000000005,84362,6.62,6.65,6.67,6.71,44.81,-0.07,,
07:10AM_2020-11-11,6.68,6.71,6.61,6.64,67744,6.62,6.63,6.65,6.71,43.74,-0.07,,
07:15AM_2020-11-11,6.62,6.66,6.575,6.625,58476,6.62,6.63,6.63,6.7,42.95,-0.07,,
07:20AM_2020-11-11,6.61,6.65,6.575,6.615,51468,6.63,6.62,6.63,6.69,42.4,-0.07,,
07:25AM_2020-11-11,6.61,6.69,6.61,6.67,59358,6.64,6.63,6.62,6.69,46.46,-0.06,,
07:30AM_2020-11-11,6.67,6.74,6.64,6.72,66802,6.66,6.63,6.64,6.69,49.92,-0.05,-0.07,0.01808748035096247
07:35AM_2020-11-11,6.71,6.72,6.65,6.66,57140,6.65,6.65,6.64,6.69,46.07,-0.05,-0.07,0.01709025937657703
07:40AM_2020-11-11,6.67,6.76,6.67,6.755,15400,6.67,6.66,6.66,6.69,52.33,-0.04,-0.06,0.02222542366357584
07:45AM_2020-11-11,6.75,6.79,6.73,6.78,46688,6.7,6.68,6.67,6.7,53.85,-0.03,-0.05,0.02641716172747543
07:50AM_2020-11-11,6.77,6.79,6.66,6.66,35268,6.71,6.68,6.68,6.68,46.24,-0.03,-0.05,0.020484069367331957
07:55AM_2020-11-11,6.67,6.71,6.62,6.71,10268,6.71,6.69,6.68,6.67,49.44,-0.02,-0.04,0.019318267464860317
08:00AM_2020-11-11,6.71,6.73,6.655,6.73,34130,6.72,6.7,6.69,6.67,50.71,-0.02,-0.04,0.019243063971853137
08:05AM_2020-11-11,6.705,6.71,6.62,6.63,15088,6.71,6.7,6.69,6.66,44.68,-0.02,-0.04,0.012153390231482396
08:10AM_2020-11-11,6.64,6.64,6.57,6.59,15362,6.68,6.69,6.69,6.66,42.51,-0.03,-0.03,0.004840194639881966
08:15AM_2020-11-11,6.57,6.6,6.545,6.6,24148,6.65,6.68,6.68,6.65,43.25,-0.03,-0.03,0.0009501210878896937
08:20AM_2020-11-11,6.6,6.63,6.59,6.625,8570,6.65,6.68,6.67,6.65,45.16,-0.03,-0.03,0.0003646176361834924
08:25AM_2020-11-11,6.63,6.65,6.61,6.62,7792,6.63,6.66,6.67,6.65,44.84,-0.03,-0.03,-3.431319026520052e-05
08:30AM_2020-11-11,6.61,6.62,6.59,6.59,6734,6.61,6.64,6.65,6.66,42.84,-0.04,-0.03,-0.0018907546853313764
08:35AM_2020-11-11,6.59,6.59,6.54,6.59,26500,6.6,6.63,6.63,6.65,42.84,-0.04,-0.03,-0.00264457857309839
08:40AM_2020-11-11,6.58,6.62,6.58,6.6,12820,6.6,6.62,6.63,6.65,43.81,-0.04,-0.04,-0.002023582244344249
08:45AM_2020-11-11,6.59,6.63,6.59,6.61,12008,6.61,6.61,6.62,6.65,44.81,-0.04,-0.04,-0.0005688167390058979
08:50AM_2020-11-11,6.58,6.59,6.55,6.57,20086,6.6,6.6,6.6,6.65,41.61,-0.04,-0.04,-0.0018573088207277932
08:55AM_2020-11-11,6.56,6.58,6.51,6.54,25688,6.58,6.59,6.59,6.64,39.34,-0.04,-0.04,-0.004155266907559539
09:00AM_2020-11-11,6.54,6.56,6.53,6.55,24386,6.58,6.59,6.59,6.64,40.51,-0.04,-0.04,-0.004403298723166332
09:05AM_2020-11-11,6.56,6.56,6.52,6.535,22044,6.57,6.58,6.58,6.63,39.29,-0.04,-0.04,-0.004938879814968697
09:10AM_2020-11-11,6.53,6.55,6.53,6.545,14402,6.56,6.57,6.58,6.62,40.57,-0.04,-0.04,-0.004019916874925519
09:15AM_2020-11-11,6.55,6.57,6.55,6.56,12792,6.55,6.57,6.57,6.62,42.53,-0.04,-0.04,-0.0019091969479616
09:20AM_2020-11-11,6.56,6.58,6.54,6.57,12794,6.55,6.56,6.57,6.61,43.87,-0.04,-0.04,0.0005231088708113479
09:25AM_2020-11-11,6.57,6.61,6.56,6.6,19336,6.56,6.56,6.57,6.6,47.78,-0.04,-0.04,0.004304634011623461
09:30AM_2020-11-11,6.6,6.605,6.58,6.605,6466,6.57,6.56,6.57,6.6,48.42,-0.03,-0.04,0.0071283371611204766
09:35AM_2020-11-11,6.61,6.64,6.58,6.63,14180,6.58,6.57,6.57,6.59,51.64,-0.02,-0.04,0.010463779211560623
09:40AM_2020-11-11,6.62,6.705,6.62,6.705,20112,6.61,6.59,6.58,6.59,59.75,-0.01,-0.03,0.017112154028695335
09:45AM_2020-11-11,6.71,6.77,6.7,6.76,15616,6.64,6.61,6.61,6.6,64.45,-0.0,-0.02,0.024173136791172365
09:50AM_2020-11-11,6.76,6.785,6.72,6.76,19594,6.68,6.64,6.63,6.61,64.45,0.01,-0.02,0.027557518857674504
09:55AM_2020-11-11,6.77,6.84,6.75,6.83,49284,6.71,6.67,6.66,6.62,69.68,0.02,-0.01,0.03286449124262601
10:00AM_2020-11-11,6.84,6.925,6.82,6.9,61962,6.76,6.71,6.69,6.63,73.83,0.04,0.0,0.03902340090729614
10:05AM_2020-11-11,6.91,6.955,6.87,6.89,62366,6.81,6.74,6.72,6.65,72.31,0.05,0.01,0.04019907280268604
10:10AM_2020-11-11,6.87,7.02,6.84,7.02,84720,6.86,6.79,6.77,6.67,78.51,0.07,0.02,0.04703256825830669
10:15AM_2020-11-11,7.04,7.22,7.03,7.18,116060,6.93,6.85,6.83,6.7,83.43,0.1,0.04,0.05886138796538194
10:20AM_2020-11-11,7.18,7.3,7.15,7.3,104604,7.02,6.93,6.9,6.73,86.02,0.12,0.05,0.07051423030019924
10:25AM_2020-11-11,7.31,7.49,7.25,7.26,154398,7.09,6.99,6.96,6.77,81.45,0.14,0.07,0.07107436977149152
10:30AM_2020-11-11,7.26,7.56,7.26,7.56,183730,7.2,7.08,7.05,6.82,87.02,0.18,0.09,0.08618846738505079
10:35AM_2020-11-11,7.6,7.93,7.52,7.91,250590,7.37,7.21,7.16,6.88,90.57,0.23,0.12,0.11262684027297155
10:40AM_2020-11-11,7.915,7.935,7.585,7.61,155456,7.47,7.29,7.25,6.94,72.3,0.25,0.15,0.10303892548853694
10:45AM_2020-11-11,7.62,7.765,7.59,7.7,99524,7.56,7.38,7.33,6.99,74.0,0.27,0.17,0.09602708820759162
10:50AM_2020-11-11,7.71,7.71,7.53,7.61,100192,7.61,7.46,7.4,7.05,69.42,0.27,0.19,0.07929141385020971
10:55AM_2020-11-11,7.62,7.89,7.6,7.88,64774,7.71,7.56,7.5,7.11,74.51,0.29,0.21,0.08013197630274224
11:00AM_2020-11-11,7.885,8.11,7.718999999999999,8.105,94920,7.8,7.66,7.61,7.19,77.83,0.32,0.23,0.08889048795189097
11:05AM_2020-11-11,8.09,8.27,7.91,8.1,183092,7.83,7.75,7.7,7.27,77.58,0.34,0.26,0.08727201902710707
11:10AM_2020-11-11,8.1,8.15,7.94,8.021,139258,7.9,7.83,7.78,7.34,73.7,0.35,0.27,0.07431288482234888
11:15AM_2020-11-11,8.025,8.23,7.84,8.025,146410,7.96,7.88,7.85,7.41,73.77,0.35,0.29,0.06005247255467211
11:20AM_2020-11-11,8.02,8.07,7.985,8.015,77410,8.02,7.9,7.9,7.47,73.23,0.34,0.3,0.04469367975662275
11:25AM_2020-11-11,8.02,8.02,7.79,7.91,66486,8.03,7.93,7.9,7.53,67.66,0.33,0.31,0.023287032619533632
11:30AM_2020-11-11,7.89,8.09,7.89,8.03,62838,8.02,7.97,7.94,7.59,70.43,0.32,0.31,0.013517777866028535
11:35AM_2020-11-11,8.01,8.17,7.94,8.14,50010,8.02,8.03,7.98,7.66,72.73,0.32,0.31,0.010885749293605917
11:40AM_2020-11-11,8.15,8.2,8.07,8.18,38318,8.05,8.06,8.04,7.72,73.54,0.32,0.31,0.008373123815587746
11:45AM_2020-11-11,8.175,8.22,8.05,8.05,39082,8.05,8.05,8.06,7.78,66.63,0.31,0.31,-0.004801033028492441
11:50AM_2020-11-11,8.08,8.13,8.07,8.105,31210,8.07,8.05,8.06,7.83,68.0,0.3,0.31,-0.012149809781917764
11:55AM_2020-11-11,8.095,8.095,8.0,8.04,26554,8.09,8.05,8.05,7.88,64.63,0.28,0.3,-0.023092543914165597
12:00PM_2020-11-11,8.05,8.055,7.915,8.0,45248,8.09,8.05,8.05,7.91,62.57,0.26,0.3,-0.034066190525549656
12:05PM_2020-11-11,8.0,8.09,7.985,8.05,43896,8.07,8.06,8.05,7.95,64.11,0.25,0.29,-0.03866272230884282
12:10PM_2020-11-11,8.04,8.04,7.95,7.955,29262,8.03,8.06,8.05,7.97,59.13,0.23,0.27,-0.048186685360398496
12:15PM_2020-11-11,7.95,7.95,7.805,7.86,30038,8.0,8.04,8.04,7.97,54.57,0.2,0.26,-0.060189977786828
12:20PM_2020-11-11,7.87,7.91,7.835,7.88,63468,7.96,8.01,8.03,7.98,55.35,0.18,0.24,-0.06564181693575524
12:25PM_2020-11-11,7.89,7.965,7.89,7.93,18136,7.95,7.99,8.0,7.99,57.33,0.16,0.23,-0.06463739678286048
12:30PM_2020-11-11,7.94,7.975,7.89,7.955,10758,7.94,7.97,7.98,8.01,58.32,0.15,0.21,-0.06108709163562365
12:35PM_2020-11-11,7.955,7.955,7.86,7.87,33696,7.91,7.95,7.96,8.01,53.74,0.13,0.2,-0.06300790113979923
12:40PM_2020-11-11,7.85,7.85,7.735,7.76,35370,7.88,7.92,7.93,7.99,48.44,0.11,0.18,-0.0697090411497358
12:45PM_2020-11-11,7.75,7.795,7.64,7.65,28624,7.84,7.88,7.89,7.97,43.8,0.08,0.16,-0.07889623387239211
12:50PM_2020-11-11,7.64,7.66,7.54,7.595,100056,7.79,7.83,7.85,7.95,41.64,0.05,0.14,-0.08547023646286517
12:55PM_2020-11-11,7.605,7.67,7.55,7.67,95036,7.75,7.8,7.81,7.93,45.57,0.03,0.12,-0.08157062177152734
01:35PM_2020-11-11,7.711,7.7410000000000005,7.711,7.7410000000000005,400,7.71,7.78,7.79,7.92,49.07,0.03,0.1,-0.07138012562977746
