Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:50AM_2020-11-05,8.83,8.83,8.83,8.83,200,,,,,,,,
11:55AM_2020-11-05,8.66,8.66,8.65,8.65,400,,,,,,,,
12:05PM_2020-11-05,8.65,8.65,8.65,8.65,100,,,,,,,,
12:15PM_2020-11-05,8.65,8.65,8.65,8.65,153,,,,,,,,
12:20PM_2020-11-05,8.67,8.67,8.67,8.67,400,,,,,,,,
12:25PM_2020-11-05,8.67,8.67,8.66,8.66,310,8.685,,,,,,,
12:40PM_2020-11-05,8.57,8.57,8.56,8.56,300,8.64,,,,,,,
12:55PM_2020-11-05,8.55,8.55,8.55,8.55,400,8.623,,,,,,,
06:30AM_2020-11-06,8.51,8.51,8.51,8.51,200,8.6,8.637,,,,,,
08:30AM_2020-11-06,8.47,8.47,8.47,8.47,120,8.57,8.597,8.62,,,,,
12:05PM_2020-11-06,8.26,8.26,8.19,8.19,452,8.49,8.546,8.556,,,,,
06:30AM_2020-11-09,8.59,8.59,8.59,8.59,100,8.478,8.539,8.55,,,,,
06:50AM_2020-11-09,8.59,8.59,8.59,8.59,100,8.483,8.532,8.544,,,,,
08:20AM_2020-11-09,8.27,8.27,8.26,8.26,400,8.435,8.487,8.505,,,,,
08:25AM_2020-11-09,8.01,8.01,8.01,8.01,100,8.352,8.414,8.439,,25.3,,,
08:30AM_2020-11-09,8.045,8.05,8.01,8.05,700,8.282,8.358,8.378,,27.19,,,
08:50AM_2020-11-09,8.05,8.05,8.05,8.05,200,8.258,8.302,8.327,,27.19,,,
09:10AM_2020-11-09,8.08,8.08,8.08,8.08,100,8.173,8.254,8.28,,28.76,,,
10:25AM_2020-11-09,8.16,8.16,8.16,8.16,198,8.102,8.22,8.245,,32.91,,,
10:50AM_2020-11-09,8.13,8.13,8.12,8.12,300,8.078,8.212,8.21,8.415,31.91,,,
12:20PM_2020-11-09,8.11,8.11,8.11,8.11,100,8.095,8.159,8.202,8.379,31.65,,,
12:45PM_2020-11-09,7.98,7.98,7.98,7.98,100,8.083,8.091,8.141,8.346,28.42,,,
12:55PM_2020-11-09,7.995,7.995,7.995,7.995,100,8.074,8.062,8.082,8.313,29.31,,,
06:30AM_2020-11-10,8.02,8.02,8.02,8.02,200,8.064,8.063,8.057,8.281,30.87,,,
06:35AM_2020-11-10,7.8,7.8,7.8,7.8,288,8.004,8.035,8.036,8.238,25.55,,,
08:30AM_2020-11-10,7.99,8.0,7.99,8.0,200,7.984,8.029,8.031,8.205,36.3,-0.24,,
09:15AM_2020-11-10,8.14,8.15,8.14,8.15,2100,7.991,8.037,8.041,8.184,42.95,-0.22,,
09:20AM_2020-11-10,8.15,8.15,8.15,8.15,100,8.019,8.036,8.049,8.164,42.95,-0.2,,
