Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
09:20AM_2020-11-11,51.86,51.86,51.86,51.86,200,,,,,,,,
09:25AM_2020-11-11,51.81,51.83,51.79,51.79,858,,,,,,,,
09:30AM_2020-11-11,51.79,51.88,51.79,51.85,1516,,,,,,,,
09:35AM_2020-11-11,51.87,51.87,51.81,51.855,1322,,,,,,,,
09:40AM_2020-11-11,51.83,51.83,51.83,51.83,400,,,,,,,,
09:50AM_2020-11-11,51.81,51.83,51.8,51.83,1452,51.836,,,,,,,
09:55AM_2020-11-11,51.78,51.78,51.78,51.78,656,51.822,,,,,,,
10:00AM_2020-11-11,51.87,51.87,51.87,51.87,200,51.836,,,,,,,
10:05AM_2020-11-11,51.94,51.94,51.94,51.94,204,51.851,51.845,,,,,,
10:10AM_2020-11-11,52.0,52.0,52.0,52.0,400,51.875,51.861,51.86,,,,,
10:20AM_2020-11-11,52.0,52.0,52.0,52.0,844,51.903,51.884,51.874,,,,,
10:25AM_2020-11-11,51.96,51.96,51.96,51.96,454,51.925,51.896,51.892,,,,,
10:30AM_2020-11-11,51.94,51.94,51.78,51.78,1742,51.925,51.888,51.884,,,,,
10:35AM_2020-11-11,51.73,51.73,51.68,51.69,1220,51.895,51.872,51.868,,,,,
10:40AM_2020-11-11,51.635,51.66,51.635,51.66,402,51.848,51.853,51.851,,37.01,,,
10:45AM_2020-11-11,51.65,51.65,51.56,51.56,1018,51.775,51.829,51.824,,32.47,,,
10:50AM_2020-11-11,51.515,51.515,51.48,51.48,1000,51.688,51.786,51.794,,29.37,,,
10:55AM_2020-11-11,51.47,51.47,51.37,51.37,2058,51.59,51.722,51.744,,25.73,,,
11:00AM_2020-11-11,51.39,51.39,51.38,51.38,1832,51.523,51.653,51.688,,26.62,,,
11:05AM_2020-11-11,51.36,51.36,51.32,51.32,1366,51.462,51.578,51.62,51.74,24.7,,,
11:10AM_2020-11-11,51.365,51.365,51.365,51.365,1224,51.412,51.512,51.556,51.716,28.84,,,
11:15AM_2020-11-11,51.44,51.44,51.44,51.44,200,51.393,51.474,51.504,51.698,35.22,,,
11:20AM_2020-11-11,51.42,51.45,51.42,51.44,1200,51.386,51.446,51.47,51.678,35.22,,,
11:25AM_2020-11-11,51.35,51.35,51.3,51.3,1124,51.374,51.406,51.431,51.65,29.49,,,
11:35AM_2020-11-11,51.475,51.475,51.475,51.475,422,51.39,51.397,51.413,51.632,42.16,,,
11:45AM_2020-11-11,51.47,51.47,51.47,51.47,212,51.415,51.396,51.404,51.614,41.92,-0.19,,
