Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:25AM_2020-11-11,3.091,3.095,3.091,3.095,1790,,,,,,,,
11:30AM_2020-11-11,3.095,3.095,3.08,3.08,1944,,,,,,,,
11:40AM_2020-11-11,3.08,3.08,3.07,3.07,1000,,,,,,,,
11:45AM_2020-11-11,3.075,3.075,3.07,3.075,1200,,,,,,,,
11:50AM_2020-11-11,3.075,3.08,3.07,3.08,14716,,,,,,,,
11:55AM_2020-11-11,3.08,3.08,3.07,3.08,26654,3.08,,,,,,,
12:00PM_2020-11-11,3.075,3.08,3.075,3.075,3200,3.077,,,,,,,
12:05PM_2020-11-11,3.07,3.07,3.06,3.065,8700,3.074,,,,,,,
12:10PM_2020-11-11,3.065,3.065,3.06,3.06,940,3.072,3.076,,,,,,
12:15PM_2020-11-11,3.06,3.07,3.06,3.065,36600,3.071,3.072,3.074,,,,,
12:20PM_2020-11-11,3.065,3.08,3.065,3.075,15826,3.07,3.072,3.073,,,,,
12:25PM_2020-11-11,3.07,3.07,3.07,3.07,38946,3.068,3.072,3.072,,,,,
12:30PM_2020-11-11,3.065,3.07,3.065,3.07,1762,3.068,3.071,3.072,,,,,
12:35PM_2020-11-11,3.07,3.075,3.06,3.075,9592,3.069,3.071,3.072,,,,,
12:40PM_2020-11-11,3.075,3.09,3.075,3.08,17250,3.073,3.071,3.072,,41.18,,,
12:45PM_2020-11-11,3.0810000000000004,3.11,3.07,3.1,47068,3.078,3.073,3.074,,53.07,,,
12:50PM_2020-11-11,3.105,3.145,3.1,3.145,77924,3.09,3.082,3.081,,68.5,,,
12:55PM_2020-11-11,3.14,3.14,3.125,3.125,29694,3.099,3.089,3.087,,59.19,,,
05:00AM_2020-11-12,2.88,2.88,2.88,2.88,200,3.068,3.069,3.069,,21.18,,,
05:05AM_2020-11-12,2.87,2.87,2.87,2.87,200,3.033,3.046,3.049,3.062,20.6,,,
05:20AM_2020-11-12,2.91,2.91,2.91,2.91,200,3.005,3.028,3.033,3.053,29.0,,,
05:35AM_2020-11-12,2.97,2.97,2.97,2.97,200,2.983,3.017,3.023,3.047,39.36,,,
05:55AM_2020-11-12,3.0,3.0,3.0,3.0,200,2.959,3.009,3.016,3.044,43.77,,,
06:25AM_2020-11-12,3.03,3.03,3.03,3.03,200,2.943,3.003,3.011,3.041,47.86,,,
06:30AM_2020-11-12,3.05,3.06,2.93,2.985,26802,2.961,2.991,3.002,3.037,42.83,,,
06:35AM_2020-11-12,2.975,3.025,2.965,3.0,23152,2.983,2.974,2.992,3.033,44.91,-0.04,,
06:40AM_2020-11-12,3.005,3.005,2.965,2.965,24882,2.992,2.957,2.974,3.027,41.15,-0.04,,
06:45AM_2020-11-12,2.965,3.0,2.96,2.98,68762,2.993,2.968,2.959,3.023,43.34,-0.04,,
06:50AM_2020-11-12,2.9810000000000003,2.9810000000000003,2.98,2.98,904,2.99,2.98,2.969,3.019,43.34,-0.04,,
06:55AM_2020-11-12,2.99,3.0,2.99,2.991,4608,2.984,2.989,2.981,3.015,45.08,-0.03,,
07:00AM_2020-11-12,3.0,3.02,3.0,3.02,6200,2.989,2.995,2.992,3.012,49.48,-0.03,,
07:05AM_2020-11-12,3.01,3.01,3.01,3.01,200,2.991,2.996,2.996,3.009,48.05,-0.03,,
07:10AM_2020-11-12,3.015,3.025,3.01,3.025,3400,3.001,2.995,2.999,3.007,50.36,-0.02,,
07:15AM_2020-11-12,3.03,3.03,3.02,3.02,19395,3.008,2.999,2.998,3.004,49.57,-0.02,-0.03,0.01232425669246013
07:20AM_2020-11-12,3.03,3.03,3.0,3.0,15754,3.011,2.999,2.999,3.0,46.42,-0.02,-0.03,0.010613735862687754
07:25AM_2020-11-12,3.0,3.0,2.98,2.98,6068,3.009,3.001,2.997,2.994,43.45,-0.02,-0.03,0.007968938238727123
07:30AM_2020-11-12,2.99,2.99,2.985,2.985,10428,3.003,3.001,2.999,2.986,44.41,-0.02,-0.02,0.006454477455132942
07:35AM_2020-11-12,2.98,2.98,2.975,2.975,3914,2.998,3.001,2.999,2.979,42.84,-0.02,-0.02,0.00475590442462881
07:40AM_2020-11-12,2.975,2.995,2.975,2.995,5968,2.993,3.001,3.0,2.985,46.87,-0.02,-0.02,0.004934665655952488
07:45AM_2020-11-12,3.0,3.0,2.995,2.995,1400,2.988,2.998,3.001,2.991,46.87,-0.02,-0.02,0.0049931322958822535
07:50AM_2020-11-12,2.995,3.005,2.995,3.005,5296,2.989,2.998,2.999,2.996,48.96,-0.01,-0.02,0.00559993197821081
07:55AM_2020-11-12,3.005,3.01,3.005,3.01,6838,2.994,2.996,2.999,2.998,50.02,-0.01,-0.02,0.006186755049685702
08:00AM_2020-11-12,3.005,3.01,3.0,3.0010000000000003,3786,2.997,2.994,2.997,2.998,48.09,-0.01,-0.02,0.005822746773745471
08:05AM_2020-11-12,3.01,3.02,3.0,3.005,51458,3.002,2.995,2.995,2.996,49.03,-0.01,-0.02,0.005698216157142054
08:10AM_2020-11-12,3.0,3.005,2.995,3.0,46450,3.003,2.997,2.995,2.997,47.86,-0.01,-0.01,0.005142967237044525
