Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
08:35AM_2020-11-20,85.37,85.5,85.325,85.34,9039,,,,,,,,,
08:40AM_2020-11-20,85.37,85.38,84.96,85.02,24124,,,,,,,,,
08:45AM_2020-11-20,85.025,85.08,84.8,84.84,7081,,,,,,,,,
08:50AM_2020-11-20,84.84,84.88,84.71,84.74,25913,,,,,,,,,
08:55AM_2020-11-20,84.75,84.91,84.745,84.88,11318,,,,,,,,,
09:00AM_2020-11-20,84.86,84.92,84.73,84.815,11144,84.939,,,,,,,,
09:05AM_2020-11-20,84.86,85.09,84.83,85.09,11166,84.898,,,,,,,,
09:10AM_2020-11-20,85.09,85.17,85.07,85.1,7870,84.911,,,,,,,,
09:15AM_2020-11-20,85.115,85.145,85.075,85.13,5333,84.959,84.995,,,,,,,
09:20AM_2020-11-20,85.14,85.31,85.12,85.31,12294,85.054,84.992,85.027,,,,,,
09:25AM_2020-11-20,85.335,85.42,85.32,85.38,7047,85.138,85.032,85.03,,,,,,
09:30AM_2020-11-20,85.31,85.43,85.28,85.34,2478,85.225,85.087,85.063,,,,,,
09:35AM_2020-11-20,85.31,85.32,85.25,85.28,5691,85.257,85.147,85.107,,,,,,
09:40AM_2020-11-20,85.28,85.39,85.275,85.31,11804,85.292,85.195,85.164,,,,,,
09:45AM_2020-11-20,85.29,85.41,85.21,85.27,8855,85.315,85.246,85.202,,47.73,,,,
09:50AM_2020-11-20,85.2,85.26,85.16,85.205,7321,85.298,85.258,85.242,,45.65,,,,
09:55AM_2020-11-20,85.22,85.36,85.195,85.31,5070,85.286,85.282,85.264,,49.47,,,,
10:00AM_2020-11-20,85.28,85.3,85.04,85.09,9616,85.244,85.277,85.262,,42.7,,,,
10:05AM_2020-11-20,85.08,85.13,85.06,85.12,3083,85.218,85.256,85.261,,43.83,,,,
10:10AM_2020-11-20,85.135,85.335,85.11,85.3,3690,85.216,85.247,85.26,85.143,50.18,,,,0.0723
10:15AM_2020-11-20,85.29,85.29,85.2,85.23,2575,85.209,85.235,85.245,85.138,47.91,,,,0.0712
10:20AM_2020-11-20,85.21,85.225,85.11,85.145,7745,85.199,85.22,85.226,85.144,45.24,,,,0.0549
10:25AM_2020-11-20,85.16,85.27,85.16,85.21,2465,85.183,85.209,85.219,85.163,47.64,,,,0.0198
10:30AM_2020-11-20,85.24,85.32,85.23,85.32,215557,85.221,85.214,85.22,85.192,51.52,,,,0.0291
10:35AM_2020-11-20,85.31,85.31,85.21,85.26,8958,85.244,85.221,85.219,85.211,49.37,,,,0.0334
10:40AM_2020-11-20,85.265,85.28,85.23,85.24,4745,85.234,85.213,85.222,85.232,48.64,0.06,,,0.0022
10:45AM_2020-11-20,85.245,85.28,85.14,85.16,3564,85.223,85.221,85.207,85.235,45.74,0.05,,,-0.013
10:50AM_2020-11-20,85.15,85.22,85.11,85.21,3073,85.233,85.231,85.219,85.241,47.83,0.04,,,-0.0077
10:55AM_2020-11-20,85.18,85.2,85.11,85.2,2825,85.232,85.219,85.227,85.244,47.44,0.04,,,-0.0128
11:00AM_2020-11-20,85.235,85.34,85.21,85.32,6024,85.232,85.229,85.229,85.245,52.51,0.05,,,-0.0133
11:05AM_2020-11-20,85.32,85.375,85.31,85.355,3832,85.248,85.253,85.242,85.244,53.91,0.05,,,0.0038
11:10AM_2020-11-20,85.335,85.335,85.22,85.25,5746,85.249,85.257,85.252,85.239,49.23,0.05,,,0.0099
11:15AM_2020-11-20,85.25,85.26,85.18,85.19,6158,85.254,85.243,85.25,85.235,46.73,0.04,,,0.0194
11:20AM_2020-11-20,85.16,85.34,85.1,85.3,9982,85.269,85.247,85.248,85.234,51.58,0.04,0.05,-0.003844096690542642,0.0349
11:25AM_2020-11-20,85.34,85.465,85.33,85.46,11370,85.313,85.272,85.268,85.244,57.62,0.06,0.05,0.007947010586565287,0.0688
11:30AM_2020-11-20,85.43,85.55,85.39,85.54,10362,85.349,85.314,85.298,85.261,60.29,0.07,0.05,0.01958441963512541,0.0887
11:35AM_2020-11-20,85.55,85.565,85.45,85.45,5020,85.365,85.341,85.328,85.268,56.01,0.08,0.06,0.019621801696577672,0.0975
11:40AM_2020-11-20,85.48,85.49,85.275,85.42,9495,85.393,85.365,85.348,85.284,54.63,0.08,0.06,0.01617088971683333,0.1093
11:45AM_2020-11-20,85.44,85.48,85.375,85.445,6843,85.436,85.379,85.373,85.3,55.61,0.08,0.07,0.014187599901175213,0.1356
11:50AM_2020-11-20,85.47,85.54,85.445,85.445,17008,85.46,85.389,85.385,85.308,55.61,0.08,0.07,0.011600376549300212,0.1525
11:55AM_2020-11-20,85.42,85.45,85.33,85.33,8974,85.438,85.398,85.383,85.313,49.83,0.07,0.07,0.0014047749366372791,0.1258
12:00PM_2020-11-20,85.35,85.42,85.29,85.3,11800,85.398,85.41,85.388,85.32,48.41,0.06,0.07,-0.007603840828853403,0.0781
12:05PM_2020-11-20,85.27,85.34,85.25,85.27,3957,85.368,85.407,85.396,85.323,46.97,0.05,0.06,-0.015378899645284744,0.0451
12:10PM_2020-11-20,85.25,85.29,85.09,85.1,15607,85.315,85.367,85.376,85.312,39.77,0.02,0.06,-0.03087262874453256,0.0028
12:15PM_2020-11-20,85.07,85.07,84.93,84.98,23115,85.238,85.304,85.328,85.298,35.62,-0.0,0.04,-0.047130815803325364,-0.0607
12:20PM_2020-11-20,84.97,85.06,84.93,85.05,21849,85.172,85.26,85.279,85.289,39.58,-0.02,0.03,-0.050783092481967815,-0.1171
12:25PM_2020-11-20,85.03,85.09,84.985,84.985,28332,85.114,85.212,85.232,85.28,37.29,-0.04,0.02,-0.054842410048084336,-0.1658
12:30PM_2020-11-20,84.99,85.03,84.92,84.97,39125,85.059,85.159,85.187,85.268,36.76,-0.05,0.0,-0.055628176685379414,-0.2088
12:35PM_2020-11-20,84.99,85.07,84.96,85.02,28565,85.018,85.112,85.145,85.259,39.82,-0.06,-0.01,-0.05004601781893549,-0.2415
12:40PM_2020-11-20,84.98,85.0,84.95,84.995,25735,85.0,85.074,85.1,85.243,38.81,-0.07,-0.02,-0.045437452394258865,-0.2428
