Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:10AM_2020-11-10,39.19,39.19,38.95,39.1,635,,,,,,,,
11:15AM_2020-11-10,39.16,39.39,39.16,39.39,351,,,,,,,,
11:20AM_2020-11-10,39.36,39.36,39.36,39.36,100,,,,,,,,
11:25AM_2020-11-10,39.26,39.3,39.2,39.3,974,,,,,,,,
11:30AM_2020-11-10,39.195,39.34,39.195,39.34,370,,,,,,,,
11:35AM_2020-11-10,39.4,39.43,39.27,39.27,627,39.29,,,,,,,
11:40AM_2020-11-10,39.27,39.3,38.845,38.845,1386,39.25,,,,,,,
11:45AM_2020-11-10,38.65,38.845,38.48,38.845,3531,39.16,,,,,,,
11:50AM_2020-11-10,39.01,39.08,39.01,39.08,700,39.11,39.17,,,,,,
11:55AM_2020-11-10,39.02,39.02,39.02,39.02,100,39.07,39.16,39.16,,,,,
12:00PM_2020-11-10,39.12,39.12,39.1,39.1,367,39.03,39.13,39.16,,,,,
12:05PM_2020-11-10,39.175,39.175,39.175,39.175,184,39.01,39.11,39.13,,,,,
12:10PM_2020-11-10,39.2,39.21,39.12,39.19,503,39.07,39.1,39.12,,,,,
12:15PM_2020-11-10,39.22,39.22,39.07,39.07,934,39.11,39.07,39.09,,,,,
12:20PM_2020-11-10,39.125,39.15,39.1,39.1,922,39.11,39.05,39.07,,50.0,,,
12:25PM_2020-11-10,39.085,39.105,39.0,39.03,2018,39.11,39.07,39.05,,47.65,,,
12:30PM_2020-11-10,39.32,39.32,39.24,39.24,750,39.13,39.11,39.08,,54.55,,,
12:35PM_2020-11-10,39.245,39.245,39.2,39.2,1266,39.14,39.12,39.12,,53.11,,,
12:40PM_2020-11-10,39.22,39.26,39.19,39.19,900,39.14,39.14,39.13,,52.74,,,
12:45PM_2020-11-10,39.24,39.26,39.15,39.24,2711,39.17,39.16,39.15,39.15,54.46,,,
12:50PM_2020-11-10,39.2,39.26,39.12,39.16,2888,39.18,39.16,39.16,39.16,51.24,,,
12:55PM_2020-11-10,39.1,39.42,39.1,39.42,5936,39.24,39.18,39.18,39.16,59.61,,,
06:30AM_2020-11-11,41.71,42.88,41.53,42.765,1670,39.83,39.59,39.54,39.33,88.04,,,
06:35AM_2020-11-11,42.4,42.4,41.775,42.325,2103,40.35,39.95,39.87,39.48,80.05,,,
06:40AM_2020-11-11,42.31,43.799,42.31,43.799,2363,41.12,40.48,40.34,39.7,84.97,,,
06:45AM_2020-11-11,43.33,43.95,43.31,43.9,2663,41.89,41.0,40.82,39.93,85.24,1.41,,
06:50AM_2020-11-11,43.955,44.06,43.645,43.77,1343,42.66,41.51,41.28,40.18,83.18,1.51,,
06:55AM_2020-11-11,43.79,44.64,43.79,44.64,3617,43.53,42.11,41.82,40.47,85.67,1.65,,
07:00AM_2020-11-11,44.5,44.5,43.76,43.909,2426,43.72,42.63,42.29,40.71,75.54,1.67,,
07:05AM_2020-11-11,43.99,44.04,43.82,43.99,1697,44.0,43.17,42.77,40.96,75.88,1.68,,
07:10AM_2020-11-11,43.76,43.95,43.72,43.9,1788,44.02,43.67,43.24,41.2,74.63,1.66,,
07:15AM_2020-11-11,43.9,44.645,43.875,44.645,1557,44.14,43.88,43.76,41.47,77.87,1.68,,
07:20AM_2020-11-11,44.54,44.635,44.54,44.635,400,44.29,44.13,43.95,41.75,77.72,1.68,,
07:25AM_2020-11-11,44.705,45.17,44.705,45.01,1572,44.35,44.27,44.22,42.04,79.26,1.69,1.63,0.0648316844581478
07:30AM_2020-11-11,44.97,45.42,44.97,45.42,497,44.6,44.44,44.38,42.36,80.83,1.71,1.64,0.06893677303268553
07:35AM_2020-11-11,45.71,47.0,45.71,46.97,2934,45.1,44.79,44.69,42.76,85.32,1.83,1.68,0.1518338441880953
07:40AM_2020-11-11,46.98,46.98,46.02,46.02,2670,45.45,44.94,44.91,43.1,73.88,1.83,1.71,0.11988038253205513
07:45AM_2020-11-11,46.16,46.61,46.13,46.61,826,45.78,45.24,45.11,43.47,76.03,1.86,1.74,0.11562185583307127
07:50AM_2020-11-11,46.535,46.535,46.055,46.23,1033,46.04,45.49,45.34,43.82,71.93,1.82,1.76,0.06677855733108373
07:55AM_2020-11-11,46.49,46.625,46.11,46.11,896,46.23,45.74,45.55,44.16,70.63,1.77,1.76,0.008991224783267082
08:00AM_2020-11-11,46.14,46.14,45.75,45.75,601,46.28,45.86,45.74,44.49,66.74,1.68,1.74,-0.06670947970480845
08:05AM_2020-11-11,46.1,46.595,46.1,46.595,313,46.22,46.08,45.94,44.85,70.8,1.65,1.72,-0.07261725336812486
08:10AM_2020-11-11,46.77,46.77,46.2,46.46,751,46.29,46.24,46.12,45.03,69.35,1.6,1.7,-0.0968462759786144
08:15AM_2020-11-11,46.75,46.75,46.65,46.65,200,46.3,46.38,46.28,45.25,70.27,1.56,1.67,-0.11032710409213076
08:20AM_2020-11-11,46.47,46.52,45.945,46.04,1176,46.27,46.27,46.34,45.36,63.62,1.46,1.63,-0.1671671581033669
08:25AM_2020-11-11,46.4,46.4,45.97,45.97,203,46.24,46.27,46.24,45.47,62.88,1.36,1.58,-0.2133617391152023
08:30AM_2020-11-11,45.905,45.905,45.75,45.9,634,46.27,46.19,46.23,45.57,62.11,1.26,1.51,-0.24997605305645343
08:35AM_2020-11-11,46.0,46.0,45.85,45.85,1089,46.14,46.15,46.16,45.63,61.53,1.17,1.45,-0.27682015909316227
08:40AM_2020-11-11,46.17,46.35,46.13,46.35,510,46.13,46.17,46.17,45.76,65.06,1.12,1.38,-0.260402631462199
08:45AM_2020-11-11,46.16,46.16,46.16,46.16,100,46.05,46.22,46.17,45.86,62.7,1.05,1.31,-0.26117086165560854
08:50AM_2020-11-11,45.81,45.89,45.4,45.89,1800,46.02,46.14,46.19,45.96,59.41,0.97,1.25,-0.2771806718959693
08:55AM_2020-11-11,45.86,45.86,45.805,45.805,293,45.99,46.07,46.11,46.02,58.38,0.88,1.17,-0.2894663298981184
09:00AM_2020-11-11,45.52,45.54,45.11,45.35,998,45.9,45.92,46.0,46.06,53.03,0.77,1.09,-0.32172651022630117
09:05AM_2020-11-11,45.52,45.52,44.92,45.32,2267,45.81,45.84,45.86,46.07,52.69,0.67,1.01,-0.33695941529951146
09:10AM_2020-11-11,45.02,45.25,45.02,45.24,963,45.63,45.76,45.78,46.06,51.73,0.58,0.92,-0.34314430458446243
09:15AM_2020-11-11,45.245,45.28,45.19,45.205,1693,45.47,45.69,45.71,45.98,51.29,0.5,0.84,-0.33967996059326944
09:20AM_2020-11-11,45.205,45.49,45.17,45.49,1493,45.4,45.65,45.67,45.95,54.67,0.45,0.76,-0.3091534189958369
09:25AM_2020-11-11,45.9,45.9,45.9,45.9,361,45.42,45.6,45.67,45.91,59.07,0.44,0.7,-0.2545832368195615
09:30AM_2020-11-11,45.99,46.4,45.99,46.4,406,45.59,45.62,45.68,45.92,63.7,0.47,0.65,-0.18147978921661412
09:35AM_2020-11-11,46.66,46.79,46.48,46.615,1235,45.81,45.7,45.72,45.95,65.51,0.5,0.62,-0.11836665845314442
09:40AM_2020-11-11,46.61,46.91,46.61,46.91,360,46.09,45.83,45.82,46.0,67.87,0.55,0.61,-0.05944856468103987
09:45AM_2020-11-11,46.94,47.4,46.94,47.31,1122,46.44,46.04,45.97,46.04,70.79,0.61,0.61,0.0005879273481592673
09:50AM_2020-11-11,46.785,46.95,46.63,46.63,737,46.63,46.19,46.1,46.05,60.69,0.59,0.6,-0.010746219308280458
09:55AM_2020-11-11,46.35,46.35,46.0,46.07,2442,46.66,46.28,46.18,46.02,53.87,0.53,0.59,-0.05853733245165771
10:00AM_2020-11-11,46.2,46.2,46.05,46.12,975,46.61,46.38,46.26,46.02,54.36,0.48,0.57,-0.08761148342786751
10:05AM_2020-11-11,46.1,46.935,45.895,46.9,1132,46.66,46.54,46.43,46.07,61.31,0.5,0.55,-0.05664351120897504
10:10AM_2020-11-11,46.66,46.84,46.51,46.84,1241,46.64,46.64,46.57,46.12,60.55,0.5,0.54,-0.043143427243467314
10:15AM_2020-11-11,46.885,47.18,46.885,47.18,400,46.62,46.73,46.7,46.18,63.33,0.52,0.54,-0.015674175810485358
10:20AM_2020-11-11,47.015,47.015,47.015,47.015,123,46.69,46.77,46.76,46.22,61.08,0.52,0.54,-0.013081499998228052
10:25AM_2020-11-11,46.5,46.5,46.5,46.5,308,46.76,46.73,46.75,46.23,54.55,0.48,0.52,-0.048523259147520204
10:30AM_2020-11-11,46.6,46.7,46.5,46.7,3839,46.86,46.66,46.73,46.27,56.5,0.45,0.51,-0.06020612574945794
10:35AM_2020-11-11,46.76,46.93,46.74,46.84,1102,46.85,46.68,46.68,46.33,57.85,0.43,0.49,-0.06007678150667606
10:40AM_2020-11-11,46.765,46.87,46.685,46.87,657,46.85,46.77,46.7,46.4,58.16,0.42,0.48,-0.05943356866852928
10:45AM_2020-11-11,47.31,47.64,47.09,47.09,2087,46.84,46.88,46.81,46.49,60.4,0.42,0.47,-0.0462411739793977
10:50AM_2020-11-11,47.08,47.225,46.73,46.73,900,46.79,46.86,46.87,46.57,55.19,0.39,0.45,-0.06278361437824842
10:55AM_2020-11-11,46.81,46.98,46.79,46.98,501,46.87,46.88,46.87,46.65,57.9,0.38,0.44,-0.058024219804202304
11:00AM_2020-11-11,47.015,47.24,47.015,47.24,200,46.96,46.88,46.91,46.74,60.58,0.39,0.43,-0.039392317510168584
11:05AM_2020-11-11,47.395,47.395,47.225,47.225,237,47.02,46.91,46.92,46.81,60.34,0.39,0.42,-0.030502185728390363
11:10AM_2020-11-11,47.2,47.2,47.1,47.1,269,47.06,46.97,46.93,46.84,58.28,0.38,0.41,-0.03513446474119858
11:15AM_2020-11-11,47.14,47.2,47.025,47.025,501,47.05,47.01,46.98,46.86,57.03,0.35,0.4,-0.04472853540409072
11:20AM_2020-11-11,47.05,47.07,47.03,47.07,551,47.11,47.04,47.02,46.87,57.62,0.34,0.39,-0.04916955887182495
11:25AM_2020-11-11,47.035,47.38,46.98,47.38,1429,47.17,47.09,47.07,46.88,61.53,0.35,0.38,-0.03312419811779299
11:30AM_2020-11-11,47.32,47.32,47.32,47.32,100,47.19,47.12,47.12,46.91,60.37,0.34,0.37,-0.028616531809890766
11:35AM_2020-11-11,47.47,48.12,47.47,48.12,965,47.34,47.27,47.22,47.01,68.83,0.4,0.38,0.023371645572743904
11:40AM_2020-11-11,48.305,49.35,48.305,49.12,1761,47.67,47.51,47.46,47.16,75.79,0.52,0.41,0.11510464533756076
11:45AM_2020-11-11,49.37,49.65,49.345,49.35,1530,48.06,47.75,47.69,47.28,77.06,0.63,0.45,0.17753818644749297
11:50AM_2020-11-11,49.38,49.83,49.12,49.12,2063,48.4,47.96,47.88,47.4,72.94,0.69,0.5,0.18857375431055112
11:55AM_2020-11-11,49.09,49.09,48.625,48.89,1009,48.65,48.15,48.05,47.48,68.97,0.71,0.54,0.1663857678532603
12:00PM_2020-11-11,48.83,48.84,48.325,48.325,2666,48.82,48.3,48.17,47.55,60.3,0.67,0.57,0.10277888790894574
12:05PM_2020-11-11,48.2,48.985,48.2,48.89,3031,48.95,48.5,48.36,47.67,65.03,0.68,0.59,0.08842553193472791
