Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
08:55AM_2020-11-09,1.01,1.01,1.01,1.01,100,,,,,,,,
09:15AM_2020-11-09,1.015,1.015,1.01,1.01,800,,,,,,,,
11:10AM_2020-11-09,1.0,1.0,1.0,1.0,100,,,,,,,,
11:15AM_2020-11-09,1.0,1.0,1.0,1.0,200,,,,,,,,
11:40AM_2020-11-09,1.01,1.01,1.01,1.01,395,,,,,,,,
11:45AM_2020-11-09,1.0,1.0,1.0,1.0,100,1.005,,,,,,,
12:40PM_2020-11-09,0.975,0.975,0.975,0.975,100,0.999,,,,,,,
12:45PM_2020-11-09,0.975,0.975,0.975,0.975,500,0.993,,,,,,,
12:55PM_2020-11-09,0.965,0.965,0.965,0.965,134,0.987,0.994,,,,,,
06:40AM_2020-11-10,0.9752,0.9752,0.9752,0.9752,200,0.983,0.99,0.992,,,,,
06:45AM_2020-11-10,0.9757,0.9772,0.9757,0.9772,700,0.978,0.986,0.989,,,,,
06:50AM_2020-11-10,0.98,0.988,0.98,0.9848,1405,0.975,0.985,0.986,,,,,
06:55AM_2020-11-10,0.9851,0.9866,0.9851,0.9866,200,0.977,0.983,0.985,,,,,
07:05AM_2020-11-10,1.01,1.015,1.01,1.01,300,0.983,0.983,0.986,,,,,
07:10AM_2020-11-10,0.9983,0.9983,0.9983,0.9983,100,0.989,0.983,0.985,,45.19,,,
07:15AM_2020-11-10,0.9938,0.9938,0.9924,0.9924,300,0.992,0.985,0.984,,42.95,,,
07:20AM_2020-11-10,0.9805,0.9809,0.9805,0.9809,200,0.992,0.986,0.985,,38.9,,,
07:25AM_2020-11-10,0.983,1.0,0.983,1.0,1000,0.995,0.989,0.987,,47.72,,,
07:50AM_2020-11-10,0.998,0.998,0.998,0.998,200,0.997,0.992,0.99,,46.96,,,
08:00AM_2020-11-10,0.9998,0.9998,0.9998,0.9998,500,0.995,0.995,0.993,0.992,47.77,,,
08:15AM_2020-11-10,1.005,1.005,1.005,1.005,10000,0.996,0.997,0.996,0.992,50.14,,,
08:35AM_2020-11-10,1.005,1.005,1.005,1.005,100,0.998,0.999,0.998,0.992,50.14,,,
09:00AM_2020-11-10,1.005,1.005,1.005,1.005,100,1.002,0.998,0.999,0.992,50.14,,,
09:05AM_2020-11-10,1.005,1.005,1.005,1.005,100,1.003,0.999,0.999,0.992,50.14,,,
09:40AM_2020-11-10,0.9963,0.9963,0.9963,0.9963,100,1.003,0.999,0.999,0.992,45.49,,,
09:45AM_2020-11-10,1.0042,1.0042,1.0042,1.0042,603,1.003,1.002,1.0,0.992,50.02,0.0,,
10:35AM_2020-11-10,1.0,1.0,1.0,1.0,100,1.003,1.002,1.002,0.993,47.75,0.0,,
11:00AM_2020-11-10,1.005,1.01,1.005,1.01,400,1.003,1.003,1.003,0.995,53.2,0.01,,
11:10AM_2020-11-10,1.005,1.005,1.005,1.005,200,1.003,1.004,1.004,0.997,50.37,0.0,,
12:20PM_2020-11-10,1.005,1.005,1.005,1.005,100,1.003,1.004,1.004,0.998,50.37,0.0,,
12:30PM_2020-11-10,1.005,1.005,1.005,1.005,600,1.005,1.004,1.004,1.0,50.37,0.0,,
12:55PM_2020-11-10,1.005,1.005,1.005,1.005,100,1.005,1.004,1.004,1.001,50.37,0.0,,
07:25AM_2020-11-11,0.9968,0.9968,0.9968,0.9968,250,1.004,1.003,1.003,1.001,45.08,0.0,,
07:50AM_2020-11-11,0.9855,0.9855,0.9853,0.9853,3100,1.0,1.002,1.001,1.0,38.91,0.0,0.0,-0.0023282095986627803
07:55AM_2020-11-11,0.9855,0.9855,0.9855,0.9855,2090,0.997,1.0,1.0,0.999,39.07,0.0,0.0,-0.002883969990967403
08:00AM_2020-11-11,0.9889,0.9889,0.9889,0.9889,200,0.994,0.999,0.999,0.999,41.79,0.0,0.0,-0.0028974210331083033
08:10AM_2020-11-11,0.9921,0.9944,0.9918,0.9944,1737,0.993,0.997,0.998,1.0,46.0,-0.0,0.0,-0.002429637052349064
08:15AM_2020-11-11,0.9956,0.9956,0.9956,0.9956,600,0.991,0.996,0.997,1.0,46.9,-0.0,0.0,-0.0019536246116642697
08:20AM_2020-11-11,0.9955,0.9957,0.9955,0.9957,2800,0.991,0.995,0.996,1.0,46.98,-0.0,0.0,-0.0015631548149555984
08:25AM_2020-11-11,0.996,0.996,0.996,0.996,100,0.993,0.994,0.995,0.999,47.23,-0.0,0.0,-0.0012304442834382688
09:05AM_2020-11-11,0.995,0.995,0.9902,0.9902,200,0.993,0.992,0.993,0.999,42.93,-0.0,0.0,-0.0013378606940728666
09:10AM_2020-11-11,0.9915,0.9915,0.9915,0.9915,100,0.994,0.991,0.992,0.998,44.16,-0.0,0.0,-0.0012593545313812084
09:25AM_2020-11-11,0.9927,0.9929,0.9927,0.9929,5700,0.994,0.992,0.992,0.997,45.52,-0.0,0.0,-0.0010591790343209796
10:00AM_2020-11-11,1.01,1.01,1.01,1.01,700,0.996,0.995,0.994,0.998,58.73,0.0,0.0,0.0002111143192709255
