Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:40AM_2020-11-10,188.15,189.05,187.9,188.64,37501,,,,,,,,
11:45AM_2020-11-10,188.55,188.86,188.51,188.58,17784,,,,,,,,
11:50AM_2020-11-10,188.55,188.92,187.92,188.0,13669,,,,,,,,
11:55AM_2020-11-10,188.12,188.42,187.23,187.53,17724,,,,,,,,
12:00PM_2020-11-10,187.46,187.95,187.37,187.79,17465,,,,,,,,
12:05PM_2020-11-10,187.82,188.33,187.8,188.0,17301,188.09,,,,,,,
12:10PM_2020-11-10,187.99,188.26,187.7,187.73,16374,187.94,,,,,,,
12:15PM_2020-11-10,187.78,188.75,187.78,188.43,14624,187.91,,,,,,,
12:20PM_2020-11-10,188.53,188.95,187.83,187.95,31004,187.91,188.07,,,,,,
12:25PM_2020-11-10,187.9,188.35,187.72,188.2,11671,188.02,188.02,188.08,,,,,
12:30PM_2020-11-10,188.24,188.31,187.94,188.0,21393,188.05,187.96,188.02,,,,,
12:35PM_2020-11-10,188.065,188.12,187.6,187.6,24462,187.99,187.91,187.92,,,,,
12:40PM_2020-11-10,187.755,188.34,187.615,188.13,22210,188.05,187.98,187.94,,,,,
12:45PM_2020-11-10,188.14,188.88,188.11,188.8,37460,188.11,188.09,188.06,,,,,
12:50PM_2020-11-10,188.85,189.63,188.43,188.485,65346,188.2,188.15,188.13,,48.56,,,
12:55PM_2020-11-10,188.43,188.72,188.12,188.72,83672,188.29,188.26,188.2,,50.87,,,
03:15PM_2020-11-10,192.02,192.02,192.02,192.02,400,188.96,188.66,188.63,,70.71,,,
05:00AM_2020-11-11,192.04,192.04,192.04,192.04,202,189.7,189.11,188.99,,70.79,,,
05:05AM_2020-11-11,191.54,191.54,191.54,191.54,230,190.27,189.48,189.35,,66.11,,,
06:05AM_2020-11-11,190.34,190.34,190.26,190.34,1000,190.52,189.74,189.57,188.83,56.46,,,
06:15AM_2020-11-11,189.7,189.7,189.7,189.7,200,190.73,189.98,189.74,188.88,52.1,,,
06:20AM_2020-11-11,190.56,190.56,190.56,190.56,400,191.03,190.24,190.03,188.98,56.92,,,
06:30AM_2020-11-11,189.71,189.75,185.21,185.21,60427,189.9,189.85,189.74,188.84,33.99,,,
06:35AM_2020-11-11,185.24,186.1,184.75,185.92,105952,188.88,189.56,189.45,188.76,37.59,,,
06:40AM_2020-11-11,186.12,186.37,185.29,185.75,62558,187.91,189.23,189.18,188.66,37.07,,,
06:45AM_2020-11-11,185.75,188.01,185.6,187.9,173765,187.51,188.77,189.1,188.65,47.05,-0.35,,
06:50AM_2020-11-11,187.905,188.48,187.68,188.19,124866,187.26,188.35,188.72,188.67,48.24,-0.32,,
06:55AM_2020-11-11,188.12,188.58,187.36,187.75,56809,186.79,187.92,188.29,188.64,46.53,-0.33,,
07:00AM_2020-11-11,187.63,187.8,186.54,187.47,49645,187.16,187.61,187.88,188.62,45.42,-0.36,,
07:05AM_2020-11-11,187.38,188.78,187.32,188.645,68852,187.62,187.49,187.71,188.64,50.71,-0.28,,
07:10AM_2020-11-11,188.58,189.96,188.51,189.56,44293,188.25,187.38,187.7,188.72,54.42,-0.14,,
07:15AM_2020-11-11,189.46,189.94,189.06,189.09,20608,188.45,187.81,187.55,188.79,52.24,-0.07,,
07:20AM_2020-11-11,188.96,188.96,186.62,186.8,23012,188.22,187.91,187.71,188.72,43.2,-0.2,,
07:25AM_2020-11-11,186.92,188.0,186.92,187.42,98915,188.16,188.09,187.86,188.66,45.93,-0.25,-0.25,0.008918301950002538
07:30AM_2020-11-11,187.485,187.68,186.95,187.26,46730,188.13,188.02,188.01,188.59,45.32,-0.29,-0.26,-0.030397182442392312
07:35AM_2020-11-11,187.3,187.3,186.71,187.14,15798,187.88,187.9,187.93,188.52,44.84,-0.34,-0.28,-0.05871086457946695
07:40AM_2020-11-11,187.43,187.53,186.26,186.26,11853,187.33,187.74,187.74,188.23,41.4,-0.44,-0.31,-0.12701219076454873
07:45AM_2020-11-11,186.5,186.78,186.1,186.38,35472,186.88,187.62,187.6,187.94,42.05,-0.5,-0.35,-0.15268937887593875
07:50AM_2020-11-11,186.35,186.53,185.76,185.76,18382,186.7,187.3,187.43,187.66,39.6,-0.59,-0.4,-0.19718160362394138
07:55AM_2020-11-11,185.77,186.3,185.525,185.56,26196,186.39,186.85,187.12,187.42,38.81,-0.68,-0.45,-0.22388153732291216
08:00AM_2020-11-11,185.54,186.93,185.54,186.87,26347,186.33,186.61,186.85,187.27,46.34,-0.63,-0.49,-0.14115500936743658
08:05AM_2020-11-11,186.89,187.17,186.6,186.82,38254,186.28,186.61,186.63,187.09,46.11,-0.59,-0.51,-0.08064905845729875
08:10AM_2020-11-11,186.825,186.84,185.85,186.075,17342,186.24,186.46,186.55,187.13,42.66,-0.61,-0.53,-0.0814118175184958
08:15AM_2020-11-11,186.07,186.18,185.64,186.18,24822,186.21,186.34,186.43,187.14,43.3,-0.61,-0.54,-0.06610606368216954
08:20AM_2020-11-11,186.2,186.38,185.575,185.715,21202,186.2,186.18,186.28,187.14,41.11,-0.64,-0.56,-0.07775662945317607
08:25AM_2020-11-11,185.665,185.775,185.37,185.705,48994,186.23,186.12,186.13,187.03,41.06,-0.66,-0.58,-0.07647789208995115
