Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:30AM_2020-11-11,266.19,266.34,265.91,266.18,26872,,,,,,,,
11:35AM_2020-11-11,266.14,266.25,265.6,265.7,54262,,,,,,,,
11:40AM_2020-11-11,265.72,266.06,265.4,265.99,26739,,,,,,,,
11:45AM_2020-11-11,265.945,266.16,265.53,265.61,43489,,,,,,,,
11:50AM_2020-11-11,265.63,265.63,265.17,265.21,39557,,,,,,,,
11:55AM_2020-11-11,265.18,265.37,265.06,265.2,36611,265.648,,,,,,,
12:00PM_2020-11-11,265.25,265.73,265.09,265.53,46298,265.54,,,,,,,
12:05PM_2020-11-11,265.55,266.18,265.4,266.16,25215,265.617,,,,,,,
12:10PM_2020-11-11,266.14,266.14,265.33,265.92,21404,265.605,265.722,,,,,,
12:15PM_2020-11-11,265.685,265.89,265.32,265.81,29138,265.638,265.681,265.731,,,,,
12:20PM_2020-11-11,265.79,265.81,265.11,265.135,45864,265.626,265.618,265.626,,,,,
12:25PM_2020-11-11,265.15,265.42,265.05,265.05,42067,265.601,265.514,265.562,,,,,
12:30PM_2020-11-11,265.06,265.37,265.05,265.18,59981,265.542,265.466,265.48,,,,,
12:35PM_2020-11-11,265.15,265.34,265.1,265.23,35615,265.388,265.468,265.442,,,,,
12:40PM_2020-11-11,265.2,265.34,265.17,265.21,43136,265.269,265.469,265.442,,37.34,,,
12:45PM_2020-11-11,265.21,265.76,265.155,265.69,49762,265.249,265.487,265.492,,44.79,,,
12:50PM_2020-11-11,265.77,266.16,265.49,265.56,99372,265.32,265.421,265.495,,43.29,,,
12:55PM_2020-11-11,265.53,266.45,265.12,265.72,314648,265.432,265.398,265.451,,45.7,,,
05:25AM_2020-11-12,269.19,269.25,269.19,269.25,764,266.11,265.781,265.784,,73.0,,,
05:45AM_2020-11-12,270.41,270.41,270.41,270.41,200,266.973,266.367,266.244,265.987,77.07,,,
06:00AM_2020-11-12,270.13,270.13,270.13,270.13,356,267.793,266.931,266.743,266.185,74.16,,,
06:25AM_2020-11-12,272.35,272.35,272.35,272.35,904,268.903,267.728,267.473,266.517,80.46,,,
06:30AM_2020-11-12,271.03,271.15,267.36,269.05,159491,269.485,268.152,267.86,266.67,57.87,,,
06:35AM_2020-11-12,269.17,269.42,267.66,268.48,90316,269.945,268.516,268.185,266.814,55.0,,,
06:40AM_2020-11-12,267.95,268.955,267.67,268.48,60095,269.817,268.826,268.512,266.977,55.0,,,
06:45AM_2020-11-12,268.43,268.58,266.62,266.655,71739,269.191,268.947,268.609,267.05,46.44,1.31,,
06:50AM_2020-11-12,266.6,267.53,266.34,267.2,73175,268.702,269.112,268.773,267.134,48.99,1.15,,
06:55AM_2020-11-12,267.31,268.1,267.04,267.8,82386,267.944,268.951,268.981,267.216,51.72,1.06,,
07:00AM_2020-11-12,267.68,267.72,266.55,266.91,135401,267.587,268.562,268.747,267.265,47.65,0.9,,
07:05AM_2020-11-12,266.93,267.3,266.58,266.76,70554,267.301,268.187,268.382,267.313,46.98,0.75,,
07:10AM_2020-11-12,266.769,267.485,266.08,267.2,98509,267.087,267.615,268.089,267.416,49.24,0.67,,
07:15AM_2020-11-12,267.17,268.09,266.94,267.875,32373,267.291,267.484,267.641,267.557,52.57,0.64,,
07:20AM_2020-11-12,267.84,268.04,267.13,267.13,37224,267.279,267.334,267.449,267.654,48.76,0.56,,
07:25AM_2020-11-12,267.14,268.27,266.81,268.18,31877,267.342,267.301,267.419,267.802,53.84,0.57,0.85,-0.273900358944243
07:30AM_2020-11-12,268.16,268.7,267.9,268.16,31965,267.551,267.468,267.387,267.95,53.73,0.57,0.79,-0.21836896877564171
07:35AM_2020-11-12,268.185,268.62,268.0,268.17,25111,267.786,267.576,267.539,268.074,53.78,0.57,0.75,-0.17869547603078717
07:40AM_2020-11-12,268.18,269.19,268.18,269.09,25150,268.101,267.719,267.728,268.25,58.29,0.63,0.72,-0.09255979900931788
07:45AM_2020-11-12,269.25,269.4,268.1,268.1,19949,268.138,267.852,267.758,268.369,52.37,0.59,0.7,-0.10349867491416598
07:50AM_2020-11-12,268.14,268.78,268.09,268.48,24566,268.363,268.043,267.915,268.33,54.29,0.59,0.68,-0.08704247215007588
07:55AM_2020-11-12,268.57,268.6,267.93,268.0,36798,268.333,268.132,268.039,268.21,51.47,0.54,0.65,-0.10896302963092386
08:00AM_2020-11-12,268.15,268.73,268.15,268.42,20650,268.377,268.192,268.161,268.124,53.73,0.53,0.63,-0.0961040388853428
08:05AM_2020-11-12,268.11,268.515,267.29,267.29,21847,268.23,268.21,268.102,267.872,47.33,0.42,0.58,-0.16081832901958204
08:10AM_2020-11-12,267.32,267.51,266.68,267.04,24661,267.888,268.083,268.093,267.771,46.02,0.32,0.53,-0.21423553707939358
08:15AM_2020-11-12,266.87,267.03,266.12,266.85,117633,267.68,267.938,267.96,267.69,45.01,0.21,0.47,-0.2534543886880362
08:20AM_2020-11-12,266.955,267.53,266.84,267.2,29585,267.467,267.83,267.864,267.626,47.32,0.16,0.41,-0.2466788562517495
08:25AM_2020-11-12,267.0,267.45,266.8,267.33,15195,267.355,267.634,267.78,267.659,48.19,0.13,0.35,-0.22490777459013445
08:30AM_2020-11-12,267.26,267.26,266.38,266.5,21936,267.035,267.457,267.521,267.624,43.27,0.03,0.29,-0.2556313962143678
08:35AM_2020-11-12,266.54,266.59,266.13,266.46,22329,266.897,267.232,267.357,267.557,43.04,-0.05,0.22,-0.26664850777606164
08:40AM_2020-11-12,266.06,266.16,265.47,265.475,105417,266.636,266.952,267.057,267.486,37.77,-0.19,0.14,-0.32443637183707247
08:45AM_2020-11-12,265.475,266.29,265.36,265.65,47973,266.436,266.644,266.822,267.43,39.2,-0.28,0.05,-0.3337419559939966
08:50AM_2020-11-12,265.65,266.7,265.42,266.7,31117,266.352,266.578,266.65,267.405,47.04,-0.26,-0.01,-0.25557085099947857
08:55AM_2020-11-12,266.75,266.79,266.07,266.07,16140,266.142,266.471,266.528,267.315,43.42,-0.3,-0.07,-0.23330008799282714
09:00AM_2020-11-12,266.07,266.31,266.02,266.195,15596,266.092,266.398,266.443,267.268,44.33,-0.32,-0.12,-0.19851997229750115
09:05AM_2020-11-12,266.195,266.54,266.195,266.25,12926,266.057,266.292,266.383,267.172,44.76,-0.32,-0.16,-0.16173723711344568
09:10AM_2020-11-12,265.98,266.97,265.98,266.82,22308,266.281,266.236,266.345,267.104,49.08,-0.27,-0.18,-0.0923927818443899
09:15AM_2020-11-12,266.77,267.16,266.74,266.785,13466,266.47,266.267,266.291,267.035,48.82,-0.24,-0.19,-0.044673526953631526
09:20AM_2020-11-12,266.75,266.97,266.58,266.6,8968,266.453,266.283,266.301,266.911,47.43,-0.22,-0.2,-0.022480880472108694
09:25AM_2020-11-12,266.57,266.6,266.2,266.2,12069,266.475,266.363,266.275,266.816,44.49,-0.24,-0.21,-0.031120752055931677
09:30AM_2020-11-12,266.39,266.46,266.1,266.37,11112,266.504,266.443,266.364,266.71,46.02,-0.23,-0.21,-0.02218593342773109
09:35AM_2020-11-12,266.38,267.02,266.38,266.77,18249,266.591,266.451,266.476,266.649,49.56,-0.2,-0.21,0.01202461149861514
09:40AM_2020-11-12,266.77,267.11,266.405,266.405,11066,266.522,266.488,266.447,266.548,46.56,-0.19,-0.2,0.011436199358625443
09:45AM_2020-11-12,266.25,266.26,265.15,265.15,22063,266.249,266.372,266.355,266.441,38.04,-0.29,-0.22,-0.06775646557534992
09:50AM_2020-11-12,265.15,265.7,264.61,265.595,23217,266.082,266.299,266.295,266.369,42.09,-0.33,-0.24,-0.08342088380680363
09:55AM_2020-11-12,265.76,266.02,264.85,266.02,26121,266.052,266.211,266.272,266.327,45.73,-0.32,-0.26,-0.059532093271804976
10:00AM_2020-11-12,265.88,266.045,265.56,265.88,15817,265.97,266.11,266.178,266.261,44.73,-0.32,-0.27,-0.048025702003411386
10:05AM_2020-11-12,265.82,265.83,265.26,265.41,25278,265.743,265.978,266.04,266.165,41.46,-0.35,-0.29,-0.06583391152251783
10:10AM_2020-11-12,265.445,265.47,264.76,265.33,46869,265.564,265.881,265.913,266.107,40.91,-0.38,-0.3,-0.07604347143723111
10:15AM_2020-11-12,265.23,265.23,264.61,264.975,20751,265.535,265.726,265.791,266.032,38.48,-0.43,-0.33,-0.09833168208547266
10:20AM_2020-11-12,264.96,265.29,264.17,264.3,20937,265.319,265.452,265.584,265.974,34.3,-0.51,-0.37,-0.14721970680711832
10:25AM_2020-11-12,264.129,264.36,263.83,263.99,19672,264.981,265.183,265.306,265.891,32.55,-0.6,-0.41,-0.1865881978416929
10:30AM_2020-11-12,263.92,264.52,263.91,264.365,16976,264.728,265.096,265.102,265.774,36.75,-0.63,-0.46,-0.1737858962709361
10:35AM_2020-11-12,264.28,264.77,263.94,264.66,22274,264.603,264.992,265.053,265.703,39.92,-0.62,-0.49,-0.13366439030905386
10:40AM_2020-11-12,264.53,264.73,264.09,264.24,16794,264.422,264.794,264.917,265.606,37.07,-0.64,-0.52,-0.12384795338249699
10:45AM_2020-11-12,264.295,264.45,264.01,264.16,12807,264.286,264.603,264.731,265.501,36.54,-0.66,-0.55,-0.11156046022952282
10:50AM_2020-11-12,264.275,264.95,263.9,264.935,23750,264.392,264.551,264.637,265.407,44.84,-0.6,-0.56,-0.04354991618199333
10:55AM_2020-11-12,265.01,265.02,264.42,264.68,26997,264.507,264.478,264.564,265.302,42.85,-0.57,-0.56,-0.00981140313366946
11:00AM_2020-11-12,264.76,265.27,264.6,265.13,19183,264.634,264.496,264.544,265.228,47.29,-0.5,-0.55,0.045691251403501165
11:05AM_2020-11-12,264.85,264.96,264.1,264.6,6720,264.624,264.529,264.506,265.148,43.05,-0.49,-0.54,0.049280257174112885
11:10AM_2020-11-12,264.47,264.53,263.93,263.98,13315,264.581,264.528,264.474,265.029,38.68,-0.52,-0.53,0.014286742601264502
11:15AM_2020-11-12,263.96,264.1,263.84,264.01,7583,264.556,264.488,264.476,264.891,39.0,-0.54,-0.54,-0.0016062112920677274
11:20AM_2020-11-12,264.0,264.02,263.56,263.62,10142,264.337,264.373,264.402,264.752,36.33,-0.57,-0.54,-0.031493926808920936
11:25AM_2020-11-12,263.55,264.0,263.4,263.47,15701,264.135,264.287,264.283,264.668,35.32,-0.61,-0.56,-0.05319850400727577
11:30AM_2020-11-12,263.62,263.705,263.22,263.57,22386,263.875,264.222,264.216,264.566,36.58,-0.62,-0.57,-0.052560592733498446
11:35AM_2020-11-12,263.58,263.95,263.58,263.93,14242,263.763,264.11,264.193,264.462,41.03,-0.6,-0.57,-0.02123989407903004
11:40AM_2020-11-12,263.95,264.06,263.69,263.88,10284,263.747,264.021,264.087,264.362,40.6,-0.57,-0.57,0.0015534663525620385
11:45AM_2020-11-12,263.83,263.93,263.58,263.93,12302,263.733,263.888,264.012,264.288,41.26,-0.54,-0.57,0.024185416487671918
11:50AM_2020-11-12,263.89,264.36,263.89,264.11,15312,263.815,263.833,263.91,264.227,43.67,-0.5,-0.55,0.05377096639230383
11:55AM_2020-11-12,264.075,264.36,263.85,263.93,11486,263.892,263.828,263.843,264.174,41.82,-0.48,-0.54,0.06306706062157219
12:00PM_2020-11-12,263.97,264.14,263.54,263.735,14894,263.919,263.797,263.819,264.146,39.85,-0.47,-0.52,0.058057792939423924
12:05PM_2020-11-12,263.73,264.25,263.66,264.15,19929,263.956,263.856,263.833,264.154,45.71,-0.42,-0.5,0.08314124511623633
12:10PM_2020-11-12,264.14,264.66,263.78,264.66,21524,264.086,263.988,263.937,264.169,51.92,-0.34,-0.47,0.13164449744355
12:15PM_2020-11-12,264.57,264.68,264.26,264.41,13032,264.166,264.082,264.031,264.156,48.96,-0.29,-0.43,0.14348273721341587
12:20PM_2020-11-12,264.28,264.36,263.9,264.08,41865,264.161,264.098,264.082,264.148,45.3,-0.28,-0.4,0.12628703805396357
12:25PM_2020-11-12,264.105,264.15,263.53,263.58,15005,264.102,264.065,264.047,264.12,40.37,-0.3,-0.38,0.08065801886503188
12:30PM_2020-11-12,263.6,264.07,263.5,263.84,17241,264.12,264.055,264.043,264.065,43.8,-0.3,-0.37,0.06791708267181351
12:35PM_2020-11-12,263.83,263.88,263.16,263.83,22884,264.067,264.024,264.033,264.022,43.69,-0.29,-0.35,0.059072094680528875
12:40PM_2020-11-12,263.88,264.03,263.63,263.7,26733,263.907,263.998,263.992,263.951,42.29,-0.29,-0.34,0.04533992352036065
12:45PM_2020-11-12,263.69,263.85,263.3,263.795,46329,263.804,264.005,263.978,263.91,43.71,-0.29,-0.33,0.04352005923591501
12:50PM_2020-11-12,263.77,264.17,263.655,264.06,18537,263.801,263.995,264.011,263.914,47.6,-0.25,-0.31,0.06001181024517893
12:55PM_2020-11-12,264.13,264.49,264.13,264.245,23395,263.912,263.949,264.02,263.926,50.18,-0.21,-0.29,0.08187420996625305
