Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:10AM_2020-11-11,27.45,27.5,27.45,27.48,28330,,,,,,,,
11:15AM_2020-11-11,27.47,27.49,27.46,27.465,26756,,,,,,,,
11:20AM_2020-11-11,27.46,27.48,27.43,27.43,31511,,,,,,,,
11:25AM_2020-11-11,27.44,27.44,27.38,27.38,140048,,,,,,,,
11:30AM_2020-11-11,27.39,27.41,27.38,27.38,75323,,,,,,,,
11:35AM_2020-11-11,27.37,27.385,27.34,27.34,25608,27.412,,,,,,,
11:40AM_2020-11-11,27.33,27.33,27.295,27.3,55150,27.383,,,,,,,
11:45AM_2020-11-11,27.31,27.31,27.195,27.21,59842,27.34,,,,,,,
11:50AM_2020-11-11,27.22,27.26,27.195,27.25,63342,27.31,27.359,,,,,,
11:55AM_2020-11-11,27.23,27.29,27.23,27.28,115022,27.293,27.337,27.351,,,,,
12:00PM_2020-11-11,27.275,27.3,27.235,27.24,29597,27.27,27.312,27.327,,,,,
12:05PM_2020-11-11,27.235,27.27,27.23,27.26,40750,27.257,27.293,27.307,,,,,
12:10PM_2020-11-11,27.255,27.27,27.225,27.24,56145,27.247,27.278,27.288,,,,,
12:15PM_2020-11-11,27.24,27.24,27.21,27.235,62494,27.251,27.262,27.274,,,,,
12:20PM_2020-11-11,27.23,27.23,27.17,27.19,72505,27.241,27.245,27.254,,19.15,,,
12:25PM_2020-11-11,27.2,27.23,27.155,27.16,725695,27.221,27.229,27.237,,17.92,,,
12:30PM_2020-11-11,27.15,27.26,27.15,27.25,121643,27.222,27.234,27.232,,32.04,,,
12:35PM_2020-11-11,27.25,27.27,27.23,27.24,80506,27.219,27.233,27.235,,31.39,,,
12:40PM_2020-11-11,27.245,27.305,27.225,27.3,99055,27.229,27.235,27.24,,39.3,,,
12:45PM_2020-11-11,27.29,27.335,27.28,27.33,126297,27.245,27.245,27.245,27.298,42.85,,,
12:50PM_2020-11-11,27.35,27.37,27.33,27.37,179313,27.275,27.257,27.258,27.292,47.28,,,
12:55PM_2020-11-11,27.37,27.38,27.32,27.35,537583,27.307,27.269,27.267,27.287,45.39,,,
06:30AM_2020-11-12,26.84,26.9,26.75,26.83,192717,27.237,27.224,27.226,27.257,21.4,,,
06:35AM_2020-11-12,26.82,26.84,26.68,26.69,107315,27.145,27.169,27.171,27.222,18.56,,,
06:40AM_2020-11-12,26.685,26.73,26.62,26.64,72639,27.035,27.111,27.116,27.185,17.65,,,
06:45AM_2020-11-12,26.645,26.82,26.635,26.735,432733,26.936,27.054,27.074,27.155,25.1,-0.2,,
06:50AM_2020-11-12,26.725,26.74,26.63,26.64,134327,26.814,26.987,27.012,27.122,22.88,-0.21,,
06:55AM_2020-11-12,26.645,26.67,26.61,26.665,60718,26.7,26.917,26.955,27.095,24.77,-0.22,,
07:00AM_2020-11-12,26.66,26.735,26.64,26.71,83146,26.68,26.848,26.896,27.068,28.19,-0.22,,
07:05AM_2020-11-12,26.715,26.79,26.69,26.735,137486,26.688,26.777,26.836,27.041,30.09,-0.22,,
07:10AM_2020-11-12,26.73,26.75,26.685,26.71,74783,26.699,26.706,26.77,27.014,29.25,-0.21,,
07:15AM_2020-11-12,26.7,26.79,26.7,26.78,88332,26.707,26.701,26.714,26.99,34.71,-0.2,,
07:20AM_2020-11-12,26.77,26.77,26.61,26.61,98316,26.702,26.692,26.692,26.959,28.88,-0.2,,
07:25AM_2020-11-12,26.62,26.62,26.58,26.595,76850,26.69,26.687,26.682,26.927,28.43,-0.2,-0.21,0.005747692444784264
07:30AM_2020-11-12,26.6,26.615,26.52,26.55,106527,26.663,26.666,26.673,26.895,27.06,-0.21,-0.21,0.003064691769443101
07:35AM_2020-11-12,26.54,26.62,26.53,26.565,57263,26.635,26.658,26.656,26.865,28.3,-0.2,-0.21,0.004086641579869876
