Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
09:55AM_2020-11-11,9.985,10.02,9.985,10.02,300,,,,,,,,
10:05AM_2020-11-11,10.02,10.02,10.02,10.02,123,,,,,,,,
10:10AM_2020-11-11,9.995,10.03,9.995,10.03,200,,,,,,,,
10:20AM_2020-11-11,10.065,10.065,10.065,10.065,100,,,,,,,,
10:25AM_2020-11-11,9.98,9.995,9.97,9.995,800,,,,,,,,
10:30AM_2020-11-11,10.01,10.01,9.96,9.97,1000,10.017,,,,,,,
10:35AM_2020-11-11,9.95,9.99,9.95,9.99,800,10.012,,,,,,,
10:45AM_2020-11-11,9.98,9.98,9.94,9.94,550,9.998,,,,,,,
10:50AM_2020-11-11,9.94,9.94,9.88,9.88,1200,9.973,9.99,,,,,,
11:00AM_2020-11-11,9.95,9.955,9.95,9.955,400,9.955,9.983,9.986,,,,,
11:05AM_2020-11-11,9.97,10.0,9.97,9.995,400,9.955,9.98,9.984,,,,,
11:15AM_2020-11-11,9.97,9.97,9.97,9.97,100,9.955,9.973,9.979,,,,,
11:20AM_2020-11-11,9.97,9.98,9.97,9.98,300,9.953,9.964,9.974,,,,,
11:30AM_2020-11-11,9.91,9.94,9.82,9.82,3300,9.933,9.944,9.95,,,,,
11:35AM_2020-11-11,9.83,9.85,9.83,9.85,200,9.928,9.931,9.935,,36.07,,,
11:40AM_2020-11-11,9.85,9.85,9.85,9.85,100,9.911,9.916,9.923,,36.07,,,
11:45AM_2020-11-11,9.85,9.85,9.81,9.81,200,9.88,9.901,9.905,,33.52,,,
11:50AM_2020-11-11,9.835,9.835,9.82,9.82,200,9.855,9.894,9.893,,34.76,,,
12:00PM_2020-11-11,9.89,9.91,9.87,9.87,1300,9.837,9.885,9.892,,40.72,,,
12:05PM_2020-11-11,9.885,9.98,9.885,9.98,500,9.863,9.883,9.895,9.94,51.27,,,
12:10PM_2020-11-11,9.89,9.92,9.88,9.88,2860,9.868,9.873,9.883,9.933,43.66,,,
12:15PM_2020-11-11,9.94,9.94,9.91,9.91,240,9.878,9.866,9.877,9.928,46.24,,,
12:20PM_2020-11-11,9.91,9.94,9.91,9.94,1100,9.9,9.879,9.873,9.923,48.76,,,
12:25PM_2020-11-11,9.99,9.99,9.98,9.98,200,9.927,9.893,9.889,9.919,52.0,,,
12:30PM_2020-11-11,9.98,10.025,9.97,10.015,1025,9.951,9.912,9.906,9.92,54.69,,,
12:35PM_2020-11-11,10.01,10.1,10.01,10.1,3267,9.971,9.944,9.931,9.927,60.5,0.01,,
12:40PM_2020-11-11,10.115,10.14,10.115,10.14,501,10.014,9.979,9.964,9.934,62.9,0.03,,
12:45PM_2020-11-11,10.15,10.17,10.13,10.14,1723,10.053,10.009,9.996,9.944,62.9,0.04,,
12:50PM_2020-11-11,10.14,10.19,10.1,10.19,2577,10.094,10.033,10.028,9.96,65.92,0.05,,
12:55PM_2020-11-11,10.15,10.2,10.14,10.19,3824,10.129,10.067,10.048,9.971,65.92,0.06,,
06:30AM_2020-11-12,10.39,10.51,10.38,10.5,900,10.21,10.133,10.11,9.997,78.48,0.09,,
06:35AM_2020-11-12,10.37,10.49,10.33,10.49,1300,10.275,10.194,10.168,10.023,77.49,0.11,,
06:40AM_2020-11-12,10.39,10.58,10.39,10.5,854,10.335,10.252,10.224,10.049,77.79,0.13,,
06:45AM_2020-11-12,10.56,10.56,10.34,10.34,1696,10.368,10.288,10.26,10.075,63.17,0.13,0.07,0.05594062241037573
06:50AM_2020-11-12,10.39,10.39,10.12,10.12,1500,10.357,10.29,10.271,10.088,49.42,0.11,0.08,0.029037360832342374
06:55AM_2020-11-12,10.1,10.155,10.1,10.155,801,10.351,10.292,10.277,10.103,51.23,0.09,0.08,0.012185670906794094
07:00AM_2020-11-12,10.18,10.35,10.18,10.35,900,10.326,10.315,10.298,10.13,59.89,0.1,0.08,0.012700557395641243
07:05AM_2020-11-12,10.31,10.31,10.21,10.21,3381,10.279,10.317,10.304,10.15,52.66,0.09,0.08,0.0026656218157000006
07:15AM_2020-11-12,10.295,10.295,10.295,10.295,100,10.245,10.329,10.315,10.171,56.12,0.08,0.08,0.0008972089197600702
07:20AM_2020-11-12,10.15,10.15,10.15,10.15,100,10.213,10.29,10.311,10.18,49.48,0.07,0.08,-0.010277312179510834
