Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
09:05AM_2020-11-06,2.61,2.69,2.61,2.64,3700,,,,,,,,
09:10AM_2020-11-06,2.64,2.65,2.63,2.64,2800,,,,,,,,
09:15AM_2020-11-06,2.64,2.64,2.64,2.64,800,,,,,,,,
09:20AM_2020-11-06,2.59,2.59,2.59,2.59,700,,,,,,,,
09:40AM_2020-11-06,2.59,2.59,2.59,2.59,400,,,,,,,,
10:20AM_2020-11-06,2.56,2.57,2.56,2.57,960,2.612,,,,,,,
10:25AM_2020-11-06,2.55,2.55,2.55,2.55,100,2.597,,,,,,,
11:00AM_2020-11-06,2.58,2.58,2.58,2.58,200,2.587,,,,,,,
11:10AM_2020-11-06,2.555,2.555,2.555,2.555,100,2.572,2.595,,,,,,
11:20AM_2020-11-06,2.55,2.565,2.54,2.565,1761,2.568,2.587,2.592,,,,,
11:55AM_2020-11-06,2.61,2.61,2.61,2.61,150,2.572,2.583,2.589,,,,,
12:05PM_2020-11-06,2.61,2.61,2.61,2.61,700,2.578,2.58,2.586,,,,,
12:10PM_2020-11-06,2.58,2.58,2.58,2.58,100,2.583,2.579,2.58,,,,,
12:35PM_2020-11-06,2.6,2.6,2.6,2.6,904,2.587,2.58,2.581,,,,,
12:40PM_2020-11-06,2.64,2.64,2.64,2.64,100,2.601,2.588,2.586,,50.0,,,
12:45PM_2020-11-06,2.62,2.62,2.6,2.6,400,2.607,2.593,2.589,,43.53,,,
04:55AM_2020-11-09,2.5610000000000004,2.5610000000000004,2.551,2.56,1100,2.598,2.591,2.59,,38.21,,,
06:30AM_2020-11-09,2.56,2.56,2.55,2.55,802,2.588,2.591,2.587,,36.99,,,
06:35AM_2020-11-09,2.55,2.56,2.37,2.44,7379,2.565,2.577,2.576,,26.86,,,
06:40AM_2020-11-09,2.46,2.46,2.46,2.46,100,2.542,2.56,2.565,2.578,30.58,,,
06:45AM_2020-11-09,2.4,2.44,2.4,2.44,300,2.508,2.541,2.548,2.568,28.99,,,
07:05AM_2020-11-09,2.46,2.46,2.46,2.46,200,2.485,2.528,2.533,2.56,32.76,,,
07:15AM_2020-11-09,2.39,2.39,2.39,2.39,200,2.457,2.504,2.514,2.547,27.3,,,
07:20AM_2020-11-09,2.35,2.35,2.34,2.345,1900,2.422,2.472,2.488,2.535,24.48,,,
07:25AM_2020-11-09,2.34,2.35,2.32,2.345,4600,2.407,2.443,2.459,2.522,24.48,,,
07:30AM_2020-11-09,2.345,2.36,2.34,2.36,616,2.39,2.421,2.435,2.512,27.38,-0.09,,
07:35AM_2020-11-09,2.31,2.33,2.31,2.33,1400,2.372,2.397,2.412,2.501,25.29,-0.1,,
07:40AM_2020-11-09,2.3,2.3,2.3,2.3,1400,2.345,2.381,2.387,2.487,23.36,-0.1,,
07:45AM_2020-11-09,2.34,2.34,2.16,2.16,550,2.307,2.348,2.359,2.467,16.9,-0.11,,
07:50AM_2020-11-09,2.167,2.17,2.08,2.15,2835,2.274,2.316,2.328,2.446,16.55,-0.12,,
07:55AM_2020-11-09,2.2,2.29,2.16,2.29,5260,2.265,2.297,2.313,2.43,36.49,-0.11,,
08:10AM_2020-11-09,2.21,2.21,2.21,2.21,100,2.24,2.277,2.288,2.41,31.82,-0.12,,
08:15AM_2020-11-09,2.18,2.18,2.16,2.16,1026,2.212,2.256,2.265,2.389,29.29,-0.12,,
08:20AM_2020-11-09,2.2,2.2,2.2,2.2,700,2.195,2.24,2.25,2.369,33.82,-0.12,-0.11,-0.007608903513138712
08:25AM_2020-11-09,2.17,2.17,2.17,2.17,126,2.197,2.219,2.233,2.346,32.15,-0.12,-0.11,-0.005749011092819528
09:30AM_2020-11-09,2.2,2.2,2.2,2.2,200,2.205,2.204,2.217,2.326,35.57,-0.11,-0.11,-0.0013599083808459589
09:40AM_2020-11-09,2.2,2.2,2.2,2.2,700,2.19,2.193,2.204,2.308,35.57,-0.11,-0.11,0.0024729399179318073
10:10AM_2020-11-09,2.24,2.24,2.24,2.24,100,2.195,2.202,2.198,2.292,40.22,-0.1,-0.11,0.008303284708063324
10:15AM_2020-11-09,2.25,2.25,2.25,2.25,100,2.21,2.213,2.207,2.283,41.36,-0.09,-0.1,0.013146530512989182
10:20AM_2020-11-09,2.28,2.28,2.28,2.28,100,2.223,2.212,2.22,2.274,44.76,-0.08,-0.1,0.01836358052313987
10:25AM_2020-11-09,2.26,2.29,2.26,2.29,1100,2.243,2.221,2.22,2.266,45.89,-0.07,-0.09,0.022223229794099242
10:30AM_2020-11-09,2.28,2.28,2.27,2.27,854,2.255,2.233,2.226,2.257,43.96,-0.07,-0.09,0.023064576235877307
10:40AM_2020-11-09,2.28,2.28,2.28,2.28,500,2.268,2.242,2.238,2.252,45.2,-0.06,-0.08,0.023831965247633397
11:00AM_2020-11-09,2.29,2.29,2.29,2.29,500,2.277,2.256,2.247,2.249,46.48,-0.05,-0.08,0.02445845350548914
12:20PM_2020-11-09,2.26,2.26,2.26,2.26,200,2.278,2.262,2.256,2.245,43.22,-0.05,-0.07,0.022355334035120134
12:25PM_2020-11-09,2.265,2.265,2.26,2.26,300,2.275,2.269,2.262,2.24,43.22,-0.05,-0.07,0.02051517590611028
12:30PM_2020-11-09,2.29,2.29,2.29,2.29,333,2.275,2.274,2.271,2.238,47.49,-0.04,-0.06,0.02080407266014292
12:50PM_2020-11-09,2.29,2.29,2.25,2.25,1000,2.272,2.274,2.272,2.235,42.86,-0.04,-0.06,0.01789762216593338
