Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:20AM_2020-11-11,66.51,66.64,66.51,66.64,300,,,,,,,,
10:25AM_2020-11-11,66.865,66.93,66.57,66.57,910,,,,,,,,
10:30AM_2020-11-11,66.92,66.92,66.77,66.77,200,,,,,,,,
10:35AM_2020-11-11,66.76,66.89,66.76,66.86,610,,,,,,,,
10:40AM_2020-11-11,66.85,66.93,66.84,66.93,588,,,,,,,,
10:45AM_2020-11-11,66.61,66.61,66.35,66.35,897,66.687,,,,,,,
10:50AM_2020-11-11,66.34,66.47,66.16,66.43,500,66.652,,,,,,,
10:55AM_2020-11-11,66.54,66.54,66.12,66.12,725,66.577,,,,,,,
11:00AM_2020-11-11,66.28,66.34,66.275,66.275,979,66.494,66.549,,,,,,
11:05AM_2020-11-11,66.27,66.28,66.26,66.27,582,66.396,66.508,66.522,,,,,
11:10AM_2020-11-11,66.225,66.38,65.98,66.38,860,66.304,66.487,66.496,,,,,
11:15AM_2020-11-11,66.42,66.645,66.41,66.64,1000,66.352,66.473,66.503,,,,,
11:20AM_2020-11-11,66.29,66.4,66.2,66.2,558,66.314,66.399,66.446,,,,,
11:25AM_2020-11-11,66.25,66.39,66.25,66.385,307,66.358,66.339,66.398,,,,,
11:30AM_2020-11-11,66.38,67.17,66.38,67.16,1086,66.506,66.429,66.421,,57.81,,,
11:35AM_2020-11-11,67.13,67.415,67.09,67.37,403,66.689,66.533,66.523,,60.49,,,
11:40AM_2020-11-11,67.1,67.25,67.1,67.25,1010,66.834,66.659,66.605,,58.21,,,
11:45AM_2020-11-11,67.18,67.18,66.85,66.85,684,66.869,66.723,66.678,,51.28,,,
11:50AM_2020-11-11,66.86,67.02,66.8,67.02,1300,67.006,66.806,66.752,,53.8,,,
11:55AM_2020-11-11,66.96,66.96,66.945,66.945,303,67.099,66.869,66.82,66.671,52.51,,,
12:00PM_2020-11-11,67.37,67.38,67.37,67.38,221,67.136,66.951,66.92,66.708,58.69,,,
12:05PM_2020-11-11,67.36,67.36,67.25,67.325,1471,67.128,67.076,66.989,66.745,57.67,,,
12:10PM_2020-11-11,67.27,67.32,67.16,67.3,1108,67.137,67.178,67.098,66.772,57.18,,,
12:15PM_2020-11-11,67.21,67.23,67.19,67.19,1019,67.193,67.181,67.179,66.788,54.98,,,
12:20PM_2020-11-11,67.0,67.0,66.865,67.0,929,67.19,67.14,67.163,66.792,51.3,,,
12:25PM_2020-11-11,66.85,66.85,66.72,66.72,309,67.153,67.081,67.098,66.81,46.38,0.22,,
12:30PM_2020-11-11,66.48,66.48,66.44,66.44,772,66.996,67.036,67.017,66.811,42.04,0.16,,
12:35PM_2020-11-11,65.95,66.01,65.95,65.97,718,66.77,66.919,66.929,66.803,35.95,0.07,,
12:40PM_2020-11-11,65.88,65.92,65.61,65.91,1547,66.538,66.804,66.818,66.785,35.25,-0.0,,
12:45PM_2020-11-11,65.86,66.16,65.68,66.065,3087,66.351,66.658,66.73,66.775,38.58,-0.05,,
12:50PM_2020-11-11,66.13,66.38,66.02,66.09,2245,66.199,66.521,66.601,66.76,39.13,-0.08,,
12:55PM_2020-11-11,66.24,66.6,66.21,66.58,4667,66.176,66.441,66.527,66.757,48.72,-0.07,,
06:30AM_2020-11-12,67.37,67.37,66.01,66.01,1000,66.104,66.309,66.398,66.748,40.69,-0.1,,
06:35AM_2020-11-12,66.44,66.68,66.44,66.68,316,66.223,66.274,66.347,66.763,50.93,-0.07,0.01,-0.08024133328565597
06:40AM_2020-11-12,66.17,66.17,65.69,65.69,300,66.186,66.159,66.216,66.689,39.95,-0.13,-0.02,-0.10893681523829173
06:45AM_2020-11-12,65.32,65.32,65.32,65.32,289,66.062,66.035,66.076,66.587,36.76,-0.2,-0.06,-0.14464057021094504
06:50AM_2020-11-12,65.69,65.69,65.3,65.39,303,65.945,65.971,65.971,66.494,37.77,-0.25,-0.09,-0.15445588790934653
06:55AM_2020-11-12,65.25,65.37,65.25,65.37,1025,65.743,65.911,65.911,66.42,37.59,-0.29,-0.13,-0.1529218530256543
07:00AM_2020-11-12,65.58,65.58,65.38,65.38,515,65.638,65.834,65.858,66.338,37.75,-0.31,-0.17,-0.1420916107100038
07:05AM_2020-11-12,65.31,65.31,65.29,65.29,470,65.407,65.746,65.78,66.255,36.81,-0.33,-0.2,-0.13206033573055126
07:10AM_2020-11-12,64.66,65.05,64.66,65.05,733,65.3,65.576,65.676,66.138,34.36,-0.37,-0.23,-0.13232735136366025
