Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:10AM_2020-11-11,127.42,127.46,126.94,126.94,1617,,,,,,,,
11:15AM_2020-11-11,126.93,127.22,126.59,126.72,5145,,,,,,,,
11:20AM_2020-11-11,126.74,126.85,126.74,126.82,654,,,,,,,,
11:25AM_2020-11-11,126.675,126.69,126.385,126.42,1648,,,,,,,,
11:30AM_2020-11-11,126.2,126.24,126.01,126.085,2308,,,,,,,,
11:35AM_2020-11-11,126.005,126.54,125.84,126.54,4430,126.587,,,,,,,
11:40AM_2020-11-11,126.5,126.75,126.5,126.71,397,126.549,,,,,,,
11:45AM_2020-11-11,126.7,126.73,126.3,126.49,2596,126.511,,,,,,,
11:50AM_2020-11-11,126.48,126.96,126.32,126.96,2382,126.534,126.632,,,,,,
11:55AM_2020-11-11,126.92,126.97,126.66,126.66,1751,126.574,126.601,126.634,,,,,
12:00PM_2020-11-11,126.74,127.51,126.74,127.42,2916,126.797,126.678,126.682,,,,,
12:05PM_2020-11-11,127.47,127.71,127.4,127.4,1567,126.94,126.743,126.751,,,,,
12:10PM_2020-11-11,127.39,127.54,127.12,127.48,3307,127.068,126.861,126.817,,,,,
12:15PM_2020-11-11,127.64,127.79,127.56,127.66,2415,127.263,127.036,126.941,,,,,
12:20PM_2020-11-11,127.63,127.94,127.615,127.73,2209,127.392,127.168,127.105,,60.45,,,
12:25PM_2020-11-11,127.76,127.93,127.66,127.75,2425,127.573,127.283,127.226,,60.67,,,
12:30PM_2020-11-11,127.8,127.96,127.385,127.81,2848,127.638,127.43,127.336,,61.38,,,
12:35PM_2020-11-11,127.77,127.84,127.51,127.82,3927,127.708,127.526,127.469,,61.5,,,
12:40PM_2020-11-11,127.78,127.85,127.75,127.81,2301,127.763,127.653,127.554,,61.29,,,
12:45PM_2020-11-11,127.8,127.81,127.53,127.7,2728,127.77,127.684,127.658,127.146,58.89,,,
12:50PM_2020-11-11,127.76,127.76,127.555,127.67,5626,127.76,127.714,127.683,127.183,58.21,,,
12:55PM_2020-11-11,127.79,127.98,127.69,127.69,13925,127.75,127.738,127.712,127.231,58.55,,,
06:30AM_2020-11-12,129.47,131.68,129.05,131.07,10245,128.293,128.117,128.071,127.444,83.28,,,
06:35AM_2020-11-12,130.95,132.26,130.89,131.37,8619,128.885,128.521,128.442,127.691,84.18,,,
06:40AM_2020-11-12,131.42,131.79,129.35,129.68,12540,129.197,128.736,128.637,127.871,63.42,,,
06:45AM_2020-11-12,129.95,130.23,128.77,128.88,9603,129.393,128.854,128.75,127.988,56.34,1.11,,
06:50AM_2020-11-12,129.135,129.27,127.02,128.035,12097,129.454,128.878,128.773,128.054,49.99,0.97,,
06:55AM_2020-11-12,128.13,128.99,127.64,127.76,6192,129.466,128.873,128.767,128.118,48.09,0.83,,
07:00AM_2020-11-12,128.16,128.85,127.61,128.69,10978,129.069,128.983,128.855,128.204,54.4,0.78,,
07:05AM_2020-11-12,128.27,128.5,127.8,128.5,5659,128.591,129.075,128.935,128.296,52.99,0.72,,
07:10AM_2020-11-12,128.5,129.335,128.5,128.92,4500,128.464,129.212,129.06,128.371,55.73,0.69,,
07:15AM_2020-11-12,129.31,129.96,128.95,129.13,3927,128.506,128.996,129.204,128.458,57.08,0.68,,
07:20AM_2020-11-12,129.54,129.78,128.6,128.64,4581,128.607,128.693,128.961,128.516,53.02,0.63,,
07:25AM_2020-11-12,128.62,128.62,127.93,128.28,8942,128.693,128.537,128.652,128.547,50.19,0.55,0.77,-0.22123070713962378
07:30AM_2020-11-12,128.28,128.8,128.12,128.67,4618,128.69,128.514,128.551,128.594,53.11,0.52,0.72,-0.20615091938757246
07:35AM_2020-11-12,128.65,128.89,128.25,128.25,3641,128.648,128.538,128.488,128.619,49.73,0.45,0.67,-0.2192788513261612
07:40AM_2020-11-12,128.5,128.69,128.305,128.4,2681,128.562,128.609,128.524,128.648,50.93,0.4,0.61,-0.21252279837363697
07:45AM_2020-11-12,128.69,129.23,128.62,129.0,4908,128.54,128.643,128.648,128.707,55.51,0.41,0.57,-0.1644556812033866
07:50AM_2020-11-12,129.06,129.35,128.59,128.59,1701,128.532,128.653,128.638,128.746,51.94,0.38,0.53,-0.15709635971139257
07:55AM_2020-11-12,128.355,128.655,128.245,128.48,3022,128.565,128.604,128.636,128.785,51.0,0.34,0.49,-0.15613433017641987
08:00AM_2020-11-12,128.235,128.44,127.93,128.12,5650,128.473,128.492,128.556,128.808,47.92,0.28,0.45,-0.17483098471502012
08:05AM_2020-11-12,128.115,128.13,127.275,127.46,7655,128.342,128.361,128.389,128.796,42.82,0.17,0.4,-0.22361603601978391
08:10AM_2020-11-12,127.23,127.61,127.02,127.61,2126,128.21,128.287,128.286,128.623,44.27,0.1,0.34,-0.2365005446342761
08:15AM_2020-11-12,127.79,128.26,127.64,128.26,1698,128.087,128.241,128.284,128.468,50.18,0.09,0.29,-0.19375999687824313
08:20AM_2020-11-12,128.19,128.47,127.9,127.92,3030,127.975,128.204,128.209,128.38,47.35,0.06,0.24,-0.18113314051731852
08:25AM_2020-11-12,127.7,128.26,127.7,128.17,2864,127.923,128.179,128.201,128.344,49.6,0.05,0.2,-0.1499776224799013
08:30AM_2020-11-12,128.36,128.64,128.1,128.3,3230,127.953,128.101,128.191,128.358,50.77,0.06,0.18,-0.11615821232019749
08:35AM_2020-11-12,128.38,128.38,127.93,128.16,3666,128.07,128.053,128.107,128.378,49.44,0.05,0.15,-0.09940801671940286
08:40AM_2020-11-12,128.04,128.14,127.69,127.89,3530,128.117,127.988,128.037,128.338,46.87,0.02,0.13,-0.10230427236829889
08:45AM_2020-11-12,127.88,127.88,127.705,127.735,1483,128.029,127.945,127.963,128.299,45.41,-0.01,0.1,-0.10979051306875233
08:50AM_2020-11-12,127.56,128.22,127.56,128.2,2004,128.076,128.027,127.971,128.263,50.4,-0.0,0.08,-0.07994404001421468
08:55AM_2020-11-12,128.32,128.32,128.02,128.15,930,128.073,128.087,128.04,128.214,49.87,0.0,0.06,-0.060946634897268356
09:00AM_2020-11-12,128.26,128.77,128.26,128.77,2645,128.151,128.144,128.156,128.221,56.01,0.05,0.06,-0.006848346283201939
09:05AM_2020-11-12,128.92,128.93,128.56,128.65,2882,128.233,128.225,128.195,128.239,54.62,0.08,0.07,0.01920511194884178
09:10AM_2020-11-12,128.7,129.205,128.685,129.16,2519,128.444,128.335,128.319,128.264,59.26,0.15,0.08,0.06647620435443792
09:15AM_2020-11-12,129.32,129.57,129.18,129.22,4294,128.692,128.437,128.424,128.312,59.78,0.2,0.11,0.09569860859600744
09:20AM_2020-11-12,129.27,129.46,129.01,129.02,2031,128.828,128.533,128.496,128.343,57.16,0.23,0.13,0.09526584896010315
09:25AM_2020-11-12,128.855,129.21,128.855,128.99,1993,128.968,128.655,128.579,128.343,56.75,0.24,0.15,0.08690036580591681
09:30AM_2020-11-12,128.66,129.13,128.65,129.13,2154,129.028,128.81,128.703,128.37,58.23,0.26,0.17,0.08465227702029074
09:35AM_2020-11-12,129.04,129.09,128.69,128.95,3407,129.078,128.893,128.824,128.393,55.6,0.26,0.19,0.06574170895582465
09:40AM_2020-11-12,128.81,128.965,128.81,128.86,1841,129.028,128.972,128.89,128.43,54.28,0.24,0.2,0.042972496002140204
09:45AM_2020-11-12,128.67,128.95,128.45,128.45,4242,128.9,128.937,128.92,128.48,48.61,0.2,0.2,-0.0015412364788938704
09:50AM_2020-11-12,128.53,128.67,128.45,128.6,2527,128.83,128.931,128.903,128.529,50.64,0.17,0.19,-0.02160912459858727
09:55AM_2020-11-12,128.37,128.52,128.275,128.52,1491,128.752,128.86,128.89,128.542,49.52,0.14,0.18,-0.03993165032349286
10:00AM_2020-11-12,128.63,128.75,128.4,128.6,1249,128.663,128.791,128.834,128.576,50.7,0.13,0.17,-0.045897881118342004
10:05AM_2020-11-12,128.46,128.59,128.37,128.59,1950,128.603,128.743,128.771,128.597,50.54,0.11,0.16,-0.04944564514357175
