Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
12:20PM_2020-11-11,16.21,16.215,16.155,16.195,49197,,,,,,,,
12:25PM_2020-11-11,16.2,16.25,16.09,16.09,64100,,,,,,,,
12:30PM_2020-11-11,16.09,16.17,16.08,16.14,99735,,,,,,,,
12:35PM_2020-11-11,16.14,16.26,16.13,16.26,63575,,,,,,,,
12:40PM_2020-11-11,16.255,16.295,16.2,16.2,157760,,,,,,,,
12:45PM_2020-11-11,16.205,16.23,16.18,16.21,90372,16.183,,,,,,,
12:50PM_2020-11-11,16.2,16.235,16.19,16.21,65961,16.185,,,,,,,
12:55PM_2020-11-11,16.21,16.24,16.2,16.2,286234,16.203,,,,,,,
04:25AM_2020-11-12,16.03,16.03,16.01,16.01,400,16.182,16.168,,,,,,
04:30AM_2020-11-12,16.021,16.021,16.021,16.021,200,16.142,16.149,16.154,,,,,
04:40AM_2020-11-12,15.91,15.91,15.91,15.91,200,16.094,16.129,16.125,,,,,
05:00AM_2020-11-12,15.77,15.77,15.77,15.77,200,16.02,16.088,16.093,,,,,
05:05AM_2020-11-12,15.76,15.76,15.76,15.76,200,15.945,16.032,16.055,,,,,
05:15AM_2020-11-12,15.76,15.77,15.73,15.73,600,15.867,15.98,16.002,,,,,
05:20AM_2020-11-12,15.71,15.72,15.71,15.72,400,15.819,15.926,15.954,,22.29,,,
05:25AM_2020-11-12,15.711,15.711,15.711,15.711,200,15.767,15.87,15.904,,22.04,,,
05:30AM_2020-11-12,15.7,15.7,15.7,15.7,200,15.732,15.815,15.853,,21.72,,,
05:35AM_2020-11-12,15.69,15.7,15.64,15.64,906,15.71,15.774,15.797,,20.01,,,
05:40AM_2020-11-12,15.64,15.64,15.64,15.64,400,15.69,15.731,15.76,,20.01,,,
05:45AM_2020-11-12,15.64,15.68,15.64,15.68,800,15.682,15.706,15.726,15.94,24.59,,,
05:55AM_2020-11-12,15.69,15.7,15.69,15.7,400,15.679,15.698,15.705,15.915,26.85,,,
06:05AM_2020-11-12,15.71,15.72,15.71,15.72,808,15.68,15.693,15.7,15.897,29.13,,,
06:30AM_2020-11-12,15.64,15.83,15.521,15.64,452582,15.67,15.683,15.688,15.872,25.68,,,
06:35AM_2020-11-12,15.635,15.64,15.35,15.54,322004,15.653,15.663,15.669,15.836,22.15,,,
06:40AM_2020-11-12,15.535,15.59,15.505,15.535,204346,15.636,15.644,15.651,15.802,21.98,,,
06:45AM_2020-11-12,15.54,15.63,15.49,15.49,330809,15.604,15.621,15.628,15.766,20.52,-0.2,,
06:50AM_2020-11-12,15.48,15.5,15.42,15.475,151491,15.567,15.602,15.606,15.73,20.04,-0.2,,
06:55AM_2020-11-12,15.47,15.48,15.37,15.425,90761,15.518,15.578,15.584,15.691,18.49,-0.2,,
07:00AM_2020-11-12,15.415,15.46,15.39,15.4,94650,15.478,15.547,15.56,15.66,17.76,-0.2,,
07:05AM_2020-11-12,15.4,15.48,15.39,15.475,117309,15.467,15.522,15.54,15.633,27.15,-0.2,,
