Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:35AM_2020-11-10,23.36,23.56,23.35,23.56,6800,,,,,,,,
10:40AM_2020-11-10,23.58,23.73,23.58,23.68,1626,,,,,,,,
10:45AM_2020-11-10,23.665,23.665,23.52,23.55,3250,,,,,,,,
10:50AM_2020-11-10,23.61,23.68,23.59,23.68,1658,,,,,,,,
10:55AM_2020-11-10,23.67,23.76,23.66,23.7,3236,,,,,,,,
11:00AM_2020-11-10,23.7,23.71,23.68,23.68,800,23.64,,,,,,,
11:05AM_2020-11-10,23.8,23.81,23.75,23.81,1450,23.68,,,,,,,
11:10AM_2020-11-10,23.771,23.771,23.73,23.73,966,23.69,,,,,,,
11:15AM_2020-11-10,23.77,23.77,23.62,23.69,4532,23.71,23.68,,,,,,
11:20AM_2020-11-10,23.69,23.7,23.64,23.64,3210,23.71,23.68,23.67,,,,,
11:25AM_2020-11-10,23.66,23.68,23.63,23.63,820,23.7,23.68,23.68,,,,,
11:30AM_2020-11-10,23.72,23.72,23.71,23.72,1432,23.7,23.7,23.68,,,,,
11:35AM_2020-11-10,23.65,23.66,23.64,23.64,1400,23.67,23.69,23.69,,,,,
11:40AM_2020-11-10,23.62,23.8,23.62,23.8,2946,23.69,23.7,23.7,,,,,
11:45AM_2020-11-10,23.8,23.86,23.75,23.79,11498,23.7,23.72,23.71,,60.75,,,
11:50AM_2020-11-10,23.79,23.84,23.78,23.8,2120,23.73,23.72,23.72,,61.14,,,
11:55AM_2020-11-10,23.82,23.82,23.78,23.82,1200,23.76,23.73,23.73,,61.96,,,
12:00PM_2020-11-10,23.86,23.89,23.86,23.86,2870,23.78,23.74,23.74,,63.6,,,
12:05PM_2020-11-10,23.83,23.83,23.779,23.78,3242,23.81,23.76,23.75,,58.18,,,
12:10PM_2020-11-10,23.82,23.82,23.71,23.71,1020,23.79,23.77,23.76,23.71,53.85,,,
12:15PM_2020-11-10,23.73,23.76,23.7,23.75,3600,23.79,23.77,23.77,23.72,55.87,,,
12:20PM_2020-11-10,23.76,23.76,23.625,23.67,3932,23.77,23.78,23.76,23.72,51.06,,,
12:25PM_2020-11-10,23.59,23.6,23.58,23.59,2056,23.73,23.75,23.76,23.72,46.72,,,
12:30PM_2020-11-10,23.59,23.59,23.51,23.57,11602,23.68,23.73,23.73,23.72,45.68,,,
12:35PM_2020-11-10,23.6,23.66,23.59,23.66,5316,23.66,23.71,23.72,23.72,50.98,,,
12:40PM_2020-11-10,23.68,23.75,23.64,23.74,9384,23.66,23.7,23.72,23.72,55.18,-0.01,,
12:45PM_2020-11-10,23.73,23.78,23.71,23.78,12468,23.67,23.69,23.71,23.72,57.15,0.0,,
12:50PM_2020-11-10,23.76,23.77,23.69,23.75,21084,23.68,23.69,23.7,23.72,55.19,0.0,,
12:55PM_2020-11-10,23.75,23.75,23.69,23.71,22524,23.7,23.69,23.69,23.72,52.6,0.0,,
06:30AM_2020-11-11,23.51,23.65,22.97,22.97,10874,23.6,23.6,23.62,23.69,27.16,-0.06,,
06:35AM_2020-11-11,22.991,23.535,22.991,23.535,3356,23.58,23.59,23.6,23.68,47.88,-0.06,,
06:40AM_2020-11-11,23.57,23.6,23.52,23.6,2066,23.56,23.59,23.59,23.68,49.66,-0.05,,
06:45AM_2020-11-11,23.54,23.65,23.54,23.65,1500,23.54,23.6,23.6,23.68,51.04,-0.04,,
06:50AM_2020-11-11,23.73,23.73,23.56,23.56,1000,23.5,23.59,23.6,23.66,48.46,-0.04,-0.03,-0.015792777313073714
06:55AM_2020-11-11,23.45,23.45,23.31,23.39,2748,23.45,23.55,23.57,23.64,43.95,-0.06,-0.03,-0.02308459532277709
07:00AM_2020-11-11,23.52,23.55,23.381,23.381,1000,23.52,23.51,23.53,23.62,43.72,-0.07,-0.04,-0.026713552996382645
07:05AM_2020-11-11,23.57,23.61,23.57,23.59,2450,23.53,23.49,23.51,23.61,50.28,-0.06,-0.04,-0.013883328511771757
07:10AM_2020-11-11,23.61,23.65,23.61,23.65,1000,23.54,23.48,23.5,23.6,52.01,-0.04,-0.04,-0.0008865780810064644
07:15AM_2020-11-11,23.85,23.85,23.77,23.82,600,23.57,23.58,23.51,23.6,56.62,-0.02,-0.04,0.018555200163699305
07:20AM_2020-11-11,23.671,24.03,23.671,24.03,1436,23.64,23.63,23.62,23.62,61.54,0.02,-0.03,0.04352784233784297
07:25AM_2020-11-11,24.04,24.09,23.971,24.09,4346,23.76,23.68,23.68,23.64,62.83,0.05,-0.01,0.060986157374101305
07:30AM_2020-11-11,24.06,24.245,24.06,24.23,2000,23.9,23.75,23.74,23.66,65.73,0.08,0.01,0.07778585733087075
07:35AM_2020-11-11,24.17,24.17,24.09,24.14,900,23.99,23.81,23.79,23.69,62.36,0.1,0.03,0.07843672970200331
07:40AM_2020-11-11,24.04,24.04,23.95,23.95,1115,24.04,23.88,23.83,23.71,55.86,0.1,0.04,0.062371170437152734
07:45AM_2020-11-11,23.85,23.89,23.85,23.89,600,24.05,23.93,23.88,23.72,53.94,0.1,0.05,0.04482439862018714
07:50AM_2020-11-11,23.81,23.83,23.81,23.83,400,24.02,23.96,23.92,23.73,52.02,0.09,0.06,0.027166898373225015
07:55AM_2020-11-11,23.86,23.88,23.81,23.88,800,23.99,23.98,23.95,23.73,53.51,0.08,0.06,0.017323655195338766
08:00AM_2020-11-11,23.78,23.85,23.78,23.85,1226,23.92,23.99,23.97,23.74,52.46,0.07,0.07,0.007749338813787893
08:10AM_2020-11-11,23.78,23.78,23.69,23.71,1800,23.85,23.95,23.96,23.74,47.75,0.06,0.06,-0.008192123306895588
08:15AM_2020-11-11,23.8,23.83,23.8,23.83,1168,23.83,23.92,23.94,23.78,51.75,0.05,0.06,-0.010677447139674029
08:20AM_2020-11-11,23.92,23.92,23.92,23.92,200,23.84,23.89,23.92,23.8,54.55,0.05,0.06,-0.006488633252865861
08:25AM_2020-11-11,23.96,23.96,23.96,23.96,200,23.86,23.87,23.9,23.82,55.79,0.06,0.06,-0.001512277971771163
08:30AM_2020-11-11,23.91,23.915,23.91,23.915,600,23.86,23.86,23.87,23.83,54.01,0.06,0.06,-0.0017242304059218658
08:35AM_2020-11-11,23.861,23.9,23.84,23.9,600,23.87,23.87,23.87,23.85,53.4,0.05,0.06,-0.0032585429205331112
08:40AM_2020-11-11,23.99,23.995,23.99,23.99,862,23.92,23.88,23.88,23.88,56.57,0.06,0.06,0.0011670276614446154
08:45AM_2020-11-11,24.0,24.0,23.99,23.99,426,23.95,23.9,23.89,23.91,56.57,0.06,0.06,0.003349892147732625
08:50AM_2020-11-11,24.0,24.0,23.97,23.98,2070,23.96,23.91,23.9,23.93,56.08,0.06,0.06,0.0033668308182974727
08:55AM_2020-11-11,23.96,23.965,23.89,23.89,1020,23.94,23.93,23.91,23.94,51.73,0.06,0.06,-0.003087765598456832
09:00AM_2020-11-11,23.92,23.92,23.92,23.92,292,23.94,23.94,23.93,23.94,53.03,0.05,0.06,-0.0055950769230906985
09:15AM_2020-11-11,23.89,23.89,23.89,23.89,200,23.94,23.94,23.94,23.94,51.53,0.05,0.06,-0.00931317653781117
09:20AM_2020-11-11,23.95,24.06,23.95,24.06,3236,23.96,23.95,23.95,23.94,58.68,0.05,0.06,-0.0008105064934984113
09:25AM_2020-11-11,24.09,24.13,24.09,24.105,1194,23.97,23.97,23.96,23.93,60.35,0.06,0.06,0.006930820534770128
09:40AM_2020-11-11,24.13,24.13,24.13,24.13,200,24.0,23.99,23.99,23.93,61.28,0.07,0.06,0.012496989337174559
09:55AM_2020-11-11,24.14,24.14,24.14,24.14,1070,24.04,24.01,24.01,23.94,61.67,0.08,0.06,0.015422275213300973
10:00AM_2020-11-11,24.13,24.25,24.13,24.235,2774,24.09,24.04,24.03,23.96,65.25,0.09,0.07,0.021928309453887268
10:05AM_2020-11-11,24.26,24.26,24.23,24.23,402,24.15,24.07,24.06,23.98,64.9,0.1,0.08,0.023905884898442697
10:10AM_2020-11-11,24.24,24.29,24.24,24.29,770,24.19,24.11,24.09,24.0,67.14,0.11,0.08,0.027035104128679516
10:15AM_2020-11-11,24.36,24.42,24.305,24.35,1600,24.23,24.16,24.14,24.02,69.24,0.12,0.09,0.0306604940589444
10:20AM_2020-11-11,24.44,24.44,24.38,24.38,800,24.27,24.21,24.18,24.06,70.27,0.13,0.1,0.0324224138582752
10:25AM_2020-11-11,24.45,24.55,24.37,24.37,2450,24.31,24.25,24.23,24.08,69.44,0.14,0.11,0.030297380141374966
10:30AM_2020-11-11,24.48,24.48,24.48,24.48,200,24.35,24.29,24.27,24.11,73.2,0.15,0.11,0.03343654284243884
10:35AM_2020-11-11,24.56,24.62,24.56,24.62,600,24.41,24.34,24.32,24.14,77.06,0.17,0.12,0.04154896304770922
10:40AM_2020-11-11,24.48,24.5,24.48,24.5,1064,24.45,24.38,24.36,24.17,68.01,0.17,0.13,0.03566596715244788
10:45AM_2020-11-11,24.44,24.52,24.44,24.52,1200,24.48,24.42,24.4,24.2,68.67,0.17,0.14,0.03017249492849966
10:50AM_2020-11-11,24.35,24.415,24.35,24.415,1200,24.48,24.44,24.42,24.22,61.49,0.16,0.14,0.01716516829050596
10:55AM_2020-11-11,24.43,24.45,24.43,24.45,400,24.5,24.45,24.44,24.25,62.88,0.16,0.15,0.009025518873064159
11:00AM_2020-11-11,24.51,24.535,24.4,24.535,1650,24.51,24.47,24.46,24.28,66.09,0.16,0.15,0.007533841315180645
11:05AM_2020-11-11,24.53,24.675,24.51,24.58,5886,24.5,24.5,24.49,24.31,67.68,0.16,0.15,0.007717302227712969
11:10AM_2020-11-11,24.49,24.565,24.49,24.49,1272,24.5,24.51,24.5,24.34,61.46,0.15,0.15,0.00030811624827606354
11:15AM_2020-11-11,24.44,24.44,24.29,24.29,4400,24.46,24.49,24.49,24.36,50.39,0.13,0.15,-0.01849223721608928
11:20AM_2020-11-11,24.39,24.41,24.29,24.29,2548,24.44,24.45,24.47,24.37,50.39,0.11,0.14,-0.030641127868968443
11:25AM_2020-11-11,24.21,24.22,24.15,24.2,2170,24.4,24.42,24.43,24.37,46.05,0.08,0.13,-0.04365789798385189
11:30AM_2020-11-11,24.22,24.275,24.22,24.275,1108,24.35,24.39,24.4,24.38,49.92,0.07,0.12,-0.04590685782278259
11:35AM_2020-11-11,24.26,24.36,24.18,24.36,2032,24.32,24.39,24.39,24.39,53.94,0.07,0.11,-0.040546060943754375
11:40AM_2020-11-11,24.27,24.33,24.27,24.33,1000,24.29,24.37,24.38,24.4,52.34,0.06,0.1,-0.03794325647460284
11:45AM_2020-11-11,24.29,24.29,24.21,24.23,1000,24.28,24.34,24.36,24.4,47.31,0.04,0.09,-0.04158630763857413
11:50AM_2020-11-11,24.28,24.28,24.24,24.27,1702,24.28,24.3,24.33,24.4,49.41,0.04,0.08,-0.039923908807559846
11:55AM_2020-11-11,24.27,24.29,24.221,24.29,2528,24.29,24.28,24.3,24.39,50.47,0.03,0.07,-0.036208661009443005
12:00PM_2020-11-11,24.305,24.305,24.225,24.29,2100,24.3,24.28,24.28,24.39,50.47,0.03,0.06,-0.032595313091425764
12:05PM_2020-11-11,24.3,24.365,24.28,24.35,3398,24.29,24.29,24.29,24.39,53.84,0.03,0.05,-0.02533190057181573
