Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:05AM_2020-11-11,78.0,78.09,77.98,78.015,4620,,,,,,,,
11:10AM_2020-11-11,78.03,78.035,77.91,77.94,7802,,,,,,,,
11:15AM_2020-11-11,77.87,77.87,77.62,77.65,2836,,,,,,,,
11:20AM_2020-11-11,77.66,77.7,77.61,77.61,3502,,,,,,,,
11:25AM_2020-11-11,77.625,77.65,77.61,77.63,4202,,,,,,,,
11:30AM_2020-11-11,77.625,77.655,77.61,77.655,9298,77.75,,,,,,,
11:35AM_2020-11-11,77.635,77.64,77.61,77.61,1982,77.682,,,,,,,
11:40AM_2020-11-11,77.605,77.61,77.585,77.61,4698,77.628,,,,,,,
11:45AM_2020-11-11,77.63,77.63,77.58,77.58,2464,77.616,77.7,,,,,,
11:50AM_2020-11-11,77.535,77.58,77.535,77.58,600,77.611,77.652,77.688,,,,,
11:55AM_2020-11-11,77.52,77.57,77.5,77.57,1602,77.601,77.611,77.644,,,,,
12:00PM_2020-11-11,77.6,77.63,77.6,77.62,1975,77.595,77.607,77.612,,,,,
12:05PM_2020-11-11,77.63,77.63,77.6,77.61,18852,77.595,77.607,77.608,,,,,
12:10PM_2020-11-11,77.53,77.59,77.53,77.58,7506,77.59,77.602,77.604,,,,,
12:15PM_2020-11-11,77.575,77.575,77.545,77.545,1996,77.584,77.589,77.596,,14.39,,,
12:20PM_2020-11-11,77.54,77.54,77.46,77.47,1216,77.566,77.574,77.578,,12.82,,,
12:25PM_2020-11-11,77.38,77.38,77.325,77.325,408,77.525,77.542,77.549,,10.45,,,
12:30PM_2020-11-11,77.29,77.37,77.29,77.37,1496,77.483,77.519,77.525,,15.67,,,
12:35PM_2020-11-11,77.35,77.405,77.35,77.405,2262,77.449,77.499,77.508,,19.59,,,
12:40PM_2020-11-11,77.39,77.46,77.39,77.46,440,77.429,77.487,77.496,77.592,25.46,,,
12:45PM_2020-11-11,77.47,77.565,77.45,77.565,3810,77.433,77.481,77.495,77.569,35.18,,,
12:50PM_2020-11-11,77.565,77.63,77.52,77.59,3730,77.453,77.479,77.492,77.552,37.28,,,
12:55PM_2020-11-11,77.57,77.59,77.49,77.59,10920,77.497,77.48,77.49,77.549,37.28,,,
06:30AM_2020-11-12,77.41,77.46,77.41,77.46,1200,77.512,77.471,77.478,77.541,31.19,,,
06:35AM_2020-11-12,77.55,77.63,77.54,77.61,2600,77.546,77.486,77.485,77.54,42.8,,,
06:40AM_2020-11-12,77.63,77.63,77.56,77.56,3500,77.563,77.512,77.494,77.535,40.35,-0.04,,
06:45AM_2020-11-12,77.51,77.54,77.5,77.5,3706,77.552,77.527,77.511,77.53,37.58,-0.04,,
06:50AM_2020-11-12,77.5,77.5,77.39,77.4,5932,77.52,77.526,77.514,77.52,33.45,-0.05,,
06:55AM_2020-11-12,77.38,77.38,77.34,77.34,3500,77.478,77.513,77.508,77.508,31.24,-0.06,,
07:00AM_2020-11-12,77.34,77.41,77.33,77.33,5202,77.457,77.487,77.495,77.495,30.87,-0.07,,
07:05AM_2020-11-12,77.42,77.42,77.4,77.415,2002,77.424,77.467,77.48,77.487,37.58,-0.07,,
07:10AM_2020-11-12,77.41,77.43,77.41,77.43,1510,77.403,77.449,77.464,77.478,38.72,-0.07,,
07:15AM_2020-11-12,77.42,77.42,77.39,77.39,1800,77.384,77.442,77.444,77.467,36.8,-0.07,,
