Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:10AM_2020-11-11,201.71,201.925,201.58,201.925,2248,,,,,,,,
11:15AM_2020-11-11,201.695,201.82,201.695,201.82,2100,,,,,,,,
11:20AM_2020-11-11,201.94,202.17,201.94,202.05,2224,,,,,,,,
11:25AM_2020-11-11,202.17,202.24,202.04,202.12,2774,,,,,,,,
11:30AM_2020-11-11,202.21,202.21,202.03,202.03,802,,,,,,,,
11:35AM_2020-11-11,202.12,202.15,201.95,201.98,1976,201.987,,,,,,,
11:40AM_2020-11-11,201.98,202.06,201.87,202.06,1364,202.01,,,,,,,
11:45AM_2020-11-11,202.19,202.23,201.9,202.14,6086,202.063,,,,,,,
11:50AM_2020-11-11,202.14,202.185,202.02,202.05,3370,202.063,202.019,,,,,,
11:55AM_2020-11-11,202.395,202.395,201.935,202.04,7414,202.05,202.032,202.022,,,,,
12:00PM_2020-11-11,202.12,202.18,201.91,201.91,4640,202.03,202.042,202.02,,,,,
12:05PM_2020-11-11,201.95,202.09,201.935,202.01,5102,202.035,202.038,202.039,,,,,
12:10PM_2020-11-11,202.1,202.1,201.86,202.01,3152,202.027,202.026,202.035,,,,,
12:15PM_2020-11-11,201.98,202.08,201.92,201.94,2418,201.993,202.016,202.017,,,,,
12:20PM_2020-11-11,202.005,202.05,201.72,201.72,2333,201.938,201.987,201.986,,42.26,,,
12:25PM_2020-11-11,201.86,201.88,201.5,201.52,8296,201.852,201.927,201.94,,36.35,,,
12:30PM_2020-11-11,201.45,201.51,201.045,201.37,3999,201.762,201.841,201.871,,32.67,,,
12:35PM_2020-11-11,201.78,202.02,201.78,201.98,1508,201.757,201.833,201.855,,53.38,,,
12:40PM_2020-11-11,202.08,202.19,202.01,202.19,630,201.787,201.85,201.869,,58.16,,,
12:45PM_2020-11-11,202.06,202.15,201.88,202.02,5765,201.8,201.862,201.867,201.944,53.39,,,
12:50PM_2020-11-11,202.385,202.43,202.09,202.4,4941,201.913,201.906,201.916,201.968,61.07,,,
12:55PM_2020-11-11,202.32,202.62,201.98,202.62,16432,202.097,201.973,201.977,202.008,64.7,,,
06:30AM_2020-11-12,203.78,205.55,203.6,205.55,7664,202.793,202.374,202.331,202.183,84.89,,,
06:35AM_2020-11-12,204.26,205.16,204.135,205.16,2910,203.323,202.757,202.653,202.335,78.46,,,
06:40AM_2020-11-12,205.68,205.72,205.14,205.175,4284,203.821,203.163,202.999,202.492,78.52,,,
06:45AM_2020-11-12,205.21,205.325,204.8,204.8,1918,204.284,203.544,203.327,202.633,72.42,1.08,,
