Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
08:20AM_2020-10-30,0.8074,0.8074,0.8074,0.8074,477,,,,,,,,
08:25AM_2020-10-30,0.8036,0.8036,0.8001,0.8001,1700,,,,,,,,
08:30AM_2020-10-30,0.8037,0.8037,0.8017,0.8017,350,,,,,,,,
09:40AM_2020-10-30,0.7994,0.7994,0.7994,0.7994,100,,,,,,,,
12:55PM_2020-10-30,0.8340000000000001,0.8340000000000001,0.8302,0.8302,690,,,,,,,,
08:40AM_2020-11-02,0.7907,0.7907,0.7907,0.7907,100,0.805,,,,,,,
08:55AM_2020-11-02,0.7957,0.7957,0.7957,0.7957,100,0.803,,,,,,,
09:15AM_2020-11-02,0.7903,0.7903,0.7903,0.7903,100,0.801,,,,,,,
10:00AM_2020-11-02,0.795,0.795,0.795,0.795,100,0.8,0.801,,,,,,
10:25AM_2020-11-02,0.8,0.8,0.8,0.8,100,0.8,0.8,0.801,,,,,
11:45AM_2020-11-02,0.8064,0.8064,0.8064,0.8064,400,0.796,0.801,0.801,,,,,
12:40PM_2020-11-02,0.7979999999999999,0.7979999999999999,0.7909999999999999,0.7909999999999999,595,0.796,0.8,0.8,,,,,
07:30AM_2020-11-03,0.79,0.79,0.79,0.79,100,0.795,0.799,0.799,,,,,
07:55AM_2020-11-03,0.7998,0.7998,0.7998,0.7998,2600,0.797,0.795,0.799,,,,,
10:00AM_2020-11-03,0.7966,0.7966,0.7966,0.7966,100,0.797,0.796,0.796,,46.07,,,
12:50PM_2020-11-03,0.7999,0.7999,0.7999,0.7999,4100,0.797,0.797,0.796,,47.43,,,
06:30AM_2020-11-04,0.8,0.8,0.8,0.8,1300,0.796,0.798,0.797,,47.47,,,
06:45AM_2020-11-04,0.82,0.82,0.82,0.82,100,0.801,0.8,0.8,,55.37,,,
12:35PM_2020-11-04,0.8281,0.8281,0.8281,0.8281,100,0.807,0.804,0.803,,58.12,,,
12:40PM_2020-11-04,0.826,0.8278,0.8257,0.8278,300,0.812,0.806,0.806,0.804,57.98,,,
12:45PM_2020-11-04,0.8278,0.8278,0.8278,0.8278,100,0.817,0.81,0.808,0.805,57.98,,,
12:50PM_2020-11-04,0.8379,0.8379,0.8379,0.8379,143,0.824,0.815,0.813,0.806,61.65,,,
06:30AM_2020-11-05,0.847,0.847,0.847,0.847,300,0.831,0.821,0.818,0.809,64.64,,,
07:40AM_2020-11-05,0.8045,0.8045,0.8045,0.8045,200,0.829,0.821,0.819,0.809,46.41,,,
07:45AM_2020-11-05,0.805,0.805,0.805,0.805,500,0.825,0.822,0.82,0.808,46.6,,,
07:50AM_2020-11-05,0.805,0.805,0.805,0.805,290,0.821,0.823,0.82,0.808,46.6,0.01,,
09:30AM_2020-11-05,0.8167,0.8167,0.8167,0.8167,100,0.819,0.822,0.822,0.809,51.31,0.01,,
10:20AM_2020-11-05,0.8183,0.8183,0.8183,0.8183,300,0.816,0.821,0.822,0.811,51.93,0.01,,
10:35AM_2020-11-05,0.8205,0.8205,0.8205,0.8205,300,0.812,0.82,0.821,0.812,52.83,0.01,,
10:40AM_2020-11-05,0.8205,0.8205,0.8205,0.8205,300,0.814,0.819,0.82,0.813,52.83,0.01,,
10:45AM_2020-11-05,0.8205,0.8205,0.8205,0.8205,100,0.817,0.818,0.82,0.814,52.83,0.01,,
12:45PM_2020-11-05,0.8147,0.8147,0.81,0.81,520,0.818,0.813,0.817,0.815,47.55,0.01,,
12:55PM_2020-11-05,0.8061,0.8061,0.8059999999999999,0.8059999999999999,400,0.816,0.814,0.813,0.816,45.68,0.0,,
06:50AM_2020-11-06,0.8276,0.8276,0.8276,0.8276,100,0.818,0.816,0.815,0.817,55.8,0.0,0.01,-0.0012448408205110667
08:45AM_2020-11-06,0.8576,0.8576,0.8576,0.8576,100,0.824,0.822,0.82,0.82,65.43,0.01,0.01,0.001342052479498217
09:35AM_2020-11-06,0.8599,0.8599,0.8599,0.8599,100,0.83,0.827,0.826,0.823,66.04,0.01,0.01,0.0029836815806616136
09:45AM_2020-11-06,0.8578,0.8578,0.8578,0.8578,100,0.836,0.831,0.83,0.826,64.91,0.01,0.01,0.003659182349995911
09:50AM_2020-11-06,0.8626,0.8626,0.8626,0.8626,100,0.845,0.836,0.834,0.828,66.33,0.01,0.01,0.004125723595005008
09:55AM_2020-11-06,0.8638,0.8638,0.8638,0.8638,200,0.855,0.841,0.839,0.83,66.69,0.01,0.01,0.004197689247034779
10:25AM_2020-11-06,0.8588,0.8622,0.8588,0.8622,1500,0.861,0.845,0.843,0.832,65.68,0.01,0.01,0.003830313161599092
10:50AM_2020-11-06,0.8636,0.8641,0.86,0.86,995,0.861,0.851,0.847,0.833,64.23,0.01,0.01,0.003159803991264004
11:10AM_2020-11-06,0.8597,0.8597,0.8597,0.8597,600,0.861,0.857,0.852,0.834,64.02,0.01,0.01,0.0024484978034454256
11:35AM_2020-11-06,0.8598,0.8598,0.8598,0.8598,600,0.861,0.86,0.857,0.835,64.07,0.01,0.01,0.001768855124933617
11:40AM_2020-11-06,0.8615,0.8615,0.8615,0.8615,200,0.861,0.861,0.86,0.838,64.81,0.01,0.01,0.0012427631963712986
11:50AM_2020-11-06,0.8611,0.8611,0.8611,0.8611,400,0.861,0.861,0.861,0.841,64.47,0.01,0.01,0.0007036429085988411
11:55AM_2020-11-06,0.8625,0.8625,0.8625,0.8625,300,0.861,0.861,0.861,0.843,65.16,0.01,0.01,0.0002978863243647163
12:00PM_2020-11-06,0.8623,0.8645,0.8623,0.8645,600,0.862,0.862,0.862,0.846,66.16,0.01,0.01,3.460161155167778e-05
12:05PM_2020-11-06,0.8696,0.8697,0.8696,0.8697,379,0.863,0.862,0.862,0.848,68.69,0.01,0.01,7.855498745429172e-05
12:10PM_2020-11-06,0.8695,0.8695,0.8695,0.8695,100,0.865,0.863,0.863,0.851,68.48,0.01,0.01,-3.201929074321541e-05
12:40PM_2020-11-06,0.862,0.862,0.862,0.862,600,0.865,0.863,0.863,0.853,60.89,0.01,0.01,-0.0006994479898825845
12:45PM_2020-11-06,0.8654,0.8654,0.8625,0.8625,300,0.865,0.864,0.863,0.855,61.2,0.01,0.01,-0.0011687790427288743
12:55PM_2020-11-06,0.8588,0.8649,0.8588,0.8649,200,0.866,0.864,0.864,0.858,62.72,0.01,0.01,-0.0013654257742330804
10:00AM_2020-11-09,0.8345,0.8345,0.8345,0.8345,100,0.861,0.861,0.861,0.859,40.87,0.01,0.01,-0.0034709580009672936
