Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:45AM_2020-10-26,367.97,367.97,367.97,367.97,106,,,,,,,,
10:50AM_2020-10-26,368.15,368.87,368.15,368.58,2544,,,,,,,,
10:55AM_2020-10-26,368.65,369.42,368.55,369.36,4282,,,,,,,,
11:00AM_2020-10-26,369.37,369.37,369.01,369.285,1036,,,,,,,,
11:05AM_2020-10-26,369.16,369.67,369.16,369.67,948,,,,,,,,
11:10AM_2020-10-26,369.54,369.56,369.09,369.4,1287,369.0441666666666,,,,,,,
11:15AM_2020-10-26,369.54,369.81,369.54,369.68,1125,369.3291666666666,,,,,,,
11:20AM_2020-10-26,369.46,369.67,369.39,369.67,1313,369.51083333333327,,,,,,,
11:25AM_2020-10-26,369.665,370.09,369.49,370.09,855,369.63249999999994,369.30055555555555,,,,,,
11:30AM_2020-10-26,369.96,369.96,369.88,369.88,639,369.7316666666666,369.5127777777777,369.3585,,,,,
11:35AM_2020-10-26,369.71,369.71,369.375,369.375,551,369.68249999999995,369.6011111111111,369.49899999999997,,,,,
11:40AM_2020-10-26,369.49,369.65,369.44,369.65,1510,369.72416666666663,369.6333333333333,369.606,,,,,
11:45AM_2020-10-26,369.52,369.52,369.16,369.16,471,369.6375,369.6194444444444,369.58599999999996,,,,,
11:50AM_2020-10-26,369.39,369.61,369.39,369.48,356,369.6058333333333,369.5983333333333,369.6055,,,,,
11:55AM_2020-10-26,369.62,370.17,369.62,369.75,1939,369.5491666666666,369.6372222222222,369.6135,,68.16326530612267,,,
12:00PM_2020-10-26,369.75,369.84,369.75,369.84,405,369.54249999999996,369.655,369.65749999999997,,68.78078817733997,,,
12:05PM_2020-10-26,369.65,369.65,369.45,369.45,614,369.5549999999999,369.63055555555553,369.6345,,63.071710897797935,,,
12:10PM_2020-10-26,369.41,369.615,369.335,369.335,1962,369.5024999999999,369.5466666666666,369.601,,61.45194473742454,,,
12:15PM_2020-10-26,369.47,369.855,369.45,369.55,1672,369.56749999999994,369.51,369.54699999999997,,63.34712721402522,,,
12:20PM_2020-10-26,370.05,370.05,369.64,369.76,1570,369.6141666666667,369.5527777777777,369.53499999999997,369.44675,65.14941504109206,,,
12:25PM_2020-10-26,369.775,369.85,369.71,369.71,1603,369.6075,369.55944444444435,369.5685,369.53375,64.33822871164367,,,
12:30PM_2020-10-26,369.79,370.28,369.45,369.86,2316,369.61083333333335,369.6372222222222,369.58949999999993,369.59775,65.71731325480297,,,
12:35PM_2020-10-26,369.89,369.89,369.605,369.71,2714,369.6541666666667,369.66277777777776,369.6445,369.61525,63.089876091981175,,,
12:40PM_2020-10-26,369.73,369.9,369.65,369.77,2172,369.7266666666667,369.66499999999996,369.6735,369.63950000000006,63.71479942644478,,,
12:45PM_2020-10-26,369.65,369.65,368.91,368.97,4720,369.62999999999994,369.5683333333333,369.5955,369.60450000000003,51.25431118731156,,,
12:50PM_2020-10-26,369.07,369.7,369.07,369.7,6202,369.6199999999999,369.5961111111111,369.58149999999995,369.6195000000001,59.11220242975972,0.07386776604596434,,
12:55PM_2020-10-26,369.84,370.91,369.82,370.75,7566,369.79333333333324,369.75333333333333,369.7115,369.67300000000006,67.28194545695274,0.16327710819706454,,
06:25AM_2020-10-27,369.48,369.87,369.48,369.87,1200,369.79499999999985,369.78888888888883,369.765,369.68300000000005,57.00216006093102,0.16126702460383058,,
06:30AM_2020-10-27,369.72,371.96,369.72,371.96,4993,370.16999999999985,370.03333333333325,370.006,369.77650000000006,69.0836804774042,0.3245780186592242,,
06:35AM_2020-10-27,371.96,372.25,371.74,371.845,2287,370.51583333333315,370.2705555555555,370.21449999999993,369.87475000000006,67.95228290435546,0.43965554370367954,,
06:40AM_2020-10-27,370.81,371.69,370.81,371.52,516,370.9408333333331,370.4549999999999,370.39549999999997,369.9820000000001,64.72609692684136,0.49887975228602954,,
06:45AM_2020-10-27,371.63,371.63,370.78,370.88,1581,371.1374999999998,370.5849999999999,370.49749999999995,370.0435000000001,58.805263486087476,0.488541115109399,,
06:50AM_2020-10-27,370.52,370.52,370.1,370.44,2815,371.08583333333314,370.6594444444444,370.5704999999999,370.1075000000001,55.075194610276576,0.43977390803240723,,
06:55AM_2020-10-27,370.86,370.87,370.31,370.585,1663,371.20499999999987,370.8388888888888,370.65199999999993,370.1627500000001,56.06424574703056,0.40812126535922744,0.33310683355520293,0.0750144318040245
07:00AM_2020-10-27,370.19,370.46,369.975,369.975,874,370.8741666666665,370.86944444444435,370.75249999999994,370.1740000000001,50.979442637586835,0.3300102630898323,0.33248751946212884,-0.0024772563722965657
07:05AM_2020-10-27,370.02,370.55,369.73,370.295,2553,370.6158333333331,370.8188888888888,370.812,370.19675000000007,53.36873963773542,0.2905784491968575,0.3241057054090746,-0.03352725621221708
07:10AM_2020-10-27,370.35,370.57,370.23,370.46,1416,370.4391666666665,370.8844444444444,370.783,370.24725000000007,54.59756368093243,0.2695355357570861,0.3131916714786769,-0.04365613572159077
07:15AM_2020-10-27,370.31,370.32,370.02,370.02,1482,370.2958333333331,370.66888888888883,370.798,370.2815000000001,50.75644966737641,0.21487757752635162,0.2935288526882119,-0.07865127516186027
07:20AM_2020-10-27,369.745,369.745,369.745,369.745,121,370.1799999999998,370.4355555555555,370.5765,370.2912500000001,48.46163963782705,0.14766832161876664,0.26435674647432283,-0.1166884248555562
07:25AM_2020-10-27,369.74,369.74,369.69,369.69,651,370.0308333333331,370.23222222222216,370.361,370.2877500000001,47.99427098376139,0.08894120292632124,0.2292736377647225,-0.14033243483840127
07:30AM_2020-10-27,370.03,370.34,369.71,370.34,554,370.09166666666647,370.17222222222216,370.243,370.31925000000007,53.679757715832494,0.09376820448721901,0.20217255110922183,-0.10840434662200282
