Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:15AM_2020-11-11,254.82,254.83,254.33,254.46,5362,,,,,,,,
11:20AM_2020-11-11,254.28,254.68,254.28,254.44,5954,,,,,,,,
11:25AM_2020-11-11,254.455,254.455,253.89,253.92,13363,,,,,,,,
11:30AM_2020-11-11,253.83,254.0,253.78,253.89,9122,,,,,,,,
11:35AM_2020-11-11,253.76,253.905,253.57,253.63,5953,,,,,,,,
11:40AM_2020-11-11,253.41,253.58,253.11,253.58,6086,253.987,,,,,,,
11:45AM_2020-11-11,253.435,253.435,252.94,253.0,8476,253.743,,,,,,,
11:50AM_2020-11-11,253.14,253.24,252.9,253.19,8386,253.535,,,,,,,
11:55AM_2020-11-11,253.16,253.39,253.0,253.13,5978,253.403,253.693,,,,,,
12:00PM_2020-11-11,253.11,253.41,253.07,253.07,8180,253.267,253.539,253.631,,,,,
12:05PM_2020-11-11,253.07,253.17,252.87,252.94,10027,253.152,253.372,253.479,,,,,
12:10PM_2020-11-11,252.885,253.085,252.78,253.085,11091,253.069,253.279,253.344,,,,,
12:15PM_2020-11-11,253.045,253.045,252.8,252.96,10410,253.062,253.176,253.248,,,,,
12:20PM_2020-11-11,252.91,252.96,252.35,252.6,14531,252.964,253.062,253.118,,,,,
12:25PM_2020-11-11,252.66,253.04,252.61,252.87,14921,252.921,252.983,253.042,,21.61,,,
12:30PM_2020-11-11,252.74,253.125,252.59,252.73,15640,252.864,252.953,252.957,,20.5,,,
12:35PM_2020-11-11,252.54,253.11,252.43,253.07,16448,252.886,252.939,252.964,,29.87,,,
12:40PM_2020-11-11,253.18,253.49,252.95,253.46,16244,252.948,252.976,252.992,,38.79,,,
12:45PM_2020-11-11,253.52,253.69,253.25,253.69,20397,253.07,253.045,253.047,,43.36,,,
12:50PM_2020-11-11,253.83,254.62,253.67,254.38,31165,253.367,253.205,253.178,253.405,54.37,,,
12:55PM_2020-11-11,254.29,254.35,253.85,254.26,58309,253.598,253.336,253.31,253.395,52.46,,,
06:25AM_2020-11-12,247.03,247.03,247.03,247.03,288,252.648,252.677,252.705,253.024,16.0,,,
06:30AM_2020-11-12,246.885,251.025,246.56,250.6,45826,252.237,252.454,252.469,252.858,38.67,,,
06:35AM_2020-11-12,250.61,253.24,250.315,252.51,28498,252.078,252.414,252.46,252.789,46.92,,,
06:40AM_2020-11-12,252.73,253.23,251.75,252.95,22536,251.955,252.439,252.468,252.755,48.63,,,
06:45AM_2020-11-12,253.15,253.445,252.17,253.04,31593,251.732,252.436,252.499,252.728,49.0,-0.52,,
06:50AM_2020-11-12,253.09,254.315,252.95,254.05,19919,251.697,252.501,252.597,252.781,53.01,-0.36,,
06:55AM_2020-11-12,253.94,253.94,252.88,253.32,37024,252.745,252.46,252.583,252.787,49.95,-0.29,,
07:00AM_2020-11-12,253.19,253.55,252.34,253.51,12846,253.23,252.363,252.565,252.806,50.75,-0.21,,
07:05AM_2020-11-12,253.81,254.15,253.05,253.63,17549,253.417,252.293,252.49,252.834,51.28,-0.14,,
07:10AM_2020-11-12,253.785,254.35,253.46,254.03,6448,253.597,253.071,252.467,252.889,53.08,-0.05,,
07:15AM_2020-11-12,254.42,254.42,253.64,253.64,9530,253.697,253.409,253.128,252.917,51.09,-0.01,,
07:20AM_2020-11-12,253.66,254.28,253.62,253.88,7670,253.668,253.561,253.456,252.963,52.28,0.04,,
07:25AM_2020-11-12,254.22,254.36,253.57,253.93,9474,253.77,253.67,253.598,253.029,52.53,0.08,-0.16,0.24405556746953985
07:30AM_2020-11-12,253.87,254.39,253.84,254.29,9158,253.9,253.809,253.732,253.1,54.44,0.14,-0.1,0.2442856290473704
