Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:15AM_2020-11-10,7.08,7.1,7.07,7.1,908,,,,,,,,
11:20AM_2020-11-10,7.11,7.12,7.1,7.1,500,,,,,,,,
11:25AM_2020-11-10,7.12,7.12,7.1,7.1,1600,,,,,,,,
11:30AM_2020-11-10,7.12,7.12,7.1,7.1,752,,,,,,,,
11:35AM_2020-11-10,7.1,7.11,7.08,7.095,4287,,,,,,,,
11:40AM_2020-11-10,7.1,7.175,7.1,7.175,4828,7.11,,,,,,,
11:45AM_2020-11-10,7.18,7.2,7.18,7.2,2101,7.13,,,,,,,
11:50AM_2020-11-10,7.2,7.21,7.195,7.21,1202,7.15,,,,,,,
11:55AM_2020-11-10,7.21,7.215,7.19,7.21,2042,7.16,7.14,,,,,,
12:00PM_2020-11-10,7.21,7.22,7.21,7.215,856,7.18,7.16,7.15,,,,,
12:05PM_2020-11-10,7.21,7.21,7.19,7.21,1857,7.2,7.17,7.16,,,,,
12:10PM_2020-11-10,7.22,7.23,7.21,7.21,2062,7.21,7.18,7.17,,,,,
12:15PM_2020-11-10,7.215,7.24,7.21,7.24,2900,7.22,7.2,7.19,,,,,
12:20PM_2020-11-10,7.24,7.24,7.23,7.23,300,7.22,7.21,7.2,,,,,
12:25PM_2020-11-10,7.23,7.23,7.22,7.23,3451,7.22,7.22,7.21,,88.24,,,
12:30PM_2020-11-10,7.23,7.23,7.18,7.2,3180,7.22,7.22,7.22,,74.14,,,
12:35PM_2020-11-10,7.2,7.23,7.2,7.23,4800,7.22,7.22,7.22,,77.94,,,
12:40PM_2020-11-10,7.24,7.27,7.23,7.255,4831,7.23,7.22,7.22,,80.51,,,
12:45PM_2020-11-10,7.26,7.29,7.255,7.28,9493,7.24,7.23,7.23,,82.68,,,
12:50PM_2020-11-10,7.29,7.305,7.28,7.295,5014,7.25,7.24,7.24,7.19,83.84,,,
12:55PM_2020-11-10,7.3,7.3,7.25,7.27,14193,7.26,7.25,7.24,7.2,74.82,,,
