Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:10AM_2020-11-11,36.69,36.72,36.68,36.695,7866,,,,,,,,
11:15AM_2020-11-11,36.7,36.72,36.66,36.72,8303,,,,,,,,
11:20AM_2020-11-11,36.73,36.75,36.68,36.68,8904,,,,,,,,
11:25AM_2020-11-11,36.705,36.71,36.67,36.67,11884,,,,,,,,
11:30AM_2020-11-11,36.685,36.74,36.685,36.725,13592,,,,,,,,
11:35AM_2020-11-11,36.72,36.745,36.68,36.68,11398,36.695,,,,,,,
11:40AM_2020-11-11,36.685,36.685,36.625,36.66,16208,36.689,,,,,,,
11:45AM_2020-11-11,36.67,36.67,36.56,36.58,12006,36.666,,,,,,,
11:50AM_2020-11-11,36.565,36.61,36.55,36.6,8628,36.652,36.668,,,,,,
11:55AM_2020-11-11,36.585,36.625,36.585,36.62,9736,36.644,36.659,36.663,,,,,
12:00PM_2020-11-11,36.625,36.64,36.545,36.545,8656,36.614,36.64,36.648,,,,,
12:05PM_2020-11-11,36.54,36.575,36.515,36.57,7867,36.596,36.628,36.633,,,,,
12:10PM_2020-11-11,36.55,36.575,36.52,36.54,9095,36.576,36.613,36.619,,,,,
12:15PM_2020-11-11,36.535,36.55,36.52,36.535,15878,36.568,36.592,36.606,,,,,
12:20PM_2020-11-11,36.525,36.545,36.5,36.52,14650,36.555,36.574,36.585,,31.18,,,
12:25PM_2020-11-11,36.515,36.55,36.49,36.49,15125,36.533,36.556,36.566,,29.16,,,
12:30PM_2020-11-11,36.505,36.58,36.46,36.565,15668,36.537,36.554,36.556,,39.7,,,
12:35PM_2020-11-11,36.535,36.59,36.525,36.54,16489,36.532,36.547,36.552,,37.69,,,
12:40PM_2020-11-11,36.53,36.595,36.53,36.56,26790,36.535,36.541,36.548,,40.3,,,
12:45PM_2020-11-11,36.545,36.615,36.54,36.605,27588,36.547,36.547,36.547,36.605,45.8,,,
12:50PM_2020-11-11,36.63,36.66,36.54,36.545,34421,36.551,36.544,36.547,36.597,40.45,,,
12:55PM_2020-11-11,36.545,36.66,36.53,36.63,81222,36.574,36.554,36.553,36.593,49.46,,,
06:30AM_2020-11-12,36.34,36.34,35.92,35.93,5082,36.468,36.487,36.492,36.555,21.12,,,
06:35AM_2020-11-12,35.965,36.01,35.76,35.92,6462,36.365,36.421,36.43,36.518,20.94,,,
06:40AM_2020-11-12,35.93,35.935,35.84,35.86,6814,36.248,36.351,36.364,36.475,19.82,,,
06:45AM_2020-11-12,35.815,35.96,35.78,35.96,5310,36.141,36.283,36.311,36.439,26.84,-0.24,,
06:50AM_2020-11-12,35.935,35.985,35.895,35.895,9952,36.033,36.212,36.244,36.4,25.29,-0.25,,
06:55AM_2020-11-12,35.89,35.89,35.84,35.87,6140,35.906,36.135,36.177,36.365,24.7,-0.26,,
07:00AM_2020-11-12,35.85,35.9,35.75,35.89,9110,35.899,36.056,36.11,36.329,26.18,-0.26,,
07:05AM_2020-11-12,35.92,35.97,35.9,35.97,4058,35.908,35.992,36.047,36.297,31.96,-0.25,,
07:10AM_2020-11-12,35.965,35.98,35.94,35.96,6214,35.924,35.917,35.988,36.268,31.63,-0.24,,
