Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
12:20PM_2020-10-28,10.68,10.68,10.68,10.68,100,,,,,,,,
12:50PM_2020-10-28,10.68,10.68,10.68,10.68,342,,,,,,,,
07:05AM_2020-10-29,10.825,10.825,10.825,10.825,100,,,,,,,,
07:10AM_2020-10-29,10.825,10.825,10.825,10.825,100,,,,,,,,
07:20AM_2020-10-29,10.82,10.82,10.82,10.82,100,,,,,,,,
07:35AM_2020-10-29,10.785,10.785,10.785,10.785,100,10.769,,,,,,,
07:40AM_2020-10-29,10.82,10.82,10.82,10.82,100,10.792,,,,,,,
07:45AM_2020-10-29,10.82,10.82,10.82,10.82,100,10.816,,,,,,,
07:55AM_2020-10-29,10.815,10.815,10.815,10.815,100,10.814,10.786,,,,,,
08:05AM_2020-10-29,10.65,10.815,10.65,10.815,300,10.812,10.801,10.788,,,,,
08:20AM_2020-10-29,10.81,10.81,10.81,10.81,100,10.811,10.815,10.801,,,,,
08:35AM_2020-10-29,10.81,10.81,10.81,10.81,100,10.815,10.813,10.814,,,,,
08:40AM_2020-10-29,10.61,10.805,10.61,10.805,200,10.812,10.811,10.812,,,,,
08:50AM_2020-10-29,10.61,10.8,10.61,10.8,300,10.809,10.809,10.81,,,,,
08:55AM_2020-10-29,10.8,10.8,10.8,10.8,350,10.807,10.811,10.808,,75.0,,,
09:15AM_2020-10-29,10.795,10.795,10.795,10.795,100,10.803,10.808,10.809,,73.35,,,
09:20AM_2020-10-29,10.795,10.795,10.795,10.795,100,10.801,10.805,10.806,,73.35,,,
09:35AM_2020-10-29,10.63,10.79,10.61,10.79,750,10.798,10.802,10.804,,71.53,,,
09:45AM_2020-10-29,10.785,10.785,10.785,10.785,200,10.794,10.799,10.8,,69.67,,,
09:55AM_2020-10-29,10.78,10.78,10.78,10.78,100,10.791,10.796,10.797,10.793,67.77,,,
10:00AM_2020-10-29,10.61,10.61,10.61,10.61,150,10.759,10.773,10.777,10.789,33.91,,,
10:10AM_2020-10-29,10.61,10.61,10.61,10.61,100,10.728,10.752,10.757,10.786,33.91,,,
10:15AM_2020-10-29,10.775,10.775,10.63,10.63,450,10.701,10.733,10.739,10.776,38.13,,,
10:25AM_2020-10-29,10.64,10.64,10.64,10.64,100,10.676,10.715,10.723,10.767,40.19,,,
10:50AM_2020-10-29,10.765,10.765,10.765,10.765,100,10.672,10.712,10.72,10.764,58.67,,,
