Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
07:40AM_2020-11-10,2.405,2.405,2.405,2.405,100,,,,,,,,
07:45AM_2020-11-10,2.4,2.4,2.4,2.4,100,,,,,,,,
07:50AM_2020-11-10,2.41,2.42,2.41,2.42,1594,,,,,,,,
07:55AM_2020-11-10,2.42,2.42,2.42,2.42,100,,,,,,,,
08:10AM_2020-11-10,2.45,2.45,2.45,2.45,100,,,,,,,,
08:25AM_2020-11-10,2.45,2.45,2.45,2.45,100,2.42,,,,,,,
08:30AM_2020-11-10,2.49,2.49,2.49,2.49,117,2.44,,,,,,,
08:35AM_2020-11-10,2.5,2.5,2.5,2.5,700,2.45,,,,,,,
08:40AM_2020-11-10,2.5,2.5,2.48,2.48,347,2.46,2.45,,,,,,
08:45AM_2020-11-10,2.48,2.48,2.48,2.48,200,2.47,2.45,2.45,,,,,
08:50AM_2020-11-10,2.47,2.47,2.47,2.47,100,2.48,2.46,2.46,,,,,
08:55AM_2020-11-10,2.46,2.46,2.46,2.46,200,2.48,2.47,2.46,,,,,
09:00AM_2020-11-10,2.45,2.45,2.44,2.44,802,2.47,2.47,2.46,,,,,
09:05AM_2020-11-10,2.44,2.45,2.44,2.45,300,2.46,2.47,2.47,,,,,
09:10AM_2020-11-10,2.45,2.45,2.45,2.45,400,2.46,2.47,2.47,,62.86,,,
09:30AM_2020-11-10,2.45,2.45,2.45,2.45,249,2.45,2.46,2.47,,62.86,,,
10:00AM_2020-11-10,2.465,2.465,2.465,2.465,100,2.45,2.46,2.46,,66.22,,,
10:10AM_2020-11-10,2.48,2.48,2.48,2.48,100,2.46,2.46,2.46,,69.21,,,
10:15AM_2020-11-10,2.48,2.48,2.455,2.455,360,2.46,2.46,2.46,,59.7,,,
10:20AM_2020-11-10,2.44,2.44,2.42,2.42,530,2.45,2.45,2.45,2.45,49.46,,,
10:25AM_2020-11-10,2.42,2.425,2.42,2.425,202,2.45,2.45,2.45,2.45,50.76,,,
10:30AM_2020-11-10,2.42,2.42,2.42,2.42,300,2.44,2.45,2.45,2.45,49.39,,,
10:40AM_2020-11-10,2.435,2.435,2.43,2.43,200,2.44,2.44,2.44,2.45,52.17,,,
10:50AM_2020-11-10,2.45,2.45,2.44,2.44,400,2.43,2.44,2.44,2.46,54.84,,,
11:05AM_2020-11-10,2.45,2.45,2.45,2.45,200,2.43,2.44,2.44,2.46,57.4,,,
11:15AM_2020-11-10,2.45,2.46,2.45,2.46,200,2.44,2.44,2.44,2.46,59.85,-0.0,,
11:20AM_2020-11-10,2.46,2.465,2.455,2.465,300,2.44,2.44,2.44,2.45,61.05,-0.0,,
11:25AM_2020-11-10,2.47,2.47,2.47,2.47,100,2.45,2.44,2.44,2.45,62.27,0.0,,
11:30AM_2020-11-10,2.47,2.48,2.47,2.48,900,2.46,2.45,2.45,2.45,64.66,0.0,,
11:35AM_2020-11-10,2.47,2.47,2.47,2.47,100,2.47,2.45,2.45,2.45,60.54,0.0,,
