Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:30AM_2020-11-11,394.03,394.03,393.42,393.42,1040,,,,,,,,
10:35AM_2020-11-11,393.42,394.825,393.42,394.825,1782,,,,,,,,
10:40AM_2020-11-11,394.82,394.82,394.33,394.33,1364,,,,,,,,
10:45AM_2020-11-11,394.2,394.2,393.97,394.015,720,,,,,,,,
10:50AM_2020-11-11,394.045,394.045,393.7,393.7,450,,,,,,,,
10:55AM_2020-11-11,393.57,394.0,393.57,393.57,1206,393.977,,,,,,,
11:00AM_2020-11-11,393.51,394.535,393.51,394.535,968,394.162,,,,,,,
11:05AM_2020-11-11,393.86,394.44,393.86,394.32,1402,394.078,,,,,,,
11:10AM_2020-11-11,394.785,394.785,394.655,394.655,626,394.132,394.152,,,,,,
11:15AM_2020-11-11,394.29,394.57,394.29,394.57,798,394.225,394.28,394.194,,,,,
11:20AM_2020-11-11,394.57,394.95,394.57,394.95,978,394.433,394.294,394.347,,,,,
11:25AM_2020-11-11,394.695,395.15,394.61,395.13,1026,394.693,394.383,394.378,,,,,
11:30AM_2020-11-11,395.03,395.12,395.03,395.12,912,394.791,394.506,394.457,,,,,
11:35AM_2020-11-11,394.785,395.4,394.785,395.21,938,394.939,394.673,394.576,,,,,
11:40AM_2020-11-11,395.19,395.65,394.955,395.65,720,395.105,394.904,394.771,,70.8,,,
11:45AM_2020-11-11,394.62,394.75,394.62,394.75,440,395.135,394.928,394.889,,59.96,,,
11:50AM_2020-11-11,394.8,394.8,394.8,394.8,300,395.11,394.982,394.916,,60.32,,,
11:55AM_2020-11-11,395.0,395.0,395.0,395.0,800,395.088,395.02,394.984,,61.82,,,
12:00PM_2020-11-11,395.49,395.49,394.945,394.945,1432,395.059,395.062,395.013,,61.14,,,
12:05PM_2020-11-11,394.815,395.12,394.815,395.08,2326,395.038,395.076,395.064,394.629,62.24,,,
12:10PM_2020-11-11,395.01,395.2,394.325,395.2,1986,394.963,395.084,395.089,394.718,63.23,,,
12:15PM_2020-11-11,395.175,395.175,394.99,394.99,1312,395.003,395.069,395.075,394.726,60.24,,,
12:20PM_2020-11-11,395.47,395.57,394.64,394.66,5346,394.979,395.008,395.029,394.742,55.77,,,
12:25PM_2020-11-11,394.55,394.55,394.1,394.235,8679,394.852,394.851,394.931,394.754,50.56,,,
12:30PM_2020-11-11,394.12,395.16,394.065,394.8,9284,394.828,394.857,394.846,394.809,56.39,,,
12:35PM_2020-11-11,395.07,395.25,394.96,394.96,1036,394.808,394.874,394.867,394.878,57.9,0.14,,
12:40PM_2020-11-11,394.73,394.835,394.625,394.625,634,394.712,394.833,394.85,394.883,53.7,0.12,,
12:45PM_2020-11-11,395.155,395.5,394.94,395.38,3236,394.777,394.881,394.888,394.936,60.63,0.15,,
12:50PM_2020-11-11,395.285,395.99,395.285,395.89,3142,394.982,394.971,394.982,394.997,64.5,0.22,,
12:55PM_2020-11-11,395.605,395.8,394.43,394.47,10638,395.021,394.89,394.921,394.992,49.82,0.16,,
06:30AM_2020-11-12,394.425,395.33,394.425,395.33,1420,395.109,394.928,394.934,395.011,56.31,0.18,,
06:35AM_2020-11-12,394.41,394.96,394.41,394.81,1386,395.084,394.944,394.916,394.995,51.94,0.15,,
06:40AM_2020-11-12,394.89,395.45,394.79,395.45,7314,395.222,395.079,394.995,395.012,56.42,0.18,,
06:45AM_2020-11-12,397.41,397.41,396.34,396.34,810,395.382,395.251,395.206,395.068,61.76,0.27,0.18,0.09366739937848934
06:50AM_2020-11-12,397.245,397.44,396.765,396.765,816,395.528,395.451,395.402,395.124,64.03,0.37,0.21,0.1559289663965046
06:55AM_2020-11-12,398.53,398.53,398.19,398.19,1012,396.148,395.847,395.725,395.296,70.37,0.56,0.28,0.27576397057991014
07:00AM_2020-11-12,398.54,400.35,398.54,399.93,3070,396.914,396.353,396.256,395.553,75.95,0.84,0.39,0.44487698309074586
07:05AM_2020-11-12,400.03,400.03,398.99,399.13,2008,397.634,396.713,396.631,395.759,69.47,0.99,0.51,0.4729004822551319
07:10AM_2020-11-12,400.22,400.75,399.99,400.59,2246,398.491,397.393,397.101,396.041,73.86,1.21,0.65,0.5541728540501175
07:15AM_2020-11-12,400.55,400.795,400.55,400.795,902,399.233,398.0,397.733,396.327,74.41,1.38,0.8,0.5832059154589688
07:20AM_2020-11-12,400.65,400.65,399.97,400.06,958,399.783,398.583,398.206,396.57,68.77,1.44,0.93,0.5166565798671003
07:25AM_2020-11-12,399.955,399.955,399.55,399.64,2504,400.024,399.049,398.689,396.803,65.71,1.44,1.03,0.41261167496134954
07:30AM_2020-11-12,399.57,399.73,399.57,399.73,408,399.991,399.426,399.117,397.056,66.06,1.43,1.11,0.3221260625377984
07:35AM_2020-11-12,399.04,399.04,398.925,398.925,546,399.957,399.666,399.376,397.291,60.16,1.34,1.16,0.1870315577059105
07:45AM_2020-11-12,397.2,397.2,395.61,395.61,1458,399.127,399.379,399.26,397.331,43.09,0.99,1.12,-0.129549678428325
07:50AM_2020-11-12,394.04,394.04,393.98,394.005,798,397.995,398.721,398.842,397.283,37.54,0.58,1.02,-0.43386409518617985
07:55AM_2020-11-12,394.43,394.43,393.97,393.97,400,396.98,398.147,398.246,397.251,37.43,0.25,0.86,-0.6133546463961688
08:00AM_2020-11-12,394.085,394.085,393.01,393.165,1092,395.901,397.322,397.649,397.14,34.82,-0.08,0.67,-0.7529404674640041
08:05AM_2020-11-12,392.95,392.98,392.15,392.15,886,394.638,396.362,396.805,396.953,31.82,-0.42,0.46,-0.8718830631388896
08:10AM_2020-11-12,391.76,391.85,390.89,390.89,844,393.298,395.343,395.815,396.774,28.53,-0.78,0.21,-0.9852998474252967
08:15AM_2020-11-12,390.695,390.74,389.71,389.71,2220,392.315,394.239,394.78,396.493,25.83,-1.14,-0.06,-1.0819565541781921
08:20AM_2020-11-12,390.13,390.95,390.13,390.95,1836,391.806,393.264,393.911,396.3,33.0,-1.32,-0.31,-1.006136720460973
08:25AM_2020-11-12,390.81,390.81,390.54,390.54,774,391.234,392.332,392.992,396.054,31.9,-1.47,-0.54,-0.9291924897655468
08:30AM_2020-11-12,390.3,390.3,390.24,390.24,400,390.747,391.736,392.123,395.749,31.08,-1.6,-0.76,-0.8464392918842627
08:35AM_2020-11-12,390.14,390.14,390.09,390.09,406,390.403,391.301,391.571,395.416,30.66,-1.7,-0.94,-0.7528813493494766
08:40AM_2020-11-12,389.73,389.73,389.64,389.695,1252,390.204,390.826,391.14,394.991,29.53,-1.78,-1.11,-0.6713750228812818
08:45AM_2020-11-12,389.655,389.655,389.25,389.49,1046,390.168,390.417,390.692,394.469,28.93,-1.85,-1.26,-0.5880395565936194
08:50AM_2020-11-12,389.64,389.85,389.56,389.85,1184,389.984,390.162,390.361,394.005,31.55,-1.85,-1.38,-0.4705289625970108
