Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:10AM_2020-11-11,35.72,35.88,35.685,35.81,19046,,,,,,,,
11:15AM_2020-11-11,35.81,35.845,35.755,35.83,10504,,,,,,,,
11:20AM_2020-11-11,35.845,35.88,35.75,35.82,14207,,,,,,,,
11:25AM_2020-11-11,35.795,35.81,35.74,35.76,7702,,,,,,,,
11:30AM_2020-11-11,35.75,35.91,35.75,35.84,7446,,,,,,,,
11:35AM_2020-11-11,35.73,35.795,35.69,35.795,6732,35.809,,,,,,,
11:40AM_2020-11-11,35.82,35.88,35.75,35.85,14080,35.816,,,,,,,
11:45AM_2020-11-11,35.81,35.82,35.51,35.53,3256,35.766,,,,,,,
11:50AM_2020-11-11,35.535,35.64,35.51,35.64,4408,35.736,35.764,,,,,,
11:55AM_2020-11-11,35.58,35.64,35.535,35.64,3620,35.716,35.745,35.752,,,,,
12:00PM_2020-11-11,35.665,35.665,35.38,35.5,5334,35.659,35.708,35.72,,,,,
12:05PM_2020-11-11,35.44,35.47,35.385,35.465,4294,35.604,35.669,35.684,,,,,
12:10PM_2020-11-11,35.46,35.6,35.46,35.58,7924,35.559,35.649,35.66,,,,,
12:15PM_2020-11-11,35.625,35.625,35.48,35.56,5208,35.564,35.618,35.64,,,,,
12:20PM_2020-11-11,35.61,35.63,35.52,35.55,9732,35.549,35.591,35.611,,37.25,,,
12:25PM_2020-11-11,35.615,35.745,35.59,35.725,10330,35.563,35.577,35.604,,47.04,,,
12:30PM_2020-11-11,35.725,35.725,35.595,35.615,26664,35.582,35.586,35.58,,42.55,,,
12:35PM_2020-11-11,35.59,35.73,35.54,35.73,25962,35.627,35.596,35.6,,48.13,,,
12:40PM_2020-11-11,35.69,35.75,35.65,35.71,23348,35.648,35.604,35.608,,47.27,,,
12:45PM_2020-11-11,35.71,35.8,35.69,35.755,22446,35.681,35.632,35.619,35.685,49.45,,,
12:50PM_2020-11-11,35.78,35.91,35.78,35.89,42058,35.737,35.679,35.658,35.689,55.43,,,
12:55PM_2020-11-11,35.89,36.07,35.855,36.05,36444,35.792,35.732,35.716,35.7,61.27,,,
06:30AM_2020-11-12,36.39,36.435,36.06,36.19,11460,35.887,35.802,35.777,35.719,65.52,,,
06:35AM_2020-11-12,36.16,36.51,35.97,36.48,7786,36.012,35.905,35.87,35.755,72.31,,,
06:40AM_2020-11-12,36.24,36.365,36.1,36.3,5328,36.111,35.969,35.944,35.778,63.9,,,
06:45AM_2020-11-12,36.4,36.44,36.06,36.065,2790,36.162,36.019,35.978,35.791,54.92,0.21,,
06:50AM_2020-11-12,36.19,36.24,36.06,36.12,4526,36.201,36.062,36.029,35.805,56.46,0.2,,
06:55AM_2020-11-12,36.065,36.065,35.89,35.99,8246,36.191,36.093,36.055,35.828,51.94,0.18,,
07:00AM_2020-11-12,35.9,35.98,35.845,35.845,2410,36.133,36.103,36.068,35.838,47.38,0.16,,
07:05AM_2020-11-12,35.82,35.87,35.67,35.79,7864,36.018,36.092,36.072,35.846,45.74,0.13,,
07:10AM_2020-11-12,35.8,35.905,35.7,35.905,4106,35.952,36.076,36.074,35.866,49.66,0.11,,
07:15AM_2020-11-12,35.88,36.0,35.875,36.0,2132,35.942,36.055,36.068,35.892,52.71,0.11,,
07:20AM_2020-11-12,36.0,36.0,35.96,35.98,2626,35.918,35.999,36.048,35.912,51.99,0.1,,
07:25AM_2020-11-12,35.995,36.02,35.81,35.81,8228,35.888,35.945,35.98,35.925,46.27,0.08,0.14,-0.05867283332332185
07:30AM_2020-11-12,35.73,35.8,35.73,35.77,2716,35.876,35.912,35.927,35.936,45.01,0.06,0.13,-0.06261426794838548
07:35AM_2020-11-12,35.77,35.785,35.71,35.71,3470,35.862,35.867,35.892,35.935,43.12,0.04,0.11,-0.06678820337221675
07:40AM_2020-11-12,35.68,35.71,35.5,35.54,8824,35.802,35.817,35.834,35.932,38.22,0.01,0.09,-0.0777567803950071
07:45AM_2020-11-12,35.56,35.59,35.37,35.38,2026,35.698,35.765,35.773,35.914,34.28,-0.02,0.07,-0.0915937161364133
07:50AM_2020-11-12,35.36,35.36,35.14,35.14,6458,35.558,35.693,35.702,35.885,29.37,-0.07,0.04,-0.11139978101611908
07:55AM_2020-11-12,35.09,35.17,35.06,35.12,13862,35.443,35.606,35.635,35.854,29.0,-0.11,0.01,-0.11961512507482523
08:00AM_2020-11-12,35.16,35.19,35.16,35.19,2748,35.347,35.516,35.564,35.819,32.24,-0.13,-0.02,-0.11411875115244538
08:05AM_2020-11-12,35.195,35.295,35.16,35.295,5436,35.277,35.439,35.494,35.781,36.88,-0.14,-0.04,-0.09782254909163074
08:10AM_2020-11-12,35.245,35.25,35.21,35.22,2728,35.224,35.374,35.418,35.732,35.04,-0.15,-0.06,-0.08687571993165126
08:15AM_2020-11-12,35.08,35.25,35.07,35.24,4382,35.201,35.315,35.36,35.67,35.96,-0.16,-0.08,-0.07359493954311634
08:20AM_2020-11-12,35.235,35.345,35.235,35.33,4024,35.232,35.273,35.316,35.622,40.08,-0.15,-0.1,-0.05491250997291902
08:25AM_2020-11-12,35.3,35.32,35.15,35.16,4290,35.239,35.231,35.262,35.577,35.44,-0.16,-0.11,-0.050291231047018076
08:30AM_2020-11-12,35.16,35.3,35.16,35.16,5410,35.234,35.206,35.223,35.529,35.44,-0.16,-0.12,-0.043761837275370766
08:35AM_2020-11-12,35.15,35.185,35.105,35.16,4864,35.212,35.208,35.201,35.487,35.44,-0.17,-0.13,-0.03627901361629285
