Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:40AM_2020-10-26,41.445,41.47,41.435,41.455,4063,,,,,,,,
10:45AM_2020-10-26,41.475,41.49,41.445,41.475,3166,,,,,,,,
10:50AM_2020-10-26,41.475,41.5,41.47,41.485,2570,,,,,,,,
10:55AM_2020-10-26,41.48,41.49,41.45,41.49,2427,,,,,,,,
11:00AM_2020-10-26,41.495,41.515,41.475,41.495,4357,,,,,,,,
11:05AM_2020-10-26,41.5,41.555,41.5,41.55,4203,41.49166666666667,,,,,,,
11:10AM_2020-10-26,41.56,41.57,41.51,41.52,6609,41.5025,,,,,,,
11:15AM_2020-10-26,41.515,41.61,41.51,41.61,8700,41.525,,,,,,,
11:20AM_2020-10-26,41.59,41.6,41.55,41.575,4934,41.54,41.517222222222216,,,,,,
11:25AM_2020-10-26,41.57,41.665,41.545,41.635,3938,41.564166666666665,41.53722222222222,41.528999999999996,,,,,
11:30AM_2020-10-26,41.615,41.665,41.615,41.665,3901,41.5925,41.55833333333333,41.55,,,,,
11:35AM_2020-10-26,41.635,41.635,41.54,41.54,4559,41.590833333333336,41.56444444444444,41.5565,,,,,
11:40AM_2020-10-26,41.54,41.59,41.54,41.575,4577,41.6,41.57388888888889,41.5655,,,,,
11:45AM_2020-10-26,41.515,41.52,41.465,41.465,1934,41.57583333333333,41.57055555555556,41.563,,,,,
11:50AM_2020-10-26,41.475,41.565,41.475,41.545,4082,41.57083333333333,41.57,41.568,,56.52173913043518,,,
11:55AM_2020-10-26,41.56,41.59,41.535,41.54,4221,41.55500000000001,41.57222222222222,41.567,,56.08407079646035,,,
12:00PM_2020-10-26,41.54,41.57,41.51,41.515,6339,41.53000000000001,41.56166666666667,41.566500000000005,,53.83924195392934,,,
12:05PM_2020-10-26,41.515,41.535,41.5,41.525,4429,41.52750000000001,41.55611111111111,41.558,,54.621656680462145,,,
12:10PM_2020-10-26,41.53,41.535,41.49,41.495,7838,41.514166666666675,41.54055555555556,41.55,,51.78582208090926,,,
12:15PM_2020-10-26,41.5,41.525,41.485,41.52,12789,41.52333333333333,41.52444444444444,41.5385,41.53375,53.93225074973075,,,
12:20PM_2020-10-26,41.515,41.58,41.515,41.565,4885,41.52666666666667,41.527222222222214,41.528499999999994,41.539249999999996,57.591963876869976,,,
12:25PM_2020-10-26,41.565,41.63,41.565,41.63,7095,41.54166666666667,41.53333333333333,41.537499999999994,41.547,62.25620640365305,,,
12:30PM_2020-10-26,41.63,41.715,41.595,41.605,9449,41.55666666666667,41.54888888888888,41.540499999999994,41.553,59.54364417956312,,,
12:35PM_2020-10-26,41.62,41.625,41.56,41.58,17278,41.56583333333334,41.55277777777777,41.552,41.5575,56.87492676353036,,,
