Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
12:10PM_2020-11-10,8.43,8.435,8.4,8.42,228543,,,,,,,,
12:15PM_2020-11-10,8.42,8.44,8.415,8.44,73186,,,,,,,,
12:20PM_2020-11-10,8.44,8.45,8.42,8.425,189303,,,,,,,,
12:25PM_2020-11-10,8.42,8.44,8.41,8.435,105634,,,,,,,,
12:30PM_2020-11-10,8.435,8.44,8.42,8.425,136460,,,,,,,,
12:35PM_2020-11-10,8.43,8.43,8.405,8.405,159732,8.42,,,,,,,
12:40PM_2020-11-10,8.41,8.415,8.38,8.39,391218,8.42,,,,,,,
12:45PM_2020-11-10,8.395,8.41,8.385,8.41,210410,8.41,,,,,,,
12:50PM_2020-11-10,8.405,8.42,8.395,8.4,319784,8.41,8.42,,,,,,
12:55PM_2020-11-10,8.4,8.4,8.36,8.38,1164804,8.4,8.41,8.41,,,,,
01:10PM_2020-11-10,8.39,8.39,8.39,8.39,600,8.4,8.41,8.41,,,,,
01:20PM_2020-11-10,8.4,8.4,8.4,8.4,2190,8.39,8.4,8.41,,,,,
01:35PM_2020-11-10,8.4,8.4,8.4,8.4,790,8.4,8.4,8.4,,,,,
01:40PM_2020-11-10,8.4,8.4,8.4,8.4,600,8.39,8.4,8.4,,,,,
04:55AM_2020-11-11,8.59,8.59,8.59,8.59,200,8.43,8.42,8.42,,74.29,,,
05:10AM_2020-11-11,8.58,8.58,8.58,8.58,200,8.46,8.44,8.43,,72.07,,,
05:40AM_2020-11-11,8.56,8.56,8.55,8.55,1000,8.49,8.45,8.45,,65.73,,,
05:50AM_2020-11-11,8.56,8.56,8.56,8.56,200,8.51,8.47,8.47,,66.78,,,
06:30AM_2020-11-11,8.59,8.59,8.53,8.545,198914,8.54,8.49,8.48,,63.63,,,
06:35AM_2020-11-11,8.53,8.53,8.44,8.46,128107,8.55,8.5,8.49,8.45,49.42,,,
06:40AM_2020-11-11,8.46,8.47,8.41,8.42,77667,8.52,8.5,8.49,8.45,44.4,,,
06:45AM_2020-11-11,8.42,8.435,8.39,8.42,120044,8.49,8.5,8.49,8.45,44.4,,,
06:50AM_2020-11-11,8.42,8.44,8.41,8.41,60875,8.47,8.5,8.49,8.45,43.13,,,
06:55AM_2020-11-11,8.405,8.41,8.39,8.39,101492,8.44,8.48,8.49,8.45,40.62,,,
07:00AM_2020-11-11,8.4,8.425,8.39,8.42,105134,8.42,8.46,8.48,8.45,45.72,,,
07:05AM_2020-11-11,8.425,8.43,8.4,8.42,86282,8.41,8.45,8.46,8.45,45.72,-0.0,,
07:10AM_2020-11-11,8.41,8.445,8.41,8.42,88771,8.41,8.43,8.45,8.45,45.72,-0.0,,
07:15AM_2020-11-11,8.42,8.435,8.405,8.41,55587,8.41,8.42,8.43,8.45,44.14,-0.0,,
07:20AM_2020-11-11,8.41,8.41,8.375,8.38,96521,8.41,8.41,8.42,8.45,39.71,-0.01,,
07:25AM_2020-11-11,8.375,8.41,8.375,8.39,62153,8.41,8.41,8.41,8.45,41.81,-0.01,,
07:30AM_2020-11-11,8.395,8.43,8.395,8.42,107587,8.41,8.41,8.41,8.45,47.68,-0.01,,
07:35AM_2020-11-11,8.42,8.425,8.395,8.41,98465,8.4,8.41,8.41,8.45,46.01,-0.01,,
07:40AM_2020-11-11,8.42,8.43,8.4,8.4,105089,8.4,8.41,8.41,8.45,44.34,-0.01,,
07:45AM_2020-11-11,8.395,8.41,8.38,8.38,74087,8.4,8.4,8.41,8.45,41.13,-0.01,-0.01,-0.004975344004333316
07:50AM_2020-11-11,8.38,8.4,8.38,8.38,177444,8.4,8.4,8.4,8.44,41.13,-0.01,-0.01,-0.005157670146545633
07:55AM_2020-11-11,8.39,8.405,8.38,8.395,84162,8.4,8.4,8.4,8.43,44.62,-0.01,-0.01,-0.0039634931884213465
08:00AM_2020-11-11,8.395,8.4,8.39,8.39,92844,8.39,8.39,8.4,8.42,43.69,-0.01,-0.01,-0.0032364711573783962
08:05AM_2020-11-11,8.39,8.41,8.38,8.41,154490,8.39,8.4,8.4,8.41,48.33,-0.01,-0.01,-0.0012375463126681838
08:10AM_2020-11-11,8.41,8.44,8.41,8.44,73506,8.4,8.4,8.4,8.41,54.4,-0.01,-0.01,0.002094792887921998
08:15AM_2020-11-11,8.44,8.45,8.43,8.445,99364,8.41,8.41,8.41,8.41,55.34,-0.0,-0.01,0.004487987594761456
08:20AM_2020-11-11,8.45,8.45,8.425,8.44,58532,8.42,8.41,8.41,8.41,54.14,-0.0,-0.01,0.005518683836336021
08:25AM_2020-11-11,8.43,8.44,8.43,8.44,73756,8.43,8.41,8.41,8.41,54.14,-0.0,-0.01,0.005947871758046561
08:30AM_2020-11-11,8.44,8.44,8.43,8.43,49525,8.43,8.42,8.42,8.41,51.54,0.0,-0.01,0.0053258141369216345
08:35AM_2020-11-11,8.435,8.45,8.43,8.44,44818,8.44,8.43,8.42,8.41,53.92,0.0,-0.0,0.0053416801325903394
08:40AM_2020-11-11,8.435,8.45,8.435,8.45,69726,8.44,8.43,8.43,8.41,56.24,0.0,-0.0,0.005744377801389476
08:45AM_2020-11-11,8.44,8.445,8.415,8.42,88698,8.44,8.43,8.43,8.41,48.38,0.0,-0.0,0.0038026248398219647
08:50AM_2020-11-11,8.42,8.43,8.415,8.425,21854,8.43,8.44,8.43,8.41,49.64,0.0,-0.0,0.00271815682395342
08:55AM_2020-11-11,8.42,8.43,8.42,8.425,43114,8.43,8.43,8.44,8.42,49.64,0.0,-0.0,0.0019025844607546095
09:00AM_2020-11-11,8.425,8.43,8.41,8.41,44684,8.43,8.43,8.43,8.42,45.74,0.0,-0.0,0.00033670300211940593
09:05AM_2020-11-11,8.41,8.43,8.41,8.41,42890,8.42,8.43,8.43,8.42,45.74,-0.0,-0.0,-0.0006608740250642093
09:10AM_2020-11-11,8.41,8.415,8.395,8.395,29704,8.41,8.42,8.42,8.42,41.93,-0.0,-0.0,-0.0022057128999936303
09:15AM_2020-11-11,8.395,8.41,8.395,8.41,57256,8.41,8.42,8.42,8.42,46.72,-0.0,-0.0,-0.0020930247119213177
