Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
12:20PM_2020-11-17,7.55,7.555,7.55,7.555,300,,,,,,,,,
06:30AM_2020-11-18,7.51,7.52,7.5,7.52,600,,,,,,,,,
06:35AM_2020-11-18,7.46,7.46,7.44,7.44,1850,,,,,,,,,
06:45AM_2020-11-18,7.5,7.5,7.47,7.47,200,,,,,,,,,
06:50AM_2020-11-18,7.51,7.56,7.51,7.56,5050,,,,,,,,,
07:10AM_2020-11-18,7.49,7.49,7.49,7.49,100,7.506,,,,,,,,
07:45AM_2020-11-18,7.45,7.45,7.45,7.45,100,7.488,,,,,,,,
08:05AM_2020-11-18,7.41,7.41,7.41,7.41,100,7.47,,,,,,,,
08:10AM_2020-11-18,7.38,7.38,7.38,7.38,100,7.46,7.475,,,,,,,
08:30AM_2020-11-18,7.41,7.41,7.41,7.41,100,7.45,7.459,7.469,,,,,,
08:35AM_2020-11-18,7.41,7.41,7.41,7.41,100,7.425,7.447,7.454,,,,,,
08:40AM_2020-11-18,7.4,7.4,7.4,7.4,100,7.41,7.442,7.442,,,,,,
09:00AM_2020-11-18,7.28,7.28,7.28,7.28,100,7.382,7.421,7.426,,,,,,
09:20AM_2020-11-18,7.25,7.25,7.25,7.25,200,7.355,7.387,7.404,,,,,,
09:30AM_2020-11-18,7.21,7.21,7.21,7.21,100,7.327,7.356,7.369,,23.26,,,,
09:35AM_2020-11-18,7.2,7.2,7.2,7.2,100,7.292,7.328,7.34,,22.87,,,,
10:30AM_2020-11-18,7.25,7.25,7.25,7.25,100,7.265,7.31,7.32,,29.14,,,,
10:40AM_2020-11-18,7.23,7.23,7.23,7.23,200,7.237,7.293,7.302,,28.15,,,,
10:55AM_2020-11-18,7.29,7.29,7.29,7.29,100,7.238,7.28,7.293,,35.23,,,,
11:20AM_2020-11-18,7.33,7.33,7.33,7.33,100,7.252,7.271,7.285,7.377,39.51,,,,-0.1251
11:30AM_2020-11-18,7.315,7.315,7.29,7.29,3300,7.265,7.259,7.273,7.363,36.88,,,,-0.0985
11:35AM_2020-11-18,7.305,7.305,7.29,7.29,1600,7.28,7.26,7.262,7.352,36.88,,,,-0.072
11:45AM_2020-11-18,7.26,7.27,7.26,7.27,381,7.283,7.262,7.261,7.343,35.52,,,,-0.0602
12:00PM_2020-11-18,7.26,7.26,7.26,7.26,600,7.288,7.268,7.262,7.333,34.82,,,,-0.0447
12:05PM_2020-11-18,7.24,7.24,7.24,7.24,124,7.28,7.272,7.265,7.317,33.41,,,,-0.037
12:20PM_2020-11-18,7.19,7.19,7.19,7.19,600,7.257,7.266,7.264,7.302,30.13,-0.08,,,-0.0453
12:25PM_2020-11-18,7.2,7.2,7.2,7.2,100,7.242,7.262,7.259,7.289,31.58,-0.08,,,-0.0478
12:55PM_2020-11-18,7.39,7.4,7.37,7.4,1606,7.26,7.274,7.276,7.289,52.69,-0.06,,,-0.029
06:30AM_2020-11-19,7.59,7.59,7.59,7.59,100,7.313,7.303,7.306,7.299,64.04,-0.03,,,0.0138
06:35AM_2020-11-19,7.52,7.52,7.52,7.52,1100,7.357,7.329,7.325,7.305,58.47,-0.01,,,0.0517
07:35AM_2020-11-19,7.36,7.36,7.36,7.36,800,7.377,7.337,7.332,7.302,48.17,-0.01,,,0.0742
08:35AM_2020-11-19,7.38,7.38,7.38,7.38,100,7.408,7.349,7.341,7.302,49.37,-0.01,,,0.1068
09:40AM_2020-11-19,7.38,7.38,7.38,7.38,100,7.438,7.362,7.352,7.306,49.37,-0.01,,,0.1318
10:25AM_2020-11-19,7.34,7.34,7.34,7.34,100,7.428,7.373,7.36,7.311,46.85,-0.01,-0.03,0.02393980222364779,0.1173
11:30AM_2020-11-19,7.31,7.31,7.31,7.31,1600,7.382,7.387,7.367,7.316,45.0,-0.01,-0.03,0.016436114846134508,0.0657
12:35PM_2020-11-19,7.31,7.31,7.31,7.31,100,7.347,7.399,7.379,7.322,45.0,-0.02,-0.03,0.011136950351652443,0.0252
12:55PM_2020-11-19,7.325,7.33,7.32,7.32,2365,7.34,7.39,7.391,7.325,45.83,-0.02,-0.02,0.008110122326355489,0.015
06:00AM_2020-11-20,7.3,7.3,7.28,7.28,200,7.323,7.356,7.379,7.328,43.03,-0.02,-0.02,0.003456854303978879,-0.0042
06:30AM_2020-11-20,7.33,7.33,7.33,7.33,1500,7.315,7.334,7.353,7.33,47.35,-0.02,-0.02,0.0037638080730867385,-0.0145
07:00AM_2020-11-20,7.37,7.37,7.37,7.37,100,7.32,7.336,7.338,7.332,50.58,-0.01,-0.02,0.006516886623722851,-0.0115
07:25AM_2020-11-20,7.34,7.34,7.33,7.33,200,7.323,7.33,7.335,7.334,47.45,-0.01,-0.02,0.005538561462978819,-0.0102
07:35AM_2020-11-20,7.31,7.31,7.31,7.31,100,7.323,7.322,7.328,7.335,45.92,-0.02,-0.02,0.003536479941219285,-0.0112
08:00AM_2020-11-20,7.31,7.31,7.31,7.31,100,7.322,7.319,7.321,7.337,45.92,-0.02,-0.02,0.0022659731106959673,-0.0148
08:20AM_2020-11-20,7.32,7.32,7.32,7.32,100,7.328,7.32,7.319,7.34,46.91,-0.02,-0.02,0.0021536172182511013,-0.0112
10:15AM_2020-11-20,7.29,7.29,7.29,7.29,100,7.322,7.318,7.317,7.342,44.28,-0.02,-0.02,0.00021544269624313578,-0.0203
10:25AM_2020-11-20,7.26,7.26,7.26,7.26,3800,7.303,7.311,7.312,7.346,41.76,-0.02,-0.02,-0.002766008297150027,-0.0422
10:35AM_2020-11-20,7.23,7.23,7.23,7.23,200,7.287,7.306,7.303,7.347,39.35,-0.03,-0.02,-0.006238767891079633,-0.0603
11:05AM_2020-11-20,7.25,7.25,7.25,7.25,100,7.277,7.297,7.3,7.34,41.76,-0.03,-0.02,-0.006632319796339423,-0.0628
11:35AM_2020-11-20,7.2,7.2,7.2,7.2,100,7.258,7.278,7.287,7.32,37.72,-0.03,-0.02,-0.009527373404159819,-0.0617
11:45AM_2020-11-20,7.23,7.23,7.23,7.23,190,7.243,7.267,7.273,7.305,41.39,-0.03,-0.03,-0.008711428406442272,-0.0622
