Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
06:45AM_2020-11-13,192.97,192.97,192.97,192.97,100,,,,,,,,,
06:50AM_2020-11-13,192.3,192.3,192.3,192.3,100,,,,,,,,,
07:05AM_2020-11-13,189.37,189.37,189.37,189.37,100,,,,,,,,,
07:15AM_2020-11-13,187.14,187.14,187.14,187.14,100,,,,,,,,,
07:40AM_2020-11-13,186.24,186.24,186.24,186.24,100,,,,,,,,,
07:55AM_2020-11-13,185.61,185.61,185.54,185.54,200,188.927,,,,,,,,
08:00AM_2020-11-13,185.82,185.82,185.82,185.82,100,187.735,,,,,,,,
09:10AM_2020-11-13,189.16,189.16,189.16,189.16,100,187.212,,,,,,,,
09:55AM_2020-11-13,189.81,189.81,189.81,189.81,100,187.285,188.706,,,,,,,
10:20AM_2020-11-13,188.68,188.68,188.68,188.68,200,187.542,188.229,188.703,,,,,,
07:45AM_2020-11-16,194.72,194.72,194.72,194.72,100,188.955,188.498,188.878,,,,,,
07:55AM_2020-11-16,195.19,195.19,195.19,195.19,100,190.563,189.144,189.167,,,,,,
08:15AM_2020-11-16,194.52,194.52,194.52,194.52,100,192.013,189.964,189.682,,,,,,
08:40AM_2020-11-16,193.48,193.48,193.48,193.48,100,192.733,190.769,190.316,,,,,,
09:10AM_2020-11-16,193.77,193.77,193.77,193.77,100,193.393,191.683,191.069,,51.87,,,,
09:20AM_2020-11-16,193.11,193.11,193.11,193.11,100,194.132,192.493,191.826,,50.2,,,,
09:30AM_2020-11-16,193.12,193.12,193.12,193.12,100,193.865,192.933,192.556,,50.23,,,,
12:30PM_2020-11-16,192.31,192.31,192.31,192.31,100,193.385,193.211,192.871,,48.03,,,,
12:55PM_2020-11-16,192.72,192.72,192.72,192.72,100,193.085,193.66,193.162,,49.24,,,,
06:30AM_2020-11-17,198.4,198.4,197.62,197.62,400,193.775,193.982,194.056,191.379,60.97,,,,2.3955
