Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:35AM_2020-10-26,26.09,26.195,26.09,26.19,7488,,,,,,,,
10:40AM_2020-10-26,26.19,26.19,26.17,26.17,3937,,,,,,,,
10:45AM_2020-10-26,26.17,26.17,26.145,26.16,6867,,,,,,,,
10:50AM_2020-10-26,26.165,26.205,26.165,26.185,10260,,,,,,,,
10:55AM_2020-10-26,26.19,26.19,26.15,26.19,4123,,,,,,,,
11:00AM_2020-10-26,26.18,26.235,26.18,26.235,5173,26.188333333333333,,,,,,,
11:05AM_2020-10-26,26.24,26.27,26.22,26.225,4898,26.194166666666664,,,,,,,
11:10AM_2020-10-26,26.21,26.225,26.17,26.17,3896,26.19416666666666,,,,,,,
11:15AM_2020-10-26,26.155,26.2,26.125,26.2,3959,26.200833333333325,26.191666666666663,,,,,,
11:20AM_2020-10-26,26.195,26.205,26.17,26.2,2619,26.203333333333322,26.192777777777774,26.192499999999995,,,,,
11:25AM_2020-10-26,26.185,26.25,26.175,26.24,9010,26.21166666666666,26.20055555555555,26.197499999999998,,,,,
11:30AM_2020-10-26,26.22,26.22,26.18,26.185,4394,26.20333333333333,26.20333333333333,26.198999999999995,,,,,
11:35AM_2020-10-26,26.16,26.165,26.11,26.14,8704,26.18916666666666,26.19833333333333,26.196999999999992,,,,,
11:40AM_2020-10-26,26.125,26.19,26.125,26.13,5301,26.182499999999994,26.191666666666663,26.19149999999999,,,,,
11:45AM_2020-10-26,26.14,26.14,26.095,26.135,3444,26.171666666666663,26.18055555555555,26.18599999999999,,42.25352112676053,,,
11:50AM_2020-10-26,26.135,26.255,26.135,26.255,2551,26.18083333333333,26.183888888888884,26.187999999999988,,57.66481334392358,,,
11:55AM_2020-10-26,26.26,26.27,26.245,26.27,4009,26.18583333333333,26.194999999999993,26.192499999999985,,59.13299911530513,,,
12:00PM_2020-10-26,26.275,26.31,26.27,26.31,3895,26.206666666666663,26.207222222222217,26.206499999999984,,62.834461787289406,,,
12:05PM_2020-10-26,26.32,26.34,26.31,26.34,1742,26.24,26.22277777777777,26.22049999999998,,65.36798188371401,,,
12:10PM_2020-10-26,26.34,26.365,26.31,26.34,3220,26.275000000000002,26.233888888888877,26.23449999999998,26.213499999999993,65.36798188371401,,,
12:15PM_2020-10-26,26.345,26.38,26.34,26.35,1492,26.310833333333335,26.252222222222215,26.245499999999982,26.221499999999992,66.25720968510144,,,
12:20PM_2020-10-26,26.34,26.39,26.34,26.39,2246,26.333333333333332,26.27999999999999,26.26599999999998,26.232499999999995,69.61768541525447,,,
12:25PM_2020-10-26,26.36,26.365,26.345,26.36,3730,26.348333333333333,26.30555555555555,26.287999999999982,26.242499999999996,64.43463879595141,,,
12:30PM_2020-10-26,26.37,26.41,26.33,26.4,1794,26.363333333333333,26.334999999999994,26.31499999999998,26.253249999999998,67.86948032279174,,,
12:35PM_2020-10-26,26.4,26.4,26.34,26.35,6249,26.365,26.34555555555555,26.336499999999983,26.261249999999997,60.06099656287221,,,
12:40PM_2020-10-26,26.36,26.365,26.31,26.34,5686,26.365,26.353333333333325,26.34499999999998,26.266499999999997,58.608655471682724,0.07307142721287718,,
12:45PM_2020-10-26,26.32,26.33,26.28,26.285,7611,26.354166666666668,26.350555555555545,26.346499999999985,26.269499999999994,51.266003753299486,0.06474441824872201,,
12:50PM_2020-10-26,26.3,26.43,26.3,26.43,12087,26.360833333333336,26.360555555555546,26.358499999999985,26.28249999999999,64.05246315708176,0.06904953181528128,,
12:55PM_2020-10-26,26.43,26.47,26.39,26.41,16244,26.369166666666672,26.368333333333325,26.36549999999999,26.29299999999999,61.64978009283965,0.07004015319289536,,
06:35AM_2020-10-27,26.13,26.23,26.125,26.18,2294,26.332500000000007,26.349444444444433,26.349499999999995,26.291999999999984,42.09436195145124,0.051670524321309586,,
06:40AM_2020-10-27,26.135,26.23,26.135,26.17,4021,26.302500000000006,26.32499999999999,26.331499999999995,26.28849999999998,41.478315398529496,0.03589180626725863,,
06:45AM_2020-10-27,26.26,26.27,26.16,26.18,3349,26.27583333333334,26.30499999999999,26.310499999999998,26.288249999999984,42.386344393193006,0.023918260142092862,,
06:50AM_2020-10-27,26.21,26.255,26.21,26.21,1372,26.26333333333334,26.283888888888875,26.295499999999993,26.291749999999986,45.13659092297375,0.016657866338707805,,
06:55AM_2020-10-27,26.22,26.24,26.19,26.22,720,26.22833333333334,26.26944444444443,26.277499999999996,26.296249999999986,46.06089183859852,0.011577411178350872,0.04629126652416618,-0.03471385534581531
07:00AM_2020-10-27,26.23,26.25,26.2,26.24,2605,26.200000000000006,26.258333333333315,26.266499999999997,26.301499999999987,47.94961882856659,0.009060502876888421,0.03884511379471063,-0.02978461091782221
07:05AM_2020-10-27,26.22,26.335,26.22,26.335,884,26.22583333333334,26.26388888888887,26.266,26.305499999999988,55.856581371540194,0.014563660157776326,0.03398882306732377,-0.019425162909547447
07:10AM_2020-10-27,26.35,26.36,26.285,26.285,3842,26.245000000000005,26.24777777777776,26.266,26.306249999999988,51.4284519889913,0.014720678994276426,0.030135194252714305,-0.015414515258437879
