Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
02:10PM_2020-11-11,20.395,20.475,20.395,20.475,369,,,,,,,,
02:20PM_2020-11-11,21.296,21.914,21.246,21.807,689,,,,,,,,
02:25PM_2020-11-11,21.686,21.754,21.686,21.754,438,,,,,,,,
02:30PM_2020-11-11,21.55,21.55,21.55,21.55,200,,,,,,,,
04:00AM_2020-11-12,19.82,19.82,19.82,19.82,100,,,,,,,,
04:05AM_2020-11-12,20.06,20.29,20.06,20.29,250,20.949,,,,,,,
04:30AM_2020-11-12,20.84,20.84,20.84,20.84,100,21.01,,,,,,,
04:45AM_2020-11-12,21.71,21.75,21.71,21.75,200,21.001,,,,,,,
04:50AM_2020-11-12,22.59,22.59,22.59,22.59,148,21.14,21.208,,,,,,
05:05AM_2020-11-12,21.99,21.99,21.99,21.99,600,21.213,21.377,21.287,,,,,
05:20AM_2020-11-12,21.55,21.55,21.55,21.55,100,21.502,21.348,21.394,,,,,
05:25AM_2020-11-12,21.51,21.51,21.51,21.51,100,21.705,21.321,21.364,,,,,
05:30AM_2020-11-12,21.566,21.895,21.566,21.895,200,21.881,21.359,21.379,,,,,
05:35AM_2020-11-12,21.991,22.343000000000004,21.991,22.114,450,21.942,21.614,21.435,,,,,
05:40AM_2020-11-12,21.82,21.82,21.82,21.82,133,21.813,21.784,21.635,,58.34,,,
05:45AM_2020-11-12,21.74,21.74,21.74,21.74,100,21.772,21.884,21.78,,57.72,,,
06:00AM_2020-11-12,21.96,21.98,21.93,21.93,303,21.835,21.904,21.889,,58.83,,,
06:05AM_2020-11-12,22.37,22.37,22.37,22.37,100,21.978,21.88,21.951,,61.37,,,
06:10AM_2020-11-12,22.294,22.97,22.294,22.924,580,22.15,21.984,21.984,,64.35,,,
06:15AM_2020-11-12,23.78,24.09,23.45,23.46,2637,22.374,22.196,22.131,21.709,67.0,,,
06:20AM_2020-11-12,23.39,23.405,23.39,23.405,311,22.638,22.406,22.317,21.855,66.45,,,
06:25AM_2020-11-12,23.49,24.07,23.42,23.65,1438,22.957,22.601,22.531,21.948,67.71,,,
