Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:35AM_2020-11-11,1.3,1.3,1.26,1.3,15686,,,,,,,,
11:40AM_2020-11-11,1.3,1.33,1.3,1.33,2801,,,,,,,,
11:45AM_2020-11-11,1.31,1.32,1.3,1.3,3020,,,,,,,,
11:50AM_2020-11-11,1.3,1.36,1.3,1.36,2542,,,,,,,,
11:55AM_2020-11-11,1.35,1.355,1.34,1.34,2470,,,,,,,,
12:00PM_2020-11-11,1.31,1.33,1.31,1.31,2599,1.323,,,,,,,
12:05PM_2020-11-11,1.31,1.31,1.27,1.27,2061,1.318,,,,,,,
12:10PM_2020-11-11,1.27,1.27,1.27,1.27,152,1.308,,,,,,,
12:15PM_2020-11-11,1.32,1.34,1.3,1.3,20075,1.308,1.309,,,,,,
12:20PM_2020-11-11,1.3,1.3,1.28,1.28,1770,1.295,1.307,1.306,,,,,
12:25PM_2020-11-11,1.301,1.301,1.29,1.29,4001,1.287,1.302,1.305,,,,,
12:30PM_2020-11-11,1.29,1.29,1.28,1.28,9201,1.282,1.3,1.3,,,,,
12:35PM_2020-11-11,1.28,1.31,1.28,1.31,3360,1.288,1.294,1.301,,,,,
12:40PM_2020-11-11,1.29,1.35,1.29,1.33,19217,1.298,1.293,1.298,,,,,
12:45PM_2020-11-11,1.335,1.34,1.26,1.27,11933,1.293,1.289,1.291,,46.15,,,
12:50PM_2020-11-11,1.27,1.29,1.26,1.28,7542,1.293,1.29,1.288,,47.6,,,
12:55PM_2020-11-11,1.27,1.28,1.24,1.26,20379,1.288,1.289,1.287,,45.0,,,
01:05PM_2020-11-11,1.25,1.25,1.25,1.25,200,1.283,1.283,1.285,,43.71,,,
01:10PM_2020-11-11,1.24,1.24,1.24,1.24,600,1.272,1.279,1.279,,42.4,,,
01:15PM_2020-11-11,1.24,1.24,1.24,1.24,337,1.257,1.273,1.275,1.29,42.4,,,
