Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
12:10PM_2020-11-10,15.61,15.61,15.565,15.575,4222,,,,,,,,
12:15PM_2020-11-10,15.6,15.63,15.6,15.61,1800,,,,,,,,
12:20PM_2020-11-10,15.585,15.585,15.57,15.58,1292,,,,,,,,
12:25PM_2020-11-10,15.605,15.62,15.59,15.62,4200,,,,,,,,
12:30PM_2020-11-10,15.595,15.65,15.55,15.55,8588,,,,,,,,
12:35PM_2020-11-10,15.555,15.565,15.495,15.515,5876,15.58,,,,,,,
12:40PM_2020-11-10,15.49,15.515,15.475,15.505,6200,15.56,,,,,,,
12:45PM_2020-11-10,15.505,15.655,15.505,15.655,16034,15.57,,,,,,,
12:50PM_2020-11-10,15.655,15.74,15.65,15.74,15908,15.6,15.59,,,,,,
12:55PM_2020-11-10,15.74,15.75,15.62,15.675,35102,15.61,15.61,15.6,,,,,
01:05PM_2020-11-10,18.4,18.4,18.33,18.33,400,16.07,15.91,15.88,,,,,
01:10PM_2020-11-10,19.51,19.75,18.7,19.75,1650,16.78,16.37,16.29,,,,,
01:15PM_2020-11-10,19.72,19.72,18.9,18.9,400,17.34,16.74,16.62,,,,,
01:20PM_2020-11-10,19.15,19.15,19.15,19.15,300,17.92,17.14,16.98,,,,,
01:25PM_2020-11-10,18.1,18.1,18.02,18.02,400,18.3,17.41,17.22,,67.91,,,
01:30PM_2020-11-10,18.23,18.23,18.09,18.09,400,18.71,17.7,17.48,,68.26,,,
05:00AM_2020-11-11,20.31,20.31,20.31,20.31,200,19.04,18.22,17.96,,76.89,,,
05:50AM_2020-11-11,19.74,19.74,19.74,19.74,200,19.03,18.66,18.37,,71.51,,,
05:55AM_2020-11-11,19.95,19.98,19.95,19.98,600,19.21,19.14,18.79,,72.39,,,
06:20AM_2020-11-11,19.75,20.0,19.75,19.82,2600,19.33,19.31,19.21,17.41,70.83,,,
06:25AM_2020-11-11,20.0,20.08,20.0,20.08,600,19.67,19.34,19.38,17.63,71.89,,,
06:30AM_2020-11-11,20.025,20.025,18.2,19.09,50760,19.84,19.36,19.32,17.8,62.55,,,
06:35AM_2020-11-11,19.06,19.06,18.21,18.575,36566,19.55,19.3,19.29,17.95,58.31,,,
06:40AM_2020-11-11,18.6,19.73,18.55,19.52,32754,19.51,19.47,19.32,18.15,63.24,,,
06:45AM_2020-11-11,19.72,19.72,19.07,19.36,13031,19.41,19.61,19.46,18.34,61.91,,,
06:50AM_2020-11-11,19.335,19.73,19.12,19.55,67692,19.36,19.52,19.6,18.54,62.91,1.22,,
06:55AM_2020-11-11,19.57,20.28,19.33,19.36,40538,19.24,19.48,19.51,18.73,61.18,1.15,,
07:00AM_2020-11-11,19.37,19.47,18.615,19.25,35498,19.27,19.4,19.46,18.91,60.14,1.08,,
07:05AM_2020-11-11,19.225,19.645,19.125,19.35,20986,19.4,19.35,19.4,19.1,60.79,1.01,,
07:10AM_2020-11-11,19.405,19.555,19.36,19.515,16590,19.4,19.29,19.36,19.29,61.89,0.96,,
07:15AM_2020-11-11,19.51,19.515,19.35,19.375,14934,19.4,19.32,19.29,19.34,60.34,0.91,,
07:20AM_2020-11-11,19.375,19.49,19.33,19.49,19714,19.39,19.42,19.33,19.33,61.2,0.86,,
07:25AM_2020-11-11,19.44,19.46,18.95,19.285,21866,19.38,19.39,19.41,19.35,58.76,0.79,,
07:30AM_2020-11-11,19.25,19.72,19.25,19.36,10672,19.4,19.39,19.39,19.36,59.4,0.74,0.97,-0.2273798955192292
07:35AM_2020-11-11,19.34,19.5,19.3,19.3,5920,19.39,19.36,19.38,19.42,58.62,0.69,0.91,-0.22560575676029226
07:40AM_2020-11-11,19.3,19.35,19.3,19.305,4774,19.35,19.36,19.36,19.48,58.67,0.64,0.86,-0.2206660879038742
07:45AM_2020-11-11,19.305,19.44,19.3,19.35,5860,19.35,19.37,19.36,19.43,59.13,0.59,0.8,-0.21094562250952886
07:50AM_2020-11-11,19.37,19.41,19.1,19.13,8249,19.29,19.35,19.35,19.4,55.82,0.54,0.75,-0.2151691024909852
07:55AM_2020-11-11,19.1,19.4,19.09,19.4,5020,19.31,19.33,19.35,19.37,58.87,0.51,0.7,-0.19614990631581242
08:00AM_2020-11-11,19.405,19.405,19.23,19.24,3784,19.29,19.32,19.32,19.34,56.38,0.46,0.65,-0.1905541988304198
08:05AM_2020-11-11,19.175,19.28,19.08,19.28,7040,19.28,19.29,19.31,19.3,56.87,0.43,0.61,-0.18046756590462432
08:10AM_2020-11-11,19.25,19.29,19.12,19.15,4966,19.26,19.28,19.28,19.31,54.72,0.39,0.56,-0.17853254664327922
08:15AM_2020-11-11,19.16,19.3,19.16,19.26,4940,19.24,19.27,19.28,19.34,56.23,0.36,0.52,-0.16608508670750022
08:20AM_2020-11-11,19.22,19.22,19.14,19.22,3896,19.26,19.26,19.26,19.33,55.51,0.33,0.48,-0.1568952570995774
08:25AM_2020-11-11,19.2,19.34,19.2,19.34,5294,19.25,19.26,19.27,19.33,57.28,0.31,0.45,-0.13966057088547912
08:30AM_2020-11-11,19.34,19.34,19.19,19.23,2904,19.25,19.25,19.26,19.31,55.11,0.28,0.42,-0.13264674312230273
08:35AM_2020-11-11,19.235,19.25,19.205,19.205,1514,19.23,19.26,19.25,19.3,54.6,0.26,0.38,-0.12667999768262506
08:40AM_2020-11-11,19.22,19.22,19.08,19.14,3970,19.23,19.23,19.25,19.3,53.23,0.23,0.35,-0.1239463070267443
08:45AM_2020-11-11,18.91,19.085,18.851,18.96,4852,19.18,19.2,19.2,19.28,49.52,0.19,0.32,-0.1304388696896145
08:50AM_2020-11-11,18.91,18.95,18.265,18.265,6060,19.02,19.09,19.1,19.21,38.39,0.1,0.28,-0.17494271862421595
08:55AM_2020-11-11,18.4,18.4,18.1,18.155,9504,18.83,18.97,18.99,19.15,36.98,0.02,0.23,-0.20320627691632193
09:00AM_2020-11-11,18.0,18.14,17.76,18.06,7276,18.63,18.84,18.88,19.08,35.75,-0.05,0.17,-0.21838870006467864
09:05AM_2020-11-11,18.19,18.29,18.06,18.215,4908,18.47,18.73,18.78,19.03,39.29,-0.09,0.12,-0.2081240654420778
09:10AM_2020-11-11,18.04,18.04,17.73,17.955,5510,18.27,18.58,18.65,18.96,35.74,-0.14,0.07,-0.20845777074850927
09:15AM_2020-11-11,17.75,17.83,17.41,17.6,10032,18.04,18.39,18.48,18.87,31.54,-0.21,0.01,-0.22100437745138185
09:20AM_2020-11-11,17.62,17.76,17.51,17.75,3894,17.96,18.23,18.33,18.8,35.01,-0.25,-0.04,-0.20781644638195396
09:25AM_2020-11-11,17.87,17.87,17.7,17.7,4748,17.88,18.07,18.18,18.71,34.39,-0.28,-0.09,-0.1914798157816585
09:30AM_2020-11-11,17.73,17.82,17.68,17.74,1272,17.83,17.94,18.04,18.64,35.38,-0.3,-0.13,-0.16784602351079636
09:35AM_2020-11-11,17.76,17.76,17.25,17.27,3286,17.67,17.83,17.87,18.54,29.68,-0.35,-0.17,-0.17304188762582734
09:40AM_2020-11-11,17.35,17.5,17.15,17.28,13520,17.56,17.73,17.77,18.44,29.94,-0.38,-0.21,-0.16500836996046275
09:45AM_2020-11-11,17.29,17.425,17.29,17.38,6008,17.52,17.65,17.7,18.34,32.61,-0.39,-0.25,-0.14298438516514284
09:50AM_2020-11-11,17.36,17.36,16.91,17.29,6050,17.44,17.55,17.62,18.25,31.45,-0.41,-0.28,-0.1251454460778349
09:55AM_2020-11-11,17.3,17.45,17.28,17.41,12368,17.39,17.49,17.54,18.16,34.78,-0.4,-0.31,-0.09717781803926534
