Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
12:30PM_2020-11-11,8.87,8.89,8.86,8.88,122944,,,,,,,,
12:35PM_2020-11-11,8.88,8.89,8.88,8.88,38731,,,,,,,,
12:40PM_2020-11-11,8.88,8.9,8.88,8.895,143461,,,,,,,,
12:45PM_2020-11-11,8.89,8.915,8.89,8.89,451473,,,,,,,,
12:50PM_2020-11-11,8.895,8.92,8.89,8.92,291605,,,,,,,,
12:55PM_2020-11-11,8.92,8.93,8.88,8.9,1884289,8.894,,,,,,,
01:00PM_2020-11-11,8.9,8.9,8.9,8.9,604,8.897,,,,,,,
01:05PM_2020-11-11,8.91,8.91,8.91,8.91,2220,8.902,,,,,,,
01:10PM_2020-11-11,8.91,8.91,8.91,8.91,974,8.905,8.898,,,,,,
01:15PM_2020-11-11,8.91,8.91,8.91,8.91,4612,8.908,8.902,8.9,,,,,
01:30PM_2020-11-11,8.91,8.91,8.91,8.91,9240,8.907,8.905,8.902,,,,,
01:35PM_2020-11-11,8.91,8.91,8.91,8.91,1896,8.908,8.907,8.906,,,,,
01:40PM_2020-11-11,8.91,8.91,8.9,8.9,4864,8.908,8.908,8.906,,,,,
01:50PM_2020-11-11,8.89,8.9,8.89,8.9,1482,8.907,8.906,8.907,,,,,
05:25AM_2020-11-12,8.77,8.77,8.77,8.77,600,8.883,8.891,8.892,,25.0,,,
05:45AM_2020-11-12,8.73,8.73,8.73,8.73,200,8.853,8.872,8.875,,20.91,,,
05:50AM_2020-11-12,8.749,8.749,8.749,8.749,200,8.827,8.854,8.86,,27.02,,,
05:55AM_2020-11-12,8.75,8.75,8.75,8.75,2974,8.8,8.837,8.844,,27.34,,,
06:00AM_2020-11-12,8.77,8.77,8.77,8.77,400,8.778,8.821,8.83,,33.58,,,
06:05AM_2020-11-12,8.76,8.76,8.76,8.76,1258,8.755,8.804,8.815,8.857,32.09,,,
06:10AM_2020-11-12,8.76,8.76,8.75,8.75,2710,8.752,8.787,8.799,8.851,30.64,,,
06:15AM_2020-11-12,8.75,8.75,8.75,8.75,400,8.755,8.77,8.783,8.844,30.64,,,
06:30AM_2020-11-12,8.76,8.795,8.73,8.77,46534,8.758,8.755,8.77,8.838,37.25,,,
06:35AM_2020-11-12,8.77,8.81,8.745,8.765,71554,8.761,8.755,8.756,8.832,36.32,,,
06:40AM_2020-11-12,8.76,8.77,8.74,8.74,306189,8.756,8.756,8.753,8.823,32.0,,,
06:45AM_2020-11-12,8.74,8.76,8.71,8.71,324545,8.748,8.752,8.751,8.813,27.75,-0.06,,
06:50AM_2020-11-12,8.71,8.745,8.67,8.74,67770,8.746,8.751,8.75,8.805,36.8,-0.06,,
06:55AM_2020-11-12,8.73,8.74,8.71,8.72,49916,8.741,8.745,8.747,8.796,33.76,-0.06,,
07:00AM_2020-11-12,8.715,8.73,8.71,8.72,51810,8.732,8.741,8.742,8.786,33.76,-0.06,,
07:05AM_2020-11-12,8.725,8.75,8.715,8.74,56664,8.728,8.739,8.74,8.778,39.55,-0.06,,
07:10AM_2020-11-12,8.735,8.75,8.72,8.75,85602,8.73,8.739,8.74,8.77,42.27,-0.05,,
07:15AM_2020-11-12,8.75,8.8,8.74,8.795,87930,8.744,8.742,8.745,8.764,52.59,-0.04,,
07:20AM_2020-11-12,8.8,8.805,8.77,8.77,181125,8.749,8.743,8.745,8.757,47.51,-0.04,,
07:25AM_2020-11-12,8.765,8.77,8.75,8.75,20484,8.754,8.744,8.744,8.75,43.86,-0.04,-0.05,0.015201479562484285
07:30AM_2020-11-12,8.75,8.77,8.75,8.76,42440,8.761,8.749,8.746,8.749,46.09,-0.03,-0.05,0.014546189072192642
07:35AM_2020-11-12,8.76,8.8,8.76,8.795,96790,8.77,8.756,8.754,8.753,53.11,-0.03,-0.04,0.016052117737286334
07:40AM_2020-11-12,8.79,8.8,8.78,8.8,38737,8.778,8.764,8.76,8.755,54.03,-0.02,-0.04,0.016882597492283595
07:45AM_2020-11-12,8.795,8.8,8.78,8.79,63204,8.778,8.772,8.767,8.757,51.84,-0.02,-0.04,0.016250440023045785
07:50AM_2020-11-12,8.795,8.81,8.79,8.81,110794,8.784,8.78,8.776,8.759,55.71,-0.02,-0.03,0.01661216049137046
