Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:40AM_2020-10-26,59.69,59.7,59.66,59.66,2509,,,,,,,,
10:45AM_2020-10-26,59.7,59.75,59.67,59.75,3221,,,,,,,,
10:50AM_2020-10-26,59.725,59.77,59.725,59.75,2608,,,,,,,,
10:55AM_2020-10-26,59.75,59.75,59.715,59.725,3234,,,,,,,,
11:00AM_2020-10-26,59.72,59.75,59.68,59.75,2604,,,,,,,,
11:05AM_2020-10-26,59.755,59.79,59.71,59.72,3989,59.725833333333334,,,,,,,
11:10AM_2020-10-26,59.72,59.735,59.71,59.715,3407,59.735000000000014,,,,,,,
11:15AM_2020-10-26,59.72,59.74,59.715,59.74,1203,59.73333333333335,,,,,,,
11:20AM_2020-10-26,59.74,59.81,59.725,59.8,5888,59.74166666666668,59.73444444444445,,,,,,
11:25AM_2020-10-26,59.79,59.845,59.75,59.825,3480,59.75833333333335,59.75277777777779,59.743500000000004,,,,,
11:30AM_2020-10-26,59.82,59.82,59.765,59.795,3844,59.76583333333335,59.75777777777778,59.757000000000005,,,,,
11:35AM_2020-10-26,59.79,59.79,59.74,59.74,2830,59.769166666666685,59.756666666666675,59.75600000000001,,,,,
11:40AM_2020-10-26,59.745,59.81,59.745,59.77,3226,59.77833333333334,59.76166666666667,59.758,,,,,
11:45AM_2020-10-26,59.755,59.755,59.71,59.71,2513,59.77333333333334,59.757222222222225,59.7565,,,,,
11:50AM_2020-10-26,59.72,59.83,59.72,59.8,2559,59.77333333333334,59.76611111111111,59.7615,,62.72727272727284,,,
11:55AM_2020-10-26,59.83,59.85,59.775,59.79,3671,59.76750000000001,59.774444444444434,59.768499999999996,,61.522633744856314,,,
12:00PM_2020-10-26,59.795,59.83,59.78,59.82,4696,59.771666666666675,59.78333333333333,59.778999999999996,,63.77049180327911,,,
12:05PM_2020-10-26,59.835,59.835,59.775,59.8,5729,59.78166666666667,59.78333333333333,59.78499999999999,,61.203450375184296,,,
12:10PM_2020-10-26,59.8,59.815,59.73,59.74,5168,59.77666666666668,59.77388888888888,59.778999999999996,,54.159824248249855,,,
12:15PM_2020-10-26,59.745,59.745,59.71,59.71,5254,59.77666666666668,59.76444444444444,59.7675,59.755500000000005,50.99943591722002,,,
12:20PM_2020-10-26,59.71,59.88,59.71,59.87,12546,59.78833333333335,59.778888888888886,59.775,59.766,63.29973803810167,,,
12:25PM_2020-10-26,59.87,59.925,59.84,59.91,7764,59.808333333333344,59.794444444444444,59.791999999999994,59.774,65.62304601758872,,,
12:30PM_2020-10-26,59.91,59.97,59.855,59.96,6012,59.83166666666668,59.82222222222222,59.811,59.7845,68.32254173948937,,,
12:35PM_2020-10-26,59.965,59.965,59.82,59.82,8846,59.83500000000001,59.82444444444445,59.822,59.78925,55.24196035272155,,,
12:40PM_2020-10-26,59.825,59.855,59.745,59.77,8448,59.84,59.82222222222223,59.819,59.79025,51.453159872279876,,,
12:45PM_2020-10-26,59.755,59.765,59.67,59.68,8168,59.83500000000001,59.806666666666665,59.80800000000001,59.788250000000005,45.41518955608192,0.019240370389617567,,
12:50PM_2020-10-26,59.7,59.85,59.68,59.83,17386,59.82833333333334,59.81000000000001,59.809000000000005,59.794000000000004,54.9119197545845,0.020759822501496217,,
12:55PM_2020-10-26,59.86,59.95,59.86,59.935,24421,59.8325,59.83166666666668,59.82250000000001,59.80375,60.13978786390969,0.0300897656375696,,
06:30AM_2020-10-27,59.71,60.09,59.71,60.09,8991,59.85416666666668,59.8738888888889,59.857500000000016,59.81825,66.34358773491539,0.04942131919844428,,
06:35AM_2020-10-27,60.07,60.16,60.07,60.07,3770,59.89583333333334,59.89611111111113,59.89350000000002,59.830499999999994,64.93913333530443,0.0624084757581258,,
06:40AM_2020-10-27,60.08,60.08,59.88,59.88,7130,59.91416666666668,59.8927777777778,59.894500000000015,59.83475,53.37846244570564,0.05671569556120204,,
06:45AM_2020-10-27,59.86,60.03,59.85,60.01,4165,59.96916666666667,59.89833333333335,59.90450000000002,59.84824999999999,58.784857641117554,0.061979577793678686,,
06:50AM_2020-10-27,60.035,60.1,59.98,60.07,4082,60.00916666666668,59.926111111111126,59.91550000000002,59.863249999999994,61.030979270828134,0.07018370686137132,,
06:55AM_2020-10-27,60.06,60.1,60.02,60.04,4306,60.02666666666668,59.95611111111113,59.937500000000014,59.87974999999999,59.29109397797129,0.07341846659404183,0.04935746669950526,0.02406099989453657
07:00AM_2020-10-27,60.025,60.095,60.005,60.01,4143,60.01333333333334,59.992777777777796,59.961500000000015,59.890249999999995,57.5250087603534,0.07272298243481146,0.054030569846566505,0.01869241258824495
07:05AM_2020-10-27,60.0,60.14,60.0,60.14,2747,60.025000000000006,60.027222222222235,60.007500000000014,59.90775,62.70867244862046,0.08171970587203958,0.05956839705166113,0.022151308820378454
07:10AM_2020-10-27,60.17,60.2,60.12,60.12,1946,60.065000000000005,60.04777777777778,60.03650000000001,59.92274999999999,61.465850985932555,0.08624170052091529,0.06490305774551197,0.021338642775403316
07:15AM_2020-10-27,60.17,60.19,60.08,60.08,4725,60.076666666666675,60.046666666666674,60.05100000000002,59.936749999999996,58.94947374135346,0.08561087922848287,0.06904462204210615,0.01656625718637672
07:20AM_2020-10-27,60.04,60.04,59.87,59.93,4501,60.05333333333334,60.03111111111111,60.03500000000001,59.94625,50.585976144197126,0.07217521150103323,0.06967073993389157,0.002504471567141661
07:25AM_2020-10-27,59.94,59.96,59.88,59.91,3092,60.031666666666666,60.03444444444444,60.019000000000005,59.95625,49.57601870822374,0.0592307400735379,0.06758273996182083,-0.008351999888282932
07:30AM_2020-10-27,59.9,59.93,59.86,59.92,4893,60.01666666666667,60.024444444444434,60.023,59.95875000000001,50.11233476947181,0.049211786789044254,0.06390854932726552,-0.014696762538221261
07:35AM_2020-10-27,59.91,60.0,59.9,59.99,4509,59.991666666666674,60.015555555555544,60.021,59.96275000000001,53.81541750661683,0.04638540701584759,0.06040392086498193,-0.014018513849134343
07:40AM_2020-10-27,59.965,60.015,59.965,59.995,1533,59.97083333333334,60.01055555555555,60.0135,59.9645,54.07762867754223,0.04404125868054365,0.05713138842809428,-0.013090129747550631
07:45AM_2020-10-27,59.99,60.03,59.98,60.01,1908,59.959166666666675,60.01055555555555,60.0105,59.974000000000004,54.90479056263649,0.042899361737717356,0.054284983090018904,-0.011385621352301548
07:50AM_2020-10-27,60.0,60.02,59.92,59.93,1486,59.959166666666675,59.98722222222221,60.0025,59.982000000000006,49.75718327642556,0.03513406513877726,0.050454799499770574,-0.015320734360993314
