Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
07:30AM_2020-11-06,19.895,20.125,19.895,20.12,519,,,,,,,,
07:45AM_2020-11-06,19.49,19.49,19.49,19.49,100,,,,,,,,
07:50AM_2020-11-06,20.0,20.19,19.445,19.445,449,,,,,,,,
08:20AM_2020-11-06,19.71,19.71,19.6,19.705,805,,,,,,,,
08:25AM_2020-11-06,19.71,19.71,19.61,19.69,1452,,,,,,,,
08:40AM_2020-11-06,19.72,19.72,19.72,19.72,932,19.695,,,,,,,
08:45AM_2020-11-06,19.5,19.5,19.485,19.485,208,19.589,,,,,,,
09:10AM_2020-11-06,19.38,19.4,19.0,19.14,600,19.531,,,,,,,
09:15AM_2020-11-06,19.385,19.47,19.385,19.47,200,19.535,19.585,,,,,,
09:25AM_2020-11-06,19.99,19.99,19.99,19.99,201,19.582,19.571,19.625,,,,,
09:35AM_2020-11-06,19.535,19.535,19.535,19.535,100,19.557,19.576,19.567,,,,,
09:45AM_2020-11-06,19.62,19.66,19.38,19.38,300,19.5,19.568,19.556,,,,,
09:50AM_2020-11-06,19.6,19.61,19.6,19.61,200,19.521,19.558,19.572,,,,,
09:55AM_2020-11-06,19.42,19.59,19.42,19.59,300,19.596,19.547,19.561,,,,,
11:15AM_2020-11-06,19.565,19.57,19.565,19.57,275,19.612,19.53,19.549,,41.64,,,
11:30AM_2020-11-06,19.72,19.72,19.72,19.72,200,19.568,19.556,19.549,,44.37,,,
12:15PM_2020-11-06,19.57,19.57,19.57,19.57,300,19.573,19.604,19.557,,42.24,,,
12:25PM_2020-11-06,19.02,19.07,19.02,19.07,1910,19.522,19.559,19.55,,36.04,,,
12:30PM_2020-11-06,19.2,19.24,19.18,19.235,2023,19.459,19.476,19.527,,39.21,,,
12:35PM_2020-11-06,19.47,19.47,19.47,19.47,100,19.439,19.468,19.475,19.55,43.51,,,
12:40PM_2020-11-06,19.61,19.67,19.61,19.67,436,19.456,19.501,19.488,19.528,46.95,,,
12:50PM_2020-11-06,19.93,19.93,19.93,19.93,420,19.491,19.536,19.543,19.55,51.12,,,
12:55PM_2020-11-06,19.9,20.22,19.9,20.0,949,19.563,19.582,19.582,19.578,52.21,,,
06:30AM_2020-11-09,20.07,20.07,19.96,19.96,566,19.711,19.625,19.62,19.59,51.5,,,
06:35AM_2020-11-09,19.9,19.9,19.3,19.3,300,19.722,19.578,19.592,19.571,41.53,,,
06:40AM_2020-11-09,20.65,20.65,20.65,20.65,100,19.918,19.698,19.686,19.617,59.01,0.15,,
06:45AM_2020-11-09,19.67,19.67,19.67,19.67,100,19.918,19.765,19.696,19.626,47.83,0.13,,
07:00AM_2020-11-09,19.85,19.85,19.85,19.85,100,19.905,19.833,19.774,19.662,49.71,0.13,,
07:10AM_2020-11-09,20.06,20.06,20.06,20.06,100,19.915,19.899,19.856,19.692,51.9,0.14,,
07:20AM_2020-11-09,19.6,19.6,19.6,19.6,100,19.855,19.891,19.869,19.672,47.08,0.11,,
07:25AM_2020-11-09,19.75,19.75,19.75,19.75,100,19.93,19.871,19.877,19.683,48.75,0.1,,
07:55AM_2020-11-09,19.21,19.21,19.21,19.21,100,19.69,19.783,19.805,19.674,43.43,0.05,,
08:35AM_2020-11-09,19.31,19.655,19.31,19.655,400,19.688,19.749,19.771,19.676,48.42,0.04,,
08:40AM_2020-11-09,19.825,19.825,19.49,19.49,200,19.628,19.771,19.724,19.672,46.77,0.02,0.1,-0.07480889641621778
12:25PM_2020-11-09,19.205,19.22,19.205,19.22,200,19.488,19.612,19.716,19.654,44.13,-0.01,0.07,-0.08908396245315026
12:40PM_2020-11-09,19.3,19.31,19.145,19.145,300,19.412,19.553,19.565,19.625,43.39,-0.05,0.05,-0.09882311243322711
12:45PM_2020-11-09,19.145,19.145,19.145,19.145,100,19.311,19.475,19.513,19.604,43.39,-0.08,0.02,-0.10019713311960782
12:50PM_2020-11-09,19.31,19.31,19.31,19.31,200,19.328,19.392,19.459,19.616,45.7,-0.08,0.0,-0.08549774032525224
12:55PM_2020-11-09,19.205,19.205,19.205,19.205,100,19.253,19.348,19.373,19.614,44.46,-0.1,-0.02,-0.07853031240096894
08:05AM_2020-11-10,18.5,18.5,18.5,18.5,101,19.088,19.209,19.263,19.566,37.16,-0.16,-0.05,-0.1148859861726955
08:15AM_2020-11-10,18.4,18.79,18.4,18.79,398,19.016,19.162,19.167,19.522,41.42,-0.19,-0.07,-0.11272949238540722
08:20AM_2020-11-10,19.28,19.28,19.28,19.28,200,19.038,19.121,19.174,19.489,47.85,-0.17,-0.09,-0.0735268989650523
08:25AM_2020-11-10,20.09,20.24,20.09,20.24,200,19.221,19.204,19.233,19.501,57.66,-0.07,-0.09,0.017002291946790107
08:35AM_2020-11-10,19.87,19.87,19.87,19.87,100,19.314,19.276,19.271,19.497,53.49,-0.03,-0.08,0.050040065484815044
08:50AM_2020-11-10,18.99,18.99,18.99,18.99,100,19.278,19.259,19.248,19.481,45.12,-0.06,-0.07,0.012650377747266406
09:00AM_2020-11-10,19.595,19.595,19.595,19.595,100,19.461,19.309,19.293,19.429,50.82,-0.04,-0.07,0.02781854890301591
09:05AM_2020-11-10,19.3,19.3,18.9,18.9,200,19.479,19.263,19.268,19.39,45.03,-0.07,-0.07,-0.007892539861070275
10:35AM_2020-11-10,19.14,19.14,19.14,19.14,100,19.456,19.256,19.251,19.355,47.26,-0.08,-0.07,-0.01393422440070731
11:45AM_2020-11-10,19.43,19.43,19.43,19.43,100,19.321,19.359,19.274,19.323,49.91,-0.07,-0.07,0.002159656029544571
12:00PM_2020-11-10,19.34,19.34,19.34,19.34,100,19.233,19.421,19.358,19.31,49.09,-0.06,-0.07,0.007028377396079824
12:10PM_2020-11-10,19.34,19.34,19.34,19.34,100,19.291,19.427,19.413,19.29,49.09,-0.06,-0.07,0.010333730759538959
12:35PM_2020-11-10,19.605,20.39,19.605,20.33,638,19.413,19.437,19.518,19.346,57.94,0.03,-0.05,0.07564185777777771
12:50PM_2020-11-10,20.03,20.16,20.03,20.16,600,19.623,19.469,19.51,19.371,56.14,0.08,-0.02,0.10218766907149965
12:55PM_2020-11-10,20.65,20.73,20.65,20.73,500,19.888,19.663,19.596,19.433,60.57,0.17,0.02,0.15003860138386524
06:25AM_2020-11-11,20.67,20.67,20.67,20.67,100,20.095,19.782,19.764,19.505,59.89,0.23,0.06,0.16818764933282998
06:35AM_2020-11-11,20.73,20.73,20.73,20.73,110,20.327,19.986,19.877,19.585,60.37,0.28,0.1,0.17404351448500477
06:50AM_2020-11-11,20.57,21.17,20.57,21.17,295,20.632,20.211,20.104,19.686,63.81,0.35,0.15,0.19574130856685895
06:55AM_2020-11-11,21.77,22.195,21.77,22.195,500,20.943,20.518,20.41,19.83,70.29,0.48,0.22,0.2631182818697083
08:10AM_2020-11-11,23.78,23.78,23.78,23.78,100,21.546,21.012,20.845,20.059,77.12,0.7,0.31,0.39073225942996703
08:15AM_2020-11-11,23.78,23.99,23.78,23.99,500,22.089,21.528,21.31,20.334,77.84,0.89,0.43,0.46077204309272857
08:20AM_2020-11-11,24.0,24.0,24.0,24.0,113,22.644,21.936,21.776,20.594,77.88,1.03,0.55,0.47724011076882433
09:10AM_2020-11-11,23.315,23.315,23.315,23.315,100,23.075,22.287,22.074,20.796,69.54,1.07,0.65,0.4138261782998476
09:15AM_2020-11-11,23.44,23.44,23.1,23.1,600,23.397,22.55,22.368,20.939,67.12,1.07,0.74,0.3327191272635541
11:45AM_2020-11-11,23.84,23.84,23.84,23.84,100,23.671,22.902,22.679,21.137,70.88,1.12,0.81,0.30496167267297847
11:55AM_2020-11-11,26.865,29.39,26.865,29.39,2812,24.606,23.864,23.551,21.657,84.88,1.58,0.97,0.6183656968413409
12:00PM_2020-11-11,27.49,27.49,27.08,27.13,500,25.129,24.527,24.191,22.034,70.1,1.75,1.12,0.6293486347555586
