Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:10AM_2020-11-11,13.025,13.03,13.015,13.015,2662,,,,,,,,
11:15AM_2020-11-11,13.01,13.015,13.0,13.0,3944,,,,,,,,
11:20AM_2020-11-11,12.99,13.015,12.985,13.0,3168,,,,,,,,
11:25AM_2020-11-11,12.99,13.0,12.965,12.965,7120,,,,,,,,
11:30AM_2020-11-11,12.97,12.99,12.97,12.985,5974,,,,,,,,
11:35AM_2020-11-11,12.975,12.985,12.965,12.965,3084,12.988,,,,,,,
11:40AM_2020-11-11,12.97,12.98,12.955,12.975,2372,12.982,,,,,,,
11:45AM_2020-11-11,12.98,12.98,12.925,12.925,6926,12.969,,,,,,,
11:50AM_2020-11-11,12.925,12.935,12.91,12.92,6520,12.956,12.972,,,,,,
11:55AM_2020-11-11,12.91,12.96,12.91,12.96,8046,12.955,12.966,12.971,,,,,
12:00PM_2020-11-11,12.96,12.965,12.93,12.93,5866,12.946,12.958,12.962,,,,,
12:05PM_2020-11-11,12.94,12.95,12.93,12.94,3710,12.942,12.952,12.956,,,,,
12:10PM_2020-11-11,12.945,12.945,12.92,12.93,3437,12.934,12.948,12.95,,,,,
12:15PM_2020-11-11,12.925,12.925,12.91,12.92,2880,12.933,12.941,12.945,,,,,
12:20PM_2020-11-11,12.93,12.94,12.92,12.93,4112,12.935,12.937,12.939,,33.96,,,
12:25PM_2020-11-11,12.925,12.94,12.915,12.915,2866,12.928,12.93,12.934,,32.01,,,
12:30PM_2020-11-11,12.92,12.93,12.905,12.91,6376,12.924,12.928,12.928,,31.36,,,
12:35PM_2020-11-11,12.91,12.925,12.9,12.925,5170,12.922,12.929,12.928,,35.57,,,
12:40PM_2020-11-11,12.92,12.93,12.915,12.93,13643,12.922,12.926,12.929,,36.96,,,
12:45PM_2020-11-11,12.925,12.93,12.91,12.92,20136,12.922,12.924,12.925,12.948,35.32,,,
12:50PM_2020-11-11,12.92,12.955,12.915,12.93,21921,12.922,12.923,12.925,12.944,38.27,,,
12:55PM_2020-11-11,12.92,12.93,12.91,12.92,58348,12.922,12.922,12.923,12.94,36.48,,,
06:30AM_2020-11-12,12.84,12.84,12.68,12.74,18622,12.894,12.902,12.904,12.927,19.13,,,
06:35AM_2020-11-12,12.695,12.77,12.66,12.72,21836,12.86,12.879,12.884,12.915,18.1,,,
06:40AM_2020-11-12,12.73,12.76,12.695,12.71,13488,12.823,12.856,12.862,12.901,17.59,,,
06:45AM_2020-11-12,12.705,12.785,12.695,12.755,28875,12.796,12.839,12.846,12.89,27.49,-0.08,,
06:50AM_2020-11-12,12.76,12.765,12.72,12.755,20076,12.767,12.82,12.83,12.879,27.49,-0.08,,
06:55AM_2020-11-12,12.76,12.79,12.75,12.755,11020,12.739,12.801,12.813,12.871,27.49,-0.08,,
07:00AM_2020-11-12,12.76,12.775,12.725,12.735,13156,12.738,12.78,12.794,12.862,25.77,-0.08,,
07:05AM_2020-11-12,12.73,12.755,12.695,12.715,12940,12.737,12.756,12.773,12.849,24.15,-0.08,,
07:10AM_2020-11-12,12.72,12.73,12.68,12.695,14990,12.735,12.731,12.75,12.838,22.61,-0.08,,
07:15AM_2020-11-12,12.69,12.695,12.64,12.685,13598,12.723,12.725,12.726,12.825,21.86,-0.08,,
07:20AM_2020-11-12,12.685,12.705,12.655,12.68,28129,12.711,12.721,12.72,12.812,21.48,-0.08,,
07:25AM_2020-11-12,12.675,12.69,12.66,12.67,29830,12.697,12.716,12.715,12.8,20.7,-0.08,-0.08,-0.002056491965302082
07:30AM_2020-11-12,12.675,12.685,12.66,12.685,16776,12.688,12.708,12.713,12.788,25.1,-0.08,-0.08,4.5993733151158955e-05
07:35AM_2020-11-12,12.69,12.715,12.67,12.67,14348,12.681,12.699,12.704,12.775,23.68,-0.08,-0.08,0.0011378390228544977
07:40AM_2020-11-12,12.675,12.68,12.64,12.65,28244,12.673,12.687,12.694,12.762,21.91,-0.08,-0.08,0.0012173164650546575
07:45AM_2020-11-12,12.655,12.66,12.635,12.64,20826,12.666,12.677,12.682,12.748,21.06,-0.08,-0.08,0.001293497142129521
07:50AM_2020-11-12,12.635,12.685,12.635,12.685,9774,12.667,12.673,12.677,12.736,33.54,-0.07,-0.08,0.004870641322052088
07:55AM_2020-11-12,12.685,12.695,12.65,12.685,19952,12.669,12.672,12.674,12.724,33.54,-0.07,-0.08,0.007571705743169094
08:00AM_2020-11-12,12.685,12.69,12.635,12.665,18368,12.666,12.67,12.671,12.711,31.02,-0.07,-0.07,0.008288455358358135
08:05AM_2020-11-12,12.665,12.7,12.665,12.675,14994,12.667,12.669,12.67,12.699,33.71,-0.06,-0.07,0.009619540544745092
08:10AM_2020-11-12,12.68,12.685,12.65,12.655,16216,12.667,12.668,12.668,12.694,31.09,-0.06,-0.07,0.009329446887249557
08:15AM_2020-11-12,12.65,12.655,12.63,12.645,15030,12.668,12.663,12.665,12.691,29.85,-0.06,-0.07,0.008655349868314122
08:20AM_2020-11-12,12.645,12.645,12.59,12.59,14014,12.652,12.654,12.656,12.685,24.13,-0.06,-0.07,0.0048843820964913215
08:25AM_2020-11-12,12.6,12.61,12.56,12.56,42468,12.632,12.644,12.645,12.675,21.68,-0.07,-0.07,0.0009543451955773968
08:30AM_2020-11-12,12.565,12.57,12.54,12.54,27160,12.611,12.633,12.634,12.664,20.21,-0.07,-0.07,-0.002233372632913483
08:35AM_2020-11-12,12.54,12.625,12.54,12.625,35482,12.602,12.627,12.632,12.658,39.1,-0.06,-0.07,0.0019172311969554157
08:40AM_2020-11-12,12.625,12.65,12.61,12.635,20664,12.599,12.621,12.627,12.653,40.87,-0.06,-0.06,0.005659076820019399
08:45AM_2020-11-12,12.635,12.69,12.635,12.69,16750,12.607,12.624,12.628,12.651,49.57,-0.05,-0.06,0.011807463678361142
