Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:05AM_2020-09-23,6.3,6.3,6.3,6.3,400,,,,,,,,
11:30AM_2020-09-23,6.49,6.49,6.49,6.49,100,,,,,,,,
11:35AM_2020-09-23,6.3,6.3,6.3,6.3,200,,,,,,,,
07:05AM_2020-09-24,6.42,6.42,6.42,6.42,100,,,,,,,,
07:10AM_2020-09-24,6.4,6.4,6.27,6.27,200,,,,,,,,
07:15AM_2020-09-24,6.34,6.34,6.34,6.34,100,6.353,,,,,,,
07:45AM_2020-09-24,6.39,6.39,6.35,6.35,400,6.362,,,,,,,
07:50AM_2020-09-24,6.35,6.35,6.35,6.35,100,6.338,,,,,,,
08:00AM_2020-09-24,6.58,6.58,6.57,6.57,200,6.383,6.377,,,,,,
08:05AM_2020-09-24,6.26,6.26,6.26,6.26,496,6.357,6.372,6.365,,,,,
08:40AM_2020-09-24,6.38,6.38,6.38,6.38,100,6.375,6.36,6.373,,,,,
10:05AM_2020-09-24,6.22,6.22,6.22,6.22,100,6.355,6.351,6.346,,,,,
11:20AM_2020-09-24,6.48,6.48,6.48,6.48,200,6.377,6.358,6.364,,,,,
12:45PM_2020-09-24,6.56,6.56,6.56,6.56,100,6.412,6.39,6.378,,,,,
12:50PM_2020-09-24,6.56,6.56,6.56,6.56,100,6.41,6.414,6.407,,56.91,,,
06:40AM_2020-09-25,6.61,6.61,6.61,6.61,100,6.468,6.443,6.434,,58.11,,,
08:35AM_2020-09-25,6.85,6.99,6.85,6.99,600,6.57,6.514,6.498,,65.89,,,
09:15AM_2020-09-25,7.15,7.15,7.15,7.15,500,6.725,6.579,6.578,,68.54,,,
09:25AM_2020-09-25,7.17,7.17,7.17,7.17,100,6.84,6.68,6.638,,68.86,,,
10:05AM_2020-09-25,7.05,7.05,7.01,7.01,200,6.915,6.75,6.713,6.539,63.23,,,
10:20AM_2020-09-25,7.015,7.015,7.015,7.015,200,6.991,6.838,6.777,6.575,63.33,,,
11:10AM_2020-09-25,6.58,6.58,6.58,6.58,100,6.986,6.849,6.813,6.579,50.37,,,
11:20AM_2020-09-25,6.62,6.62,6.62,6.62,100,6.924,6.856,6.827,6.595,51.36,,,
12:55PM_2020-09-29,6.05,6.05,6.05,6.05,100,6.741,6.799,6.776,6.577,39.36,,,
07:50AM_2020-09-30,6.17,6.17,6.17,6.17,700,6.574,6.751,6.737,6.572,42.41,,,
08:25AM_2020-09-30,6.22,6.22,6.22,6.22,100,6.442,6.665,6.698,6.566,43.68,-0.01,,
08:35AM_2020-09-30,6.29,6.29,6.255,6.255,400,6.316,6.566,6.624,6.561,44.6,-0.03,,
09:55AM_2020-09-30,6.34,6.34,6.34,6.34,100,6.276,6.473,6.543,6.56,46.88,-0.03,,
10:15AM_2020-09-30,6.34,6.34,6.34,6.34,100,6.229,6.399,6.46,6.549,46.88,-0.04,,
12:30PM_2020-10-02,6.06,6.06,6.06,6.06,100,6.231,6.293,6.365,6.539,40.52,-0.07,,
09:15AM_2020-10-05,6.14,6.35,6.14,6.35,200,6.261,6.267,6.299,6.538,48.33,-0.06,,
