Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:35AM_2020-11-11,5.31,5.315,5.305,5.31,77168,,,,,,,,
11:40AM_2020-11-11,5.31,5.315,5.3,5.31,46036,,,,,,,,
11:45AM_2020-11-11,5.31,5.31,5.29,5.29,25014,,,,,,,,
11:50AM_2020-11-11,5.29,5.29,5.285,5.29,35186,,,,,,,,
11:55AM_2020-11-11,5.295,5.31,5.295,5.31,28034,,,,,,,,
12:00PM_2020-11-11,5.305,5.31,5.3,5.3,26290,5.302,,,,,,,
12:05PM_2020-11-11,5.3,5.32,5.295,5.315,87754,5.302,,,,,,,
12:10PM_2020-11-11,5.315,5.32,5.31,5.32,80026,5.304,,,,,,,
12:15PM_2020-11-11,5.31,5.315,5.31,5.31,21062,5.308,5.306,,,,,,
12:20PM_2020-11-11,5.31,5.315,5.305,5.31,41801,5.311,5.306,5.307,,,,,
12:25PM_2020-11-11,5.32,5.32,5.3,5.305,95324,5.31,5.306,5.306,,,,,
12:30PM_2020-11-11,5.3,5.31,5.3,5.305,86354,5.311,5.307,5.306,,,,,
12:35PM_2020-11-11,5.31,5.31,5.3,5.3,104122,5.308,5.308,5.306,,,,,
12:40PM_2020-11-11,5.3,5.3,5.29,5.295,144504,5.304,5.307,5.307,,,,,
12:45PM_2020-11-11,5.29,5.3,5.285,5.3,295058,5.302,5.307,5.306,,45.0,,,
12:50PM_2020-11-11,5.3,5.3,5.295,5.295,68282,5.3,5.304,5.306,,42.7,,,
12:55PM_2020-11-11,5.29,5.3,5.29,5.29,309862,5.298,5.301,5.303,,40.47,,,
05:10AM_2020-11-12,5.27,5.28,5.27,5.28,1800,5.293,5.298,5.299,,36.39,,,
05:50AM_2020-11-12,5.3,5.3,5.3,5.3,692,5.293,5.297,5.298,,47.75,,,
06:10AM_2020-11-12,5.24,5.24,5.23,5.23,24200,5.282,5.288,5.29,5.298,28.54,,,
06:15AM_2020-11-12,5.18,5.18,5.18,5.18,8600,5.262,5.274,5.277,5.292,21.79,,,
06:25AM_2020-11-12,5.21,5.21,5.21,5.21,588,5.248,5.264,5.268,5.287,32.15,,,
06:30AM_2020-11-12,5.2,5.23,5.2,5.22,63166,5.237,5.256,5.26,5.283,35.23,,,
06:35AM_2020-11-12,5.22,5.25,5.22,5.245,31800,5.231,5.25,5.255,5.281,42.29,,,
06:40AM_2020-11-12,5.24,5.24,5.225,5.235,46466,5.22,5.243,5.248,5.277,40.39,,,
06:45AM_2020-11-12,5.235,5.25,5.23,5.23,63400,5.22,5.237,5.242,5.274,39.44,-0.03,,
06:50AM_2020-11-12,5.23,5.24,5.22,5.22,197836,5.227,5.23,5.235,5.269,37.54,-0.03,,
06:55AM_2020-11-12,5.22,5.22,5.21,5.21,68080,5.227,5.22,5.228,5.263,35.68,-0.03,,
07:00AM_2020-11-12,5.215,5.22,5.205,5.22,62560,5.227,5.219,5.22,5.259,38.93,-0.03,,
07:05AM_2020-11-12,5.21,5.215,5.21,5.215,94578,5.222,5.223,5.218,5.254,37.9,-0.03,,
07:10AM_2020-11-12,5.21,5.23,5.21,5.225,79928,5.22,5.224,5.223,5.25,41.25,-0.03,,
07:15AM_2020-11-12,5.22,5.255,5.22,5.25,59052,5.223,5.228,5.227,5.247,48.71,-0.03,,
07:20AM_2020-11-12,5.255,5.255,5.225,5.23,48850,5.225,5.226,5.228,5.244,43.91,-0.02,,
07:25AM_2020-11-12,5.22,5.22,5.19,5.2,21298,5.223,5.222,5.224,5.239,37.88,-0.02,-0.03,0.0044952731518824104
07:30AM_2020-11-12,5.21,5.21,5.2,5.2,32524,5.22,5.219,5.22,5.234,37.88,-0.03,-0.03,0.0032726169837719657
07:35AM_2020-11-12,5.19,5.21,5.19,5.2,36392,5.217,5.217,5.217,5.229,37.88,-0.03,-0.03,0.002595692989623505
07:40AM_2020-11-12,5.195,5.215,5.195,5.2,58686,5.213,5.216,5.215,5.225,37.88,-0.03,-0.03,0.002290392714484682
07:45AM_2020-11-12,5.2,5.21,5.195,5.21,26998,5.207,5.214,5.215,5.221,41.48,-0.02,-0.03,0.002866979701662109
07:50AM_2020-11-12,5.21,5.215,5.205,5.215,45932,5.204,5.214,5.215,5.217,43.25,-0.02,-0.03,0.003640468151472523
07:55AM_2020-11-12,5.22,5.235,5.22,5.23,68256,5.209,5.215,5.216,5.217,48.31,-0.02,-0.02,0.005126702355647307
08:00AM_2020-11-12,5.23,5.245,5.225,5.24,12500,5.216,5.214,5.218,5.22,51.42,-0.02,-0.02,0.006650987826825744
08:05AM_2020-11-12,5.24,5.24,5.24,5.24,34400,5.222,5.215,5.217,5.222,51.42,-0.01,-0.02,0.0074658819470347255
08:10AM_2020-11-12,5.23,5.235,5.225,5.23,45278,5.228,5.218,5.217,5.222,48.07,-0.01,-0.02,0.007138232321993902
08:15AM_2020-11-12,5.225,5.24,5.225,5.235,24502,5.232,5.222,5.22,5.222,49.83,-0.01,-0.02,0.007052629828829239
08:20AM_2020-11-12,5.23,5.24,5.23,5.24,14800,5.236,5.227,5.224,5.222,51.6,-0.01,-0.02,0.007107150842854789
08:25AM_2020-11-12,5.24,5.245,5.235,5.245,37800,5.238,5.232,5.228,5.223,53.37,-0.01,-0.01,0.007230441840496614
08:30AM_2020-11-12,5.245,5.26,5.245,5.245,77324,5.239,5.236,5.233,5.224,53.37,-0.01,-0.01,0.007054805455138187
08:35AM_2020-11-12,5.245,5.25,5.23,5.23,20954,5.238,5.237,5.235,5.225,47.34,-0.0,-0.01,0.005727670040908295
08:40AM_2020-11-12,5.225,5.23,5.215,5.22,39070,5.236,5.236,5.235,5.225,43.8,-0.01,-0.01,0.004054401775502425
08:45AM_2020-11-12,5.215,5.225,5.21,5.22,53160,5.233,5.234,5.234,5.225,43.8,-0.01,-0.01,0.002880835468514498
08:50AM_2020-11-12,5.21,5.215,5.2,5.21,66496,5.228,5.231,5.231,5.224,40.29,-0.01,-0.01,0.0014372503083232863
08:55AM_2020-11-12,5.21,5.22,5.21,5.21,21590,5.223,5.228,5.228,5.222,40.29,-0.01,-0.01,0.0005349985355854302
09:00AM_2020-11-12,5.21,5.22,5.2,5.21,38074,5.217,5.226,5.226,5.221,40.29,-0.01,-0.01,1.8122201678193867e-05
09:05AM_2020-11-12,5.22,5.23,5.21,5.21,153902,5.213,5.222,5.224,5.222,40.29,-0.01,-0.01,-0.00023015406577523573
09:10AM_2020-11-12,5.21,5.215,5.2,5.21,106088,5.212,5.218,5.221,5.222,40.29,-0.01,-0.01,-0.00029653739535418465
09:15AM_2020-11-12,5.21,5.21,5.18,5.18,65518,5.205,5.211,5.214,5.221,29.9,-0.01,-0.01,-0.0021592878773195635
09:20AM_2020-11-12,5.185,5.185,5.17,5.17,35158,5.198,5.204,5.207,5.22,27.37,-0.01,-0.01,-0.003769043300465926
09:25AM_2020-11-12,5.165,5.175,5.165,5.17,71968,5.192,5.199,5.201,5.218,27.37,-0.02,-0.01,-0.004489073232540195
09:30AM_2020-11-12,5.17,5.17,5.16,5.16,16500,5.183,5.192,5.195,5.215,24.92,-0.02,-0.01,-0.00524164043705946
09:35AM_2020-11-12,5.16,5.18,5.15,5.15,116314,5.173,5.186,5.188,5.211,22.73,-0.02,-0.01,-0.005963203798344648
09:40AM_2020-11-12,5.15,5.15,5.145,5.15,44300,5.163,5.179,5.182,5.207,22.73,-0.02,-0.02,-0.0059757410217449215
09:45AM_2020-11-12,5.15,5.15,5.135,5.14,217852,5.157,5.171,5.175,5.202,20.62,-0.02,-0.02,-0.0061677738916900565
09:50AM_2020-11-12,5.14,5.175,5.13,5.17,113436,5.157,5.167,5.171,5.199,38.89,-0.02,-0.02,-0.0038954803181000842
09:55AM_2020-11-12,5.17,5.18,5.16,5.17,40294,5.157,5.162,5.167,5.195,38.89,-0.02,-0.02,-0.0021033633824651746
10:00AM_2020-11-12,5.17,5.17,5.15,5.15,37580,5.155,5.159,5.161,5.191,33.02,-0.02,-0.02,-0.001977716877769868
10:05AM_2020-11-12,5.15,5.15,5.13,5.14,175556,5.153,5.156,5.157,5.186,30.53,-0.02,-0.02,-0.002260484096695721
10:10AM_2020-11-12,5.14,5.145,5.11,5.11,223852,5.147,5.149,5.151,5.179,24.56,-0.02,-0.02,-0.004055615176279264
10:15AM_2020-11-12,5.11,5.11,5.1,5.11,34860,5.142,5.143,5.145,5.173,24.56,-0.03,-0.02,-0.004780789404977774
10:20AM_2020-11-12,5.11,5.12,5.11,5.11,27729,5.132,5.139,5.14,5.167,24.56,-0.03,-0.02,-0.004786424190580389
10:25AM_2020-11-12,5.11,5.125,5.09,5.09,114593,5.118,5.132,5.134,5.161,21.13,-0.03,-0.02,-0.005606214255702284
10:30AM_2020-11-12,5.09,5.1,5.085,5.1,296842,5.11,5.128,5.129,5.155,26.65,-0.03,-0.03,-0.004966018716525862
10:35AM_2020-11-12,5.1,5.1,5.09,5.09,146994,5.102,5.119,5.124,5.149,24.78,-0.03,-0.03,-0.004709327308410276
10:40AM_2020-11-12,5.09,5.09,5.085,5.09,85710,5.098,5.11,5.116,5.143,24.78,-0.03,-0.03,-0.004057554899997876
10:45AM_2020-11-12,5.09,5.11,5.09,5.11,162194,5.098,5.106,5.11,5.138,35.31,-0.03,-0.03,-0.0019067190965120356
10:50AM_2020-11-12,5.105,5.11,5.1,5.11,97234,5.098,5.102,5.106,5.134,35.31,-0.03,-0.03,-0.00020105724342794895
10:55AM_2020-11-12,5.11,5.13,5.11,5.13,15100,5.105,5.104,5.105,5.131,44.35,-0.03,-0.03,0.0024129761156668206
11:00AM_2020-11-12,5.135,5.14,5.13,5.13,22916,5.11,5.107,5.107,5.129,44.35,-0.02,-0.03,0.004177474251463843
11:05AM_2020-11-12,5.13,5.13,5.1,5.1,114992,5.112,5.106,5.106,5.125,35.68,-0.02,-0.03,0.003392951036190514
11:10AM_2020-11-12,5.1,5.105,5.1,5.1,54112,5.113,5.107,5.105,5.122,35.68,-0.02,-0.03,0.0029586733169200026
11:15AM_2020-11-12,5.1,5.1,5.09,5.09,109912,5.11,5.106,5.105,5.119,33.17,-0.02,-0.02,0.002121768191670266
11:20AM_2020-11-12,5.09,5.1,5.08,5.08,122706,5.105,5.104,5.103,5.116,30.84,-0.02,-0.02,0.001071540019230495
11:25AM_2020-11-12,5.08,5.09,5.08,5.09,14526,5.098,5.104,5.103,5.113,35.71,-0.02,-0.02,0.0012165708096821687
