Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
09:00AM_2020-11-19,38.08,38.1,38.08,38.1,200,,,,,,,,,
09:05AM_2020-11-19,38.13,38.139,38.13,38.139,200,,,,,,,,,
09:10AM_2020-11-19,38.2,38.4,38.2,38.4,1600,,,,,,,,,
09:15AM_2020-11-19,38.42,38.699,38.42,38.67,700,,,,,,,,,
09:20AM_2020-11-19,38.48,38.66,38.48,38.66,800,,,,,,,,,
09:30AM_2020-11-19,38.7,38.7,38.7,38.7,200,38.445,,,,,,,,
09:35AM_2020-11-19,38.61,38.63,38.46,38.46,400,38.505,,,,,,,,
09:40AM_2020-11-19,38.44,38.44,38.44,38.44,200,38.555,,,,,,,,
09:50AM_2020-11-19,38.79,38.8,38.79,38.8,200,38.622,38.485,,,,,,,
09:55AM_2020-11-19,38.8,38.81,38.8,38.81,550,38.645,38.564,38.518,,,,,,
10:05AM_2020-11-19,38.69,38.709,38.66,38.66,300,38.645,38.622,38.574,,,,,,
10:10AM_2020-11-19,38.72,38.9,38.71,38.9,800,38.678,38.678,38.65,,,,,,
10:15AM_2020-11-19,38.89,38.91,38.89,38.91,325,38.753,38.704,38.701,,,,,,
10:20AM_2020-11-19,38.86,38.9,38.83,38.83,900,38.818,38.723,38.717,,,,,,
10:25AM_2020-11-19,38.69,38.69,38.69,38.69,200,38.8,38.722,38.72,,65.78,,,,
10:45AM_2020-11-19,38.64,38.64,38.64,38.64,100,38.772,38.742,38.714,,63.93,,,,
11:15AM_2020-11-19,38.43,38.43,38.43,38.43,100,38.733,38.741,38.711,,56.75,,,,
11:20AM_2020-11-19,38.49,38.49,38.49,38.49,100,38.665,38.707,38.716,,58.2,,,,
11:35AM_2020-11-19,38.07,38.07,38.07,38.07,100,38.525,38.624,38.643,,46.48,,,,
12:10PM_2020-11-19,38.43,38.43,38.43,38.43,190,38.458,38.599,38.605,38.561,54.87,,,,-0.1031
12:20PM_2020-11-19,38.44,38.44,38.44,38.44,100,38.417,38.548,38.583,38.578,55.08,,,,-0.1618
12:30PM_2020-11-19,38.71,38.73,38.71,38.73,200,38.432,38.528,38.566,38.608,60.79,,,,-0.1763
12:45PM_2020-11-19,38.49,38.49,38.49,38.49,200,38.442,38.49,38.524,38.613,54.6,,,,-0.1708
