Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
12:25PM_2020-11-17,74.18,74.18,74.18,74.18,100,,,,,,,,,
12:55PM_2020-11-17,75.01,75.01,74.97,74.97,423,,,,,,,,,
01:05PM_2020-11-17,74.881,74.881,74.881,74.881,100,,,,,,,,,
06:40AM_2020-11-18,75.04,75.04,75.04,75.04,100,,,,,,,,,
06:50AM_2020-11-18,74.57,74.57,74.47,74.47,200,,,,,,,,,
06:55AM_2020-11-18,74.65,74.65,74.65,74.65,100,74.699,,,,,,,,
07:05AM_2020-11-18,74.51,74.51,74.5,74.5,200,74.752,,,,,,,,
07:40AM_2020-11-18,74.0,74.0,74.0,74.0,100,74.59,,,,,,,,
08:00AM_2020-11-18,74.79,74.79,74.79,74.79,100,74.575,74.609,,,,,,,
08:05AM_2020-11-18,75.07,75.07,75.07,75.07,100,74.58,74.708,74.655,,,,,,
08:15AM_2020-11-18,75.23,75.23,75.23,75.23,100,74.707,74.737,74.76,,,,,,
08:55AM_2020-11-18,76.2,76.2,76.2,76.2,1600,74.965,74.883,74.883,,,,,,
11:30AM_2020-11-18,74.82,74.82,74.82,74.82,100,75.018,74.859,74.877,,,,,,
11:40AM_2020-11-18,74.93,74.93,74.93,74.93,100,75.173,74.91,74.866,,,,,,
12:00PM_2020-11-18,73.52,73.52,73.52,73.52,100,74.962,74.784,74.771,,45.62,,,,
12:30PM_2020-11-18,73.17,73.17,73.17,73.17,100,74.645,74.637,74.623,,43.45,,,,
12:45PM_2020-11-18,72.31,72.31,72.31,72.31,100,74.158,74.449,74.404,,38.59,,,,
12:55PM_2020-11-18,71.09,71.09,70.8,70.8,318,73.258,74.006,74.084,,31.85,,,,
06:30AM_2020-11-19,71.54,72.88,71.54,72.88,372,72.935,73.762,73.893,,45.87,,,,
06:45AM_2020-11-19,71.3,71.3,71.3,71.3,200,72.33,73.326,73.516,74.086,39.26,,,,-1.7556
07:30AM_2020-11-19,72.48,72.48,72.48,72.48,100,72.157,72.912,73.241,74.001,45.57,,,,-1.8439
07:55AM_2020-11-19,73.181,73.181,73.181,73.181,100,72.158,72.73,72.939,73.911,48.96,,,,-1.7526
08:00AM_2020-11-19,73.29,73.29,73.29,73.29,100,72.322,72.548,72.786,73.832,49.49,,,,-1.5097
09:25AM_2020-11-19,71.25,71.25,71.25,71.25,100,72.397,72.296,72.418,73.642,40.96,,,,-1.2452
09:40AM_2020-11-19,71.55,71.619,71.55,71.619,700,72.187,72.123,72.228,73.499,42.88,,,,-1.3128
