Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
07:20AM_2020-11-11,10.825,10.86,10.825,10.86,434,,,,,,,,
07:30AM_2020-11-11,10.915,10.915,10.915,10.915,300,,,,,,,,
07:35AM_2020-11-11,10.935,10.935,10.86,10.905,440,,,,,,,,
07:40AM_2020-11-11,10.9,10.965,10.9,10.95,1625,,,,,,,,
07:50AM_2020-11-11,10.81,10.82,10.81,10.82,296,,,,,,,,
07:55AM_2020-11-11,10.95,10.95,10.92,10.92,200,10.895,,,,,,,
08:00AM_2020-11-11,10.97,11.0,10.97,11.0,300,10.918,,,,,,,
08:05AM_2020-11-11,10.96,10.96,10.96,10.96,192,10.926,,,,,,,
08:25AM_2020-11-11,11.075,11.075,11.075,11.075,200,10.954,10.934,,,,,,
08:30AM_2020-11-11,11.09,11.09,11.085,11.085,300,10.977,10.959,10.949,,,,,
08:35AM_2020-11-11,11.075,11.075,11.075,11.075,200,11.019,10.977,10.97,,,,,
08:40AM_2020-11-11,11.08,11.11,11.08,11.11,800,11.051,10.999,10.99,,,,,
08:45AM_2020-11-11,11.11,11.11,11.09,11.09,300,11.066,11.015,11.008,,,,,
09:30AM_2020-11-11,10.89,10.89,10.87,10.88,694,11.052,11.022,11.001,,,,,
09:35AM_2020-11-11,10.86,10.92,10.86,10.88,2905,11.02,11.017,11.007,,51.16,,,
09:40AM_2020-11-11,10.88,10.95,10.88,10.95,414,10.997,11.012,11.01,,55.1,,,
09:45AM_2020-11-11,11.03,11.03,11.03,11.03,100,10.99,11.019,11.013,,59.15,,,
10:00AM_2020-11-11,11.03,11.03,11.02,11.02,400,10.975,11.013,11.019,,58.44,,,
10:05AM_2020-11-11,11.04,11.04,11.04,11.04,200,10.967,11.008,11.016,,59.49,,,
10:10AM_2020-11-11,11.03,11.03,11.005,11.005,400,10.987,11.001,11.008,10.978,56.79,,,
10:20AM_2020-11-11,11.01,11.07,11.01,11.07,900,11.019,10.996,11.007,10.989,60.38,,,
10:25AM_2020-11-11,11.05,11.05,11.035,11.035,300,11.033,10.99,11.0,10.995,57.61,,,
10:45AM_2020-11-11,11.03,11.03,11.02,11.02,390,11.032,11.006,10.993,11.001,56.41,,,
10:50AM_2020-11-11,10.99,10.99,10.99,10.99,200,11.027,11.018,11.004,11.003,53.99,,,
10:55AM_2020-11-11,10.94,10.94,10.94,10.94,200,11.01,11.017,11.01,11.009,50.14,,,
11:00AM_2020-11-11,10.97,10.97,10.97,10.97,100,11.004,11.01,11.012,11.011,52.34,0.01,,
11:15AM_2020-11-11,10.965,10.965,10.95,10.95,300,10.984,11.002,11.004,11.009,50.73,0.0,,
11:20AM_2020-11-11,10.92,10.92,10.91,10.91,315,10.963,10.988,10.993,11.006,47.58,-0.0,,
11:30AM_2020-11-11,10.83,10.83,10.83,10.83,100,10.932,10.968,10.972,10.994,41.98,-0.01,,
11:35AM_2020-11-11,10.83,10.865,10.83,10.865,662,10.911,10.946,10.958,10.983,45.03,-0.02,,
11:40AM_2020-11-11,10.865,10.87,10.865,10.87,1800,10.899,10.927,10.938,10.973,45.47,-0.02,,
11:45AM_2020-11-11,10.89,10.89,10.86,10.86,413,10.881,10.909,10.92,10.96,44.7,-0.03,,
11:50AM_2020-11-11,10.83,10.86,10.83,10.83,600,10.861,10.892,10.901,10.947,42.37,-0.03,,
11:55AM_2020-11-11,10.83,10.855,10.83,10.855,200,10.852,10.882,10.888,10.946,44.94,-0.03,-0.02,-0.018019745652553116
12:00PM_2020-11-11,10.855,10.855,10.85,10.85,205,10.855,10.869,10.879,10.945,44.51,-0.04,-0.02,-0.015367996132784847
12:10PM_2020-11-11,10.8,10.8,10.8,10.8,180,10.844,10.852,10.862,10.937,40.37,-0.04,-0.02,-0.01591108005151104
12:15PM_2020-11-11,10.795,10.795,10.77,10.795,605,10.832,10.839,10.846,10.925,39.97,-0.04,-0.03,-0.015520094877137902
12:20PM_2020-11-11,10.77,10.795,10.75,10.76,1800,10.815,10.832,10.831,10.912,37.19,-0.05,-0.03,-0.016443305858963878
12:25PM_2020-11-11,10.72,10.72,10.72,10.72,300,10.797,10.816,10.82,10.896,34.26,-0.05,-0.04,-0.018423443984980428
12:30PM_2020-11-11,10.695,10.705,10.695,10.705,201,10.772,10.797,10.804,10.881,33.2,-0.06,-0.04,-0.019324809105340367
12:35PM_2020-11-11,10.685,10.685,10.685,10.685,257,10.744,10.778,10.786,10.862,31.79,-0.07,-0.05,-0.01977781232614874
12:40PM_2020-11-11,10.74,10.74,10.74,10.74,194,10.734,10.768,10.774,10.847,39.41,-0.06,-0.05,-0.01509464139588755
12:45PM_2020-11-11,10.735,10.745,10.735,10.745,600,10.726,10.756,10.765,10.834,40.06,-0.06,-0.05,-0.010594195020512565
12:50PM_2020-11-11,10.765,10.82,10.76,10.82,1000,10.736,10.752,10.762,10.825,48.98,-0.05,-0.05,-0.0019528149111349702
12:55PM_2020-11-11,10.85,10.86,10.85,10.86,1394,10.759,10.759,10.763,10.821,52.99,-0.04,-0.05,0.006601859441539834
06:35AM_2020-11-12,10.55,10.55,10.49,10.49,534,10.723,10.725,10.732,10.797,29.71,-0.07,-0.05,-0.011526550998142829
06:50AM_2020-11-12,10.505,10.52,10.5,10.5,365,10.692,10.696,10.702,10.775,30.59,-0.08,-0.06,-0.02115209722537781
06:55AM_2020-11-12,10.425,10.5,10.425,10.5,1494,10.652,10.672,10.676,10.754,30.59,-0.09,-0.07,-0.025533592583381184
07:00AM_2020-11-12,10.45,10.47,10.45,10.47,204,10.607,10.646,10.651,10.736,29.31,-0.1,-0.07,-0.02825486691606925
07:05AM_2020-11-12,10.535,10.535,10.535,10.535,153,10.559,10.629,10.634,10.72,35.63,-0.1,-0.08,-0.023665816556951644
07:10AM_2020-11-12,10.44,10.44,10.44,10.44,100,10.489,10.596,10.61,10.698,31.23,-0.11,-0.09,-0.024892248936197695
07:15AM_2020-11-12,10.43,10.43,10.43,10.43,100,10.479,10.561,10.579,10.677,30.8,-0.12,-0.09,-0.024218185724312752
07:30AM_2020-11-12,10.53,10.58,10.505,10.58,1409,10.492,10.534,10.562,10.664,43.41,-0.11,-0.09,-0.012122239847099855
07:35AM_2020-11-12,10.66,10.665,10.63,10.63,1200,10.514,10.508,10.543,10.653,46.88,-0.09,-0.09,0.0001444939905371201
07:50AM_2020-11-12,10.47,10.47,10.47,10.47,100,10.514,10.506,10.504,10.634,38.7,-0.1,-0.09,-0.001526806777271572
07:55AM_2020-11-12,10.49,10.49,10.44,10.44,200,10.498,10.499,10.499,10.616,37.38,-0.1,-0.1,-0.003546809065446674
08:00AM_2020-11-12,10.53,10.555,10.53,10.555,400,10.517,10.506,10.505,10.604,45.1,-0.09,-0.09,0.0035821662955918265
08:10AM_2020-11-12,10.58,10.58,10.58,10.58,123,10.542,10.518,10.513,10.595,46.64,-0.08,-0.09,0.010320076708331988
08:20AM_2020-11-12,10.55,10.55,10.55,10.55,300,10.538,10.519,10.521,10.586,45.01,-0.08,-0.09,0.012926169737634802
08:30AM_2020-11-12,10.51,10.51,10.51,10.51,100,10.518,10.527,10.518,10.577,42.85,-0.07,-0.09,0.01213826598094056
08:40AM_2020-11-12,10.53,10.53,10.5,10.5,1625,10.522,10.535,10.524,10.567,42.31,-0.07,-0.08,0.011151238359339274
08:45AM_2020-11-12,10.49,10.49,10.49,10.49,801,10.531,10.525,10.53,10.555,41.74,-0.07,-0.08,0.010065729447914853
08:50AM_2020-11-12,10.51,10.51,10.51,10.51,200,10.523,10.512,10.523,10.543,43.39,-0.07,-0.08,0.010866986623813385
09:00AM_2020-11-12,10.53,10.54,10.53,10.54,252,10.517,10.519,10.514,10.529,45.86,-0.06,-0.07,0.013422237582831203
09:15AM_2020-11-12,10.54,10.54,10.54,10.54,160,10.515,10.531,10.521,10.513,45.86,-0.06,-0.07,0.014997785477957298
09:25AM_2020-11-12,10.54,10.54,10.54,10.54,100,10.52,10.529,10.531,10.516,45.86,-0.05,-0.07,0.01584249866166358
09:30AM_2020-11-12,10.52,10.52,10.52,10.52,132,10.523,10.522,10.528,10.517,44.25,-0.05,-0.06,0.014872396010549543
09:35AM_2020-11-12,10.48,10.53,10.48,10.53,300,10.53,10.52,10.523,10.518,45.28,-0.04,-0.06,0.014696289052631317
09:40AM_2020-11-12,10.47,10.52,10.47,10.52,1132,10.532,10.521,10.52,10.521,44.4,-0.04,-0.06,0.013717225938833538
09:45AM_2020-11-12,10.5,10.51,10.5,10.51,492,10.527,10.522,10.52,10.519,43.48,-0.04,-0.05,0.012254945236003262
09:55AM_2020-11-12,10.47,10.47,10.47,10.47,120,10.515,10.52,10.517,10.521,39.93,-0.04,-0.05,0.008623986866949124
10:00AM_2020-11-12,10.485,10.57,10.485,10.57,6530,10.52,10.527,10.525,10.528,50.76,-0.03,-0.05,0.012738901312506837
10:05AM_2020-11-12,10.52,10.53,10.5,10.53,5491,10.522,10.526,10.527,10.525,47.1,-0.03,-0.04,0.012529560693579953
10:10AM_2020-11-12,10.52,10.52,10.52,10.52,100,10.52,10.523,10.525,10.52,46.2,-0.03,-0.04,0.011506807267379793
10:15AM_2020-11-12,10.5,10.5,10.47,10.47,1082,10.512,10.516,10.518,10.52,41.91,-0.03,-0.04,0.007448903982568526
10:25AM_2020-11-12,10.42,10.42,10.42,10.42,100,10.497,10.504,10.506,10.519,38.1,-0.04,-0.04,0.0016843720036288506
10:30AM_2020-11-12,10.485,10.495,10.48,10.49,1491,10.5,10.5,10.503,10.516,45.56,-0.04,-0.04,0.0028066251474826165
10:40AM_2020-11-12,10.44,10.44,10.44,10.44,100,10.478,10.491,10.494,10.509,41.69,-0.04,-0.04,0.0005220348983164397
10:45AM_2020-11-12,10.44,10.44,10.44,10.44,830,10.463,10.483,10.486,10.503,41.69,-0.04,-0.04,-0.0005884434243504585
10:50AM_2020-11-12,10.44,10.48,10.44,10.475,800,10.456,10.484,10.482,10.501,45.45,-0.04,-0.04,0.0013301613860503408
11:05AM_2020-11-12,10.48,10.48,10.46,10.46,204,10.454,10.472,10.481,10.499,44.14,-0.04,-0.04,0.0018528454889134155
11:10AM_2020-11-12,10.48,10.49,10.48,10.49,300,10.466,10.467,10.473,10.499,47.41,-0.03,-0.04,0.004340765433539243
11:15AM_2020-11-12,10.48,10.48,10.48,10.48,100,10.464,10.463,10.468,10.498,46.44,-0.03,-0.04,0.005367436221069624
11:20AM_2020-11-12,10.455,10.455,10.44,10.44,200,10.464,10.459,10.46,10.493,42.65,-0.03,-0.03,0.003497641179457403
11:25AM_2020-11-12,10.38,10.465,10.37,10.43,1486,10.463,10.461,10.456,10.487,41.74,-0.03,-0.03,0.001816973298561217
11:30AM_2020-11-12,10.405,10.42,10.405,10.42,200,10.453,10.453,10.456,10.481,40.79,-0.03,-0.03,0.00033880879580409223
11:35AM_2020-11-12,10.37,10.4,10.36,10.4,810,10.443,10.448,10.447,10.475,38.9,-0.04,-0.03,-0.0015738915388487235
11:40AM_2020-11-12,10.41,10.43,10.37,10.4,2238,10.428,10.444,10.443,10.469,38.9,-0.04,-0.03,-0.0023787431089091413
11:45AM_2020-11-12,10.395,10.4,10.38,10.39,2132,10.413,10.434,10.438,10.462,37.88,-0.04,-0.04,-0.0030797798881233504
11:50AM_2020-11-12,10.435,10.45,10.42,10.42,641,10.41,10.43,10.433,10.458,42.73,-0.04,-0.04,-0.0011192720672410852
12:00PM_2020-11-12,10.4,10.41,10.34,10.34,1100,10.395,10.413,10.421,10.451,34.9,-0.04,-0.04,-0.004610724685758988
12:05PM_2020-11-12,10.36,10.36,10.285,10.3,2429,10.375,10.393,10.402,10.438,31.77,-0.05,-0.04,-0.008773117443131917
12:15PM_2020-11-12,10.3,10.32,10.29,10.32,604,10.362,10.38,10.386,10.427,34.91,-0.05,-0.04,-0.009288787436569822
12:25PM_2020-11-12,10.26,10.26,10.25,10.25,1500,10.337,10.36,10.367,10.414,29.74,-0.06,-0.04,-0.013214148695265417
12:30PM_2020-11-12,10.23,10.23,10.195,10.195,421,10.304,10.335,10.343,10.4,26.43,-0.07,-0.05,-0.018083481783705162
12:35PM_2020-11-12,10.15,10.17,10.15,10.165,733,10.262,10.309,10.318,10.387,24.81,-0.08,-0.05,-0.021652562132228978
12:40PM_2020-11-12,10.165,10.165,10.145,10.145,1520,10.229,10.281,10.292,10.37,23.76,-0.08,-0.06,-0.02353204495682116
12:45PM_2020-11-12,10.13,10.13,10.06,10.06,691,10.189,10.244,10.258,10.351,19.92,-0.1,-0.07,-0.028348509048641807
12:50PM_2020-11-12,10.1,10.11,10.05,10.05,505,10.144,10.203,10.224,10.332,19.51,-0.11,-0.08,-0.029902392320693916
12:55PM_2020-11-12,10.065,10.095,10.065,10.095,700,10.118,10.176,10.192,10.313,26.66,-0.11,-0.08,-0.02575177090211786
