Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
08:35AM_2020-11-20,38.49,38.49,38.36,38.395,5869,,,,,,,,,
08:40AM_2020-11-20,38.38,38.385,38.28,38.3,13380,,,,,,,,,
08:45AM_2020-11-20,38.31,38.55,38.3,38.37,11555,,,,,,,,,
08:50AM_2020-11-20,38.395,38.395,38.29,38.305,6446,,,,,,,,,
08:55AM_2020-11-20,38.305,38.33,38.255,38.33,5873,,,,,,,,,
09:00AM_2020-11-20,38.285,38.31,38.175,38.185,4953,38.314,,,,,,,,
09:05AM_2020-11-20,38.185,38.31,38.17,38.305,9471,38.299,,,,,,,,
09:10AM_2020-11-20,38.3,38.53,38.3,38.475,9796,38.328,,,,,,,,
09:15AM_2020-11-20,38.46,38.51,38.435,38.435,7955,38.339,38.344,,,,,,,
09:20AM_2020-11-20,38.435,38.495,38.36,38.435,6539,38.361,38.349,38.354,,,,,,
09:25AM_2020-11-20,38.43,38.43,38.23,38.23,10456,38.344,38.341,38.337,,,,,,
09:30AM_2020-11-20,38.2,38.3,38.175,38.175,6369,38.342,38.319,38.325,,,,,,
09:35AM_2020-11-20,38.13,38.16,38.05,38.08,10271,38.305,38.294,38.296,,,,,,
09:40AM_2020-11-20,38.08,38.08,38.02,38.06,9234,38.236,38.264,38.271,,,,,,
09:45AM_2020-11-20,38.03,38.035,37.89,37.99,14659,38.162,38.243,38.237,,32.77,,,,
09:50AM_2020-11-20,37.975,37.975,37.82,37.835,9256,38.062,38.191,38.202,,28.69,,,,
09:55AM_2020-11-20,37.8,38.1,37.8,38.065,8164,38.034,38.145,38.178,,40.51,,,,
10:00AM_2020-11-20,38.015,38.1,38.005,38.1,7922,38.022,38.108,38.14,,42.09,,,,
10:05AM_2020-11-20,38.09,38.09,37.8,37.81,6726,37.977,38.038,38.078,,34.05,,,,
10:10AM_2020-11-20,37.81,37.84,37.745,37.78,5020,37.93,37.988,38.012,38.183,33.34,,,,-0.253
10:15AM_2020-11-20,37.835,37.98,37.835,37.975,9139,37.928,37.966,37.987,38.162,41.82,,,,-0.2345
10:20AM_2020-11-20,37.93,38.16,37.835,38.16,7760,37.982,37.975,37.986,38.155,48.52,,,,-0.1733
