Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:25AM_2020-10-26,108.37,108.37,108.19,108.19,509,,,,,,,,
10:30AM_2020-10-26,108.21,108.21,108.1,108.11,403,,,,,,,,
10:35AM_2020-10-26,108.06,108.465,108.06,108.465,854,,,,,,,,
10:40AM_2020-10-26,108.55,108.55,108.55,108.55,188,,,,,,,,
10:45AM_2020-10-26,108.415,108.45,108.31,108.45,1253,,,,,,,,
10:50AM_2020-10-26,108.45,108.46,108.45,108.46,200,108.37083333333334,,,,,,,
10:55AM_2020-10-26,108.52,108.73,108.42,108.73,1729,108.46083333333335,,,,,,,
11:00AM_2020-10-26,108.6,108.6,108.575,108.59,524,108.54083333333335,,,,,,,
11:05AM_2020-10-26,108.75,108.75,108.61,108.64,517,108.57000000000001,108.465,,,,,,
11:20AM_2020-10-26,108.535,108.545,108.51,108.51,447,108.56333333333335,108.50055555555556,108.46950000000001,,,,,
11:25AM_2020-10-26,108.75,108.93,108.75,108.93,412,108.64333333333336,108.59166666666668,108.54350000000002,,,,,
11:30AM_2020-10-26,108.91,108.91,108.82,108.82,501,108.70333333333333,108.63111111111112,108.61450000000002,,,,,
11:35AM_2020-10-26,108.78,108.81,108.78,108.81,608,108.71666666666665,108.66000000000003,108.64900000000003,,,,,
11:40AM_2020-10-26,108.84,108.98,108.82,108.82,618,108.75499999999998,108.70111111111113,108.67600000000002,,,,,
11:45AM_2020-10-26,108.58,108.67,108.58,108.67,396,108.75999999999998,108.72444444444447,108.69800000000002,,62.50000000000028,,,
11:50AM_2020-10-26,108.61,108.9,108.61,108.885,928,108.82249999999998,108.74166666666669,108.74050000000003,,66.53557382910296,,,
11:55AM_2020-10-26,108.87,109.08,108.87,109.08,656,108.84749999999997,108.79611111111112,108.77550000000001,,69.71853769006819,,,
12:00PM_2020-10-26,109.2,109.2,109.125,109.125,315,108.89833333333331,108.85,108.82900000000002,,70.41780198119815,,,
12:05PM_2020-10-26,108.985,108.985,108.915,108.98,433,108.92666666666666,108.9022222222222,108.86300000000001,,65.19371489553916,,,
12:10PM_2020-10-26,108.95,108.96,108.75,108.75,1413,108.915,108.8822222222222,108.88700000000001,108.67825,57.86109596369198,,,
12:15PM_2020-10-26,108.94,109.07,108.895,108.895,898,108.9525,108.89055555555554,108.8835,108.7135,60.8506268782333,,,
12:20PM_2020-10-26,108.92,108.94,108.92,108.94,201,108.96166666666666,108.905,108.89550000000001,108.755,61.75739547240923,,,
12:25PM_2020-10-26,109.215,109.215,109.215,109.215,201,108.98416666666667,108.94888888888889,108.936,108.79249999999999,66.81574255076251,,,
12:30PM_2020-10-26,109.22,109.37,109.22,109.37,212,109.02499999999999,109.02666666666666,108.99100000000001,108.83349999999999,69.28199672225625,,,
12:35PM_2020-10-26,109.22,109.315,109.22,109.315,305,109.08083333333332,109.07444444444442,109.05550000000001,108.87674999999999,67.36871181091401,,,
12:40PM_2020-10-26,109.31,109.36,109.22,109.28,748,109.16916666666664,109.09666666666664,109.095,108.91775,66.11740137889855,0.2711978121613754,,
12:45PM_2020-10-26,109.19,109.225,109.06,109.06,1208,109.19666666666664,109.08944444444442,109.093,108.93424999999999,58.73280316224538,0.25089080709074096,,
12:50PM_2020-10-26,109.03,109.1,108.95,109.09,2330,109.22166666666665,109.10166666666663,109.0895,108.95925,59.398741243423174,0.23451476827938222,,
12:55PM_2020-10-26,109.27,109.78,109.27,109.78,5394,109.31583333333332,109.21611111111108,109.1695,109.01625000000001,70.99302339659042,0.27405474051229817,,
06:30AM_2020-10-27,109.84,110.58,109.12,109.34,4887,109.31083333333332,109.26555555555552,109.22849999999998,109.05775000000001,59.35341547845163,0.2668105051903922,,
06:35AM_2020-10-27,109.44,109.78,109.44,109.78,662,109.38833333333332,109.35888888888884,109.31699999999998,109.10025000000003,65.45320829504317,0.29319396178786405,,
06:40AM_2020-10-27,109.24,109.51,109.24,109.475,866,109.42083333333333,109.38777777777771,109.37049999999996,109.13300000000001,58.859367419544355,0.28619303505610105,,
06:45AM_2020-10-27,109.53,109.685,109.22,109.22,1142,109.44749999999999,109.37111111111103,109.37099999999998,109.15350000000001,53.96450235428787,0.25710463906902703,,
06:50AM_2020-10-27,109.37,109.37,109.37,109.37,205,109.49416666666666,109.37722222222214,109.37100000000001,109.181,56.26836513806785,0.24335042980202104,0.264145633216578,-0.020795203414556984
06:55AM_2020-10-27,109.23,109.23,109.23,109.23,103,109.40249999999999,109.3716666666666,109.3625,109.20899999999999,53.57351056980993,0.21863302448112165,0.25504311146948677,-0.03641008698836512
07:00AM_2020-10-27,109.39,109.39,109.02,109.02,619,109.34916666666665,109.36722222222215,109.3365,109.21574999999999,49.72640551875985,0.18002385479118743,0.2400392601338269,-0.060015405342639466
07:05AM_2020-10-27,109.3,109.42,109.3,109.42,351,109.28916666666665,109.40388888888883,109.37250000000002,109.23274999999998,56.18103652594765,0.17963178332708196,0.22795776477247792,-0.04832598144539596
07:10AM_2020-10-27,109.45,109.59,109.45,109.59,449,109.30833333333332,109.38277777777772,109.42250000000001,109.256,58.61306344129576,0.19083877254094261,0.22053396632617087,-0.029695193785228252
07:15AM_2020-10-27,109.6,109.6,109.15,109.15,569,109.29666666666664,109.36166666666662,109.35950000000003,109.2645,50.76035667721695,0.16234466126930158,0.20889610531479702,-0.04655144404549544
07:20AM_2020-10-27,109.33,109.365,109.08,109.17,1571,109.2633333333333,109.29388888888883,109.34250000000004,109.2855,51.08117780002096,0.1397655751018334,0.1950699992722043,-0.0553044241703709
07:25AM_2020-10-27,108.97,109.065,108.955,109.065,445,109.23583333333329,109.24833333333328,109.27100000000004,109.29400000000001,49.266321757652136,0.1121065694139105,0.17847731330054556,-0.06637074388663505
07:30AM_2020-10-27,109.1,109.32,109.1,109.32,418,109.28583333333329,109.2594444444444,109.25550000000005,109.31300000000002,53.57976582636743,0.10950072086166074,0.1646819948127686,-0.05518127395110786
07:35AM_2020-10-27,109.47,109.47,109.315,109.315,465,109.2683333333333,109.25333333333329,109.26500000000006,109.31800000000001,53.48374528727916,0.1058123697639104,0.15290806980299698,-0.047095700039086585
07:40AM_2020-10-27,109.29,109.365,109.29,109.365,251,109.2308333333333,109.26833333333327,109.26450000000004,109.31775,54.364491742391635,0.10570540101480219,0.14346753604535803,-0.03776213503055584
07:45AM_2020-10-27,109.23,109.7,109.23,109.7,494,109.32249999999998,109.34388888888884,109.31150000000005,109.33699999999999,59.84971470684768,0.13114062035933216,0.14100215290815288,-0.009861532548820717
07:50AM_2020-10-27,109.7,109.7,109.42,109.435,449,109.36666666666666,109.3455555555555,109.35300000000004,109.34474999999998,54.29064470323806,0.1284344176194736,0.13848860585041703,-0.010054188230943423
07:55AM_2020-10-27,109.35,109.35,109.35,109.35,104,109.41416666666665,109.31888888888884,109.34600000000003,109.35924999999997,52.602897261025646,0.11806990644016935,0.1344048659683675,-0.016334959528198162
08:00AM_2020-10-27,109.3,109.35,109.3,109.35,317,109.41916666666664,109.34111111111106,109.32200000000003,109.37224999999997,52.602897261025646,0.10860403692430509,0.12924470015955503,-0.020640663235249934
08:05AM_2020-10-27,109.43,109.53,109.34,109.53,968,109.45499999999997,109.38111111111108,109.36000000000001,109.35974999999996,55.96494552452307,0.11430907890562025,0.12625757590876807,-0.011948497003147818
08:10AM_2020-10-27,109.63,109.63,109.56,109.56,392,109.48749999999995,109.43611111111107,109.399,109.37074999999996,56.51853742238243,0.1198693359689571,0.12497992792080588,-0.005110591951848778
08:15AM_2020-10-27,109.66,109.72,109.595,109.65,1092,109.47916666666661,109.47277777777776,109.45750000000001,109.36424999999994,58.21565046573959,0.1300391175887512,0.12599176585439495,0.004047351734356247
08:20AM_2020-10-27,109.685,109.685,109.54,109.58,764,109.50333333333329,109.5022222222222,109.4835,109.36949999999995,56.37269172058789,0.13094092236109134,0.12698159715573423,0.003959325205357106
08:25AM_2020-10-27,109.65,109.65,109.41,109.41,716,109.51333333333328,109.5072222222222,109.49300000000001,109.37899999999995,52.06213469006213,0.11659400675695508,0.1249040790759784,-0.008310072319023323
08:30AM_2020-10-27,109.25,109.28,109.175,109.28,400,109.50166666666661,109.46055555555553,109.4845,109.37449999999997,48.97792351742147,0.09365446881345463,0.11865415702347365,-0.024999688210019022
08:35AM_2020-10-27,109.2,109.29,109.2,109.29,581,109.4616666666666,109.44444444444441,109.4435,109.37749999999997,49.227093368259,0.07541232975444245,0.11000579156966742,-0.03459346181522496
08:40AM_2020-10-27,109.265,109.295,109.265,109.295,319,109.41749999999995,109.43833333333332,109.4295,109.39124999999997,49.36025636157003,0.06065951619248722,0.10013653649423138,-0.03947702030174416
08:45AM_2020-10-27,109.37,109.37,109.37,109.37,103,109.37083333333328,109.44055555555553,109.4315,109.38874999999996,51.41850728835056,0.05439267347365728,0.09098776389011656,-0.03659509041645928
08:50AM_2020-10-27,109.38,109.38,109.38,109.38,220,109.33749999999993,109.42388888888887,109.43450000000003,109.37824999999995,51.70039350044352,0.04966061523555254,0.08272233415920377,-0.03306171892365123
08:55AM_2020-10-27,109.47,109.47,109.47,109.47,142,109.34749999999995,109.41388888888888,109.42850000000003,109.39424999999994,54.27204408730598,0.05256671644232824,0.07669121061582866,-0.02412449417350042
09:00AM_2020-10-27,109.31,109.31,109.31,109.31,199,109.35249999999996,109.3761111111111,109.40350000000004,109.40124999999993,49.2515083825989,0.0414809926990074,0.06964916703246442,-0.028168174333457016
09:05AM_2020-10-27,109.36,109.36,109.36,109.36,105,109.36416666666663,109.35166666666665,109.37450000000001,109.41599999999994,50.783715277308104,0.036311482726915756,0.06298163017135469,-0.026670147444438935
09:10AM_2020-10-27,109.37,109.37,109.3,109.3,345,109.36499999999997,109.33944444444444,109.34650000000002,109.41499999999994,48.876666582878464,0.027061165994055614,0.055797537335894876,-0.028736371341839262
09:15AM_2020-10-27,109.18,109.18,109.1,109.1,595,109.31999999999998,109.31944444444444,109.3155,109.40424999999993,43.07060411427765,0.0035509615339037737,0.04534822217549665,-0.04179726064159288
09:20AM_2020-10-27,109.255,109.255,109.21,109.21,305,109.29166666666664,109.31055555555557,109.30850000000001,109.39649999999995,46.812865278895316,-0.006134252348374503,0.03505172727072243,-0.04118597961909693
09:25AM_2020-10-27,109.18,109.18,109.18,109.18,133,109.2433333333333,109.2977777777778,109.29750000000001,109.37049999999995,45.92617680354078,-0.016045639266408784,0.024832253963296188,-0.040877893229704976
