Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:10AM_2020-11-11,57.94,57.98,57.91,57.91,2229,,,,,,,,
11:15AM_2020-11-11,57.9,57.905,57.86,57.86,2533,,,,,,,,
11:20AM_2020-11-11,57.87,57.92,57.87,57.92,2602,,,,,,,,
11:25AM_2020-11-11,57.91,57.91,57.85,57.87,3046,,,,,,,,
11:30AM_2020-11-11,57.86,57.88,57.84,57.87,3894,,,,,,,,
11:35AM_2020-11-11,57.85,57.88,57.85,57.86,3601,57.882,,,,,,,
11:40AM_2020-11-11,57.85,57.9,57.83,57.9,6533,57.88,,,,,,,
11:45AM_2020-11-11,57.92,57.92,57.8,57.81,3151,57.872,,,,,,,
11:50AM_2020-11-11,57.81,57.87,57.8,57.865,2293,57.862,57.874,,,,,,
11:55AM_2020-11-11,57.87,57.89,57.85,57.85,5040,57.859,57.867,57.872,,,,,
12:00PM_2020-11-11,57.87,57.875,57.815,57.815,4282,57.85,57.862,57.862,,,,,
12:05PM_2020-11-11,57.81,57.82,57.75,57.755,2924,57.832,57.844,57.852,,,,,
12:10PM_2020-11-11,57.74,57.79,57.735,57.79,10831,57.814,57.835,57.838,,,,,
12:15PM_2020-11-11,57.78,57.85,57.78,57.85,8695,57.821,57.833,57.836,,,,,
12:20PM_2020-11-11,57.84,57.86,57.775,57.82,5224,57.813,57.828,57.832,,42.37,,,
12:25PM_2020-11-11,57.82,57.84,57.76,57.76,1853,57.798,57.813,57.822,,38.19,,,
12:30PM_2020-11-11,57.76,57.84,57.76,57.82,3400,57.799,57.814,57.814,,44.13,,,
12:35PM_2020-11-11,57.79,57.87,57.79,57.83,4251,57.812,57.81,57.816,,45.08,,,
12:40PM_2020-11-11,57.825,57.84,57.81,57.82,5110,57.817,57.807,57.811,,44.27,,,
12:45PM_2020-11-11,57.81,57.84,57.775,57.84,7209,57.815,57.809,57.81,57.841,46.34,,,
12:50PM_2020-11-11,57.83,57.85,57.74,57.76,13737,57.805,57.81,57.805,57.833,39.94,,,
12:55PM_2020-11-11,57.74,57.76,57.68,57.74,32294,57.802,57.804,57.803,57.827,38.51,,,
06:30AM_2020-11-12,57.56,57.75,57.56,57.68,3523,57.778,57.786,57.792,57.815,34.51,,,
06:35AM_2020-11-12,57.71,57.74,57.52,57.52,3540,57.727,57.752,57.759,57.798,26.59,,,
06:40AM_2020-11-12,57.54,57.64,57.43,57.43,7422,57.662,57.716,57.72,57.776,23.34,,,
06:45AM_2020-11-12,57.445,57.465,57.425,57.45,1745,57.597,57.674,57.689,57.755,25.52,-0.13,,
06:50AM_2020-11-12,57.445,57.49,57.43,57.47,1479,57.548,57.634,57.654,57.734,27.73,-0.13,,
06:55AM_2020-11-12,57.48,57.48,57.39,57.41,3374,57.493,57.589,57.612,57.714,25.3,-0.14,,
07:00AM_2020-11-12,57.38,57.395,57.35,57.39,3623,57.445,57.539,57.569,57.69,24.53,-0.14,,
07:05AM_2020-11-12,57.36,57.475,57.32,57.445,4046,57.432,57.504,57.53,57.67,30.78,-0.14,,
07:10AM_2020-11-12,57.43,57.47,57.43,57.45,1109,57.436,57.472,57.499,57.652,31.33,-0.14,,
07:15AM_2020-11-12,57.45,57.5,57.45,57.49,2766,57.442,57.451,57.474,57.638,35.78,-0.13,,
07:20AM_2020-11-12,57.525,57.57,57.5,57.505,2186,57.448,57.449,57.456,57.624,37.41,-0.13,,
07:25AM_2020-11-12,57.5,57.52,57.46,57.475,3917,57.459,57.454,57.452,57.605,35.47,-0.12,-0.13,0.0138561142998673
07:30AM_2020-11-12,57.47,57.525,57.47,57.505,5689,57.478,57.46,57.459,57.59,38.89,-0.11,-0.13,0.017564073291832016
07:35AM_2020-11-12,57.485,57.5,57.455,57.47,1967,57.483,57.46,57.461,57.575,36.46,-0.11,-0.12,0.01791240517361721
07:40AM_2020-11-12,57.47,57.62,57.47,57.62,3263,57.511,57.483,57.476,57.565,50.68,-0.09,-0.12,0.027902169548263314
07:45AM_2020-11-12,57.625,57.65,57.58,57.59,981,57.528,57.506,57.494,57.553,48.35,-0.08,-0.11,0.031860542892423474
07:50AM_2020-11-12,57.58,57.6,57.565,57.58,1358,57.54,57.521,57.513,57.541,47.56,-0.07,-0.1,0.03303478936891724
07:55AM_2020-11-12,57.63,57.64,57.585,57.585,1711,57.558,57.536,57.527,57.528,48.02,-0.06,-0.09,0.03328441511164161
08:00AM_2020-11-12,57.57,57.62,57.55,57.61,2639,57.576,57.549,57.543,57.521,50.34,-0.05,-0.08,0.03414191205897375
08:05AM_2020-11-12,57.63,57.72,57.63,57.69,1078,57.613,57.569,57.563,57.518,56.95,-0.04,-0.08,0.03876761468019624
08:10AM_2020-11-12,57.68,57.68,57.62,57.625,1772,57.613,57.586,57.575,57.516,51.01,-0.03,-0.07,0.03617074815122101
08:15AM_2020-11-12,57.62,57.62,57.595,57.61,942,57.617,57.598,57.589,57.52,49.72,-0.03,-0.06,0.03229148997714316
08:20AM_2020-11-12,57.6,57.635,57.57,57.635,1906,57.626,57.616,57.602,57.53,51.9,-0.02,-0.05,0.030290918402780434
08:25AM_2020-11-12,57.63,57.63,57.6,57.6,595,57.628,57.614,57.615,57.538,48.71,-0.02,-0.04,0.02567464550129161
08:30AM_2020-11-12,57.605,57.61,57.55,57.555,1632,57.619,57.61,57.608,57.542,44.89,-0.02,-0.04,0.018964199987329962
08:35AM_2020-11-12,57.52,57.53,57.52,57.52,511,57.591,57.603,57.601,57.548,42.13,-0.02,-0.04,0.011887893683404871
08:40AM_2020-11-12,57.47,57.47,57.43,57.43,386,57.558,57.586,57.586,57.55,35.99,-0.03,-0.04,0.0014161581693745706
08:45AM_2020-11-12,57.46,57.46,57.45,57.45,206,57.532,57.568,57.573,57.55,38.14,-0.04,-0.04,-0.0036181056047686483
08:50AM_2020-11-12,57.38,57.4,57.365,57.365,1115,57.487,57.532,57.548,57.546,33.04,-0.05,-0.04,-0.01167297131423467
08:55AM_2020-11-12,57.375,57.44,57.375,57.43,1319,57.458,57.511,57.522,57.543,39.68,-0.05,-0.04,-0.011599587791972558
09:00AM_2020-11-12,57.45,57.45,57.42,57.42,1042,57.436,57.489,57.502,57.538,39.04,-0.06,-0.05,-0.011195308986511589
