Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
09:25AM_2020-11-10,36.2,36.23,36.12,36.12,710,,,,,,,,
09:30AM_2020-11-10,35.97,35.97,35.78,35.8,600,,,,,,,,
09:35AM_2020-11-10,35.785,35.785,35.785,35.785,100,,,,,,,,
09:40AM_2020-11-10,35.68,35.75,35.67,35.75,383,,,,,,,,
09:45AM_2020-11-10,35.65,35.72,35.645,35.72,625,,,,,,,,
09:50AM_2020-11-10,35.81,35.81,35.81,35.81,100,35.83,,,,,,,
09:55AM_2020-11-10,35.93,35.93,35.93,35.93,100,35.8,,,,,,,
10:00AM_2020-11-10,35.88,35.88,35.88,35.88,100,35.81,,,,,,,
10:05AM_2020-11-10,35.995,35.995,35.995,35.995,100,35.85,35.87,,,,,,
10:10AM_2020-11-10,36.01,36.01,35.935,35.94,500,35.88,35.85,35.87,,,,,
10:20AM_2020-11-10,35.905,35.905,35.78,35.78,510,35.89,35.84,35.84,,,,,
10:25AM_2020-11-10,35.8,35.9,35.8,35.9,900,35.9,35.86,35.85,,,,,
10:30AM_2020-11-10,35.9,36.035,35.9,36.035,350,35.92,35.89,35.87,,,,,
10:35AM_2020-11-10,36.095,36.095,35.92,35.94,1918,35.93,35.91,35.89,,,,,
10:40AM_2020-11-10,35.985,35.985,35.985,35.985,100,35.93,35.93,35.92,,45.13,,,
10:45AM_2020-11-10,36.01,36.01,35.92,35.99,600,35.94,35.94,35.94,,45.34,,,
10:50AM_2020-11-10,35.97,35.975,35.97,35.975,200,35.97,35.95,35.94,,44.78,,,
10:55AM_2020-11-10,35.95,35.98,35.94,35.98,500,35.98,35.95,35.95,,45.02,,,
11:00AM_2020-11-10,35.99,35.99,35.88,35.88,545,35.96,35.94,35.94,,41.11,,,
11:05AM_2020-11-10,35.83,35.98,35.81,35.98,1000,35.96,35.96,35.94,35.91,46.15,,,
11:10AM_2020-11-10,35.97,36.07,35.92,36.07,1900,35.98,35.98,35.97,35.91,50.27,,,
11:15AM_2020-11-10,36.03,36.03,36.0,36.0,332,35.98,35.98,35.98,35.92,47.24,,,
11:20AM_2020-11-10,36.03,36.07,36.03,36.07,300,36.0,35.99,35.99,35.93,50.46,,,
11:25AM_2020-11-10,36.08,36.13,36.08,36.13,300,36.02,36.01,36.01,35.95,53.1,,,
11:35AM_2020-11-10,36.31,36.365,36.245,36.255,602,36.08,36.04,36.03,35.98,58.1,,,
11:40AM_2020-11-10,36.3,36.34,36.27,36.34,500,36.14,36.08,36.07,36.0,61.14,0.13,,
11:45AM_2020-11-10,36.26,36.26,36.215,36.215,300,36.17,36.1,36.09,36.02,54.84,0.13,,
11:50AM_2020-11-10,36.215,36.36,36.215,36.285,1035,36.22,36.15,36.12,36.04,57.48,0.13,,
11:55AM_2020-11-10,36.37,36.37,36.36,36.36,300,36.26,36.19,36.17,36.06,60.17,0.14,,
12:00PM_2020-11-10,36.37,36.445,36.37,36.445,200,36.32,36.23,36.22,36.08,63.02,0.15,,
12:05PM_2020-11-10,36.48,36.48,36.48,36.48,100,36.35,36.29,36.26,36.12,64.16,0.16,,
12:10PM_2020-11-10,36.52,36.52,36.52,36.52,100,36.38,36.34,36.31,36.15,65.47,0.17,,
12:15PM_2020-11-10,36.4,36.505,36.37,36.5,3569,36.43,36.38,36.35,36.17,64.21,0.17,,
12:20PM_2020-11-10,36.5,36.5,36.41,36.49,1800,36.47,36.4,36.39,36.2,63.55,0.17,0.15,0.024081629998166126
12:25PM_2020-11-10,36.485,36.485,36.44,36.475,1275,36.48,36.42,36.41,36.22,62.51,0.17,0.15,0.016833741812190633
12:30PM_2020-11-10,36.43,36.505,36.42,36.46,3363,36.49,36.45,36.42,36.25,61.43,0.17,0.16,0.009042893486831516
12:35PM_2020-11-10,36.5,36.5,36.45,36.45,2094,36.48,36.46,36.45,36.27,60.68,0.16,0.16,0.0016186151436239637
12:40PM_2020-11-10,36.345,36.345,36.28,36.295,503,36.44,36.46,36.45,36.29,50.38,0.14,0.15,-0.014443961702508334
12:45PM_2020-11-10,36.33,36.375,36.31,36.35,1900,36.42,36.45,36.45,36.31,53.4,0.13,0.15,-0.021644199766044314
12:50PM_2020-11-10,36.37,36.45,36.35,36.45,1976,36.41,36.44,36.45,36.33,58.37,0.12,0.14,-0.019991120814347896
12:55PM_2020-11-10,36.44,36.44,36.35,36.42,4713,36.4,36.43,36.44,36.35,56.42,0.12,0.14,-0.021126343893151017
06:30AM_2020-11-11,36.75,36.8,36.645,36.645,853,36.43,36.45,36.45,36.38,65.66,0.13,0.14,-0.007628054911970106
06:35AM_2020-11-11,36.6,36.92,36.6,36.92,527,36.51,36.5,36.5,36.42,73.15,0.16,0.14,0.017542902387934878
06:40AM_2020-11-11,36.835,36.945,36.665,36.845,2200,36.6,36.54,36.53,36.46,68.74,0.17,0.15,0.026334392718869365
06:45AM_2020-11-11,36.875,36.97,36.84,36.91,1113,36.7,36.59,36.57,36.49,70.41,0.19,0.16,0.033273137552831206
06:50AM_2020-11-11,37.0,37.0,36.755,36.755,302,36.75,36.62,36.6,36.51,61.94,0.19,0.16,0.024571154682171303
06:55AM_2020-11-11,36.75,36.82,36.72,36.82,351,36.82,36.68,36.64,36.54,63.9,0.19,0.17,0.02050592242706581
07:00AM_2020-11-11,36.75,36.795,36.75,36.795,225,36.84,36.73,36.69,36.57,62.57,0.18,0.17,0.013769694932554033
07:05AM_2020-11-11,36.75,36.78,36.75,36.78,275,36.82,36.77,36.73,36.59,61.74,0.18,0.17,0.006319256262229039
07:10AM_2020-11-11,36.8,36.8,36.8,36.8,100,36.81,36.81,36.77,36.61,62.45,0.17,0.17,0.0010309435401767986
07:20AM_2020-11-11,36.725,36.725,36.725,36.725,104,36.78,36.82,36.8,36.62,58.06,0.16,0.17,-0.00868999622496952
07:25AM_2020-11-11,37.005,37.015,37.005,37.015,725,36.82,36.83,36.84,36.64,67.57,0.17,0.17,0.002633620531756309
07:35AM_2020-11-11,37.02,37.04,37.02,37.04,271,36.86,36.85,36.85,36.67,68.23,0.18,0.17,0.009636271448206363
07:40AM_2020-11-11,37.02,37.02,36.99,36.99,206,36.89,36.86,36.86,36.7,65.33,0.18,0.17,0.008755246356444812
07:45AM_2020-11-11,36.78,36.78,36.78,36.78,100,36.89,36.86,36.85,36.71,54.8,0.17,0.17,-0.0072517105222222045
07:50AM_2020-11-11,36.82,36.82,36.82,36.82,100,36.9,36.86,36.86,36.73,56.24,0.15,0.17,-0.015929253207533856
07:55AM_2020-11-11,36.72,36.8,36.72,36.8,200,36.91,36.86,36.85,36.75,55.29,0.14,0.16,-0.02335072378312686
08:00AM_2020-11-11,36.92,36.965,36.92,36.965,342,36.9,36.88,36.87,36.78,61.14,0.14,0.16,-0.01773637811439413
08:10AM_2020-11-11,36.93,36.93,36.93,36.93,100,36.88,36.9,36.89,36.81,59.37,0.14,0.15,-0.016968856616780603
08:15AM_2020-11-11,36.84,36.84,36.84,36.84,105,36.86,36.91,36.89,36.83,54.95,0.13,0.15,-0.02275076140950541
08:20AM_2020-11-11,36.83,36.83,36.83,36.83,100,36.86,36.89,36.9,36.85,54.47,0.11,0.14,-0.0271773560214974
08:25AM_2020-11-11,36.76,36.76,36.76,36.76,100,36.85,36.86,36.88,36.86,51.07,0.1,0.13,-0.03428953620202774
08:35AM_2020-11-11,36.75,36.75,36.705,36.705,425,36.84,36.83,36.84,36.85,48.51,0.08,0.12,-0.04167673940477515
08:40AM_2020-11-11,36.75,36.75,36.75,36.75,100,36.8,36.82,36.82,36.84,50.69,0.07,0.11,-0.04237231620988713
08:50AM_2020-11-11,36.75,36.805,36.74,36.74,1628,36.77,36.81,36.81,36.83,50.18,0.06,0.1,-0.042250644372099175
08:55AM_2020-11-11,36.9,36.9,36.9,36.9,226,36.78,36.82,36.82,36.84,57.52,0.06,0.09,-0.03067781454251084
09:00AM_2020-11-11,36.81,36.81,36.79,36.79,210,36.77,36.8,36.82,36.84,51.86,0.06,0.09,-0.029695135878253787
09:05AM_2020-11-11,36.79,36.79,36.79,36.79,100,36.78,36.79,36.8,36.84,51.86,0.05,0.08,-0.028314048197174924
09:15AM_2020-11-11,36.75,36.75,36.75,36.75,140,36.79,36.78,36.79,36.84,49.8,0.04,0.07,-0.029243817470723465
09:25AM_2020-11-11,36.52,36.52,36.52,36.52,100,36.75,36.74,36.75,36.82,39.95,0.02,0.06,-0.04363195062292835
09:30AM_2020-11-11,36.52,36.52,36.5,36.5,300,36.71,36.72,36.72,36.81,39.22,-0.0,0.05,-0.052200120364316406
09:40AM_2020-11-11,36.37,36.37,36.37,36.37,126,36.62,36.68,36.68,36.78,34.79,-0.03,0.03,-0.06357226056179968
09:50AM_2020-11-11,36.4,36.4,36.4,36.4,100,36.56,36.64,36.65,36.75,36.57,-0.05,0.02,-0.06575000848651007
09:55AM_2020-11-11,36.455,36.455,36.26,36.26,771,36.47,36.59,36.6,36.71,32.16,-0.07,-0.0,-0.07274987359465927
10:15AM_2020-11-11,36.07,36.07,36.07,36.07,170,36.35,36.49,36.54,36.67,27.34,-0.11,-0.02,-0.08543027535092701
10:25AM_2020-11-11,36.12,36.12,36.11,36.11,429,36.29,36.42,36.46,36.64,29.73,-0.13,-0.04,-0.08613362425816463
10:30AM_2020-11-11,35.895,35.895,35.895,35.895,100,36.18,36.32,36.37,36.59,24.98,-0.16,-0.07,-0.09537030608252986
10:35AM_2020-11-11,35.86,36.025,35.86,36.025,662,36.13,36.24,36.29,36.55,32.05,-0.18,-0.09,-0.08723685130101508
10:40AM_2020-11-11,35.965,35.965,35.965,35.965,100,36.05,36.18,36.21,36.5,30.61,-0.19,-0.11,-0.08056902624498484
10:45AM_2020-11-11,35.91,35.91,35.91,35.91,1000,36.0,36.11,36.15,36.45,29.32,-0.2,-0.13,-0.07466664648707516
10:50AM_2020-11-11,35.945,35.945,35.945,35.945,200,35.98,36.06,36.1,36.41,31.31,-0.21,-0.15,-0.06363967537858534
11:00AM_2020-11-11,35.81,35.81,35.66,35.66,300,35.9,35.98,36.02,36.35,25.11,-0.23,-0.16,-0.0702553664665658
11:05AM_2020-11-11,35.645,35.66,35.645,35.66,587,35.86,35.92,35.95,36.3,25.11,-0.25,-0.18,-0.06923417058597808
11:15AM_2020-11-11,35.67,35.67,35.67,35.67,100,35.8,35.87,35.89,36.25,25.71,-0.26,-0.2,-0.06268387936251477
11:30AM_2020-11-11,35.32,35.32,35.31,35.31,200,35.69,35.78,35.82,36.17,19.62,-0.29,-0.21,-0.07648110175610842
11:35AM_2020-11-11,35.285,35.29,35.21,35.21,437,35.58,35.71,35.72,36.09,18.32,-0.32,-0.24,-0.08554156979729421
11:40AM_2020-11-11,35.225,35.225,35.225,35.225,125,35.46,35.62,35.66,36.01,19.19,-0.34,-0.26,-0.08362416939027167
11:45AM_2020-11-11,35.365,35.385,35.26,35.26,600,35.39,35.54,35.58,35.94,21.28,-0.35,-0.28,-0.07345961734042328
11:50AM_2020-11-11,35.295,35.375,35.295,35.375,300,35.34,35.48,35.52,35.87,27.88,-0.34,-0.29,-0.05338591059662956
11:55AM_2020-11-11,35.41,35.41,35.41,35.41,200,35.3,35.42,35.47,35.81,29.81,-0.33,-0.3,-0.03313737035693254
12:00PM_2020-11-11,35.44,35.465,35.405,35.405,605,35.31,35.39,35.42,35.76,29.69,-0.32,-0.3,-0.016317889590237555
12:10PM_2020-11-11,35.42,35.42,35.4,35.4,215,35.35,35.36,35.39,35.71,29.56,-0.3,-0.3,-0.00249219007283491
12:15PM_2020-11-11,35.4,35.4,35.4,35.4,100,35.38,35.33,35.37,35.66,29.56,-0.29,-0.3,0.009057067866496793
12:20PM_2020-11-11,35.4,35.47,35.4,35.47,608,35.41,35.35,35.35,35.62,34.25,-0.27,-0.29,0.023020658718783782
12:25PM_2020-11-11,35.51,35.51,35.51,35.51,100,35.43,35.38,35.37,35.59,36.84,-0.25,-0.28,0.03579851350893826
12:30PM_2020-11-11,35.45,35.49,35.43,35.49,500,35.45,35.41,35.39,35.56,36.07,-0.23,-0.27,0.04325268376173452
12:40PM_2020-11-11,35.5,35.5,35.46,35.46,400,35.46,35.44,35.42,35.54,34.9,-0.22,-0.26,0.04624255350774886
12:45PM_2020-11-11,35.445,35.525,35.445,35.525,300,35.48,35.45,35.44,35.51,39.48,-0.2,-0.25,0.052234834200694635
12:50PM_2020-11-11,35.57,35.58,35.54,35.58,530,35.51,35.47,35.46,35.49,43.13,-0.18,-0.23,0.05903761226178264
12:55PM_2020-11-11,35.575,35.68,35.575,35.66,2239,35.54,35.5,35.49,35.48,48.04,-0.15,-0.22,0.06745266443926429
