Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
07:00AM_2020-11-11,12.645999999999999,12.65,12.64,12.65,425,,,,,,,,
07:05AM_2020-11-11,12.63,12.63,12.63,12.63,125,,,,,,,,
07:10AM_2020-11-11,12.7,12.7,12.7,12.7,100,,,,,,,,
07:20AM_2020-11-11,12.73,12.73,12.73,12.73,100,,,,,,,,
07:25AM_2020-11-11,12.75,12.75,12.74,12.74,300,,,,,,,,
07:30AM_2020-11-11,12.8,12.8,12.8,12.8,100,12.708,,,,,,,
07:40AM_2020-11-11,12.78,12.78,12.78,12.78,300,12.73,,,,,,,
07:45AM_2020-11-11,12.79,12.79,12.79,12.79,100,12.757,,,,,,,
07:50AM_2020-11-11,12.78,12.78,12.77,12.77,300,12.768,12.732,,,,,,
07:55AM_2020-11-11,12.77,12.8,12.77,12.79,2500,12.778,12.748,12.738,,,,,
08:00AM_2020-11-11,12.78,12.78,12.76,12.76,1100,12.782,12.762,12.749,,,,,
08:05AM_2020-11-11,12.81,12.81,12.81,12.81,325,12.783,12.774,12.767,,,,,
08:20AM_2020-11-11,12.78,12.79,12.78,12.79,300,12.785,12.781,12.776,,,,,
08:25AM_2020-11-11,12.78,12.78,12.78,12.78,100,12.783,12.786,12.781,,,,,
08:30AM_2020-11-11,12.775,12.78,12.775,12.775,573,12.784,12.783,12.784,,66.67,,,
08:35AM_2020-11-11,12.77,12.77,12.77,12.77,335,12.781,12.782,12.781,,65.72,,,
08:40AM_2020-11-11,12.78,12.8,12.78,12.8,1750,12.788,12.783,12.783,,68.6,,,
08:45AM_2020-11-11,12.79,12.805,12.79,12.8,1500,12.786,12.786,12.784,,68.6,,,
09:05AM_2020-11-11,12.75,12.76,12.75,12.76,300,12.781,12.783,12.784,,60.73,,,
09:10AM_2020-11-11,12.77,12.77,12.77,12.77,100,12.779,12.784,12.782,12.76,61.9,,,
09:15AM_2020-11-11,12.77,12.77,12.77,12.77,300,12.778,12.779,12.782,12.766,61.9,,,
09:20AM_2020-11-11,12.77,12.78,12.77,12.78,400,12.78,12.778,12.779,12.773,63.18,,,
09:30AM_2020-11-11,12.8,12.8,12.8,12.8,100,12.78,12.781,12.78,12.778,65.67,,,
09:35AM_2020-11-11,12.81,12.81,12.8,12.8,400,12.78,12.783,12.783,12.782,65.67,,,
09:40AM_2020-11-11,12.83,12.83,12.83,12.83,100,12.792,12.79,12.788,12.786,69.27,,,
09:45AM_2020-11-11,12.84,12.84,12.84,12.84,200,12.803,12.794,12.795,12.788,70.39,0.03,,
09:50AM_2020-11-11,12.85,12.85,12.85,12.85,350,12.817,12.8,12.8,12.792,71.5,0.03,,
09:55AM_2020-11-11,12.84,12.84,12.84,12.84,200,12.827,12.809,12.804,12.794,68.72,0.03,,
10:00AM_2020-11-11,12.86,12.92,12.86,12.91,475,12.845,12.824,12.819,12.801,75.82,0.03,,
10:05AM_2020-11-11,12.93,12.93,12.93,12.93,425,12.867,12.842,12.835,12.808,77.4,0.04,,
10:10AM_2020-11-11,12.94,12.94,12.94,12.94,200,12.885,12.86,12.852,12.817,78.17,0.05,,
10:15AM_2020-11-11,13.0,13.0,13.0,13.0,2100,12.912,12.882,12.874,12.827,82.1,0.05,,
10:20AM_2020-11-11,13.05,13.09,13.05,13.09,1600,12.952,12.914,12.903,12.842,86.13,0.07,,
10:25AM_2020-11-11,13.12,13.15,13.1,13.1,1250,12.995,12.944,12.933,12.858,86.49,0.08,0.04,0.03213862867633763
10:30AM_2020-11-11,13.1,13.1,13.1,13.1,100,13.027,12.973,12.96,12.874,86.49,0.08,0.05,0.031373892104817155
10:35AM_2020-11-11,13.2,13.26,13.2,13.24,6825,13.078,13.017,13.0,12.898,90.53,0.1,0.06,0.037706816714796906
10:40AM_2020-11-11,13.17,13.17,13.16,13.16,375,13.115,13.052,13.031,12.916,76.47,0.1,0.07,0.03403060797358942
10:45AM_2020-11-11,13.16,13.16,13.15,13.15,200,13.14,13.079,13.062,12.933,74.9,0.11,0.08,0.028663255121839037
10:50AM_2020-11-11,13.11,13.14,13.11,13.14,550,13.148,13.102,13.085,12.952,73.29,0.11,0.08,0.022451962053722907
10:55AM_2020-11-11,13.1,13.16,13.1,13.16,300,13.158,13.127,13.108,12.972,74.47,0.11,0.09,0.017900667205575427
11:15AM_2020-11-11,13.19,13.19,13.19,13.19,100,13.173,13.148,13.133,12.993,76.18,0.11,0.09,0.01522579087547496
11:20AM_2020-11-11,13.16,13.17,13.16,13.17,350,13.162,13.157,13.15,13.012,72.69,0.1,0.09,0.010641652909318483
11:25AM_2020-11-11,13.14,13.14,13.14,13.14,100,13.158,13.161,13.155,13.029,67.67,0.1,0.1,0.004438703707600106
11:30AM_2020-11-11,13.18,13.18,13.18,13.18,100,13.163,13.17,13.163,13.048,70.59,0.1,0.1,0.002003403595684683
11:35AM_2020-11-11,13.12,13.12,13.12,13.12,300,13.16,13.157,13.165,13.063,61.62,0.09,0.09,-0.00432907714603234
11:50AM_2020-11-11,13.16,13.16,13.16,13.16,100,13.16,13.157,13.157,13.079,64.83,0.09,0.09,-0.0063806428768986845
11:55AM_2020-11-11,13.13,13.13,13.13,13.13,400,13.15,13.154,13.154,13.093,60.73,0.08,0.09,-0.010094161239855945
12:05PM_2020-11-11,13.18,13.18,13.18,13.18,175,13.152,13.159,13.157,13.11,64.73,0.08,0.09,-0.009526270805631218
12:10PM_2020-11-11,13.12,13.14,13.11,13.14,1760,13.152,13.157,13.157,13.121,59.5,0.07,0.09,-0.0120265234824187
12:15PM_2020-11-11,13.13,13.13,13.11,13.11,200,13.14,13.148,13.152,13.13,55.86,0.07,0.08,-0.015653173926682376
12:25PM_2020-11-11,13.07,13.08,13.07,13.08,200,13.133,13.138,13.141,13.137,52.41,0.06,0.08,-0.019760036910914686
12:40PM_2020-11-11,13.05,13.05,13.05,13.05,100,13.115,13.128,13.129,13.14,49.13,0.05,0.07,-0.023907562146869787
12:45PM_2020-11-11,13.06,13.07,13.06,13.07,1416,13.105,13.116,13.122,13.139,51.32,0.04,0.06,-0.024617780207095263
12:50PM_2020-11-11,13.05,13.05,13.03,13.05,3636,13.083,13.108,13.109,13.136,49.05,0.03,0.06,-0.025632927568935857
12:55PM_2020-11-11,13.06,13.09,13.02,13.08,4820,13.073,13.099,13.105,13.135,52.44,0.03,0.05,-0.023536677189584493
06:30AM_2020-11-12,12.89,12.89,12.84,12.84,425,13.028,13.067,13.073,13.115,33.32,0.01,0.04,-0.036777276275093196
06:35AM_2020-11-12,12.95,12.95,12.92,12.94,1825,13.005,13.04,13.054,13.104,42.7,-0.0,0.03,-0.03715479284799903
06:40AM_2020-11-12,12.98,13.07,12.98,13.07,600,13.008,13.032,13.043,13.1,52.12,-0.0,0.03,-0.02745097525568461
06:45AM_2020-11-12,13.05,13.09,13.03,13.03,3400,13.002,13.023,13.032,13.095,49.43,-0.0,0.02,-0.022723499393127955
06:50AM_2020-11-12,13.12,13.195,13.11,13.195,5397,13.026,13.036,13.041,13.096,58.87,0.01,0.02,-0.008228507681293129
06:55AM_2020-11-12,13.19,13.19,13.14,13.175,1331,13.042,13.05,13.05,13.096,57.47,0.02,0.02,-0.00015879105353757902
