Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:10AM_2020-11-10,8.7,8.745,8.7,8.745,1216,,,,,,,,
11:15AM_2020-11-10,8.745,8.745,8.71,8.72,4318,,,,,,,,
11:20AM_2020-11-10,8.725,8.735,8.715,8.715,2800,,,,,,,,
11:25AM_2020-11-10,8.73,8.73,8.725,8.725,1206,,,,,,,,
11:30AM_2020-11-10,8.73,8.73,8.71,8.71,1600,,,,,,,,
11:35AM_2020-11-10,8.7,8.715,8.69,8.71,5230,8.72,,,,,,,
11:40AM_2020-11-10,8.705,8.705,8.7,8.705,2070,8.71,,,,,,,
11:45AM_2020-11-10,8.715,8.715,8.705,8.705,2366,8.71,,,,,,,
11:50AM_2020-11-10,8.715,8.72,8.69,8.7,9498,8.71,8.72,,,,,,
11:55AM_2020-11-10,8.73,8.73,8.725,8.725,1954,8.71,8.71,8.72,,,,,
12:00PM_2020-11-10,8.725,8.73,8.72,8.72,1200,8.71,8.71,8.71,,,,,
12:05PM_2020-11-10,8.725,8.725,8.71,8.71,6232,8.71,8.71,8.71,,,,,
12:10PM_2020-11-10,8.71,8.715,8.71,8.715,2200,8.71,8.71,8.71,,,,,
12:15PM_2020-11-10,8.715,8.72,8.71,8.72,3584,8.71,8.71,8.71,,,,,
12:20PM_2020-11-10,8.72,8.75,8.72,8.75,5292,8.72,8.72,8.72,,51.72,,,
12:25PM_2020-11-10,8.75,8.75,8.735,8.735,4318,8.72,8.72,8.72,,46.54,,,
12:30PM_2020-11-10,8.74,8.8,8.74,8.8,5696,8.74,8.73,8.73,,63.58,,,
12:35PM_2020-11-10,8.805,8.805,8.745,8.745,16610,8.74,8.74,8.73,,49.27,,,
12:40PM_2020-11-10,8.75,8.775,8.745,8.775,3026,8.75,8.74,8.74,,55.19,,,
12:45PM_2020-11-10,8.775,8.78,8.74,8.74,6728,8.76,8.74,8.74,8.73,48.13,,,
