Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:55AM_2020-10-26,209.34,209.55,209.18,209.51,9687,,,,,,,,
11:00AM_2020-10-26,209.51,209.57,209.32,209.47,18281,,,,,,,,
11:05AM_2020-10-26,209.52,209.77,209.47,209.645,29824,,,,,,,,
11:10AM_2020-10-26,209.72,209.82,209.27,209.41,14674,,,,,,,,
11:15AM_2020-10-26,209.45,209.8,209.45,209.68,9692,,,,,,,,
11:20AM_2020-10-26,209.61,209.73,209.49,209.65,8478,209.56083333333333,,,,,,,
11:25AM_2020-10-26,209.62,210.14,209.505,210.05,10398,209.65083333333334,,,,,,,
11:30AM_2020-10-26,210.04,210.22,209.93,209.93,12136,209.7275,,,,,,,
11:35AM_2020-10-26,209.93,210.08,209.75,210.035,13358,209.79250000000002,209.7088888888889,,,,,,
11:40AM_2020-10-26,210.04,210.335,209.75,209.75,20359,209.84916666666666,209.73555555555558,209.71300000000002,,,,,
11:45AM_2020-10-26,209.71,209.71,209.2,209.3,16764,209.78583333333333,209.71666666666667,209.692,,,,,
11:50AM_2020-10-26,209.3,209.85,209.29,209.72,19718,209.79749999999999,209.72500000000002,209.717,,,,,
11:55AM_2020-10-26,209.78,210.03,209.61,209.94,12647,209.77916666666667,209.7838888888889,209.74650000000003,,,,,
12:00PM_2020-10-26,209.86,210.21,209.84,209.87,5940,209.76916666666668,209.805,209.79250000000002,,,,,
12:05PM_2020-10-26,209.82,209.82,209.43,209.5,8965,209.67999999999998,209.7883333333333,209.77450000000005,,49.84326018808792,,,
12:10PM_2020-10-26,209.57,209.845,209.28,209.385,12975,209.61916666666664,209.7144444444444,209.748,,47.98050139275765,,,
12:15PM_2020-10-26,209.36,209.8,209.15,209.15,11225,209.59416666666667,209.6277777777777,209.658,,44.3342682725625,,,
12:20PM_2020-10-26,209.36,209.54,209.23,209.24,12172,209.51416666666668,209.53944444444437,209.589,,46.02597012647912,,,
12:25PM_2020-10-26,209.24,209.66,209.22,209.64,11428,209.46416666666664,209.52722222222215,209.5495,,52.87996358581232,,,
12:30PM_2020-10-26,209.69,209.93,209.28,209.6,18239,209.41916666666665,209.56055555555548,209.53449999999998,209.62375000000003,52.16655929481625,,,
12:35PM_2020-10-26,209.61,209.76,209.14,209.43,24527,209.4075,209.52833333333328,209.54749999999996,209.61975,49.132743563529225,,,
12:40PM_2020-10-26,209.37900000000002,209.88,209.36,209.4,19773,209.41,209.46833333333325,209.51549999999997,209.61624999999998,48.59564820190364,,,
12:45PM_2020-10-26,209.41,209.41,208.84,208.95,43782,209.37666666666667,209.36611111111102,209.41649999999996,209.58149999999995,41.302248373092986,,,
12:50PM_2020-10-26,209.02,209.4,208.99,209.36,41353,209.39666666666665,209.35055555555547,209.36549999999997,209.57899999999995,48.83663299384989,,,
12:55PM_2020-10-26,209.42,210.27,209.42,210.14,90329,209.48000000000002,209.43444444444435,209.42949999999996,209.60199999999995,59.489943757679654,,,
01:10PM_2020-10-26,210.35,210.35,210.35,210.35,809,209.60500000000002,209.56777777777768,209.52599999999993,209.637,61.796369567219045,0.03460538920359113,,
01:15PM_2020-10-26,210.32,210.32,210.32,210.32,100,209.75333333333333,209.6877777777777,209.64299999999994,209.65049999999997,61.25978429323719,0.08516796136643734,,
01:45PM_2020-10-26,210.51,210.51,210.51,210.51,204,209.9383333333333,209.78444444444438,209.76999999999998,209.67949999999996,63.425828493890734,0.1389686323046817,,
06:30AM_2020-10-27,211.63,211.8,210.595,211.37,33893,210.34166666666667,209.98111111111106,209.94299999999998,209.74624999999997,71.25898657757054,0.24814045560609088,,
06:35AM_2020-10-27,211.45,211.85,211.021,211.1,51954,210.63166666666666,210.1666666666666,210.093,209.81374999999997,66.44737853199972,0.3093076624022899,,
06:40AM_2020-10-27,211.1,211.81,210.93,211.725,21928,210.89583333333334,210.42499999999993,210.3225,209.935,71.28145932771268,0.40356336388191494,,
06:45AM_2020-10-27,211.88,212.4,211.34,211.67,14637,211.11583333333337,210.72722222222217,210.5495,210.03249999999997,70.32130351480166,0.46842394636445306,,
06:50AM_2020-10-27,211.72,212.2,211.71,211.97,17514,211.39083333333338,211.01722222222213,210.8515,210.13400000000001,72.49741851171929,0.5378341013422983,,
06:55AM_2020-10-27,211.98,212.04,211.7,211.94,9075,211.62916666666672,211.21722222222218,211.10949999999997,210.2375,71.92944457178216,0.5836929509535196,0.3121893848250308,0.2715035661284888
07:00AM_2020-10-27,211.89,211.96,211.48,211.56,12584,211.66083333333336,211.3516666666666,211.2515,210.34050000000002,64.98458826903494,0.5826570872477532,0.3662829253095753,0.21637416193817793
07:05AM_2020-10-27,211.39,211.97,211.3,211.845,8844,211.78500000000005,211.52111111111105,211.40099999999998,210.4635,67.51767257328022,0.5979405890481075,0.41261445805728175,0.1853261309908258
07:10AM_2020-10-27,211.84,212.02,211.52,211.52,11559,211.7508333333334,211.6333333333333,211.52099999999996,210.58200000000005,62.008751175685,0.5771747789025596,0.4455265222263374,0.13164825667622226
07:15AM_2020-10-27,211.54,211.55,210.85,210.85,8776,211.6141666666667,211.57555555555552,211.55499999999992,210.66250000000008,52.49886809313921,0.5008804857240818,0.4565973149258863,0.04428317079819555
07:20AM_2020-10-27,210.805,210.93,210.49,210.49,9903,211.36750000000004,211.5077777777778,211.46699999999993,210.70500000000007,48.21970242987016,0.406679766160039,0.44661380517271687,-0.03993403901267789
07:25AM_2020-10-27,210.51,211.05,210.335,210.72,14564,211.1641666666667,211.3961111111111,211.42899999999992,210.76100000000005,50.969408733681995,0.346588834693506,0.42660881107687476,-0.08001997638336877
07:30AM_2020-10-27,210.72,211.06,210.595,211.06,17736,211.08083333333335,211.32833333333332,211.3624999999999,210.84250000000006,54.79130992803906,0.3226818218955998,0.4058234132406198,-0.08314159134502003
07:35AM_2020-10-27,211.14,211.6,210.96,211.44,12903,211.01333333333335,211.26944444444445,211.3394999999999,210.94450000000006,58.66903678302031,0.3305873609069465,0.3907762027738852,-0.06018884186693868
07:40AM_2020-10-27,211.35,211.65,211.01,211.65,10471,211.03500000000005,211.2372222222222,211.30749999999995,211.07950000000005,60.6764131063787,0.3497659186975568,0.38257414595861955,-0.03280822726106275
07:45AM_2020-10-27,211.64,212.21,211.63,212.1,13498,211.24333333333337,211.2972222222222,211.3234999999999,211.21650000000008,64.6396310949026,0.3967033537905138,0.38539998752499843,0.011303366265515369
07:50AM_2020-10-27,212.13,212.15,211.8,212.07,18956,211.5066666666667,211.3222222222222,211.37449999999995,211.31300000000005,64.17526985382476,0.42656369919052395,0.39363272985810355,0.0329309693324204
07:55AM_2020-10-27,212.11,212.37,211.85,211.85,17983,211.69500000000002,211.35888888888888,211.37499999999994,211.38800000000006,60.729825525742854,0.4275475743706636,0.40041569876061556,0.02713187561004804
08:00AM_2020-10-27,211.73,212.165,211.58,211.99,79329,211.85000000000002,211.4855555555556,211.42199999999997,211.47150000000005,62.12342592447326,0.4346141708865332,0.40725539318579906,0.027358777700734138
08:05AM_2020-10-27,212.02,212.135,211.845,212.06,8884,211.95333333333335,211.66000000000003,211.54299999999998,211.54900000000006,62.83362535412437,0.4407818556680354,0.41396068568224637,0.02682116998578904
08:10AM_2020-10-27,212.05,212.4,212.05,212.28,12107,212.0583333333333,211.83333333333337,211.72200000000004,211.59450000000007,65.051550409537,0.4581407898339762,0.4227967065125924,0.035344083321383835
08:15AM_2020-10-27,212.38,212.42,212.21,212.23,12262,212.08,211.96333333333334,211.87300000000005,211.651,64.11509104505822,0.46253151272938453,0.43074366775595085,0.03178784497343368
08:20AM_2020-10-27,212.29,212.435,212.17,212.43,10027,212.14000000000001,212.07333333333332,212.01000000000005,211.68625000000003,66.21044970625039,0.47665493935426184,0.4399259220756131,0.036729017278648746
08:25AM_2020-10-27,212.475,212.54,212.0,212.01,13513,212.1666666666667,212.11333333333334,212.06700000000006,211.70325000000003,58.48702319328655,0.448784063469418,0.4416975503543741,0.007086513115043935
08:30AM_2020-10-27,212.04,212.31,211.93,212.31,14479,212.22000000000003,212.13666666666666,212.13300000000004,211.72025000000002,61.905281641340146,0.44576518277935406,0.4425110768393701,0.0032541059399839867
08:35AM_2020-10-27,212.3,213.02,212.21,213.02,9364,212.38000000000002,212.24222222222224,212.22500000000005,211.77425000000008,68.51328367304596,0.4949581944007946,0.453000500351655,0.04195769404913957
08:40AM_2020-10-27,213.02,213.22,212.69,212.69,19116,212.44833333333338,212.33555555555554,212.28700000000003,211.83075000000002,63.039838558111285,0.5015343921737099,0.462707278716066,0.03882711345764389
