Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
09:55AM_2020-11-04,8.28,8.28,8.28,8.28,100,,,,,,,,
10:00AM_2020-11-04,8.29,8.29,8.29,8.29,300,,,,,,,,
11:30AM_2020-11-04,8.16,8.16,8.16,8.16,100,,,,,,,,
12:55PM_2020-11-04,8.09,8.09,8.05,8.05,400,,,,,,,,
06:30AM_2020-11-05,8.55,8.61,8.25,8.25,400,,,,,,,,
06:50AM_2020-11-05,8.49,8.54,8.43,8.54,300,8.26,,,,,,,
06:55AM_2020-11-05,8.5,8.5,8.5,8.5,100,8.3,,,,,,,
07:00AM_2020-11-05,8.37,8.37,8.37,8.37,122,8.31,,,,,,,
07:05AM_2020-11-05,8.46,8.46,8.46,8.46,415,8.36,8.32,,,,,,
07:15AM_2020-11-05,8.46,8.46,8.46,8.46,150,8.43,8.34,8.34,,,,,
07:20AM_2020-11-05,8.41,8.41,8.41,8.41,100,8.46,8.36,8.35,,,,,
07:30AM_2020-11-05,8.31,8.31,8.31,8.31,300,8.42,8.37,8.35,,,,,
07:40AM_2020-11-05,8.38,8.38,8.38,8.38,200,8.4,8.41,8.37,,,,,
07:55AM_2020-11-05,8.6,8.69,8.59,8.69,525,8.45,8.46,8.44,,,,,
08:00AM_2020-11-05,8.61,8.71,8.6,8.71,601,8.49,8.48,8.48,,63.87,,,
08:10AM_2020-11-05,8.74,8.74,8.73,8.73,200,8.54,8.5,8.5,,64.37,,,
08:40AM_2020-11-05,8.635,8.635,8.635,8.635,100,8.58,8.53,8.52,,60.15,,,
09:30AM_2020-11-05,8.52,8.52,8.52,8.52,100,8.61,8.54,8.53,,55.42,,,
10:00AM_2020-11-05,8.45,8.45,8.45,8.45,200,8.62,8.54,8.53,,52.7,,,
10:45AM_2020-11-05,8.61,8.61,8.54,8.54,643,8.6,8.55,8.54,8.44,55.71,,,
11:30AM_2020-11-05,8.5,8.5,8.5,8.5,100,8.56,8.57,8.55,8.45,54.06,,,
11:35AM_2020-11-05,8.5,8.5,8.5,8.5,100,8.52,8.59,8.57,8.46,54.06,,,
11:40AM_2020-11-05,8.32,8.32,8.32,8.32,100,8.47,8.55,8.56,8.47,46.84,,,
12:55PM_2020-11-05,8.55,8.55,8.55,8.55,125,8.48,8.53,8.55,8.49,55.09,,,
06:30AM_2020-11-06,8.38,8.38,8.38,8.38,164,8.47,8.49,8.51,8.5,49.03,,,
06:40AM_2020-11-06,8.6,8.6,8.6,8.6,190,8.48,8.48,8.5,8.5,55.81,0.05,,
06:45AM_2020-11-06,8.64,8.64,8.51,8.59,523,8.49,8.49,8.49,8.51,55.45,0.05,,
07:00AM_2020-11-06,8.51,8.51,8.51,8.51,100,8.49,8.5,8.49,8.51,52.52,0.05,,
07:05AM_2020-11-06,8.41,8.41,8.41,8.41,500,8.51,8.48,8.49,8.51,49.04,0.04,,
07:15AM_2020-11-06,8.59,8.59,8.59,8.59,100,8.51,8.49,8.49,8.52,54.84,0.04,,
09:45AM_2020-11-06,8.57,8.58,8.56,8.58,308,8.55,8.5,8.5,8.52,54.47,0.04,,
09:50AM_2020-11-06,8.65,8.65,8.65,8.65,100,8.56,8.54,8.52,8.54,56.68,0.05,,
11:35AM_2020-11-06,8.68,8.69,8.68,8.69,400,8.57,8.56,8.55,8.56,57.94,0.06,,
12:50PM_2020-11-06,8.84,8.84,8.84,8.84,100,8.63,8.61,8.58,8.56,62.35,0.08,0.05,0.026786091460404213
06:30AM_2020-11-09,8.72,8.76,8.03,8.03,1951,8.56,8.54,8.55,8.53,38.73,0.03,0.05,-0.019827613393767436
06:35AM_2020-11-09,8.19,8.28,8.19,8.28,400,8.51,8.51,8.52,8.51,45.58,0.0,0.04,-0.03246396471102907
06:40AM_2020-11-09,8.18,8.18,8.14,8.14,200,8.44,8.47,8.47,8.48,42.7,-0.02,0.03,-0.04795644761197612
06:45AM_2020-11-09,8.03,8.04,7.92,7.92,600,8.32,8.41,8.41,8.45,38.58,-0.06,0.01,-0.06942306756404341
06:50AM_2020-11-09,8.055,8.055,8.055,8.055,265,8.21,8.35,8.38,8.43,42.26,-0.08,-0.01,-0.07069534532260041
07:00AM_2020-11-09,8.07,8.1,8.07,8.09,503,8.09,8.3,8.33,8.41,43.21,-0.09,-0.03,-0.06546414311081956
07:10AM_2020-11-09,8.1,8.1,8.06,8.1,450,8.1,8.24,8.28,8.39,43.5,-0.1,-0.04,-0.05787714948232857
07:20AM_2020-11-09,8.09,8.09,8.09,8.09,100,8.07,8.17,8.22,8.37,43.27,-0.1,-0.05,-0.05035575372136262
07:25AM_2020-11-09,8.08,8.08,8.08,8.08,100,8.06,8.09,8.16,8.36,43.02,-0.11,-0.06,-0.0431549864785753
07:30AM_2020-11-09,8.01,8.01,8.01,8.01,100,8.07,8.09,8.08,8.33,41.22,-0.11,-0.07,-0.040263359982465816
07:40AM_2020-11-09,8.02,8.02,8.01,8.01,200,8.06,8.06,8.08,8.31,41.22,-0.12,-0.08,-0.03566519845447921
07:45AM_2020-11-09,8.07,8.07,8.07,8.07,100,8.06,8.05,8.06,8.29,43.56,-0.12,-0.09,-0.026328109024322435
07:50AM_2020-11-09,7.92,7.94,7.91,7.94,412,8.03,8.05,8.04,8.25,39.85,-0.12,-0.1,-0.026575566089373892
08:00AM_2020-11-09,8.0,8.0,8.0,8.0,200,8.02,8.04,8.04,8.23,42.3,-0.12,-0.1,-0.020631531889689858
08:15AM_2020-11-09,7.98,7.98,7.98,7.98,100,8.0,8.03,8.04,8.21,41.69,-0.12,-0.11,-0.016176776680092375
08:50AM_2020-11-09,8.06,8.06,8.06,8.06,100,8.01,8.03,8.03,8.18,45.09,-0.11,-0.11,-0.006470361790527984
09:00AM_2020-11-09,8.01,8.01,8.0,8.0,300,8.01,8.02,8.02,8.15,43.06,-0.11,-0.11,-0.002900860333847899
09:40AM_2020-11-09,8.18,8.18,8.18,8.18,200,8.03,8.03,8.03,8.13,50.28,-0.09,-0.1,0.011957874473912403
10:20AM_2020-11-09,8.05,8.05,8.05,8.05,270,8.05,8.03,8.03,8.1,45.77,-0.09,-0.1,0.013302832407586451
11:20AM_2020-11-09,8.09,8.09,8.09,8.09,100,8.06,8.04,8.04,8.06,47.33,-0.08,-0.1,0.0169257948876866
11:50AM_2020-11-09,8.04,8.04,8.04,8.04,100,8.07,8.04,8.04,8.06,45.56,-0.08,-0.09,0.01600447775146116
11:55AM_2020-11-09,7.95,7.95,7.95,7.95,268,8.05,8.04,8.03,8.04,42.48,-0.08,-0.09,0.00969400716085786
