Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
08:35AM_2020-11-20,49.42,49.7,49.42,49.6,196140,,,,,,,,,
08:40AM_2020-11-20,49.56,49.56,49.22,49.52,286563,,,,,,,,,
08:45AM_2020-11-20,49.54,49.66,49.39,49.47,305546,,,,,,,,,
08:50AM_2020-11-20,49.51,49.7,49.315,49.62,212440,,,,,,,,,
08:55AM_2020-11-20,49.61,49.63,49.49,49.54,61726,,,,,,,,,
09:00AM_2020-11-20,49.545,49.74,49.42,49.56,147184,49.552,,,,,,,,
09:05AM_2020-11-20,49.56,49.64,49.31,49.39,129914,49.517,,,,,,,,
09:10AM_2020-11-20,49.4,49.56,49.37,49.42,75308,49.5,,,,,,,,
09:15AM_2020-11-20,49.42,49.42,49.06,49.14,140186,49.445,49.473,,,,,,,
09:20AM_2020-11-20,49.13,49.44,49.09,49.375,83772,49.404,49.448,49.463,,,,,,
09:25AM_2020-11-20,49.34,49.42,49.14,49.22,82310,49.351,49.415,49.426,,,,,,
09:30AM_2020-11-20,49.205,49.39,49.18,49.36,99846,49.317,49.403,49.41,,,,,,
09:35AM_2020-11-20,49.345,49.405,49.18,49.24,84016,49.292,49.361,49.386,,,,,,
09:40AM_2020-11-20,49.26,49.72,49.26,49.69,59202,49.338,49.377,49.394,,,,,,
09:45AM_2020-11-20,49.67,49.67,49.32,49.39,64718,49.379,49.358,49.378,,45.35,,,,
09:50AM_2020-11-20,49.4,49.415,49.25,49.26,52248,49.36,49.344,49.349,,42.71,,,,
09:55AM_2020-11-20,49.23,49.58,49.17,49.42100000000001,45878,49.393,49.344,49.352,,46.84,,,,
10:00AM_2020-11-20,49.42100000000001,49.49,49.2,49.36,42154,49.393,49.368,49.346,,45.5,,,,
10:05AM_2020-11-20,49.36,49.42,49.3,49.32,27500,49.407,49.362,49.364,,44.6,,,,
10:10AM_2020-11-20,49.32,49.33,49.19,49.27,41086,49.337,49.368,49.353,49.408,43.44,,,,-0.0715
10:15AM_2020-11-20,49.26,49.36,49.19,49.32,27374,49.325,49.363,49.363,49.394,44.98,,,,-0.0691
10:20AM_2020-11-20,49.33,49.44,49.27,49.37,33154,49.344,49.378,49.364,49.387,46.55,,,,-0.0433
10:25AM_2020-11-20,49.4,49.65,49.349,49.6,45936,49.373,49.368,49.4,49.393,53.15,,,,-0.02
10:30AM_2020-11-20,49.59,49.79,49.55,49.69,44376,49.428,49.401,49.4,49.397,55.47,,,,0.0315
10:35AM_2020-11-20,49.65,49.71,49.51,49.56,35324,49.468,49.435,49.417,49.398,51.51,,,,0.0705
10:40AM_2020-11-20,49.605,49.73,49.56,49.64,31468,49.53,49.459,49.455,49.402,53.7,0.05,,,0.1282
