Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
06:35AM_2020-10-08,11.82,11.83,11.82,11.83,666,,,,,,,,
11:15AM_2020-10-08,11.91,11.91,11.91,11.91,200,,,,,,,,
11:40AM_2020-10-08,11.93,11.93,11.93,11.93,200,,,,,,,,
11:50AM_2020-10-08,11.93,11.93,11.93,11.93,400,,,,,,,,
11:55AM_2020-10-08,11.935,11.935,11.935,11.935,400,,,,,,,,
12:05PM_2020-10-08,11.89,11.89,11.89,11.89,400,11.9,,,,,,,
12:50PM_2020-10-08,11.77,11.77,11.77,11.77,400,11.89,,,,,,,
06:50AM_2020-10-09,11.74,11.74,11.74,11.74,400,11.87,,,,,,,
06:55AM_2020-10-09,11.73,11.73,11.73,11.73,400,11.83,11.85,,,,,,
07:25AM_2020-10-09,11.72,11.72,11.72,11.72,400,11.8,11.84,11.84,,,,,
08:25AM_2020-10-09,11.61,11.72,11.61,11.72,600,11.76,11.82,11.83,,,,,
08:35AM_2020-10-09,11.72,11.72,11.72,11.72,200,11.73,11.8,11.81,,,,,
07:50AM_2020-10-12,11.75,11.75,11.75,11.75,200,11.73,11.77,11.79,,,,,
07:55AM_2020-10-12,11.75,11.75,11.75,11.75,400,11.73,11.75,11.77,,,,,
08:15AM_2020-10-13,11.66,11.72,11.66,11.72,400,11.73,11.74,11.75,,35.53,,,
12:45PM_2020-10-13,11.75,11.75,11.75,11.75,200,11.74,11.73,11.74,,40.58,,,
07:50AM_2020-10-14,11.75,11.75,11.75,11.75,200,11.74,11.73,11.74,,40.58,,,
12:30PM_2020-10-14,11.86,11.86,11.86,11.86,248,11.76,11.75,11.75,,55.43,,,
11:25AM_2020-10-15,12.11,12.11,12.11,12.11,200,11.82,11.79,11.78,,72.35,,,
11:30AM_2020-10-15,12.24,12.24,12.24,12.24,768,11.9,11.85,11.84,11.84,77.19,,,
11:40AM_2020-10-15,12.35,12.35,12.35,12.35,200,12.01,11.92,11.9,11.86,80.33,,,
11:45AM_2020-10-15,12.35,12.35,12.29,12.29,600,12.1,11.98,11.96,11.88,74.32,,,
08:20AM_2020-10-16,12.095,12.095,12.06,12.06,600,12.15,12.01,11.99,11.89,56.78,,,
09:00AM_2020-10-16,12.07,12.07,12.07,12.07,200,12.19,12.05,12.02,11.9,57.25,,,
07:00AM_2020-10-19,12.3,12.3,12.3,12.3,200,12.22,12.11,12.08,11.91,66.36,,,
10:05AM_2020-10-19,12.25,12.25,12.25,12.25,400,12.22,12.17,12.13,11.93,63.21,0.17,,
08:55AM_2020-10-20,12.1,12.1,12.1,12.1,220,12.18,12.2,12.16,11.95,54.79,0.16,,
10:55AM_2020-10-20,12.07,12.07,12.07,12.07,200,12.14,12.19,12.18,11.97,53.27,0.15,,
11:35AM_2020-10-20,12.07,12.07,12.07,12.07,600,12.14,12.17,12.18,11.98,53.27,0.13,,
12:00PM_2020-10-20,12.23,12.24,12.23,12.24,416,12.17,12.16,12.18,12.01,60.5,0.14,,
12:55PM_2020-10-20,12.25,12.25,12.25,12.25,200,12.16,12.16,12.17,12.04,60.88,0.14,,
07:30AM_2020-10-21,12.45,12.45,12.45,12.45,200,12.2,12.2,12.19,12.07,67.65,0.15,,
07:45AM_2020-10-21,12.46,12.46,12.46,12.46,200,12.26,12.24,12.23,12.11,67.95,0.16,,
08:00AM_2020-10-21,12.46,12.46,12.46,12.46,200,12.32,12.26,12.27,12.14,67.95,0.17,0.15,0.016509722454244202
08:15AM_2020-10-21,12.46,12.46,12.46,12.46,200,12.39,12.28,12.28,12.18,67.95,0.17,0.16,0.015802295685382106
08:55AM_2020-10-21,12.49,12.49,12.49,12.49,200,12.43,12.33,12.31,12.22,69.02,0.18,0.16,0.015017247975637305
09:10AM_2020-10-21,12.47,12.47,12.47,12.47,200,12.47,12.37,12.34,12.25,67.4,0.17,0.16,0.01099959192539518
09:20AM_2020-10-21,12.49,12.49,12.49,12.49,200,12.47,12.42,12.38,12.28,68.21,0.17,0.17,0.00769404802009413
11:25AM_2020-10-21,12.5,12.5,12.5,12.5,200,12.48,12.45,12.43,12.3,68.62,0.17,0.17,0.00435241135504516
11:50AM_2020-10-21,12.49,12.49,12.49,12.49,200,12.48,12.47,12.45,12.32,67.67,0.17,0.17,-0.00012294673904300613
12:00PM_2020-10-21,12.49,12.49,12.49,12.49,200,12.49,12.48,12.48,12.32,67.67,0.16,0.16,-0.004435836935878346
12:50PM_2020-10-21,12.48,12.48,12.48,12.48,200,12.49,12.48,12.48,12.33,66.59,0.15,0.16,-0.009048873039936123
