Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:40AM_2020-10-26,523.34,523.34,522.47,522.47,925,,,,,,,,
10:45AM_2020-10-26,522.93,523.075,522.295,523.075,1762,,,,,,,,
10:50AM_2020-10-26,522.605,524.01,522.605,524.01,4501,,,,,,,,
10:55AM_2020-10-26,524.13,524.665,523.845,524.665,4446,,,,,,,,
11:00AM_2020-10-26,524.68,524.68,523.81,524.26,1617,,,,,,,,
11:05AM_2020-10-26,524.195,524.98,523.665,523.665,2260,523.6908333333334,,,,,,,
11:10AM_2020-10-26,524.0,524.01,523.205,523.205,1077,523.8133333333334,,,,,,,
11:15AM_2020-10-26,523.71,524.14,523.41,523.635,1520,523.9066666666668,,,,,,,
11:20AM_2020-10-26,522.99,523.255,522.86,522.99,1353,523.7366666666667,523.5527777777778,,,,,,
11:25AM_2020-10-26,522.75,524.49,522.74,524.305,2473,523.6766666666666,523.7566666666667,523.628,,,,,
11:30AM_2020-10-26,524.19,524.365,523.74,524.25,4120,523.6750000000001,523.8872222222222,523.806,,,,,
11:35AM_2020-10-26,523.94,523.99,523.57,523.99,3031,523.7291666666666,523.885,523.8975,,,,,
11:40AM_2020-10-26,524.84,525.15,523.105,523.525,5605,523.7825,523.7583333333333,523.8489999999999,,,,,
11:45AM_2020-10-26,523.09,523.125,522.6,523.04,2583,523.6833333333334,523.6227777777777,523.6865,,,,,
11:50AM_2020-10-26,523.03,524.28,523.03,523.89,13271,523.8333333333334,523.6477777777777,523.6495,,58.700980392156886,,,
11:55AM_2020-10-26,524.235,525.01,524.07,524.645,3209,523.89,523.8077777777778,523.7475,,62.44320617231044,,,
12:00PM_2020-10-26,524.5,525.66,524.36,524.82,1918,523.985,523.9394444444445,523.9089999999999,,63.27389972593951,,,
12:05PM_2020-10-26,524.69,524.69,523.08,523.08,1414,523.8333333333334,523.9494444444445,523.8534999999999,,51.15786239924036,,,
12:10PM_2020-10-26,523.44,523.9,522.42,522.67,1730,523.6908333333333,523.7677777777777,523.8214999999999,,48.78724437923862,,,
12:15PM_2020-10-26,523.12,524.34,523.07,523.34,1324,523.7408333333334,523.6666666666666,523.7249999999999,523.6765,52.64874669589461,,,
12:20PM_2020-10-26,524.25,524.78,524.05,524.45,2305,523.8341666666668,523.7177777777778,523.7449999999999,523.7755000000001,58.26345853983533,,,
12:25PM_2020-10-26,524.63,525.12,524.43,525.12,3800,523.9133333333334,523.895,523.858,523.8777500000001,61.25022768562031,,,
12:30PM_2020-10-26,525.13,525.295,524.22,525.1,3815,523.96,524.1238888888889,524.0155,523.9322500000001,61.1096440311622,,,
12:35PM_2020-10-26,525.16,525.29,524.47,525.29,4897,524.3283333333334,524.2794444444445,524.2405,523.9635000000001,62.00191571623514,,,
12:40PM_2020-10-26,525.28,525.28,524.82,524.83,7863,524.6883333333334,524.3000000000001,524.3344999999999,523.992,58.50232516963445,,,
12:45PM_2020-10-26,524.58,524.58,522.31,522.31,7273,524.5166666666667,524.0211111111112,524.1009999999999,523.92425,43.8878348285525,0.1904646168599129,,
12:50PM_2020-10-26,523.05,523.555,522.28,522.865,15980,524.2525,523.9972222222223,523.9054999999998,523.90725,47.02650922919478,0.08096074637217043,,
12:55PM_2020-10-26,522.78,525.75,522.71,525.75,17551,524.3575000000001,524.3394444444444,524.1724999999999,524.013,59.65865502512228,0.22438693620233607,,
06:25AM_2020-10-27,531.87,531.95,531.87,531.95,400,525.4991666666667,525.2961111111111,525.1004999999998,524.461,74.00494986089461,0.828787661155161,,
06:30AM_2020-10-27,532.18,535.69,530.07,530.07,12909,526.2958333333335,525.9205555555556,525.7734999999998,524.7492500000001,66.30502217869238,1.1429046090680686,,
06:35AM_2020-10-27,531.545,534.86,531.26,534.57,6563,527.9191666666668,526.9705555555555,526.7854999999997,525.26525,73.43094783286183,1.7349574359619737,,
06:40AM_2020-10-27,534.17,535.36,532.57,534.88,6622,530.0141666666668,528.0572222222222,527.7614999999998,525.80975,73.84136456757953,2.2037742383893146,,
06:45AM_2020-10-27,536.4,536.4,531.35,531.55,7851,531.4616666666669,528.7527777777777,528.4064999999998,526.211,62.646627043045875,2.2803255880016877,,
06:50AM_2020-10-27,531.88,532.46,530.49,531.0,4760,532.3366666666669,529.4383333333333,528.9774999999997,526.609,61.00165338651052,2.270440456353299,1.2174446987071026,1.0529957576461964
06:55AM_2020-10-27,531.81,531.81,530.46,531.21,1845,532.2133333333336,530.4272222222221,529.6154999999998,526.975,61.41822032590218,2.2535738665278586,1.4246705322712538,0.8289033342566048
07:00AM_2020-10-27,533.06,533.18,530.91,531.02,106039,532.3716666666669,531.3333333333334,530.4864999999998,527.29375,60.78557814349402,2.199520853228364,1.5796405964626759,0.6198802567656883
07:05AM_2020-10-27,530.25,532.49,530.25,532.49,2665,532.0250000000002,532.0822222222222,531.4489999999998,527.67725,63.88510689125677,2.2493708188401342,1.7135866409381675,0.5357841779019668
07:10AM_2020-10-27,532.65,532.65,530.79,530.82,3654,531.3483333333335,531.9566666666666,531.9559999999998,528.06425,58.25204115158996,2.129573830999334,1.7967840789504008,0.33278975204893313
07:15AM_2020-10-27,530.6,530.78,528.58,528.59,3484,530.8550000000001,531.7922222222222,531.6199999999998,528.36025,51.69689031815178,1.8335554065542965,1.80413834447118,0.029417062083116452
07:20AM_2020-10-27,528.69,528.85,527.72,528.28,1885,530.4016666666668,531.0933333333334,531.4409999999998,528.60725,50.84040086009784,1.5560075765013153,1.754512190877207,-0.19850461437589173
07:25AM_2020-10-27,528.78,529.96,528.52,529.0,3112,530.0333333333334,530.44,530.8839999999998,528.83475,52.79648454783493,1.3782591902603372,1.679261590753833,-0.3010024004934959
07:30AM_2020-10-27,528.88,529.845,528.88,529.83,802,529.8350000000002,530.2488888888888,530.3789999999998,529.07025,55.018481652786335,1.2895018028606273,1.6013096331751921,-0.3118078303145648
07:35AM_2020-10-27,531.05,532.22,531.05,532.075,803,529.7658333333335,530.3683333333333,530.4314999999998,529.419,60.44249745520725,1.3843556810761584,1.5579188427553854,-0.17356316167922703
07:40AM_2020-10-27,531.72,531.76,530.73,531.76,1354,529.9225000000002,530.4294444444445,530.5074999999998,529.7425,59.36089866176596,1.4177670593808216,1.529888486080473,-0.1121214266996513
07:45AM_2020-10-27,531.6,533.48,531.58,533.365,1752,530.7183333333336,530.6899999999999,530.7229999999997,530.1692499999999,62.994514927189904,1.5558213636437586,1.5350750615931301,0.02074630205062844
07:50AM_2020-10-27,533.51,533.57,532.98,533.25,1186,531.546666666667,530.7744444444444,530.9459999999997,530.71625,62.562877428627395,1.6370796206742853,1.5554759734093613,0.08160364726492397
07:55AM_2020-10-27,533.76,533.82,532.82,532.82,2930,532.1833333333336,530.9966666666666,530.9789999999997,531.2139999999999,60.88303696859342,1.6477853249498366,1.5739378437174565,0.07384748123238016
08:00AM_2020-10-27,533.12,534.34,532.86,533.95,3953,532.8700000000003,531.5922222222221,531.2919999999997,531.624,63.64554548966658,1.727537254795834,1.6046577259331323,0.12287952886270181
08:05AM_2020-10-27,533.98,534.89,533.85,534.6,6749,533.2908333333336,532.2944444444444,531.8929999999998,531.7565,65.16931778833667,1.82218577812489,1.6481633363714838,0.1740224417534062
08:10AM_2020-10-27,534.94,536.17,534.94,536.14,1559,534.0208333333336,533.0877777777778,532.6789999999999,532.06,68.53436379530203,1.998423957050818,1.7182154605073507,0.28020849654346724
08:15AM_2020-10-27,536.1,536.24,535.61,535.61,2734,534.3950000000003,533.73,533.3399999999998,532.112,66.16518209413351,2.0714490378952632,1.7888621759849332,0.28258686191033
08:20AM_2020-10-27,535.25,535.655,535.03,535.525,3496,534.7741666666669,534.1133333333332,533.9094999999998,532.14425,65.7724811470444,2.0982755367004984,1.8507448481280462,0.2475306885724522
08:25AM_2020-10-27,535.935,535.935,534.38,534.6,2280,535.0708333333336,534.4288888888889,534.1619999999998,532.2967500000001,61.49507708757286,2.021592303152488,1.8849143391329348,0.13667796401955323
08:30AM_2020-10-27,534.47,534.47,533.92,534.2,1824,535.1125000000003,534.5216666666666,534.4059999999997,532.45675,59.68739675971259,1.9065659258353662,1.889244656473421,0.017321269361945113
08:35AM_2020-10-27,534.43,535.06,534.43,534.83,1221,535.1508333333337,534.6972222222222,534.5524999999998,532.6377500000001,61.601900640944955,1.8449747079847612,1.8803906667756891,-0.03541595879092796
