Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
06:45AM_2020-11-05,2.16,2.16,2.16,2.16,100,,,,,,,,
07:00AM_2020-11-05,2.16,2.2,2.15,2.2,1169,,,,,,,,
07:05AM_2020-11-05,2.2,2.2,2.2,2.2,100,,,,,,,,
07:10AM_2020-11-05,2.2,2.2,2.2,2.2,500,,,,,,,,
07:15AM_2020-11-05,2.2,2.2,2.2,2.2,400,,,,,,,,
07:40AM_2020-11-05,2.2,2.2,2.2,2.2,100,2.19,,,,,,,
08:15AM_2020-11-05,2.19,2.2,2.19,2.2,1500,2.2,,,,,,,
08:20AM_2020-11-05,2.205,2.205,2.205,2.205,300,2.2,,,,,,,
08:25AM_2020-11-05,2.19,2.19,2.19,2.19,300,2.2,2.19,,,,,,
08:40AM_2020-11-05,2.19,2.19,2.19,2.19,125,2.2,2.2,2.19,,,,,
10:50AM_2020-11-05,2.17,2.17,2.17,2.17,100,2.19,2.19,2.2,,,,,
11:20AM_2020-11-05,2.18,2.18,2.18,2.18,200,2.19,2.19,2.19,,,,,
11:40AM_2020-11-05,2.17,2.17,2.16,2.16,300,2.18,2.19,2.19,,,,,
11:50AM_2020-11-05,2.17,2.17,2.17,2.17,600,2.18,2.19,2.19,,,,,
11:55AM_2020-11-05,2.17,2.17,2.17,2.17,100,2.17,2.18,2.18,,54.17,,,
12:25PM_2020-11-05,2.16,2.16,2.16,2.16,100,2.17,2.18,2.18,,49.71,,,
12:30PM_2020-11-05,2.14,2.14,2.14,2.14,401,2.16,2.17,2.17,,42.22,,,
12:35PM_2020-11-05,2.14,2.14,2.14,2.14,700,2.16,2.16,2.17,,42.22,,,
12:40PM_2020-11-05,2.14,2.14,2.14,2.14,101,2.15,2.16,2.16,,42.22,,,
12:45PM_2020-11-05,2.13,2.13,2.13,2.13,1373,2.15,2.15,2.16,2.18,38.59,,,
