Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
12:00PM_2020-11-10,14.745,14.75,14.73,14.75,1847,,,,,,,,
12:05PM_2020-11-10,14.75,14.75,14.7,14.7,1069,,,,,,,,
12:10PM_2020-11-10,14.69,14.69,14.65,14.655,1610,,,,,,,,
12:15PM_2020-11-10,14.66,14.66,14.64,14.65,354,,,,,,,,
12:20PM_2020-11-10,14.65,14.65,14.64,14.64,930,,,,,,,,
12:25PM_2020-11-10,14.64,14.65,14.63,14.64,1659,14.67,,,,,,,
12:30PM_2020-11-10,14.64,14.655,14.62,14.64,2382,14.65,,,,,,,
12:35PM_2020-11-10,14.64,14.64,14.51,14.56,3706,14.63,,,,,,,
12:40PM_2020-11-10,14.56,14.6,14.56,14.6,1604,14.62,14.65,,,,,,
12:45PM_2020-11-10,14.6,14.64,14.6,14.61,2747,14.61,14.63,14.64,,,,,
12:50PM_2020-11-10,14.61,14.63,14.595,14.62,4908,14.61,14.62,14.63,,,,,
12:55PM_2020-11-10,14.62,14.66,14.62,14.65,14179,14.61,14.62,14.63,,,,,
01:05PM_2020-11-10,14.46,14.46,14.46,14.46,400,14.58,14.6,14.61,,,,,
05:15AM_2020-11-11,15.16,15.16,15.16,15.16,1400,14.68,14.66,14.66,,,,,
05:35AM_2020-11-11,15.0,15.0,15.0,15.0,400,14.75,14.7,14.69,,59.4,,,
05:40AM_2020-11-11,15.0,15.0,15.0,15.0,700,14.81,14.74,14.73,,59.4,,,
05:50AM_2020-11-11,15.0,15.0,15.0,15.0,976,14.88,14.79,14.77,,59.4,,,
05:55AM_2020-11-11,15.45,15.45,15.45,15.45,300,15.01,14.88,14.86,,71.46,,,
06:05AM_2020-11-11,15.95,15.95,15.9,15.9,700,15.25,15.03,14.99,,78.38,,,
06:10AM_2020-11-11,15.85,15.85,15.76,15.76,1600,15.35,15.15,15.1,14.87,72.49,,,
06:15AM_2020-11-11,15.73,15.73,15.73,15.73,100,15.47,15.27,15.21,14.92,71.26,,,
06:30AM_2020-11-11,15.64,15.93,15.51,15.51,26685,15.56,15.39,15.3,14.96,62.81,,,
06:35AM_2020-11-11,15.5,16.2,15.5,16.195,29452,15.76,15.5,15.47,15.04,73.39,,,
06:40AM_2020-11-11,16.195,16.195,15.835,15.98,14013,15.85,15.61,15.55,15.11,66.95,,,
06:45AM_2020-11-11,15.98,16.03,15.78,15.95,16513,15.85,15.72,15.65,15.17,66.08,,,
06:50AM_2020-11-11,15.96,16.75,15.96,16.75,18267,16.02,15.91,15.82,15.28,75.31,0.63,,
06:55AM_2020-11-11,16.72,16.84,16.6,16.6,8920,16.16,16.04,15.98,15.37,71.38,0.65,,
07:00AM_2020-11-11,16.59,16.83,16.59,16.76,7902,16.37,16.14,16.11,15.48,73.0,0.67,,
07:05AM_2020-11-11,16.77,16.88,16.62,16.665,9850,16.45,16.24,16.19,15.59,70.46,0.67,,
07:10AM_2020-11-11,16.65,16.65,16.42,16.58,9647,16.55,16.33,16.27,15.69,68.17,0.66,,
07:15AM_2020-11-11,16.59,16.92,16.59,16.83,14684,16.7,16.48,16.38,15.8,71.14,0.66,,
07:20AM_2020-11-11,16.84,16.91,16.77,16.84,7223,16.71,16.55,16.51,15.91,71.25,0.65,,
07:25AM_2020-11-11,16.81,16.82,16.57,16.66,7226,16.72,16.63,16.56,16.02,66.12,0.63,,
07:30AM_2020-11-11,16.63,16.88,16.63,16.86,6114,16.74,16.73,16.65,16.1,68.81,0.62,0.65,-0.03113466894669914
07:35AM_2020-11-11,16.83,16.98,16.82,16.975,8404,16.79,16.75,16.75,16.2,70.27,0.61,0.64,-0.030367557905160325
07:40AM_2020-11-11,16.965,17.06,16.8,16.81,22244,16.83,16.78,16.76,16.29,65.53,0.58,0.63,-0.04466105945607812
07:45AM_2020-11-11,16.83,16.85,16.65,16.75,10108,16.82,16.77,16.77,16.38,63.84,0.55,0.61,-0.06084232594784522
07:50AM_2020-11-11,16.76,16.8,16.69,16.74,29295,16.8,16.78,16.77,16.44,63.55,0.52,0.6,-0.07402900304582793
07:55AM_2020-11-11,16.74,16.74,16.64,16.68,3904,16.8,16.79,16.77,16.48,61.72,0.49,0.57,-0.08766961824160968
08:00AM_2020-11-11,16.64,16.71,16.61,16.68,4241,16.77,16.78,16.78,16.53,61.72,0.45,0.55,-0.09685081283146302
08:05AM_2020-11-11,16.685,16.685,16.56,16.615,4758,16.71,16.75,16.76,16.57,59.56,0.42,0.52,-0.10668304114205163
08:10AM_2020-11-11,16.6,16.659000000000002,16.55,16.59,3969,16.68,16.74,16.74,16.63,58.71,0.38,0.49,-0.1136120443379211
08:15AM_2020-11-11,16.55,16.59,16.53,16.59,2719,16.65,16.71,16.73,16.65,58.71,0.35,0.46,-0.11650374605369329
08:20AM_2020-11-11,16.61,16.69,16.61,16.62,8990,16.63,16.68,16.71,16.68,59.51,0.32,0.44,-0.11453329211694985
08:25AM_2020-11-11,16.6,16.7,16.6,16.68,5244,16.63,16.66,16.68,16.71,61.14,0.3,0.41,-0.10744305320923286
08:30AM_2020-11-11,16.68,16.71,16.66,16.68,3226,16.63,16.65,16.66,16.71,61.14,0.28,0.38,-0.1010996896853345
08:35AM_2020-11-11,16.71,16.98,16.7,16.98,8786,16.69,16.68,16.69,16.73,68.5,0.29,0.37,-0.07618125699201267
08:40AM_2020-11-11,16.99,16.99,16.96,16.99,6795,16.76,16.71,16.71,16.74,68.71,0.29,0.35,-0.05926008623228052
08:45AM_2020-11-11,16.985,17.01,16.93,16.93,9111,16.81,16.74,16.74,16.75,65.84,0.28,0.34,-0.05257065079557499
