Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:10AM_2020-11-10,8.73,8.735,8.7,8.7,31566,,,,,,,,
11:15AM_2020-11-10,8.705,8.71,8.685,8.7,48906,,,,,,,,
11:20AM_2020-11-10,8.705,8.71,8.7,8.7,51098,,,,,,,,
11:25AM_2020-11-10,8.71,8.72,8.7,8.71,77044,,,,,,,,
11:30AM_2020-11-10,8.71,8.72,8.71,8.71,44364,,,,,,,,
11:35AM_2020-11-10,8.715,8.72,8.705,8.715,114458,8.71,,,,,,,
11:40AM_2020-11-10,8.715,8.725,8.71,8.715,234418,8.71,,,,,,,
11:45AM_2020-11-10,8.72,8.74,8.71,8.74,76357,8.72,,,,,,,
11:50AM_2020-11-10,8.73,8.75,8.73,8.745,70037,8.72,8.72,,,,,,
11:55AM_2020-11-10,8.745,8.745,8.7,8.71,104380,8.72,8.72,8.71,,,,,
12:00PM_2020-11-10,8.705,8.74,8.705,8.735,78036,8.73,8.72,8.72,,,,,
12:05PM_2020-11-10,8.735,8.745,8.73,8.745,63078,8.73,8.73,8.72,,,,,
12:10PM_2020-11-10,8.745,8.75,8.74,8.74,35448,8.74,8.73,8.73,,,,,
12:15PM_2020-11-10,8.74,8.76,8.74,8.755,122920,8.74,8.73,8.73,,,,,
12:20PM_2020-11-10,8.76,8.76,8.74,8.75,70864,8.74,8.74,8.74,,67.86,,,
12:25PM_2020-11-10,8.75,8.75,8.73,8.735,216614,8.74,8.74,8.74,,60.84,,,
12:30PM_2020-11-10,8.73,8.76,8.73,8.76,151578,8.75,8.74,8.74,,66.97,,,
12:35PM_2020-11-10,8.755,8.77,8.75,8.76,109756,8.75,8.74,8.74,,66.97,,,
12:40PM_2020-11-10,8.76,8.77,8.75,8.77,183848,8.76,8.75,8.75,,69.21,,,
12:45PM_2020-11-10,8.77,8.775,8.745,8.75,187850,8.75,8.75,8.75,8.73,60.4,,,
12:50PM_2020-11-10,8.75,8.76,8.74,8.745,233473,8.75,8.75,8.75,8.73,58.4,,,
12:55PM_2020-11-10,8.75,8.8,8.74,8.795,314623,8.76,8.76,8.76,8.74,69.34,,,
06:30AM_2020-11-11,8.63,8.71,8.62,8.685,161288,8.75,8.75,8.75,8.74,42.72,,,
06:35AM_2020-11-11,8.7,8.71,8.655,8.655,26418,8.73,8.74,8.74,8.74,38.39,,,
