Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
09:00AM_2020-11-11,14.985,14.985,14.915,14.93,2412,,,,,,,,
09:15AM_2020-11-11,14.955,14.955,14.92,14.94,1536,,,,,,,,
09:20AM_2020-11-11,14.975,14.98,14.905,14.905,10458,,,,,,,,
09:30AM_2020-11-11,14.915,14.93,14.915,14.93,788,,,,,,,,
09:35AM_2020-11-11,14.93,14.93,14.86,14.86,1852,,,,,,,,
09:40AM_2020-11-11,14.81,14.84,14.81,14.84,1622,14.901,,,,,,,
09:45AM_2020-11-11,14.91,14.91,14.825,14.84,3630,14.886,,,,,,,
09:50AM_2020-11-11,14.83,14.85,14.815,14.85,2828,14.871,,,,,,,
09:55AM_2020-11-11,14.86,14.875,14.86,14.875,632,14.866,14.886,,,,,,
10:00AM_2020-11-11,14.865,14.865,14.865,14.865,600,14.855,14.878,14.884,,,,,
10:05AM_2020-11-11,14.805,14.86,14.805,14.86,2800,14.855,14.869,14.876,,,,,
10:10AM_2020-11-11,14.965,14.98,14.965,14.98,422,14.878,14.878,14.88,,,,,
10:20AM_2020-11-11,14.92,14.92,14.815,14.845,2884,14.879,14.868,14.874,,,,,
10:30AM_2020-11-11,14.835,14.845,14.835,14.845,620,14.878,14.867,14.866,,,,,
10:35AM_2020-11-11,14.87,14.87,14.87,14.87,200,14.878,14.87,14.867,,43.88,,,
10:40AM_2020-11-11,14.84,14.85,14.8,14.8,4566,14.867,14.866,14.863,,38.03,,,
10:45AM_2020-11-11,14.76,14.76,14.72,14.735,1004,14.846,14.853,14.852,,33.55,,,
10:50AM_2020-11-11,14.77,14.795,14.765,14.765,3940,14.81,14.841,14.844,,37.22,,,
10:55AM_2020-11-11,14.74,14.74,14.62,14.635,7054,14.775,14.815,14.82,,29.59,,,
11:00AM_2020-11-11,14.64,14.67,14.64,14.66,1818,14.744,14.793,14.799,14.842,32.46,,,
11:05AM_2020-11-11,14.65,14.65,14.54,14.54,5200,14.689,14.744,14.767,14.822,26.82,,,
11:10AM_2020-11-11,14.59,14.595,14.56,14.56,6026,14.649,14.712,14.725,14.803,29.03,,,
11:15AM_2020-11-11,14.54,14.54,14.51,14.51,1600,14.612,14.675,14.692,14.783,26.84,,,
11:20AM_2020-11-11,14.56,14.56,14.425,14.425,6570,14.555,14.626,14.65,14.758,23.59,,,
11:30AM_2020-11-11,14.595,14.595,14.4,14.4,6550,14.516,14.581,14.603,14.735,22.72,,,
11:35AM_2020-11-11,14.43,14.43,14.43,14.43,200,14.478,14.547,14.566,14.715,26.24,-0.18,,
11:40AM_2020-11-11,14.43,14.43,14.425,14.425,1153,14.458,14.509,14.535,14.694,26.03,-0.18,,
11:45AM_2020-11-11,14.515,14.58,14.515,14.58,1254,14.462,14.503,14.516,14.68,41.8,-0.16,,
11:50AM_2020-11-11,14.59,14.59,14.59,14.59,606,14.475,14.496,14.512,14.666,42.65,-0.15,,
12:00PM_2020-11-11,14.7,14.7,14.7,14.7,200,14.521,14.513,14.516,14.658,51.11,-0.13,,
12:10PM_2020-11-11,14.71,14.71,14.71,14.71,200,14.572,14.53,14.533,14.65,51.8,-0.11,,
12:15PM_2020-11-11,14.76,14.76,14.76,14.76,200,14.628,14.558,14.553,14.639,55.24,-0.09,,
12:20PM_2020-11-11,14.77,14.79,14.76,14.79,1426,14.688,14.598,14.581,14.636,57.2,-0.07,,
12:30PM_2020-11-11,14.84,14.85,14.84,14.85,2022,14.733,14.648,14.623,14.637,60.91,-0.05,-0.12,0.07570620004444804
12:35PM_2020-11-11,14.88,14.89,14.87,14.89,1754,14.783,14.699,14.672,14.638,63.19,-0.03,-0.1,0.07650745534118153
12:40PM_2020-11-11,14.905,14.925,14.905,14.925,856,14.821,14.755,14.722,14.644,65.11,-0.01,-0.08,0.07617168106195926
12:45PM_2020-11-11,14.91,14.91,14.875,14.875,528,14.848,14.788,14.767,14.651,60.27,0.0,-0.07,0.06954272842142188
12:50PM_2020-11-11,14.89,14.9,14.89,14.9,414,14.872,14.822,14.799,14.658,61.8,0.01,-0.05,0.06394465699558283
12:55PM_2020-11-11,14.915,15.04,14.915,15.04,9936,14.913,14.86,14.844,14.678,69.0,0.03,-0.03,0.06647947062921009
06:45AM_2020-11-12,14.48,14.48,14.48,14.48,214,14.852,14.834,14.822,14.669,38.08,0.0,-0.03,0.029155055105346574
06:55AM_2020-11-12,14.285,14.285,14.255,14.26,724,14.747,14.779,14.777,14.655,32.02,-0.04,-0.03,-0.009564190085449356
07:00AM_2020-11-12,14.21,14.24,14.21,14.24,2656,14.633,14.718,14.725,14.639,31.52,-0.07,-0.04,-0.03434262918834504
07:05AM_2020-11-12,14.335,14.41,14.29,14.39,2528,14.552,14.667,14.685,14.633,39.08,-0.09,-0.05,-0.038157037743711764
07:10AM_2020-11-12,14.4,14.41,14.4,14.41,1310,14.47,14.613,14.641,14.632,40.03,-0.09,-0.06,-0.03684096918206703
07:20AM_2020-11-12,14.45,14.45,14.43,14.43,1254,14.368,14.558,14.595,14.634,41.02,-0.1,-0.06,-0.032294239425115195
07:25AM_2020-11-12,14.45,14.45,14.44,14.44,900,14.362,14.51,14.546,14.634,41.54,-0.1,-0.07,-0.026525512440300214
07:30AM_2020-11-12,14.44,14.44,14.395,14.395,1392,14.384,14.454,14.498,14.633,39.84,-0.1,-0.08,-0.023742781969554635
07:40AM_2020-11-12,14.49,14.49,14.49,14.49,200,14.426,14.393,14.457,14.628,44.97,-0.09,-0.08,-0.013988904057731788
07:50AM_2020-11-12,14.47,14.47,14.47,14.47,242,14.439,14.392,14.4,14.622,44.12,-0.09,-0.08,-0.007684108178084598
07:55AM_2020-11-12,14.51,14.52,14.51,14.52,602,14.458,14.421,14.404,14.613,46.83,-0.08,-0.08,0.0006131121895349978
08:00AM_2020-11-12,14.48,14.48,14.48,14.48,200,14.466,14.447,14.426,14.602,44.95,-0.08,-0.08,0.0039792044740718235
08:05AM_2020-11-12,14.53,14.53,14.44,14.495,4290,14.475,14.459,14.452,14.588,45.83,-0.07,-0.08,0.007579007186263614
