Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
12:15PM_2020-11-11,22.885,22.885,22.725,22.86,59975,,,,,,,,
12:20PM_2020-11-11,22.85,22.855,22.76,22.835,45488,,,,,,,,
12:25PM_2020-11-11,22.84,22.98,22.84,22.97,63244,,,,,,,,
12:30PM_2020-11-11,22.97,23.0,22.82,22.82,38994,,,,,,,,
12:35PM_2020-11-11,22.81,22.84,22.69,22.81,86662,,,,,,,,
12:40PM_2020-11-11,22.81,22.91,22.78,22.91,59626,22.867,,,,,,,
12:45PM_2020-11-11,22.86,22.94,22.84,22.93,33163,22.879,,,,,,,
12:50PM_2020-11-11,22.92,23.0,22.87,22.995,65577,22.906,,,,,,,
12:55PM_2020-11-11,22.99,22.995,22.93,22.965,124036,22.905,22.899,,,,,,
01:30PM_2020-11-11,22.88,22.88,22.88,22.88,100,22.915,22.902,22.898,,,,,
04:15AM_2020-11-12,22.44,22.44,22.43,22.43,200,22.852,22.857,22.854,,,,,
04:20AM_2020-11-12,22.26,22.26,22.18,22.18,200,22.73,22.769,22.789,,,,,
04:25AM_2020-11-12,22.23,22.23,22.23,22.23,100,22.613,22.703,22.715,,,,,
05:05AM_2020-11-12,22.36,22.36,22.36,22.36,110,22.507,22.653,22.669,,,,,
05:10AM_2020-11-12,22.48,22.54,22.48,22.54,200,22.437,22.612,22.642,,40.48,,,
05:35AM_2020-11-12,22.6,22.6,22.6,22.6,100,22.39,22.576,22.611,,42.68,,,
05:40AM_2020-11-12,22.65,22.65,22.65,22.65,200,22.427,22.537,22.583,,44.52,,,
05:45AM_2020-11-12,22.64,22.65,22.64,22.65,206,22.505,22.502,22.548,,44.52,,,
05:50AM_2020-11-12,22.68,22.68,22.65,22.65,784,22.575,22.477,22.517,,44.52,,,
05:55AM_2020-11-12,22.66,22.66,22.66,22.66,100,22.625,22.502,22.495,22.696,44.97,,,
06:20AM_2020-11-12,22.829,22.829,22.829,22.829,100,22.673,22.574,22.535,22.695,51.94,,,
06:25AM_2020-11-12,22.81,22.81,22.81,22.81,100,22.708,22.639,22.598,22.693,51.15,,,
