Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:20AM_2020-11-11,106.055,106.37,106.0,106.2,7662,,,,,,,,
11:25AM_2020-11-11,106.14,106.17,105.55,105.8,6401,,,,,,,,
11:30AM_2020-11-11,105.78,106.2,105.46,106.0,5199,,,,,,,,
11:35AM_2020-11-11,105.845,106.23,105.845,106.03,4604,,,,,,,,
11:40AM_2020-11-11,105.93,106.56,105.78,106.56,13120,,,,,,,,
11:45AM_2020-11-11,106.55,106.56,105.76,106.02,5894,106.102,,,,,,,
11:50AM_2020-11-11,106.16,106.16,105.76,105.86,3707,106.045,,,,,,,
11:55AM_2020-11-11,105.805,105.805,105.05,105.18,7439,105.942,,,,,,,
12:00PM_2020-11-11,105.195,105.87,105.14,105.79,4564,105.907,105.938,,,,,,
12:05PM_2020-11-11,105.82,106.18,105.69,106.06,6909,105.912,105.922,105.95,,,,,
12:10PM_2020-11-11,106.05,106.77,106.0,106.77,5044,105.947,106.03,106.007,,,,,
12:15PM_2020-11-11,106.71,106.87,106.34,106.87,5208,106.088,106.127,106.114,,,,,
12:20PM_2020-11-11,106.84,106.84,106.06,106.19,7841,106.143,106.144,106.133,,,,,
12:25PM_2020-11-11,106.28,106.85,106.28,106.8,8648,106.413,106.171,106.21,,,,,
12:30PM_2020-11-11,106.8,107.33,106.8,107.33,11218,106.67,106.317,106.287,,59.34,,,
12:35PM_2020-11-11,107.28,107.33,106.77,107.25,15497,106.868,106.471,106.41,,58.51,,,
12:40PM_2020-11-11,107.21,107.21,106.91,107.05,7330,106.915,106.679,106.529,,56.37,,,
12:45PM_2020-11-11,107.03,107.03,106.42,106.47,19586,106.848,106.754,106.658,,50.62,,,
12:50PM_2020-11-11,106.51,106.89,106.25,106.26,30501,106.86,106.777,106.705,,48.68,,,
12:55PM_2020-11-11,106.26,106.66,106.17,106.31,35815,106.778,106.726,106.73,106.34,49.18,,,
05:05AM_2020-11-12,106.78,106.8,106.78,106.8,450,106.69,106.718,106.733,106.37,53.91,,,
06:20AM_2020-11-12,106.75,106.75200000000001,106.75,106.75200000000001,200,106.607,106.78,106.721,106.418,53.38,,,
06:30AM_2020-11-12,107.17,109.77,107.03,108.98,24630,106.929,107.022,107.0,106.567,68.63,,,
06:35AM_2020-11-12,108.94,110.93,108.76,110.46,24921,107.594,107.37,107.366,106.788,74.58,,,
06:40AM_2020-11-12,109.84,110.36,109.43,110.31,17231,108.269,107.71,107.664,106.976,73.07,,,
06:45AM_2020-11-12,110.305,110.49,108.02,108.1,17210,108.567,107.827,107.749,107.08,55.28,1.09,,
06:50AM_2020-11-12,108.08,109.19,108.06,109.17,15169,108.962,108.127,107.961,107.245,60.32,1.11,,
06:55AM_2020-11-12,109.23,110.41,109.12,110.02,6094,109.507,108.545,108.316,107.487,63.81,1.18,,
07:00AM_2020-11-12,110.09,111.15,109.46,111.01,10284,109.845,109.067,108.791,107.748,67.4,1.3,,
07:05AM_2020-11-12,111.06,111.48,110.51,111.21,9085,109.97,109.557,109.281,108.006,68.09,1.39,,
07:10AM_2020-11-12,111.53,111.97,111.22,111.43,12788,110.157,110.077,109.744,108.239,68.87,1.47,,
07:15AM_2020-11-12,111.26,111.36,110.44,110.74,12354,110.597,110.272,110.143,108.432,63.62,1.45,,
07:20AM_2020-11-12,110.83,111.79,110.83,111.31,10021,110.953,110.367,110.376,108.688,65.93,1.47,,
07:25AM_2020-11-12,111.34,111.53,110.07,110.45,10737,111.025,110.382,110.375,108.871,59.76,1.4,1.32,0.08407177892029782
07:30AM_2020-11-12,110.19,110.48,109.67,110.45,7471,110.932,110.643,110.389,109.027,59.76,1.33,1.32,0.010274809368701732
07:35AM_2020-11-12,110.35,110.54,109.98,109.98,5109,110.727,110.733,110.577,109.163,56.42,1.22,1.3,-0.07856384747933087
07:40AM_2020-11-12,109.75,109.95,109.35,109.67,8862,110.433,110.694,110.627,109.294,54.26,1.1,1.26,-0.16178338421692695
07:45AM_2020-11-12,109.61,109.829,109.27,109.55,8642,110.235,110.532,110.58,109.448,53.41,0.98,1.21,-0.22462436651678286
07:50AM_2020-11-12,109.695,110.189,108.98,109.09,8385,109.865,110.297,110.388,109.59,50.16,0.84,1.13,-0.29258427889118743
07:55AM_2020-11-12,109.09,109.34,109.01,109.33,7250,109.678,110.063,110.2,109.741,51.81,0.74,1.05,-0.3148508431334025
08:00AM_2020-11-12,109.23,109.90899999999999,109.23,109.589,7275,109.535,109.935,110.016,109.88,53.59,0.67,0.98,-0.3053803075304611
08:05AM_2020-11-12,109.53,109.87,109.35,109.85,6104,109.513,109.773,109.927,110.035,55.38,0.63,0.91,-0.27569037489943615
08:10AM_2020-11-12,109.87,109.87,109.11,109.11,4752,109.42,109.624,109.707,110.041,49.54,0.54,0.83,-0.2981368386054636
08:15AM_2020-11-12,108.99,108.99,108.22,108.64,6644,109.268,109.423,109.526,109.95,46.21,0.42,0.75,-0.3341744213744092
08:20AM_2020-11-12,108.69,108.69,107.97,108.14,5862,109.11,109.219,109.295,109.842,42.9,0.28,0.66,-0.3779943834418953
08:25AM_2020-11-12,108.07,108.49,108.0,108.279,4969,108.935,109.064,109.125,109.851,44.1,0.18,0.56,-0.3827540624235959
08:30AM_2020-11-12,108.31,108.31,107.39,107.59899999999999,6032,108.603,108.847,108.918,109.772,39.71,0.04,0.46,-0.41417629518855004
