Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:30AM_2020-11-10,182.01,182.73,182.01,182.315,5243,,,,,,,,
11:35AM_2020-11-10,182.25,182.64,181.87,182.59,5870,,,,,,,,
11:40AM_2020-11-10,182.56,183.24,182.55,182.68,8310,,,,,,,,
11:45AM_2020-11-10,182.68,183.02,182.37,182.94,6495,,,,,,,,
11:50AM_2020-11-10,182.89,183.43,182.69,183.36,4626,,,,,,,,
11:55AM_2020-11-10,183.255,183.435,182.98,183.11,4957,182.83,,,,,,,
12:00PM_2020-11-10,182.95,183.51,182.78,182.94,5906,182.94,,,,,,,
12:05PM_2020-11-10,182.74,182.94,182.04,182.1,6489,182.86,,,,,,,
12:10PM_2020-11-10,182.21,182.6,182.08,182.36,7455,182.8,182.71,,,,,,
12:15PM_2020-11-10,182.34,183.05,182.305,183.0,7626,182.81,182.79,182.74,,,,,
12:20PM_2020-11-10,182.96,183.29,182.83,183.05,9270,182.76,182.84,182.81,,,,,
12:25PM_2020-11-10,182.915,183.54,182.64,183.49,10984,182.82,182.93,182.9,,,,,
12:30PM_2020-11-10,183.45,183.75,183.19,183.19,15859,182.86,182.96,182.95,,,,,
12:35PM_2020-11-10,183.29,183.29,182.44,182.48,13599,182.93,182.86,182.91,,,,,
12:40PM_2020-11-10,182.59,183.58,182.59,183.38,16555,183.1,182.89,182.91,,59.5,,,
12:45PM_2020-11-10,183.4,183.51,182.89,183.31,13625,183.15,182.93,182.93,,58.71,,,
12:50PM_2020-11-10,183.5,183.65,182.7,182.765,22508,183.1,183.0,182.91,,52.83,,,
12:55PM_2020-11-10,182.83,183.81,182.72,183.44,49056,183.09,183.12,183.05,,58.39,,,
05:15AM_2020-11-11,187.47,187.47,187.47,187.47,120,183.81,183.62,183.56,,76.32,,,
05:25AM_2020-11-11,187.25,187.25,187.25,187.25,200,184.6,184.09,183.98,183.36,74.44,,,
05:55AM_2020-11-11,187.56,187.56,187.56,187.56,100,185.3,184.54,184.43,183.62,75.36,,,
06:25AM_2020-11-11,187.3,187.3,187.3,187.3,300,185.96,184.99,184.81,183.86,72.98,,,
06:30AM_2020-11-11,187.38,188.075,186.4,187.57,27615,186.76,185.56,185.25,184.1,73.9,,,
06:35AM_2020-11-11,187.77,188.57,187.44,188.45,19978,187.6,186.12,185.85,184.38,76.7,,,
06:40AM_2020-11-11,188.38,190.16,188.38,190.0,6964,188.02,186.87,186.51,184.71,80.63,,,
06:45AM_2020-11-11,190.16,190.4,189.21,189.21,21417,188.35,187.58,187.1,185.02,73.79,2.48,,
06:50AM_2020-11-11,189.3,189.48,189.0,189.0,8471,188.59,188.2,187.72,185.32,72.04,2.46,,
06:55AM_2020-11-11,189.48,189.75,188.72,189.32,13229,188.93,188.41,188.31,185.68,73.09,2.44,,
07:00AM_2020-11-11,189.4,189.89,188.97,189.405,5106,189.23,188.65,188.51,186.03,73.38,2.4,,
07:05AM_2020-11-11,189.47,190.67,189.43,190.57,7996,189.58,188.98,188.84,186.41,76.98,2.44,,
07:10AM_2020-11-11,190.82,190.84,190.26,190.57,21339,189.68,189.34,189.14,186.79,76.98,2.44,,
07:15AM_2020-11-11,190.82,191.12,190.43,190.92,3933,189.96,189.72,189.5,187.16,78.01,2.44,,
07:20AM_2020-11-11,191.02,191.02,190.28,190.54,4082,190.22,189.95,189.8,187.53,74.11,2.38,,
07:25AM_2020-11-11,190.49,191.01,190.465,190.6,11109,190.43,190.01,190.01,187.93,74.33,2.31,2.42,-0.10781934028682061
07:30AM_2020-11-11,191.04,191.6,190.34,190.34,6899,190.59,190.14,190.05,188.28,71.52,2.21,2.38,-0.16620433136269863
07:35AM_2020-11-11,190.38,190.59,189.41,189.63,6724,190.43,190.21,190.09,188.6,64.36,2.05,2.31,-0.2610763664955291
07:40AM_2020-11-11,189.72,189.92,189.13,189.565,5838,190.27,190.24,190.15,188.94,63.73,1.9,2.23,-0.332086986109561
07:45AM_2020-11-11,189.66,189.66,188.94,189.01,6520,189.95,190.19,190.12,189.21,58.47,1.71,2.13,-0.41493300058422333
07:50AM_2020-11-11,189.16,189.175,188.61,188.87,4515,189.67,190.0,190.06,189.28,57.19,1.53,2.01,-0.47342423956749524
07:55AM_2020-11-11,189.25,189.82,189.23,189.66,4965,189.51,189.9,189.97,189.4,62.22,1.44,1.89,-0.4531547127472344
08:00AM_2020-11-11,189.29,189.36,188.96,189.24,2860,189.33,189.72,189.84,189.49,58.3,1.32,1.78,-0.4607685678258915
08:05AM_2020-11-11,189.24,189.62,189.24,189.62,1943,189.33,189.61,189.71,189.6,60.71,1.24,1.67,-0.43335573979926245
08:10AM_2020-11-11,189.92,189.92,189.46,189.46,5686,189.31,189.49,189.6,189.7,59.16,1.15,1.57,-0.4188997241962471
08:15AM_2020-11-11,189.43,189.52,188.62,189.17,13055,189.34,189.36,189.46,189.74,56.35,1.04,1.46,-0.4206641349207043
08:20AM_2020-11-11,189.24,189.44,188.88,188.88,6181,189.34,189.27,189.31,189.68,53.6,0.92,1.35,-0.43154392264449815
08:25AM_2020-11-11,188.91,188.99,188.27,188.34,8593,189.12,189.14,189.18,189.64,48.83,0.77,1.24,-0.46253755568916777
08:30AM_2020-11-11,188.76,188.93,188.55,188.85,3090,189.05,189.12,189.11,189.63,53.08,0.69,1.13,-0.43645065619256296
08:35AM_2020-11-11,188.89,188.9,188.42,188.9,4252,188.93,189.12,189.1,189.61,53.49,0.62,1.03,-0.4043156691367136
08:40AM_2020-11-11,189.05,189.55,189.05,189.31,4328,188.91,189.09,189.14,189.6,56.8,0.59,0.94,-0.3461785509227233
08:45AM_2020-11-11,189.3,190.21,189.07,190.17,3880,189.08,189.19,189.19,189.58,62.79,0.63,0.88,-0.24528448478737974
