Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
12:45PM_2020-11-03,2.36,2.36,2.36,2.36,100,,,,,,,,
12:50PM_2020-11-03,2.4,2.4,2.4,2.4,102,,,,,,,,
12:55PM_2020-11-03,2.4,2.405,2.39,2.4,2609,,,,,,,,
10:35AM_2020-11-04,2.33,2.33,2.28,2.3,550,,,,,,,,
10:45AM_2020-11-04,2.27,2.27,2.27,2.27,115,,,,,,,,
11:40AM_2020-11-04,2.25,2.25,2.25,2.25,100,2.33,,,,,,,
12:25PM_2020-11-04,2.25,2.25,2.25,2.25,100,2.312,,,,,,,
12:40PM_2020-11-04,2.22,2.22,2.22,2.22,100,2.282,,,,,,,
12:45PM_2020-11-04,2.22,2.22,2.22,2.22,100,2.252,2.297,,,,,,
12:50PM_2020-11-04,2.23,2.23,2.23,2.23,526,2.24,2.282,2.29,,,,,
12:55PM_2020-11-04,2.27,2.27,2.27,2.27,200,2.24,2.268,2.281,,,,,
06:45AM_2020-11-05,2.32,2.32,2.32,2.32,100,2.252,2.259,2.273,,,,,
06:50AM_2020-11-05,2.31,2.31,2.31,2.31,100,2.262,2.26,2.264,,,,,
06:55AM_2020-11-05,2.33,2.33,2.33,2.33,215,2.28,2.267,2.267,,,,,
07:05AM_2020-11-05,2.33,2.33,2.33,2.33,100,2.298,2.276,2.273,,45.71,,,
08:35AM_2020-11-05,2.24,2.24,2.24,2.24,100,2.3,2.274,2.272,,35.8,,,
08:40AM_2020-11-05,2.24,2.24,2.24,2.24,100,2.295,2.277,2.271,,35.8,,,
09:40AM_2020-11-05,2.29,2.29,2.29,2.29,124,2.29,2.284,2.278,,43.67,,,
10:05AM_2020-11-05,2.3,2.305,2.3,2.305,452,2.289,2.293,2.286,,45.82,,,
10:50AM_2020-11-05,2.3,2.3,2.3,2.3,405,2.284,2.296,2.294,2.292,45.2,,,
10:55AM_2020-11-05,2.28,2.28,2.27,2.27,240,2.274,2.291,2.294,2.287,41.57,,,
11:40AM_2020-11-05,2.25,2.25,2.25,2.25,100,2.276,2.284,2.286,2.28,39.31,,,
12:30PM_2020-11-05,2.26,2.26,2.26,2.26,228,2.279,2.276,2.282,2.273,41.04,,,
07:45AM_2020-11-06,2.29,2.29,2.29,2.29,100,2.279,2.272,2.278,2.272,46.01,,,
07:50AM_2020-11-06,2.29,2.315,2.29,2.315,347,2.281,2.28,2.276,2.274,49.8,,,
10:40AM_2020-11-06,2.29,2.29,2.29,2.29,100,2.279,2.286,2.281,2.276,46.3,-0.0,,
10:45AM_2020-11-06,2.28,2.28,2.28,2.28,133,2.281,2.284,2.285,2.278,44.94,-0.0,,
11:25AM_2020-11-06,2.28,2.28,2.28,2.28,100,2.286,2.282,2.284,2.281,44.94,-0.0,,
11:50AM_2020-11-06,2.28,2.29,2.28,2.29,1359,2.291,2.281,2.282,2.284,46.75,-0.0,,
11:55AM_2020-11-06,2.29,2.29,2.29,2.29,900,2.291,2.283,2.281,2.288,46.75,-0.0,,
12:50PM_2020-11-06,2.305,2.305,2.305,2.305,107,2.289,2.289,2.285,2.289,49.64,-0.0,,
06:30AM_2020-11-09,2.82,2.82,2.82,2.82,100,2.377,2.351,2.342,2.314,83.26,0.04,,
06:35AM_2020-11-09,2.85,2.85,2.85,2.85,200,2.472,2.413,2.401,2.341,83.93,0.08,,
06:40AM_2020-11-09,2.85,2.85,2.85,2.85,800,2.568,2.473,2.457,2.367,83.93,0.1,0.02,0.08052112813840716
07:10AM_2020-11-09,2.93,2.93,2.93,2.93,100,2.674,2.544,2.518,2.397,85.71,0.13,0.04,0.08526495435448432
07:35AM_2020-11-09,2.83,2.83,2.83,2.83,100,2.764,2.605,2.573,2.427,74.6,0.14,0.06,0.07697917078090873
08:00AM_2020-11-09,2.885,2.885,2.885,2.885,101,2.861,2.672,2.633,2.459,76.41,0.15,0.08,0.07067732147344619
08:15AM_2020-11-09,2.885,2.94,2.885,2.94,2140,2.881,2.744,2.699,2.491,78.09,0.16,0.1,0.06578822917060857
08:25AM_2020-11-09,2.94,2.94,2.94,2.94,100,2.896,2.817,2.764,2.523,78.09,0.17,0.11,0.05838100369413324
09:10AM_2020-11-09,3.02,3.02,3.02,3.02,100,2.924,2.896,2.837,2.559,80.44,0.18,0.13,0.05475611111683634
09:15AM_2020-11-09,2.97,2.97,2.97,2.97,900,2.931,2.913,2.904,2.594,75.02,0.18,0.14,0.045270837833977784
09:20AM_2020-11-09,2.96,2.96,2.96,2.96,100,2.952,2.925,2.918,2.63,73.95,0.18,0.15,0.035059150314407095
09:45AM_2020-11-09,3.03,3.03,3.03,3.03,100,2.977,2.945,2.936,2.668,76.49,0.18,0.15,0.029952980168146237
09:50AM_2020-11-09,3.06,3.1,3.06,3.1,1725,3.003,2.964,2.96,2.709,78.72,0.19,0.16,0.028246254377113394
09:55AM_2020-11-09,3.15,3.15,3.15,3.15,100,3.038,2.999,2.982,2.75,80.17,0.2,0.17,0.027418971632243938
10:10AM_2020-11-09,3.23,3.24,3.23,3.24,200,3.075,3.039,3.024,2.798,82.48,0.2,0.18,0.029676487449641797
10:15AM_2020-11-09,3.09,3.09,3.09,3.09,400,3.095,3.056,3.044,2.838,68.21,0.2,0.18,0.018365274499799966
10:20AM_2020-11-09,3.082,3.082,3.082,3.082,100,3.115,3.071,3.058,2.879,67.54,0.19,0.18,0.008162647788945765
10:30AM_2020-11-09,3.11,3.11,3.11,3.11,1300,3.129,3.081,3.075,2.92,68.7,0.18,0.18,0.0014685315790197162
10:35AM_2020-11-09,3.15,3.15,3.14,3.14,1150,3.135,3.1,3.087,2.962,69.94,0.18,0.18,-0.002551313339728467
10:45AM_2020-11-09,3.135,3.135,3.135,3.135,300,3.133,3.12,3.104,3.004,69.45,0.17,0.18,-0.0069120531837300325
10:50AM_2020-11-09,3.19,3.19,3.16,3.19,400,3.124,3.137,3.127,3.022,71.81,0.17,0.18,-0.007413048377814785
11:00AM_2020-11-09,3.12,3.13,3.12,3.12,450,3.13,3.14,3.136,3.036,64.94,0.16,0.17,-0.013428879545531569
11:05AM_2020-11-09,3.09,3.09,3.05,3.05,800,3.124,3.129,3.131,3.046,58.87,0.15,0.17,-0.02255533611802485
11:15AM_2020-11-09,3.08,3.08,3.05,3.05,600,3.114,3.107,3.121,3.052,58.87,0.13,0.16,-0.028634403856394458
11:20AM_2020-11-09,3.07,3.08,3.065,3.08,300,3.104,3.106,3.105,3.064,60.7,0.12,0.15,-0.030504959022176065
11:30AM_2020-11-09,3.1,3.1,3.1,3.1,100,3.098,3.108,3.106,3.075,61.91,0.12,0.15,-0.030208292113207663
11:50AM_2020-11-09,3.12,3.12,3.11,3.11,500,3.085,3.108,3.108,3.083,62.53,0.11,0.14,-0.029138129993383055
12:05PM_2020-11-09,3.22,3.22,3.215,3.215,600,3.101,3.117,3.119,3.097,68.38,0.11,0.13,-0.021510165972195072
12:10PM_2020-11-09,3.28,3.28,3.255,3.26,500,3.136,3.131,3.131,3.109,70.5,0.12,0.13,-0.013951803053321277
12:15PM_2020-11-09,3.22,3.26,3.2,3.23,2925,3.166,3.135,3.14,3.122,67.26,0.12,0.13,-0.011587812435796652
12:20PM_2020-11-09,3.22,3.22,3.22,3.22,200,3.189,3.146,3.143,3.135,66.17,0.11,0.12,-0.011300713794656234
12:25PM_2020-11-09,3.19,3.19,3.19,3.19,700,3.204,3.162,3.15,3.143,62.87,0.11,0.12,-0.013581017657121996
12:30PM_2020-11-09,3.175,3.175,3.07,3.07,2700,3.198,3.164,3.152,3.142,51.75,0.09,0.12,-0.023063618230693583
12:35PM_2020-11-09,3.19,3.2,3.19,3.2,400,3.195,3.177,3.167,3.144,60.0,0.09,0.11,-0.02055640265413726
12:40PM_2020-11-09,3.15,3.15,3.15,3.15,100,3.177,3.183,3.174,3.14,56.03,0.08,0.11,-0.022105962266917786
12:50PM_2020-11-09,3.15,3.15,3.15,3.15,350,3.163,3.187,3.179,3.143,56.03,0.08,0.1,-0.022875732349685277
12:55PM_2020-11-09,3.1,3.1,3.1,3.1,200,3.143,3.174,3.178,3.143,52.04,0.07,0.09,-0.02625513761192369
07:15AM_2020-11-10,3.24,3.26,3.24,3.26,300,3.155,3.174,3.183,3.151,61.49,0.07,0.09,-0.017631507468376148
08:25AM_2020-11-10,3.25,3.25,3.25,3.25,312,3.185,3.177,3.182,3.156,60.69,0.07,0.09,-0.012745489288912448
09:05AM_2020-11-10,3.25,3.26,3.25,3.26,686,3.195,3.181,3.185,3.163,61.24,0.07,0.08,-0.009152864201100064
10:50AM_2020-11-10,3.27,3.27,3.27,3.27,100,3.215,3.19,3.19,3.167,61.81,0.07,0.08,-0.006538382960632749
10:55AM_2020-11-10,3.27,3.27,3.27,3.27,100,3.235,3.212,3.198,3.174,61.81,0.07,0.08,-0.005297313101566781
